,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,멕시칼리,서울특별시 광진구 능동로36길 181,남미 음식,만원 미만,26,4.3
1,폽타이,서울특별시 광진구 자양번영로6길 60 1F,태국 음식,만원-2만원,8,4.3
2,부리또피아,서울특별시 광진구 능동로16길 51,남미 음식,만원-2만원,7,4.2
3,로얄인디안레스토랑,서울특별시 광진구 동일로22길 42,인도 음식,만원-2만원,15,4.1
4,반둥식당,서울특별시 광진구 아차산로 200 커먼그라운드 3F,다국적 아시아 음식,만원 미만,13,3.9
5,잇타이,서울특별시 광진구 동일로20길 105,태국 음식,만원-2만원,49,3.7
6,프언타이,서울특별시 광진구 아차산로 431 강변SK뷰 상가3동 B103호,태국 음식,만원-2만원,21,3.7
7,미분당,서울특별시 광진구 군자로3길 27 1F,베트남 음식,만원-2만원,62,3.6
8,감성타코,서울특별시 광진구 능동로13길 39 2F,남미 음식,만원-2만원,9,3.6
9,메호르,서울특별시 광진구 능동로13길 15,세계음식 기타,만원-2만원,6,3.6
10,어반나이프,서울특별시 광진구 구의강변로 85,세계음식 기타,만원 미만,18,3.4
11,포남딘,서울특별시 광진구 긴고랑로13길 10,베트남 음식,만원 미만,8,
12,호아다오,서울특별시 광진구 능동로13길 11 2F,베트남 음식,만원 미만,2,
13,이타주의,서울특별시 광진구 뚝섬로27길 43 2F,다국적 퓨전,만원-2만원,4,
14,트라타,서울특별시 광진구 아차산로 297,남미 음식,만원 미만,1,
15,퍼틴,서울특별시 광진구 군자로3길 9,베트남 음식,만원 미만,5,
16,맘맘테이블,서울특별시 광진구 동일로26길 58,베트남 음식,만원 미만,2,
17,르번미,서울특별시 광진구 능동로32길 5,베트남 음식,만원 미만,5,
18,미스사이공,서울특별시 광진구 능동로13길 42,베트남 음식,만원 미만,3,
19,타코벨,서울특별시 광진구 아차산로 272 B1,남미 음식,만원 미만,5,
20,포응온,서울특별시 광진구 동일로72길 9,베트남 음식,만원 미만,1,
21,미스사이공,서울특별시 광진구 동일로20길 113,베트남 음식,만원-2만원,1,
22,더스푼77,서울특별시 광진구 뚝섬로59길 63,남미 음식,만원-2만원,2,
23,타이인플레이트,서울특별시 광진구 광나루로24길 15,태국 음식,만원 미만,3,
24,몽골식당,서울특별시 광진구 자양로50길 48,다국적 아시아 음식,만원 미만,1,
25,에머이,서울특별시 광진구 아차산로 272 더샵스타시티,베트남 음식,만원-2만원,2,
26,케밥인,서울특별시 광진구 아차산로 221 1F,세계음식 기타,만원 미만,3,
27,벤탄빌라,서울특별시 광진구 아차산로 272  더샵스티시티 B1,태국 음식,만원 미만,1,
28,성수완당,서울특별시 광진구 아차산로51길 4 1F,다국적 아시아 음식,만원 미만,1,
29,호아빈,서울특별시 광진구 능동로 300,베트남 음식,만원 미만,2,
30,포몬스,서울특별시 광진구 아차산로 208,베트남 음식,만원 미만,2,
31,털보타코,서울특별시 광진구 동일로24길 82 2F,남미 음식,만원 미만,1,
32,타논55,서울특별시 광진구 아차산로 480,태국 음식,만원-2만원,5,
33,로꼬브리또,서울특별시 광진구 자양로13길 60,남미 음식,만원 미만,1,
34,꾸아,서울특별시 광진구 군자로3길 9 ,베트남 음식,만원-2만원,1,
