,가게이름,리뷰,맛평가
0,멕시칼리,아차산에 별로 없는 특별한 맛집!주말엔 웨이팅 많다.,맛있다
1,멕시칼리,아차산역쪽 멕시칼리에요! 저의 두번째 타코 도전입니당! 타코는 많이 먹어봤는데 매번 한곳 타코만 먹었어거든요! 타코 4피스와 나쵸! 여기는 나쵸도 튀기신다고 하더라구요~ 가끔 어디가면 눅눅한 나쵸 주는곳 있는데 가면 너무 실망스럽더라구요.. 와우 근데 진짜 갓 튀긴 나초느낌이나서 너무 맛있었어요 바삭바삭! 그리구 타코.. 두번째 타코 퍼펙트입니다.. 너무맛있어서 줄줄 흘리는것도 신경안쓰고 먹었어요 ㅠㅠㅠ 재방문의사 100000입니다!!,맛있다
2,멕시칼리,"“맛있는 걸 먹으려면 기다림이 중요한 법” 방문일자 : 2022.04.24테마: 멕시코음식 분위기: 광진구에 타코 맛집이 있다는 추천을 받고 방문하였는데, 와 사람이 너무 많더라 ! 대기도 너무 길더라! 생각보다 더 큰 외관에, 내부에 들어가면 멕시코 특유의 분위기 처럼 생동감이 느껴지는 분위기 (마치 나는 롯데월드에 온 것 같은 기분 좋은 느낌)음식 : 뭐랄까 이제까지 내가 먹은 타코는 타코가 아닌 느낌 “피쉬타코”는 꼭 꼭 먹어보세요. 세트 메뉴로 먹었고, 퀘사디아 + 타코 + 빠빠 먹었다. 아무래도 빠빠가 먼저 나오고 해비한 느낌이다보니 퀘사디아 맛을 제대로 못느꼈는데 2인이면 세트는 약간 많은 느낌이지도.. 아무튼 멕시칼리 음식 하나하나 특징적이여서 강추 또 강추",맛있다
3,멕시칼리,아차산역 멕시칼리여기 도대체 왜이렇게 대기가 많은지 이해불가;; 그냥 퀘사디아랑 타코맛.. 피쉬타코가 소름끼치게 맛있나봐요 생선을 좋아하지 않아서 피쉬타코를 먹어볼 일은 없을거 같고 그냥 비치되어 있는 살사소스가 괜찮다 정도의 기억,괜찮다
4,멕시칼리,"연인, 지인, 가족, 혼자까지도 커버 되는 곳이에요. 나이드신 연령층에서도 오시는 경우가 많아요. 목록에 웨이팅 이름과 인원수를 기입하게 되어 있어요. 점심 시간 시작 시간(11시 30분~12시), 저녁시간 시간 전 (4-5시) 기다리지 않고 바로 자리에 착석해서 시킬 수 있어요. 저는 혼자 가서 빠빠, 콰카몰리 나초, 딸기모히또 시켜서 먹었는데요. 혼자서 먹기에 가격 부담이 있구요. 빠빠의 감자는 배가 불러서 못 먹고 왔어요. 살사소스는 매콤하니 딱 적당한 맛인데요. 저는 테이블 위에 놓여진 살사소스 한통은 거뜬히 먹고 와요. 남편과 초3남아와 같이 갈 경우, 저희 가족은 나초를 좋아해서 치즈나초, 과카몰리나초, 빠빠, 음료수 콜라, 사이다를 시켜요. 나초 리필이 한번되어서 한번더 시키구요. 살사소스도 물론 1번더 리핑해서 먹죠. 나초가 생각난다 하면 꼭 추천드리고요, 몇 개월전 다른 장소에서 1층에서 할때보다 주차 시설도 잘 되어 있어요. 다만, 웨이팅 기계나 어플을 이용하지 않아서 대기실에서 이름 호명할때까지 기다라고 있어야 하지만, 기대를 저버리지 않은 맛이라 좋아요. 대기가 싫으신 분은 포장도 되니 포장도 좋은 편이나 살사소스를 많이 먹고 나초를 리필해야 하는 저로 써는 좀 그렇네요. 배가 부르지 않다면 타코를 시켜서 한개씩 시켜서 먹으면 배가 불러요. 식사 후 어린이 대공원이 바로 옆이라서 한바퀴 돌고 차타고 집에 돌아오는 것을 추천드려요. 주차가 마땅하지 않으면 어린이대공원 주차장도 바로 가까운 곳에 위치해 있으니, 어려워 하지 말고 가시면 좋을것 같아요.",맛있다
5,멕시칼리,동네에서 이정도 타코면 매우 준수,맛있다
6,멕시칼리,"이 주변에 그렇게 오래 살면서 여태 왜 몰랐을까..알았다면 진즉 단골이 되어 사장님과 짱친이 되고도 남았을만큼 더 일찍 알지 못해 속상했던 찐맛집. 과카몰리며 살사소스, 또띠아 모든걸 다 직접 만드시는 정성이 느껴지는 곳.함께 간 남자친구도 멕시칸 첫 시도였는데 너무나도 좋아했고 잘 먹었음. 세트에 단품 추가해서 배타지게 먹을 정도!매장 내부 어디를 둘러봐도 깔끔해서 좋았고, 넓어서 더좋았음. 쾌적!",맛있다
7,멕시칼리,친구친구추천으로 방문한 멕시칼리멕시칸푸드의 다양함을 즐기기 딱 좋다이른 저녁시간에도 사람들로 꽉차있고6시가 넘으니 바로 웨이팅나초도 주문시 직접 튀긴다하고살사소스도 매장에서 직접 만든 곳이라 그런지모든 음식이 다 입맛에 맞다양도 넉넉해서 2인세트 시켜서 둘이 먹으려니 정말 배가부르다특히 맛있던 메뉴는1 빠빠: 치즈감자와 소고기 채소 조합인데 다른 멕시칸음식점에서는 보지 못했고 치즈가 느끼할때 살사소스 곁들여 먹으면 무한흡입2 피쉬타코: 여러가지 종류의 타코를 먹어봤지만 피쉬타코는 처음이다 흰살생선을 엄청 두툼하게 튀겨내어 타코로 만들었는데 생각보다 맛있고 신선하다아차산역 or 어린이대공원에 온다면 다음에 또 오고싶은 식당이다다만 2인세트는 양이많아서 요리3개+맥주로 시켜먹어야지,맛있다
8,멕시칼리,진짜 맛있는 멕시코 요리.타고였어요. 소스를 만드신다고 하는데 진짜 맛있음.3시쯤 늦은 점심을 먹으러 가면서 손님들 없을거야 했는데꽉 차 있어서 놀랬는데 그럴만 함,맛있다
9,멕시칼리,"""가볼만한 멕시칸 음식점""아차산 쪽에 위치한 멕시칼리. 서비스도 좋고 맛도 너무 맛있게 잘 먹었다:)왜 젊은 사람들에게 인기가 있는지 알겠다.나름 주방쪽엘 보아도 분주히 움직이시는 분들을 보면 참 대단하시기도 하고! 오픈 주방이다.!컴비네이션으로 주문하면 타코, 퀘사디아 등 풍성하게 요리를 즐길 수 있다.대체적으로 자극적인 맛 속에도 딱 기본을 잃지 않은 기분 좋은 집이다.자칫 자극적으로 빠질 수 있는 맛을 멕시칸 음식답지 않게 중도를 지키는 느낌이다.특히 빠빠는 처음 먹어봤는데 포테이토, 치즈, 양파, 소고기의 조화가 이색적이다!뭔가 부드럽기도 한 맛과 고기의 육즙이 섞여있어 참 부드러웠던 맛!",맛있다
