,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,호파스타,서울특별시 광진구 군자로3길 23,기타 양식,만원 미만,22,4.1
1,수퍼슬라이더스,서울특별시 광진구 능동로13길 50,브런치 / 버거 / 샌드위치,만원 미만,35,4.0
2,래빗홀 버거컴퍼니,서울특별시 광진구 광나루로 424 1F,브런치 / 버거 / 샌드위치,만원 미만,19,3.9
3,능동샐러드,서울특별시 광진구 능동로13길 10-7 2F,기타 양식,만원 미만,13,3.7
4,민벅,서울특별시 광진구 능동로13길 39 한아름쇼핑센터,이탈리안,만원 미만,17,3.5
5,페스타마레,서울특별시 광진구 동일로20길 114,이탈리안,만원 미만,12,3.3
6,모모스테이크,서울특별시 광진구 능동로13길 10 B1,스테이크 / 바베큐,만원 미만,19,3.1
7,도쿄스테이크,서울특별시 광진구 능동로13길 27,스테이크 / 바베큐,만원 미만,17,2.9
8,프랭크버거,서울특별시 광진구 아차산로29길 44 1F 104호,브런치 / 버거 / 샌드위치,만원 미만,5,2.8
9,바른면집,서울특별시 광진구 능동로13길 28 1F,기타 양식,만원 미만,6,
10,투고샐러드,서울특별시 광진구 광나루로24길 9,기타 양식,만원 미만,9,
11,제레미버거Jr,서울특별시 광진구 동일로60길 44,브런치 / 버거 / 샌드위치,만원 미만,3,
12,롤링파스타,서울특별시 광진구 능동로 127 2F,기타 양식,만원 미만,7,
13,피자컴퍼니,서울특별시 광진구 능동로32길 12 1F,기타 양식,만원 미만,7,
14,비에뜨반미,서울특별시 광진구 능동로17길 1,브런치 / 버거 / 샌드위치,만원 미만,5,
15,라비올리,서울특별시 광진구 천호대로129길 16,이탈리안,만원 미만,2,
16,위치스,서울특별시 광진구 아차산로 462,브런치 / 버거 / 샌드위치,만원 미만,4,
17,비스트로클로이,서울특별시 광진구 아차산로65길 6,이탈리안,만원 미만,2,
18,스위트스팟,서울특별시 광진구 능동로 185 2F,기타 양식,만원 미만,1,
19,폰버거,서울특별시 광진구 동일로24길 23 1F,브런치 / 버거 / 샌드위치,만원 미만,1,
20,맘스터치,서울특별시 광진구 아차산로 224,브런치 / 버거 / 샌드위치,만원 미만,3,
21,미태리,서울특별시 광진구 자양로 112 1F,기타 양식,만원 미만,4,
22,폼프리츠,서울특별시 광진구 능동로19길 41,브런치 / 버거 / 샌드위치,만원 미만,2,
23,맘스터치,서울특별시 광진구 능동로 409-1,브런치 / 버거 / 샌드위치,만원 미만,2,
24,맥도날드,서울특별시 광진구 광나루로 392,브런치 / 버거 / 샌드위치,만원 미만,2,
25,집파스타,서울특별시 광진구 광나루로56길 85 강변테크노마트 9F,기타 양식,만원 미만,1,
26,맘스터치,서울특별시 광진구 능동로 92 롯데백화점 스타시티 B1,브런치 / 버거 / 샌드위치,만원 미만,2,
27,사부작,서울특별시 광진구 천호대로109길 18 ,브런치 / 버거 / 샌드위치,만원 미만,1,
28,롯데리아,서울특별시 광진구 능동로 7,브런치 / 버거 / 샌드위치,만원 미만,1,
29,원스테이크,서울특별시 광진구 광나루로24길 15,스테이크 / 바베큐,만원 미만,2,
30,피자스쿨,서울특별시 광진구 뚝섬로 480,기타 양식,만원 미만,1,
31,써브웨이,서울특별시 광진구 아차산로 241 연한빌딩 102호,브런치 / 버거 / 샌드위치,만원 미만,2,
32,버거킹,서울특별시 광진구 아차산로 272 더샵스타시티,브런치 / 버거 / 샌드위치,만원 미만,1,
33,맥도날드,서울특별시 광진구 아차산로 376,브런치 / 버거 / 샌드위치,만원 미만,1,
34,샐러디,서울특별시 광진구 아차산로34길 5-3,기타 양식,만원 미만,1,
35,롯데리아,서울특별시 광진구 천호대로 548 1F,브런치 / 버거 / 샌드위치,만원 미만,1,
36,버거킹,서울특별시 광진구 아차산로 225,브런치 / 버거 / 샌드위치,만원 미만,1,
37,서브웨이,서울특별시 광진구 동일로20길 106,브런치 / 버거 / 샌드위치,만원 미만,1,
38,KFC,서울특별시 광진구 광나루로 396,브런치 / 버거 / 샌드위치,만원 미만,1,
39,붐바타,서울특별시 광진구 능동로13길 30 1F,브런치 / 버거 / 샌드위치,만원 미만,1,
40,고피자,서울특별시 광진구 아차산로 219 103호,기타 양식,만원 미만,1,
41,버거리,서울특별시 광진구 능동로13길 36 ,브런치 / 버거 / 샌드위치,만원 미만,1,
42,써브웨이,서울특별시 광진구 광나루로 390,브런치 / 버거 / 샌드위치,만원 미만,1,
43,플록,서울특별시 광진구 자양로19길 8 광석빌딩 1F,프랑스 음식,만원-2만원,10,4.4
