,가게이름,리뷰,맛평가
0,호파스타,"가격대비 만점, 바깥 키오스크에서 먼저 주문을 하고 자리를 잡는 시스템이였어요 작은 식당이고 바테이블이라 2인 조합으로만 방문 추천합니다바질파스타, 크림리조또 시켜먹었는데 둘다 맛있었어요/ 바질파스타는 생면 사용했는데 꼬들꼬들하기보단 꾸덕하게 씹히는 식감, 다른 리뷰들처럼 퍼지고 뭉치기 쉬워 보이긴 했는데 나름 매력있었고 짭쪼름한 맛이 좋았어요 새우에는 시즈닝이 추가로 되어있고 키오스크 주문시에 새우 갯수를 선택할 수 있는 시스템이 있어서 짝수개로 새우를 주문할 수 있어서 좋았습니다 약간 사소한 배려가 느껴졌구요크림리조또에 씹히는 식감이 다른 곡물이 있어서 먹는 재미가 있었구 맛있는 크림리조또~ 너무 느끼하진 않지만 충분히 꾸덕해서 좋았어요편한 데이트, 친구랑 간단히, 특히 혼밥하기 좋아보였습니다다만 글라스와인은 정말정말 비추...ㅎㅎㅎㅎ 실패하고 싶지 않아 화이트와인 시켰는데 비린 맛이 나더라구욥",맛있다
1,호파스타,"호파스타의 생면파스타를 먹고 왔습니다. 좋은 부분도 있었지만 부족한 부분도 있었던 음식이었습니다. 처음 면을 먹었을 때 칼국수면이 생각나는 부드러움과 소스가 잘 배인 면이 정말 매력적이었습니다. 파스타의 소스도 꽤 맛있었습니다. 바질소스는 후추의 향이 느껴져서 알싸한 맛이 매력적이었습니다. 그리고 로제파스타의 소스는 토마토의 산미가 다른 파스타보다 더 느껴지지만, 고기와 함께 먹으면 밸런스가 딱 맞아져서 좋았습니다. 하지만 시간이 지나니까 면이 더 잘 불어서 툭툭 끊어지는 느낌이 아쉬웠습니다. 가성비가 훌륭하고 맛있는 파스타를 드실거면 호파스타를 추천드립니다.",맛있다
2,호파스타,가격이 정말정말 착한 건대 파스타집! 부라타 치즈 샐러드도 있고 다른 파스타 매뉴도 꽤 다양해요. 생면파스타치고는 가격이 너무 저렴해서 신기했는데 생면파스타의 매력적인 포인트는 느끼지 못해 아쉬웠어요. 개인적으로 여긴 좀 떡같달까ㅜㅜ 오히려 보리 사용한 리조또가 괜찮더라구요. 부라타도 퀄이 좀만 도 좋았으면 싶더라구요.,괜찮다
3,호파스타,나쁘지않음. 파스타 먹고 싶을 때 찾아갈만함,괜찮다
4,호파스타,"직접 만든 생면 파스타와 특유의 소스가 개성있는 맛!'개인맛집'이라는 말이 잘 어울리는 곳이다. 아담한 공간으로, 손님들은 주방을 가운데로 둘러져있는 바테이블에서 식사를 하면 된다. 시끄러운 분위기도 아니지만 막 로맨틱하게 분위기 잡을 수 있는 곳도 아니다. 그냥 가볍게 먹으러가기 좋은곳! 내가 갔을때 혼자 드시고 가시는분들도 계셨다. 혼밥하기도 나쁘지 않다.• 비프 치즈 생크림 로제 8500원• 치킨과 버터 풍미를 더한 크림 8500원• 바질 페스토 모짜렐라 브루스게타 1800원여긴 우리가 흔히 접했던 파스타가 아니다. 쉽게 맛보지 못하는 특유의 생면 식감과 개인에 따라 소스의 매운맛을 조절할 수 있는 곳이다. 뭔가 나만을 위한 요리를 해주는 느낌이 든다. 내가 먹은건 크림 파스타로 매운맛을 100으로 했는데, 딱 적당히 매콤했다. 느끼하지도 않고 먹기 좋을 정도였다. 로제 파스타도 한입 먹어봤는데 비프맛이 좀 강하게 느껴졌다. 내입맛엔 크림파스타가 더 맛있었다! 다음에도 이렇게 주문 할 예정!아쉬운점은 생면이다보니, 먹다보면 약간 떡진다,,^_^; 생면이니깐 넘어가준다,,! 그리고 양은 적은편이다. 깔끔하게 배불러서 디저트를 왕창 먹을 수 있는 양이었다. 브루스게타는 바게트 빵 위에 바질 페스토를 바르고 모짜렐라랑 토마토를 올려놓은거다. 맛있긴 했는데 바게트다 보니 질겼다. 예쁘게 먹을 수 없었,,가위 가지고 와서 잘라 먹고싶었다. ^_^;그래도 대체로 넘 맘에들고 만족스러운 곳이다! 재방문예정!",맛있다
5,호파스타,저렴한 가격에 생면 파스타를 즐길수 있는 곳. 새우바질페스토파스타를 시켰다. 기대가 너무 커서일까 첫입은 그저그랬는데 설명처럼 소스와 면을 섞어먹다보니 면에 소스가 배이면서 점점 꾸덕함을 느낄수 있었다. 밖에서 키오스크로 주문하거나 일식집처럼 둥그런 바 형태로 좌석이 되있는걸 봐선 혼자 파스타 땡길때 최적일듯.,맛있다
6,호파스타,"이게 맛있기엔 난 너무나 어른이 돼버렸구나2아주 저렴한 가격에 다양한 파스타를 즐길 수 있는 곳이다. 심지어 파스타를 주문하면 미니 샐러드에 모닝빵까지 주니 만원도 채 되지 않는 가격을 생각하면 매우 혜자스러운 곳.(사실 가격 모르고 그냥 평점 좋아서 방문)1. 메뉴새우바질, 닭가슴살크림, 로제 세 종류를 시켰다. 모두다 넓적한 파스타면을 사용했는데, 시간이 조금만 지나도 빨리 퍼져버리고 뭉쳐지는 단점이 있다.소스 자체의 맛도 특별하진 않고 괜찮은 정도.2. 공간매우 작은 가게고, 바 형태로 구성돼 있다. 작은 공간에 짐 둘 데와 코트 거는 곳까지 최대한 공간을 활용한 배려들이 느껴졌다. 하지만 공간의 제약이 있다보니 매우 작고 불편한 의자에 앉을 수밖에 없고, 안쪽에 사람이 지나갈 때마다 신경써야 하는 단점이 있다.. 윗 평을 보면 거의 부정적인 것밖에 없는 것 같지만;; 저렴한 가격과 다양한 구성을 생각하면 학생들에게 이만한 파스타집이 없기 때문에 지금의 평점(4.0)이 충분히 납득이 된다.하지만 이보다 더 좋은 파스타의 맛을 알아버린 나에겐 재방문의 이유가 딱히 없는 곳..",괜찮다
7,호파스타,개인적으로 이런 식당들이 더 많아져야한다고 생각한다. 좋은 퀄리티 합리적인 가격.,맛있다
8,호파스타,"사실 양식은 그리 선호하는 선택지가 아니다. 우선 가격 부담이 상당하고, 혼밥하기 애매하다. 식사를 빨리 하는 편인데 파스타 하나 시키면 양도 적어서 일부러 천천히 먹으려고 갖은 노력을 한다. 그런데 이 생면 파스타 전문점은 양식 선택의 어려움을 상당히 해소해준다. 파스타 하나에 9천원도 안하는 파격적인 가격을 내세운다. 바 형식으로 되어 있는 식당 내부는 혼자 와서 5분 만에 먹고 나가도 부담 없을 구성이다. 로제 파스타에 300원 내고 모닝빵도 추가해 먹었다. 일단 쫄깃하고 꾸덕한 생면이 매력적이다. 넓고 얇은 면인데 약간 두꺼운 손칼국수 같은 느낌도 난다. 생면을 표현한 그림이 식당 마크일 정도로 면을 주력으로 삼는 셈인데 확실히 태가 나긴 한다. 매콤하고 간이 강한 로제 소스와 잘 어울린다. 면을 다 먹고 남은 소스에 모닝빵을 찍어먹는 재미도 상당하다. 배만 안 불렀으면 바질 파스타도 먹어봤을텐데 아쉬울 따름이다.",맛있다
9,호파스타,"생면파스타를 저렴한 가격에 맛있게 먹을 수 있다.건대입구에서  점심을 먹으려 하는데 눈에 딱 띄는 문구 생파스타에 꽂혀 바로 방문하게 되었다.입구에 무인자판기가 있으니 원하는 메뉴를 고르고 입장 하면 된다. 나는 크림생면파스타 매운 맛 정도는 50%수준으로 주문했다.생면파스타가 나왔다. 생면 맛은 굉장히 쫄깃쫄깃 했다. 크림 소스안에 매운 맛은 좀 쌘 편이었지만 먹다보니 감초 같은 역할을 톡톡히 해내고 있었다. 심심하고 느끼할 수 있는 크림 소스 맛에 매운 맛은 다소 생소했지만 제법 괜찮은 조합이었다.그리고 같이 나온 닭고기 이것의 정체가 궁금했다. 퍽퍽하지 않고 적당히 허브 간이 되어서 나왔는데, 하나 더 먹고 싶을 정도로 맛있었다.혼자 조용히 생면파스타를 즐기기에 참 좋은 곳이다.재방문  또 하고 싶다",맛있다
