,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,초라멘,서울특별시 광진구 능동로13길 80 1F,라멘 / 소바 / 우동,만원 미만,18,4.3
1,소바쿠,서울특별시 광진구 천호대로 650,라멘 / 소바 / 우동,만원 미만,15,4.2
2,라멘다이야,서울특별시 광진구 자양번영로6길 67,라멘 / 소바 / 우동,만원 미만,23,4.2
3,텐동한,서울특별시 광진구 능동로38길 32 1F,돈부리 / 일본 카레 / 벤토,만원 미만,40,4.0
4,포비,서울특별시 광진구 동일로26길 57 1F,철판 요리,만원 미만,11,4.0
5,부탄츄,서울특별시 광진구 동일로22길 117-14,라멘 / 소바 / 우동,만원 미만,10,3.9
6,마리모,서울특별시 광진구 면목로 22-1,정통 일식 / 일반 일식,만원 미만,14,3.9
7,유미카츠,서울특별시 광진구 능동로13길 11  1F,까스 요리,만원 미만,5,3.9
8,가츠시,서울특별시 광진구 광나루로 418,까스 요리,만원 미만,18,3.8
9,스시붐,서울특별시 광진구 광나루로17길 14-5,회 / 스시,만원 미만,10,3.8
10,노다메,서울특별시 광진구 아차산로33길 90 2F,돈부리 / 일본 카레 / 벤토,만원 미만,37,3.7
11,겐로쿠우동,서울특별시 광진구 능동로 111,라멘 / 소바 / 우동,만원 미만,29,3.6
12,멘쇼,서울특별시 광진구 군자로2길 3,라멘 / 소바 / 우동,만원 미만,22,3.4
13,홍대돈부리,서울특별시 광진구 군자로 4,돈부리 / 일본 카레 / 벤토,만원 미만,14,3.3
14,메차쿠차,서울특별시 광진구 구의강변로3길 11,까스 요리,만원 미만,7,3.3
15,동경규동,서울특별시 광진구 아차산로 238,돈부리 / 일본 카레 / 벤토,만원 미만,7,2.9
16,끼니밥메시,서울특별시 광진구 군자로 175-2,퓨전 일식,만원 미만,11,
17,혼다라멘,서울특별시 광진구 광나루로 385,라멘 / 소바 / 우동,만원 미만,4,
18,라멘미세,서울특별시 광진구 능동로38길 30,라멘 / 소바 / 우동,만원 미만,10,
19,소정백,서울특별시 광진구 천호대로129길 41,까스 요리,만원 미만,3,
20,코코도리,서울특별시 광진구 광나루로26길 17 1F,정통 일식 / 일반 일식,만원 미만,6,
21,돈가츠펍타임,서울특별시 광진구 능동로13길 9,까스 요리,만원 미만,4,
22,아울,서울특별시 광진구 자양로18길 36,까스 요리,만원 미만,5,
23,아비꼬,서울특별시 광진구 아차산로 262,돈부리 / 일본 카레 / 벤토,만원 미만,4,
24,하코야,서울특별시 광진구 광나루로56길 85 테크노마트 9F,라멘 / 소바 / 우동,만원 미만,3,
25,고씨네,서울특별시 광진구 능동로13길 6 2F,돈부리 / 일본 카레 / 벤토,만원 미만,3,
26,플레져,서울특별시 광진구 능동로 135-1,돈부리 / 일본 카레 / 벤토,만원 미만,3,
27,오코노미야키식당하나,서울특별시 광진구 능동로13길 111,철판 요리,만원-2만원,66,4.7
28,이이요,서울특별시 광진구 능동로32길 6,회 / 스시,만원-2만원,101,4.3
29,케루악,서울특별시 광진구 뚝섬로52마길 21,돈부리 / 일본 카레 / 벤토,만원-2만원,10,4.2
30,모에기,서울특별시 광진구 워커힐로 177 비스타 워커힐 1F,정통 일식 / 일반 일식,4만원 이상,10,4.1
31,우마이도,서울특별시 광진구 능동로 135-2,라멘 / 소바 / 우동,만원-2만원,116,4.0
32,사월식당,서울특별시 광진구 자양로4길 12-1,회 / 스시,만원-2만원,19,3.9
33,유키노하나,서울특별시 광진구 아차산로33길 21-5,회 / 스시,2만원-3만원,18,3.9
34,요마시,서울특별시 광진구 천호대로102길 7 1F,정통 일식 / 일반 일식,만원-2만원,14,3.9
35,호야초밥참치전문점,서울특별시 광진구 능동로13길 36,회 / 스시,만원-2만원,169,3.7
36,스시텐,서울특별시 광진구 구의강변로 86,회 / 스시,만원-2만원,22,3.7
37,하루,서울특별시 광진구 면목로 53 1F,이자카야 / 오뎅 / 꼬치,2만원-3만원,9,3.7
38,초밥짓는원숭이,서울특별시 광진구 능동로13길 27 1F,회 / 스시,만원-2만원,21,3.6
39,건대스시,서울특별시 광진구 능동로13길 19,회 / 스시,만원-2만원,13,3.6
40,호야,서울특별시 광진구 능동로13길 36,회 / 스시,만원-2만원,19,3.3
41,스시토푸,서울특별시 광진구 아차산로 612,회 / 스시,만원-2만원,16,3.3
42,은호초밥,서울특별시 광진구 동일로20길 83,회 / 스시,만원-2만원,25,3.2
43,사보텐,서울특별시 광진구 아차산로 272 스타시티 B1,까스 요리,만원-2만원,5,3.1
44,쉐프의콜렉션,서울특별시 광진구 구의강변로 64 1F,회 / 스시,2만원-3만원,10,
45,후타리,서울특별시 광진구 긴고랑로 58,이자카야 / 오뎅 / 꼬치,만원-2만원,4,
46,오사이초밥,서울특별시 광진구 군자로 14 1F,회 / 스시,만원-2만원,4,
47,스시안,서울특별시 광진구 천호대로127길 9 1F,회 / 스시,만원-2만원,3,
48,데판야끼 한,서울특별시 광진구 능동로38길 32,철판 요리,2만원-3만원,7,
49,코코이찌방야,서울특별시 광진구 아차산로 272 스타시티 B1,돈부리 / 일본 카레 / 벤토,만원-2만원,4,
50,피읖,서울특별시 광진구 능동로 327-1 1F,이자카야 / 오뎅 / 꼬치,2만원-3만원,5,
51,포비의 행방불명,서울특별시 광진구 동일로26길 58 ,철판 요리,만원-2만원,3,
52,스시오리,서울특별시 광진구 천호대로132길 56,회 / 스시,만원-2만원,4,
53,요비,서울특별시 광진구 아차산로29길 34,이자카야 / 오뎅 / 꼬치,2만원-3만원,4,
54,심야식당7925,서울특별시 광진구 자양로 235,이자카야 / 오뎅 / 꼬치,2만원-3만원,4,
55,백소정,서울특별시 광진구 아차산로 241 201호,까스 요리,만원-2만원,7,
56,D 27,서울특별시 광진구 동일로52길 39,이자카야 / 오뎅 / 꼬치,만원-2만원,3,
57,고베규카츠,서울특별시 광진구 아차산로33길 64 1F,까스 요리,만원-2만원,5,
58,황금손가락초밥,서울특별시 광진구 구의강변로 49,회 / 스시,만원-2만원,10,
59,건대야시장,서울특별시 광진구 동일로22길 85,이자카야 / 오뎅 / 꼬치,만원-2만원,4,
60,팬더라이스,서울특별시 광진구 자양로6길 5,돈부리 / 일본 카레 / 벤토,만원-2만원,6,
61,일광,서울특별시 광진구 동일로24길 68,이자카야 / 오뎅 / 꼬치,만원-2만원,4,
62,이자와,서울특별시 광진구 동일로20길 65,까스 요리,만원-2만원,4,
63,선남sea,서울특별시 광진구 자양번영로 62 예닮빌딩 1F,회 / 스시,만원-2만원,6,
64,와꼬스시,서울특별시 광진구 구의강변로 88 1F,회 / 스시,2만원-3만원,3,
65,달빛한점,서울특별시 광진구 아차산로31길 29 4F,회 / 스시,만원-2만원,3,
66,히네꼬 숯불펜스테이크,서울특별시 광진구 아차산로29길 25,정통 일식 / 일반 일식,만원-2만원,3,
67,638deno탄탄멘,서울특별시 광진구 능동로13길 81-1 1F,라멘 / 소바 / 우동,만원-2만원,5,
68,수작나베,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1F 110호,기타 일식,2만원-3만원,6,
69,화요비,서울특별시 광진구 아차산로33길 32,이자카야 / 오뎅 / 꼬치,2만원-3만원,3,
