,가게이름,리뷰,맛평가
0,초라멘,"건대 근처 숨은 라멘 맛집.가운데 빛나고 있는 노른자를 톡 터뜨리면,꿀처럼 녹아내리며 질감을 꾸덕하게 만들어준다.다진 고기육과 가쓰오향 듬뿍 나는 고등어가루, 톡톡 쏘는 마늘과 아삭한 식감의 부추와 파. 여러 가지 재료들이 하나가 되어 꾸덕하고 묵직하게 입 안을 맴돈다.부들부들하면서 불향 듬뿍 나는 차슈도 적지 않게 들어있어 부족한 느낌이 없다.살짝 느끼해질 때쯤 다시마 식초를 넣으면신선한 충격을 주면서 새로 시작할 의지를 선사한다.조금 남은 양념에는 밥을 비벼 양념 한 점도 허투루 남기지 않고 해치웠다. 닭고기 차슈는 덤.하이텐션인 사장님 혼자 하신다. 힘드실만도 한데 가는 인사, 오는 인사 잊지 않으시고, 모든 손님에게 맛있게 먹는 법을 알려주신다.대단한 접객 마인드를 배웠다.",맛있다
1,초라멘,살짝 타이밍 잘못 걸려서 좀 웨이팅했는데 그 가치가 있었다 ㅠㅠ 정말 맛있었음. 면이 살짝 단단해서 더 내 취향에 잘 맞았고 국물이 담백하면서도 후추향도 은은하게 나서 좋았다. 닭고기는 부들부들 촉촉해서 맛있었고 돼지 차슈는 향이 정말 좋았다. 아지타마고도 무난히 괜찮았다. 사장님의 우렁찬 인사와 그 에너지가 넘 대단해 보였당.,맛있다
2,초라멘,"토마토 계란 덮밥 맛나게 먹고 2차로 온 초라멘입니다 여기를 오려고 하나만 시켰더니 배에서 장난치냐고 성질냅니다 얼른 때려넣어서 달래줘야합니다대기가 없어서 행복합니다 가게 밖에 키오스크가 있어서 주문 후 자리가 있다면 들어가는 시스템인 것 같습니다 걸어가면서 가게가 보일 즈음 두 분이 나오시는 것을 보니 바로 들어갈 수 있겠다 싶었는데 역시나 김타이밍 바로 착석했습니다토리파이탄으로 주문했습니다9석 사장님 혼자서 운영하시는 라멘야입니다들어가자마자 안녕하세요 초라멘입니다~! 하는 인사에 기분이 좋습니다조금 기다리니 라멘이 준비되었습니다 단무지는 덜어먹으면 되고 초생강과 부추무침이 필요하면 요청해달라고 하십니다 저는 라멘 먹을 때 반찬을 잘 안 먹습니다혹시 불을까 후딱 사진 찍은 다음에 면부터 후루룩 카타로 잘 삶은 호소멘입니다 가장 좋아하는 면 스타일입니다그 다음 국물을 맛보니 진합니다 국물 좋습니다 매니악한 맛은 아니지만 맛있고 편하게 먹기에 좋습니다 아주 묽지는 않고 적당히 점도가 있는데 또 아주 끈적이는 농도는 아니라서 부담없습니다차슈 3가지와 아지타마고는 보통입니다 배가 별로 차지 않습니다 키오스크에 마제멘이 처음에 있기도 하고 여기 마제멘이 맛있다는 리뷰를 봐서 추가로 한 번 주문해봤습니다 과연 멘야하나비와 어떨지마제면 어디서 먹어봤는지, 먹어본 곳에 다시마식초가 있었는지 등을 질문하십니다 아마 처음 먹어보는 손님을 위해 설명해주시려고 그러는 것 같습니다되도록 빠르게 비벼서 먹으라고 설명해주시며 마제멘을 내어주십니다 아마 어분이 뭉치는 걸 방지하기 위해서 그러는 것 같습니다 역시 사진 후딱 찍고 비빕니다맛있는 마제면입니다 오랜만에 먹어서 그런지 더 맛있게 느껴지는 것 같습니다 감칠맛 쫙 올라오면서 고기, 파, 부추가 면과 씹힐 때 나오는 시너지가 대단합니다 좀 먹다가 다시마식초 뿌려서 먹으면 산미가 맛을 잡아주면서 레이어가 더 탄탄해집니다완벽한 마무의리를 위해서 토리파이탄과 마제멘에 밥을 추가합니다 마제멘에는 밥 추가를 하면 닭고기 차슈를 올려주십니다 두 라멘 다 밥을 더해도 전혀 이질감이 없이 잘 어울립니다 맛있습니다처음(初)과 같은 마음으로 손님을 대하겠다는 사장님의 초지일관 마음이 담긴 가게 상호와, 사장님의 오모테나시, 음식의 맛이 좋은 추억을 만들어 주었습니다용인에서 서울은 거리가 거기서 거기이기도 하고 저는 개인적으로 하나모코시의 토리소바와 멘야하나비의 마제소바가 더 좋았지만 초라멘만의 가격적인 메리트와 이 정도 맛이면, 초라멘이 가까우신 분들은 그냥 여기로 가면 된다는 생각입니다 추천 의사 있습니다 맛있게 잘 먹었습니다3/13 하나모코시를 다녀와서 재방문 의사 x -> △로 수정했습니다재방문 의사 : △",맛있다
3,초라멘,"뽀얀 국물에 담백함이 매력적인 토리파이탄 라멘. 진한 흰색에 시선이 가서 나오자마자 국물부터 한 술 떠먹었다. 진한 색과는 달리 마일드하고 부드러운 느낌. 근데 이게 싱겁다거나 깊이가 부족하다는 건 아니고 부담스럽지 않고 고소하다. 닭가슴살 차슈도 부드럽고 안에 든 미나리, 부추, 목이버섯 고명도 맛있었다. 사장님 혼자 모든걸 하는 1인업장이지만 밝고 힘찬 목소리로 인사해주셔서 식사하러 들어갔다가 에너지를 나눠받는다. 사장님의 밝은 목소리처럼 힘이 나는 한 끼. 잘 먹었습니다.",맛있다
4,초라멘,슈퍼 스페셜하진 않지만 정감가는 맛,맛있다
5,초라멘,마제소바기분좋은 한 그릇 9/10,맛있다
6,초라멘,"살짝 한국적인 빠이탄 라멘이었습니다!! 들어가자마자 친절하시고 활기찬 사장님의 음성이 들렸고, 조금은 좁은 공간에서 라멘이 나오기를 기다리고 있을 때의 기분은 상당히 좋았습니다. 그리고 사장님의 친절한 배려가 계속 느껴져서 친절함에 감사하게 되는 기다림이었습니다. 그렇게 나온 라멘의 국물은 라멘보다는 곰탕에 가까웠습니다. 미나리와 부추가 토핑처럼 올려져있어 느끼함이 없었고, 고기들도 괜찮았습니다. 하지만 예전에 오레노라멘을 먹어본 저의 생각은 오레노 라멘에 비해 조금 담백함이 부족하고 간이 강했습니다. 조금 더 자극적이고 한국적인 맛을 좋아하시는 분들께 추천드리고싶은 음식점이었습니다.",맛있다
7,초라멘,"방문한 날 마지막 손님으로 방문하게 되어 무척이나 영광스러웠던 기억이 남아있다. 우리보다 나중에 오신 분들은 못 드시고 그냥 돌아가셨음ㅠㅠ직원 한 분이 라멘도 만드시고 안내도 하시고 모든 걸 책임지고 운영하시는 1인 식당 같았는데, 정신 없으실텐데도 정말 친절하시고 온 마음을 다해 손님을 대하시는 모습이 굉장히 인상깊었다. 근데 심지어 라멘도 개마시써.. 이 정도면 사기 아닙니까ㅠㅠ 뽀얀 국물도 부드럽고 위에 토핑도 너무 맛있고 양도 엄청 푸짐하당 밥도 말아서 먹고 싶었는데 배불러서 라멘도 겨우 다 먹음ㅎㅎㅎ 위치가 번화가에서 좀 거리가 있어서 찾아가기 좀 번거롭긴 한데 충분히 그럴만한 가치가 있는 곳이당 주인장님 꼭 흥하세여!!",맛있다
8,초라멘,오픈한지 얼만 안된 식당같았어요. 타이밍 맞게 도착해 대기는 안했지만 이후로 대기가 생기더군요. 파이탄 맛은 삼계탕 국물맛이랑 비슷했구 진하다는 느낌보단 조금 가벼웠어요 마제소바는 처음에 좀 짜서 다시마 식초 넣고 밥까지 비비니 그때 간이 좀 맞았네요,맛있다
9,초라멘,오랜만에 멀리 찾아가서 먹은 라멘! 생각치도 않게 봄내음을 물씬 느낄 수 있는 라멘이었어요! 저는 토리파이탄 친구는 마제소바 주문했어요. 12시 조금 넘어서 찾아갔는데 사람이 많아서 웨이팅 10분 좀 넘게 했던 것 같아요.  마제소바는 무난하게 맛있는 편이었는데 토리파이탄이 좀 독특했어요. 일단 농도가 엄청 짙지 않아 파이탄 특유의 질감이랑은 거리가 있더라구요. 너무 뻑뻑하면 부담스러워 하시는분들께 잘 맞을 것 같았어요. 독특하게 미나리가 토핑으로 올라가 있는데! 개인적인 취향으로는 미나리를 크게 좋아하지 않지만 좋아하시는 분들께는 정말 취향저격일 것 같더라구요! 면도 괜찮았고 돼지 차슈만 조금 더 개선이 되면 좋을 것 같았어요:),맛있다
