,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,고래바,서울특별시 광진구 뚝섬로57길 58 2F,칵테일 / 와인,만원 미만,5,3.9
1,브롱스,서울특별시 광진구 아차산로29길 17 2F,치킨 / 호프 / 펍,만원 미만,6,
2,총각집,서울특별시 광진구 아차산로55길 30  1F,전통 주점 / 포차,만원 미만,1,
3,해남닭집,서울특별시 광진구 능동로13길 46,치킨 / 호프 / 펍,만원 미만,2,
4,아프리카,서울특별시 광진구 광나루로24길 23,치킨 / 호프 / 펍,만원 미만,1,
5,설맥,서울특별시 광진구 아차산로31길 24,치킨 / 호프 / 펍,만원 미만,2,
6,백스비어,서울특별시 광진구 동일로22길 91,치킨 / 호프 / 펍,만원 미만,2,
7,심비어,서울특별시 광진구 동일로24길 95-3,치킨 / 호프 / 펍,만원 미만,1,
8,인쌩맥주,서울특별시 광진구 아차산로25길 14  1-2F,치킨 / 호프 / 펍,만원 미만,1,
9,화양맥주,서울특별시 광진구 아차산로29길 22,일반 주점,만원 미만,1,
10,강변역포장마차11번,서울특별시 광진구 광나루로56길 86,전통 주점 / 포차,만원 미만,1,
11,참참치킨&호프,서울특별시 광진구 자양로13길 100 1F,치킨 / 호프 / 펍,만원 미만,1,
12,담벼락,서울특별시 광진구 광나루로 372-3,전통 주점 / 포차,만원 미만,1,
13,허니비어,서울특별시 광진구 아차산로31길 20-6 1F,치킨 / 호프 / 펍,만원 미만,1,
14,오술차,서울특별시 광진구 동일로22길 68 2F,일반 주점,만원 미만,1,
15,미주류,서울특별시 광진구 면목로 31,일반 주점,만원-2만원,6,4.2
16,알고,서울특별시 광진구 광나루로17길 10 2F,치킨 / 호프 / 펍,만원-2만원,10,4.1
17,심마니,서울특별시 광진구 아차산로31길 20-4,전통 주점 / 포차,만원-2만원,13,3.2
18,역전할머니맥주,서울특별시 광진구 아차산로25길 13,치킨 / 호프 / 펍,만원-2만원,9,3.0
19,일레븐 라운지,서울특별시 광진구 동일로 172 호텔 더 디자이너스 20-21F,칵테일 / 와인,만원-2만원,5,
20,이씨주방,서울특별시 광진구 자양번영로6길 5 1동 101호,일반 주점,만원-2만원,7,
21,아쉬트리,서울특별시 광진구 아차산로49길 22,치킨 / 호프 / 펍,만원-2만원,5,
22,새로이,서울특별시 광진구 능동로17길 5 1F,일반 주점,만원-2만원,5,
23,머스타치 비스트로,서울특별시 광진구 자양로22길 44 오성하우스 1F,칵테일 / 와인,만원-2만원,1,
24,972 바,서울특별시 광진구 아차산로31길 7,칵테일 / 와인,만원-2만원,4,
