,가게이름,리뷰,맛평가
0,고래바,"콜키지가 가능하고 자릿세(처음 1시간 1인 5,500원/ 추가 10분당 1,100원)를 받는 힙한 와인바라고 해서 찾아가봤어요. (웰컴 드링크로 화이트 와인 1잔씩 따라줍니다)건물 2층에 자리하고 있는데 간판이 거의 없는 수준입니다. 지도에 분명 있는데 못 찾겠어서 전화했더니 그 건물 2층으로 올라오라고… 술을 안 시킬 경우 1인 3,300원씩 추가 요금이 또 붙어요. 메뉴판도 따로 없고 카톡으로 친구 추가해서 메뉴판을 보아야 하는 시스템입니다. 매우 불편하다고 생각했습니다. 고래바 떡볶이    5,000원 후숙 멜론 반통과 하몽      12,400원타파통 수박      6,600원아낌없는 바스크 치즈케이크      4,900원사워도우   3,000원 베제카 올리브오일   1,500원 주문했어요. 아주 맛있었습니다. 떡볶이랑 치즈 케이크 정말 웬만한 전문점 수준으로 맛있었고 수박은 그냥 잘라서 파는 수박인데 당도가 매우 높고 맛있었어요. 멜론과 하몽도 사워도우 올리브오일 다 맛있었습니다. 사실 맛을 크게 기대하지 않았는데 맛있어서 먹으면서 신났어요. 그런데 계산할 때 보니 … 저렴한 안주 가격(양이 많지는 않지만)에 술을 직접 시킨 거 하나 없는데 최종 금액은 전혀 저렴하다고 느껴지지는 않았다는 사실 살포시 적어봅니다.",맛있다
1,고래바,낮에 또 가고싶은곳!어린이날 낮술 하러 갔숨당 아무곳이나는 가고싶지 않고 분위기 내고 싶어서 전부터 와보고 싶었던 와인집 예약해서 다녀왔오요>.<!!햇살 가득했을때도 좋았는데 해지고 어둑어둑 한 저녁에 방문해도 너무 좋을거 같더라구요.카카오톡 채팅으로 메뉴를 볼수 있어요. 이용료가 있는 와인바지만 시간 가는지 모르고 즐겁게 먹고 마시고 즐기게 되는곳이랍니다. 콜키지도 가능한 와인바지만 와인이 전체적으로 저렴하고 어떤 와인을 골라도 즐겁게 즐길수 있을것만 같아서 와서 고르시는게 더 좋을듯?배가 불러서 내가 궁금했던 안키모빠떼 + 바게트와 베스트 메뉴인 단새우와 네기도로 주문해서 가볍게 와인한잔 해 보기루~안키모를 좋아해 녹진하고 살짝비릿한 맛이 너무 좋았는데 같이간 지인은 조금 비린지 손이 많이 가지는 않는거 같더라구요ㅋㅋ오히려 좋아 내가 다 먹음..!단새우와 생참치를 다진 네기도로 싱싱한맛 그리고 달큰한 단촛물밥에 찰떡으로 어울렸다구요.와인 잘몰라요~ 제일 인기 있는 오렌지 와인으로 주떼용.가볍고 딱 샴페인이 생각나는 가벼운 와인이라 딱 알딸딸하게 즐기다 왔숨니당.파스타와 유명한 떡볶이 먹어보러 또 방문해야지,맛있다
2,고래바,고래바에 오랜만에 방문했습니다. 새로운 메뉴들과 계절감있는 메뉴들이 계속해서 업데이트가 되어왔나봐요. 고수가 듬뿍 올라간 고수 오소리감투 샐러드는 제목부터 호불호가 갈리겠지만 오소리감투에 오일양념을 한 것이 고수랑 생각보다 꽤 잘 어울리네요. 웰컴드링크로 주신 화이트 와인과도 잘 어울렸습니다. 최애 안주인 안키모 빠떼에 바게트는 어떤 술과 같이 먹어도 매력적이구요. 시그니처인 생참치 김밥도 빠지면 섭합니다. 여름엔 타파통 수박이라고 기본 수박메뉴가 있는데 수박과 술은 왜이리도 잘 어울리는지요… 과음했습니다.,괜찮다
3,고래바,"짧고 굵고 힙하게 즐기고 싶다면 이곳!처음에 무슨 주택가에 와인바가 있다는거지? 하고 들어갔는데 사람이 정말 바글바글해서 깜짝 놀랐다.와인+안주는 정말 가성비가 엄청나고 외부 음식도 반입이 가능한 곳이지만, 무턱대고 오래 머물다가는 자릿세가 어마무시하니 주의!우리는 생참치김밥2+계란말이+떡볶이를 시켰고 오렌지 내 츄럴 와인을 골랐다!생참치김밥에 진짜 참치가 들어있어서 엄청 맛있다! 거의 모든 테이블이 저걸 먹는듯ㅋㅋㅋ떡볶이는 시킨 메뉴들 중에 가장 평범한 맛. 생각보다 계란말이가 폭신폭신 달달하니 맛있다..!나의 픽 메뉴 호호3인이 2시간정도 머물렀는데 한 10만원정도 나온듯!넘 힙하지만 쪼오금 오래 머무르면 가격이 부담될 수도 있으니 가끔가봐야겠다",맛있다
4,고래바,생참치 김밥 / 포르치니버섯과 갈비살 파스타 / 아타랑기 쇼비뇽 블랑,맛있다
5,브롱스,"평 3.1/5.0 저렴하고 가성비 있는 피자집. 바로 오븐에서 구워주는데 도우도 탄력있고 치즈도 구수한 맛나는게 자연산인듯. 하지만 수.제.맥.주.는. 형.편.없.으.니. 일체 기대를 말 것. 그냥 착한가격(4천원대)이니 국산 오비 카스 하이트 먹는다고 생각하면 나름 괜찮다. 1L짜리 국산 페트병 맥주가 나름의 베리에이션을 추구하면서 라거 말고도 필스너, 애일, IPA 따위로 다양화 한다면 딱 이런 느낌일 듯 하다. 수제맥주 입문자가 여기서 먹고 수제맥주... 별거 없네라고 생각하지 말길 바란다. 모든 수제맥주가 여기처럼 쓰고 맹맹하진 않다.맥주는 끔직하지만. 나름 가성비 있고 맛있는 피자를 싸게 맥주와 같이 먹을 수 있다는 데 만족한다.분위기: 시끌시끌함위생: 보통 평가: 3.1/5.0 가성비는 있는집. 맥주는 맛없고 피자는 괜찮",괜찮다
6,브롱스,피자와 맥주의 조합은 언제나 최고다!,맛있다
7,브롱스,몇 달만에 가서 다크라거 시켰는데 맥주를 마시는건지 거품을 마시는건지... 겉으로 보기엔 멀쩡한데 입에 넣는 순간 거품이 막 생기는겤ㅋㅋㅋㅋㅋㅋ 참.. 흔들어서 거품 다 빼고 마셨는데 다시 안갈 거 같음,별로
8,브롱스,페퍼로니진짜 꿀맛*0^불고기피자는 별로고 페퍼로니 강추에요분위기도 괜찮고맥주는 쓰다아맥주하나 피자하나 시키고 수다떨기 좋아용,맛있다
9,브롱스,"맥주 맛을 잘 몰라서.. 좋다 나쁘다 비교하기는 힘들지만 5-7시 해피아워 짱이네요. 수제맥주 한 잔 2,500원. 6시 반은 널널 - 7시 전후로 사람들이 바글바글 많아지다가 – 8시 반~9시 정도에 한 두 테이블 정도 여유가 생기더라구요. 맥주가 저렴한 편이어서 안주로 돈 버는 곳인가 싶었어요. 간단하게 먹을 감튀, 나초같은 건 없더라구요. 피자(홀, 슬라이스)나 15,000원 정도하는 샐러드나 그라탕. 밥을 배부르게 먹고 가서 끌리는 건 그닥 없었어요. 사장님이 되게 친절하세요. 뭔가를 부탁하면 들어주시려고 노력하는게 보여요.. 건대 맥주집 추천합니다 (참고로 홍대점이 좀 더 넓어요!)개인적으로 4점/5점",맛있다
