,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,시홍쓰,서울특별시 광진구 능동로17길 5 1F,기타 중식,만원 미만,14,4.5
1,송화산시도삭면,서울특별시 광진구 뚝섬로27길 48,기타 중식,만원 미만,25,4.4
2,빠오즈푸,서울특별시 광진구 광나루로 373,딤섬 / 만두,만원 미만,90,4.4
3,송화산시도삭면,서울특별시 광진구 아차산로30길 33,기타 중식,만원 미만,15,4.2
4,천향마라탕,서울특별시 광진구 아차산로30길 20 1F,기타 중식,만원 미만,16,4.0
5,밍지황먼지찜닭,서울특별시 광진구 능동로13길 75 1F,기타 중식,만원 미만,9,4.0
6,미식반점,서울특별시 광진구 군자로 70 1F,정통 중식 / 일반 중식,만원 미만,13,3.9
7,백미원,서울특별시 광진구 아차산로 224,기타 중식,만원 미만,6,3.9
8,중경소면관,서울특별시 광진구 아차산로30길 42,딤섬 / 만두,만원 미만,19,3.7
9,니뽕내뽕,서울특별시 광진구 동일로20길 60,정통 중식 / 일반 중식,만원 미만,12,3.4
10,라화쿵부,서울특별시 광진구 아차산로30길 42,기타 중식,만원 미만,20,3.0
11,주하객잔,서울특별시 광진구 아차산로78길 170,정통 중식 / 일반 중식,만원 미만,5,
12,천미향,서울특별시 광진구 능동로 237 2F,정통 중식 / 일반 중식,만원 미만,3,
13,샤오롱바오,서울특별시 광진구 자양번영로 20  1F,딤섬 / 만두,만원 미만,2,
14,동네수타짜장,서울특별시 광진구 구의로 61-1 ,정통 중식 / 일반 중식,만원 미만,1,
15,미미전병,서울특별시 광진구 뚝섬로27길 55,정통 중식 / 일반 중식,만원 미만,2,
16,미국가주우육면대왕,서울특별시 광진구 동일로18길 56,기타 중식,만원 미만,3,
17,란주우육면,서울특별시 광진구 동일로18길 37,정통 중식 / 일반 중식,만원 미만,3,
18,하오츠,서울특별시 광진구 능동로 275 비젼빌딩 101호,정통 중식 / 일반 중식,만원 미만,4,
19,세종원,서울특별시 광진구 광나루로 373,정통 중식 / 일반 중식,만원 미만,4,
20,시옌,서울특별시 광진구 능동로 137-8 1F,정통 중식 / 일반 중식,만원 미만,3,
21,화원,서울특별시 광진구 능동로16길 56-6,정통 중식 / 일반 중식,만원 미만,2,
22,짬뽕지존,서울특별시 광진구 천호대로 682,정통 중식 / 일반 중식,만원 미만,4,
23,동성관,서울특별시 광진구 자양로13길 56,정통 중식 / 일반 중식,만원 미만,5,
24,허씨정통중경마라샹궈,서울특별시 광진구 아차산로30길 17,기타 중식,만원 미만,5,
25,탕절대부,서울특별시 광진구 동일로20길 99-1,기타 중식,만원 미만,5,
26,춘선만두,서울특별시 광진구 군자로 101,딤섬 / 만두,만원 미만,3,
27,홍콩반점0410,서울특별시 광진구 아차산로 221,정통 중식 / 일반 중식,만원 미만,5,
28,김사부계서도삭면,서울특별시 광진구 동일로18길 28,기타 중식,만원 미만,2,
29,짜장짬뽕의달인,서울특별시 광진구 뚝섬로 590,정통 중식 / 일반 중식,만원 미만,5,
30,복만루,서울특별시 광진구 자양번영로3길 38 이화빌라 1F,정통 중식 / 일반 중식,만원 미만,4,
31,메이탄,서울특별시 광진구 광나루로 590,정통 중식 / 일반 중식,만원 미만,2,
32,준성이네,서울특별시 광진구 뚝섬로27길 48,기타 중식,만원 미만,2,
33,라공방,서울특별시 광진구 아차산로 272 스타시티 B1,기타 중식,만원 미만,3,
