,가게이름,리뷰,맛평가
0,시홍쓰,"어린이대공원역 중식당 시홍쓰! 직장인 점심 한끼로 괜찮다! 베스트메뉴였던 토마토계란덮밥(8,000)과 사이드메뉴러 고기덴뿌라 두가지를 주문했다. 워낙 중식을 좋아하는데 여기 음식은 가격에 비하면 너무 맛있었다! 토마토계란덮밥은 사실 양꼬치집에서 먹어본 맛인데 좀 더 새콤달콤? 한 맛이었고 계란이 포슬포슬했다. 고기덴뿌라는 고기를 튀겨낸 고기튀김이고 소스에 곁들여먹으니 굿! 가라아케같다! 여러명이서 다양하게 시켜먹어보고 싶은 곳!",맛있다
1,시홍쓰,"마라의 얼얼한 맛을 좋아한다면 ! 웨이팅도 엄청 많고, 예약도 안되고, 미리 누가 먼저가서 자리를 맡을 수도 없다. 모든 인원 다 와야 들여보내주는 매우 엄격한 직원분-얼마나 맛있길래 이래, 했는데- 마라가지볶음이 정말 좋았다. 역시 맛있으면 다 용서가 된다. 유자향이 나는 단무지가 너무 맛있어서 한 번 더 리필해서 먹었다. 가격도 착하고- 그치만 내부가 협소해 오래 기다려야하는 단점때문에 또 작정하고 가진 않을 것 같다-",맛있다
2,시홍쓰,일단 사장님이 꽤 친절하시고 인테리어가 귀엽다. 토계밥도 맛있었는데 조~~금 짰음. 그냥 내가 밥이랑 토계토핑이랑 분배를 잘못한걸수도..있고.. 암튼 재방문의사 있음!,맛있다
3,시홍쓰,군자 형 집에 갈 일이 있어서 뭐 좀 사다줄까 밀도에서 빵 포장하고 호다닥 이동했습니다오늘의 첫끼는 콜린님 리뷰를 통해서 알게 된 시홍쓰입니다 가고싶다 눌러놓은 게 반년이 넘은 것 같은데 이번에 기회가 잘 맞아서 방문하게 되었습니다목요일 17시 브레이크 마치기 5분 전인데 앞에 두 팀이 대기 중입니다 인기가 좋은 것 같습니다 아마 피크 타임에는 대기하게 되지 않을까 싶습니다가게 문이 자물쇠로 잠겨있었는데 17시가 딱 되자마자 사장님께서 어디선가 스쿠터를 타고 등장하시더니 문을 열어주십니다탄탄면도 궁금하기는 한데 다음 일정이 있어서 토마토 계란 덮밥만 주문했습니다 다른 테이블도 다 토마토 계란 덮밥을 주문합니다제 주문이 끝나자마자 손님들이 바로 들어옵니다 바로 만석이 되었습니다먼저 가쓰오부시를 곁들인 간장두부를 내어주셨습니다 아주 차갑습니다 맛은 조합대로의 평범한 맛입니다 예전 리뷰를 보니 떡볶이 국물을 끼얹은 삶은 계란을 내어주시던데 그게 더 좋아보이긴 합니다 언제나 남의 떡이 더 커 보이는 저는 욕심쟁이 우후훗토마토 계란 덮밥은 비비지말고 떠서 먹으라고 설명해주십니다 향이 좋습니다 입에 침이 쓰악 고입니다한술 떠먹어보니 불맛이 느껴지면서 토마토의 상큼함과 계란의 버터+달달한 맛이 참 맛있습니다 재료들을 아주 적절하게 익혀서 토마토도 무르지 않고 사각 씹히는 식감이 남아있으며 계란은 아주 부드럽고 몽글몽글합니다 중간에 파가 씹힐 때가 상당히 기분이 좋은데 파 향이 한껏 나서 풍미를 더해줍니다 간도 참 적당하게 좋아서 맛있게 먹었습니다예전에 한창 다이어트 한다고 까불 때 집에서 토달볶 많이 해먹었는데 여기는 어나더레벨입니다재방문 의사 : △,맛있다
4,시홍쓰,후...저 시홍스 완전 좋아해요 건대 들릴때마다 꼭 가곤합니다 특히 마파두부를 좋아해요 다른메뉴들도다 맛있지만 마파두부를 원래 좋아하는지라 여기서의 마라소스인가? 칼칼한 마파두부는 특색있게 맛있더라구요인테리어도 이쁘고 굳이 찾아서 가는 맛집이에요,맛있다
5,시홍쓰,"[ 가볍게 즐길 수 있는 중식, 시홍쓰 ]두번에 걸쳐 방문해서 메인메뉴 5가지 중 4가지를 먹어봤다. 추천메뉴는 토마토계란덮밥! 다른 메뉴들은 좀 짠편이라 중화시킬 수 있는 메뉴가 꼭 필요하고 가게 간판에 토마토가 그려져있다는것만으로도 시켜야할 이유는 충분하다.에피타이저로 떡볶이국물에 들어간 메추리알이 나왔었는데, 오늘 가보니 간장에 적신 두부로 바꼈다. 입맛을 돋궈주는 에피타이저 덕분에 메인메뉴가 점점 기다려졌다.• 토마토계란덮밥 8500원 새콤한 느낌이 삭-감돌면서 입맛을 복돋아줄때 토마토가 가지고 있는 달콤함이 들어오면서 새콤한 맛을 조금 중화시켜줬다. 말 그대로 침샘을 자극하는 맛이었다!  살살 푼 달걀과 함께 먹는다면 부드러움까지 들어오면서 깔끔한 덮밥을 맛볼 수 있었다. 같이 간 남자친구는 토달볶을 처음 먹어봤는데 새로운 맛이라고-입맛이 없을때 먹으면 사라진 입맛을 되살릴 수 있을 거 같았다고 해줬다. 좋아하니 데려간 보람을 느껴 뿌듯했다.^-^• 마파두부면 9500원 학창시절 급식에서만 먹어보던 마파두부와는 역시 전혀 다른 맛을 내어주었다. 약하게 들어오는 마라의 얼얼함이 혀를 감싸면서 상당히 중독성있는 맛이었다!  또한 너무 맵지도 너무 자극적이지도 않은 맛으로 쉽게 즐길 수 있는 중식이었고 들어간 두부도 부드러운 두부여서 그런지 그 맛을 더욱 올려주는 것 같았다. 마파두부하면 밥하고 먹던 이미지가 강했는데 면으로 먹으니 새로운 조합으로 다가왔고 면이어서 조금 부족하다 싶을 그 타이밍에 딱 밥을 추가해 먹으니 매우 만족스러운 한 끼 식사가 완성되었다.• 마파가지밥 10500원 가지튀김이 겉은 따끈따끈하고 바삭하게 튀겨져있었고 안에는 가지가 머금고 있는 물이 나왔다. 가지물과 마라의 짠맛이 중화되어 잘 어울렸다. 마라의 얼얼함이 밥을 계속 먹게 되었고 마파두부와 베이스는 비슷했다.• 20번의탄탄면 9000원 아래 진하고 꾸덕한 소스가 들어가 있어 20번을 골고루 비벼먹어야 맛있다는 탄탄면- 소스가 진해서 짜기 때문에 20번은 비벼먹어야 된다. 열심히 비볐지만 내 입맛엔 좀 짰다. 이 날은 마파가지밥과 먹었기 때문에 더 짜다고 느꼈을 수도 있다. 개인적으로 탄탄면은 국물이 있어야 맛있는 것 같다. • 군만두 3500원사이드로 주문한 군만두는 솔직히 집에서 먹는것과 똑같은 맛이었지만 메인 디쉬와는 찰떡궁합이었던 선택이었다. 다음에는 고기 덴뿌라를 먹어봐도 좋을 것 같다는 생각이 들었다.",맛있다
6,시홍쓰,"건대의 작은 아시아 음식점인 시홍쓰에 갔다 왔습니다. 토달볶음덮밥과 충유반면, 군만두 세트를 먹었을 때 느낀 점은 가볍게 먹기 좋은 음식들이었다는 것입니다. 토달볶음을 처음 경험해봤는데, 간이 짭조름하고 불향이 나서 밥과 함께 먹기 좋은 음식이었습니다. 그리고 토마토의 적당한 산미가 감칠맛과 함께 어우러져서 좋았습니다. 그리고 충유반면과 군만두세트를 먹었을 때 군만두에 꽤 많이 놀랐습니다. 시중에 파는 만두에서 두 단계 이상 업그레이드 되었다는 느낌이 들었습니다. 하지만 충유반면은 조금 심심한 맛이었습니다. 파기름의 맛을 더 강화하기 위해 토핑으로 나온 파와 함께 먹기 바랍니다!!",맛있다
7,시홍쓰,"세종대 미식가 친구가 데려가준 시홍쓰!벌써 또 가고싶다…1. 토마토와 계란 볶은 게 뭐 그렇게 특별하겠어? 하고 별 기대 없이 입에 넣었는데 깜짝 놀랐다. 파기름, 굴소스 그리고 알 수 없는 고소한 풍미가… 너무 부드럽고 맛있어서 계속 떠먹었음.2. 내가 원했던 탄탄면이다… 꾸덕 쫄깃 매콤 고소남은 고기에 밥 비벼먹고 싶었다. 너무 싹싹 긁어먹어서 친구가 마시라고 했다.3. 개인적으로 생신튀김은 짰다! 다른 테이블이 모두 튀김을 시키길래 따라했는데 지금 생각해보니 가라야게다. 또 가서 가라야게 먹어봐야지… 트베릅…",맛있다
8,시홍쓰,"“중국 소울에 일본 감성 덮밥”<‘시홍쓰’의 토마토달걀덮밥>토마토를 과일처럼 여기고 먹는 한국과 달리, 중국에서는 토마토를 사용한 요리가 소울푸드의 반열에 올라와 있으니 바로 시홍쓰차오지단(西红柿炒鸡蛋)이다. 토마토(시홍쓰)와 달걀(지단)을 볶은(차오) 요리라는 뜻으로, 조리법이 간단해 많은 중국 어린이들이 생애 처음으로 배우는 요리이기도 하다.어린이대공원역에 위치한 ‘시홍쓰’의 대표 메뉴 역시 토마토달걀볶음인데, 중국에서 보통 요리로 먹는 것을 덮밥의 형태로 풀어냈다. 참 묘한 것이, 토마토와 계란을 좀 더 부드럽게 조리하여 일본풍 접시와 밥 위에 얹었을 뿐인데도 일본 감성이 물씬 풍긴다.감칠맛 대장인 구운 토마토와 계란에 굴소스로 감칠맛을 더하고, 잘 지은 쌀밥과 함께 먹으니 맛이 없을 수가. 세상 대단한 맛이 있는 건 아니지만, 적어도 한국 토마토달걀볶음 세상을 주름잡을 정도는 되는 것 같다.instagram: colin_beak",맛있다
9,시홍쓰,"다섯 테이블 남짓 소박한 중식집토달볶 맛집이라 기대하고 가서 가지 튀김 추가주문식전 떡볶이 국물묻은 계란은 센스있는 에피가지튀김은 그닥 큰 임팩트없이 물, 혹은 기름이 새어나와서 바삭 하지도 않고 그냥 가지였다.토달볶은 달달한 토마토와 계란볶음이역시나 대만류 최고 음식맛없기 힘든 음식하지만 더 특별한 무언가는 없었고웨이팅 대비 큰 성과는 없었던것 같다",괜찮다
