,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,뚝방길 홍차가게,서울특별시 광진구 자양강변길 277,카페 / 디저트,만원 미만,15,4.5
1,최가커피,서울특별시 광진구 능동로13길 23,카페 / 디저트,만원 미만,35,4.3
2,로이베이커리카페,서울특별시 광진구 능동로 36 1F,베이커리,만원 미만,14,4.3
3,스미다,서울특별시 광진구 천호대로109길 18 1F,카페 / 디저트,만원 미만,11,4.2
4,Daughter,서울특별시 광진구 아차산로31길 40,카페 / 디저트,만원 미만,11,4.2
5,최가커피회관,서울특별시 광진구 능동로13길 30 B1,카페 / 디저트,만원 미만,7,4.2
6,Index,서울특별시 광진구 아차산로 200 3F,카페 / 디저트,만원 미만,34,4.1
7,메종드타르트,서울특별시 광진구 자양로53길 69,베이커리,만원 미만,14,4.0
8,르파사쥬,서울특별시 광진구 워커힐로 177 그랜드 워커힐 1F,베이커리,만원 미만,8,4.0
9,FEFE,서울특별시 광진구 뚝섬로 628 3F,카페 / 디저트,만원 미만,7,4.0
10,꼬메노,서울특별시 광진구 군자로7길 29,카페 / 디저트,만원 미만,52,3.9
11,모서리에커피집,서울특별시 광진구 능동로17길 5,카페 / 디저트,만원 미만,24,3.9
12,칼레오커피로스터스,서울특별시 광진구 아차산로 291 1F,카페 / 디저트,만원 미만,38,3.9
13,띵똥와플,서울특별시 광진구 능동로13길 10,카페 / 디저트,만원 미만,24,3.9
14,보라젤라또,서울특별시 광진구 동일로24길 59 1F,카페 / 디저트,만원 미만,10,3.9
15,고망고,서울특별시 광진구 아차산로30길 8 1F,카페 / 디저트,만원 미만,6,3.9
16,열매제과점,서울특별시 광진구 동일로24길 31,카페 / 디저트,만원 미만,6,3.9
17,체리커피,서울특별시 광진구 능동로 284,카페 / 디저트,만원 미만,20,3.8
18,카페래디언트,서울특별시 광진구 능동로38길 41,카페 / 디저트,만원 미만,12,3.8
19,건대커피랩,서울특별시 광진구 동일로22길 102 2F,카페 / 디저트,만원 미만,8,3.7
20,벨롱에스프레소,서울특별시 광진구 능동로17길 34 1F,카페 / 디저트,만원 미만,17,3.7
21,카페 아르무아,서울특별시 광진구 동일로22길 117-27,카페 / 디저트,만원 미만,17,3.6
22,카페드라이,서울특별시 광진구 아차산로 216-12,카페 / 디저트,만원 미만,12,3.6
23,시드누아,서울특별시 광진구 천호대로127길 44,카페 / 디저트,만원 미만,10,3.6
24,도쿄빙수,서울특별시 광진구 아차산로31길 45 1F,카페 / 디저트,만원 미만,21,3.5
25,안다즈커피,서울특별시 광진구 천호대로132길 10,카페 / 디저트,만원 미만,10,3.4
26,마우스래빗,서울특별시 광진구 능동로11길 10,카페 / 디저트,만원 미만,21,3.4
27,Cafe k375,서울특별시 광진구 아차산로33길 68 1F,카페 / 디저트,만원 미만,19,3.4
