,가게이름,리뷰,맛평가
0,뚝방길 홍차가게,"- 1단부터 3단까지 하나도 빠짐없이 맛있는 애프터눈티 세트처음으로 애프터눈티 세트를 먹어봤는데 너무 좋았어요! 사실 샌드위치부터 스콘, 디저트까지 워낙 다양한 구성이 다 맛있기 힘들 것 같아서 비주얼은 완전 제 취향인데도 따로 시도해본 적이 없었는데요. 이곳은 명성답게 달랐습니다! 어떻게 하면 이렇게 다 맛있을 수 있는 거죠? 게다가 양도 많고요. 차도 맛있고, 공간도 예쁘고, 친절하기까지ㅠㅠ 예약이 살짝 힘든 게 유일한 단점이에요ㅎㅎ애프터눈티 세트 이용 시, 제가 느꼈던 나름의 꿀팁!차를 2종류 마실 수 있는데, 2번째 차는 의외로 깔끔한 중국 차가 아주 잘 어울린다는 것! 2번째 차를 마실 때쯤이면 이미 버터리한 것들을 많이 먹어 속이 느끼한데요. 차알못인 저도 들어본 영어 이름의 흔한 홍차보다는 중국 쪽 차가 더 개운하게 내려줘 더 달릴 수 있었습니다ㅋㅋㅋ아, 아이스도 맛있지만! 뜨거운 걸로 주문해야 찻주전자랑 찻잔으로 더 예쁘게 나와요ㅎㅎ양이 많으니 포장하기 좋은 스콘이나 구움과자류는 2인 1개로 나눠 먹은 후에 남은 건 포장하기! 아무래도 디저트류라 밥 먹는 양이랑은 또 달라서 웬만한 분들은 다 먹기 힘든 양인데요. 남은 건 예쁘게 포장해주신다고 하니, 남긴다면 오래 들고 다녀도 괜찮은 종류가 좋을 것 같아요ㅎㅎ첫 타임은 제시간에 맞춰 가면 돼요!일찍 간다고 먼저 입장할 수 있는 것도 아니고, 선착순으로 자리를 고르는 시스템도 아니어서 그냥 제시간에 딱 맞추는 게 제일 좋아요!#항상함께해",맛있다
1,뚝방길 홍차가게,"반성합니다. 오랫동안 프로필사진이 뚝방길이었으면서 리뷰도 안썼었다니.에프터눈티 세트 중 최고. 최고최고.첫 방문때는 에프터눈티 세트 예약을 미리 못해서 스콘과 티 종류들을 먹음. 그때도 스콘 등 디저트가 너무 맛있고 차 종류도 많아서 좋고 다기도 너무 이쁘고 실내 인테리어도 분위기나서 신났었음.근데 나중에 에프터눈티세트 예약하고 방문했더니 아이고 사장님 감사합니다하는 마음이 진심으로 생김. 이 가격이 이런 구성 이런 맛이라니 ㅠㅠㅠ디저트들 좀 봐주세여. 하나하나 너무 이쁘구 맛있구 진짜 배가 터진다. 샌듸치도 맛있고 휘낭시에나 스콘, 케익까지 뭐하나 빠.짐.없.이. 맛있음…차는 어떻구. 마시다가 너무 맛있어서 이거 어디서 구입할 수 있냐고 여쭤보면 이제 나오지 않아서 아껴서 판매하시는 그런 차 종류도 많다. 정말 티에 대해 잘 아셔서 유명한 곳에서 공수해오시는 귀한 것들이 많은 곳. 사장님 언제나 건강하시고 영업 오래해주세요",맛있다
2,뚝방길 홍차가게,여러 종류의 홍차와 디저트 ~여유롭게 즐기며 수다수다가 가능한 장소~이미 유명해서 바글바글 ㅋㅋㅋ하지만 위치가 아쉬운곳에 자리 하고 있어쉽게 접근하기 어렵지만이미 유명하니 ㅋㅋㅋㅋ,맛있다
3,뚝방길 홍차가게,"⭐⭐⭐⭐☆크림티 (13.8).밋업 후 홀릭분들과 방문한 뚝방길! 정말 오래오래오래전부터 인스타로 갈 날만을 손꼽고 있었는데 이 기회에 가볼 수 있어서 너무나 행복했던. 결론을 이야기하면 정말 훌륭한 찻집이지만 사람이 많은 왁자지껄한 분위기를 좋아하지 않는다면 호불호가 갈릴 수 있는 곳이다..우선 티. 정말 사장님의 차 사랑을 100% 느낄 수 있었는데, 세계 각국의 명차와 여러 티 브랜드의 훌륭한 블랜디드 티를 어마무시하게 구비해둔 곳이다. 더 나아가 왠만해서는 찾아보기 어려운 디카페인 티 까지 완비해 세심함의 끝을 달리던. 스트레이트 티를 선호하지 않는 분들은 밀크티를 추천한다. 바틀도 이뻐서 선물하기도 좋음. 실제로 친구를 사다줬는데 향긋한 향이 일품이었다 했다..티의 맛을 더 끌어올리는 다기. 찻잔과 티팟 모두 정말이지 너무 이뻤다. 어느 영국 시골집에서 차를 마시는 것 같은 분위기의 실내와 빈티지한 색감의 다기가 합쳐져 마치 유럽에 여행온 듯한 착각을 불러일으키는. 잎차를 주고 물에 우려마시는 방식이 아니라 음료의 양이 제한된 점은 아쉽지만, 딱 적당한 농도와 온도로 우려진 차를 티팟에서 따라 즐길 수 있다는 점은 만족스러웠다..3인이 방문해서 크림티 세트 1개, 홍차 2개 추가의 구성으로 주문했는데 딱 식후 티타임에 적절했다. 스콘은 파삭 보다는 촉촉 스타일의 스콘이었는데, 무난무난한 맛? 클로티드 크림+딸기잼 조합은 무적이니까. 워낙 채광이 이쁘게 들어와 사진도 이쁘게 나온다..다만 실내 사람들 사이 간격이 상당히 좁고, 소리가 울려 왁자지껄한 분위기가 있다. 그리고 인구밀도가 높다보니 내부온도가 높...다... 그래서 더워하며 차를 마셨던 기억이 ㅎㅎ;; 하지만 요즘 좋은 티하우스들이 워낙 많아져서 그렇지 이정도면 훌륭하다 느꼈다. 특히 앤티크한 유럽 분위기를 좋아하거나 홍차 러버라면 꼭 한번 쯤 가봐야할 곳.",맛있다
4,뚝방길 홍차가게,"뚝방길홍차가게_홍차부문 맛집(1)최근방문_’22년 2월1. 차 보단 커피를 좋아하고, 디저트류에 그리 관심이 없으며, 인스타는 정보수집 및 예약용으로만 사용하고 있는 나에게 아기자기한 홍차가게는 철저히 관심 밖이었다. 덕분에 평생 가보지 못할뻔했던 곳을 밋업을 함께한 홀릭분들 덕에 방문할 수 있었다.2. 먼저 들어가자마자 펼쳐진 풍경은 아주 아기자기함 가득한 조그마한 프랑스 소도시의 찻집 같은 느낌이다. 게다가 잔뜩 전시되어있는 디저트류는 디저트를 그리 즐기지 않는 나조차 군침이 돌만큼 예쁘고 먹음직스럽게 전시되어있다. 메뉴판속 차의 종류는 정말 상상을 초월할만큼 다양했고, 차를 좋아하고 디저트를 좋아하는 사람들을 위한 천국 같은 곳이 아닐까 짐작해본다.3. 내가 주문한 차는 세계 3대 홍차의 하나라는 스리랑카의 Uva였는데, 장미향과 멘솔향이 난다하여 꽂혀버렸다. 뭐, 특별한 향이 난다는 것을 구분하진 못했지만, 분명한것은 아주 전형적인 홍차의 느낌이 강하게 났다. (기분좋은 홍차 향이 강했고 입이 깔끔해지는 떫음이 전해지는 맛ㅋㅋㅋ) 오랜만에 홍차를 마시는거라, 비교군은 없지만, 그래도 홍차의 향은 항상  일시적으로 삶이 한단계 업그레이드 된 듯한 성공한 기분을 준다 ㅋㅋ 그리고, 스콘을 세트로 하나 주문해서 조금 먹었는데, 내가 생각하는 '너의 목을 막아버리겠다'는 느낌의 스콘이 아니라 조금 신기했다. 부들부들하고 고소해 좋았다.4. 위치 빼곤 많은 부분에서 대단해보이는 찻집이다. 디저트, 차종류도 다양하고, 내부 인테리어도 아기자기하게 너무 잘꾸며뒀다. 차도, 같은 종류에 프리미엄라인이 있어 보였는데, 아마 내가 싱글오리진 원두를 병적으로 찾아다니는것 처럼 차를 정말 좋아하는 사람이 온다면 정말 즐길수 있지 않을까?? 그리고 이 찻집의 메인은 에프터눈 티세트라 하고, 예약이 필수라 한다.  ※ 결론분위기를 즐기고 왔어요 :)",맛있다
5,뚝방길 홍차가게,"뚝섬에서는 한강공원만 갔는데 인적 없는 빌라단지에서 뚝섬유원지 카페 중 제일 예쁜 공간을 발견할 줄이야. 뚝섬유원지역에서 좀 걸어가야 하지만 도착하면 자꾸 사진 찍게 되는 뚝방길 홍차가게의 아기자기함에 반했다.민트 색감의 뚝섬유원지 카페 내부는 남자 사장님들이 영국 시골 감성을 담아냈다. 어른들을 위한 동화 같은 영화 <마담 프루스트의 비밀정원>이 떠오른다.파리 빵집 에서도 은근히 보기 어려웠고 프랑스 영화에서나 보던 슈게트를 서울 끄트머리 디저트카페에서 만나다니. 영화에서 실어증에 걸린 폴이 삶의 유일한 낙이 동네 빵집 과자 슈게트를 먹는 것 뿐이다가, 우연히 마담 프루스트의 집에서 직접 기른 허브 홍차와 마들렌을 먹으며 어린 시절 트라우마가 치유되는 장면이 떠오른다. 비밀정원에서 폴 마르셀은 홍차에 적신 마들렌이 입에서 녹는다며 노곤히 잠들었는데 음... 뚝방길 홍차가게의 디저트는 전반적으로 목이 메어 마실 것이 꼭 필요한 디저트였다. 스콘은 포장해서 그런지 좀 건조한 느낌이었는데 만약 매장에서 크림티로 즐겼다면 밀크티와의 궁합은 좋았을 것 같다. 바닐라 치즈케이크는 치즈 향이 강하지 않고 두드러지는 맛이 약해서 티 베리에이션 추천이 필요할 듯. 망플 2022 밀크티 맛집, 2022 인기 카페로 꼽힌 곳이니 재방문하면 디저트보다는 차를 마셔봐야지. #위드인기맛집",괜찮다
6,뚝방길 홍차가게,"드디어 이 곳을 갔다오네요!! 한 번쯤 가봐야지를 몇 번 말하다가 결국 갔다왔습니다. 이 곳의 위치는 한강공원에서 산책하다가 생각나면 들릴 만한 곳에 위치했습니다. 카페 안으로 들어가면 따뜻하고 앤틱한 분위기에서 달콤한 빵냄새가 느껴졌습니다. 조용한 분위기에서 제 취향의 노래들이 들려서 기분이 좋아지는 가운데 나온 홍차와 디저트들이 나왔습니다. 아기자기한 느낌이 나는 티팟과 컵, 접시들을 보면서 어릴 적 했던 소꿉놀이를 하는 느낌이 들어 산뜻한 기분으로 먹었습니다. 진한 커피를 좋아했던 제게 차에서 오는 은은한 향을 느끼는 경험은 새로웠습니다. 그리고 차와 함께 먹는 디저트들의 담백한 달콤함이 어우러져 정말 만족스러웠습니다. 차가운 바람을 이겨내고 간 이 곳은 충분히 훌륭했다고 생각합니다.",맛있다
7,뚝방길 홍차가게,친구가 여기 스콘이 너무 맛있다고 해서 갔던 곳. 근데 뜻밖의 샌드위치 맛집인듯ㅎㅎ 가격대에 비해서 층마다 있는 과자들이 전부 맛있어서 가성비는 확실히 좋은듯.. 하지만 내 맘에 쏙들었던건 아래층에있던 샌드위치들이었지만ㅋㅋㅋㅋㅋ 기대를 안해서 그런지 샌드위치들이 너무 맛있었다. 플레이팅도 이쁘고 가성비 챙기면서 애프터눈티 먹고싶으면 앞으로도 여길 갈듯싶다,맛있다
8,뚝방길 홍차가게,"애프터눈티 세트를 먹으러 갈 때마다 기대만큼 맛있었던 적이 없다는 말을 했더니, 주아팍님께서 추천해주셨던 곳! 맛도, 가성비도 좋은 애프터눈티세트를 드디어 찾았어요 +_+  3단의 티푸드에 2종류의 차 구성입니다. 가격은 인당 26000원. 1층은 부라타치즈 샌드위치, 잠봉뵈르, 에그토마토 크로아상 샌드위치, 2층은 무화과 스콘과 플레인스콘, 3층은 양순이쿠키샌드, 휘낭시에, 다쿠아즈와 피칸타르트.  샌드위치는 안에 들어간 재료가 너무 신선하고 조합이 좋아서 맛있게 먹었는데, 너무 버터리한 빵을 써서 좀 과한 것 같은 느낌이 들었어요! 바게트처럼 담백한 빵으로 하면 더 맛있었을 것 같아요. 이건 개취인듯 해요 ㅎ.ㅎ 친구는 식빵을 좋아해서 너무 맛있게 먹었다고 하네요.  스콘은 버터와 클로티드 크림이 같이 나오는데, 같이 먹으면 리얼 월드베스트스콘 +_+ 애프터눈티세트 말고도 스콘으로 유명한 이유가 있었네요!  3층은 너무 배불러서 쿠키샌드와 휘낭시에는 집에 포장해갔어요! 단품으로 사서 포장해가는것처럼 정성스럽고 예쁘게 포장해주셔서 기분 좋았네요 ㅎㅎ 휘낭시에 버터향 많이 난다며 엄마도 잘 드셨어요! 피칸타르트는 짭짤한게 피넛버터가 생각났는데, 이것때문에 또 호불호 많이 갈릴 것 같아요ㅠㅠ 저는 완전 호 ㅎ.ㅎ  여기에 훈연향 강하게 나는 랍상소총과 자스민만다린차 너무 맛있었어요ㅠㅠ.  분위기도, 맛도, 서비스도 흠잡을데 하나 없네요. 거기에 가성비까지 최고! 누군가가 같은 고민을 하면 저는 고민없이 바로 뚝방길홍차가게를 추천해주려고 합니다!!!!!",맛있다
9,뚝방길 홍차가게,마치 빨간머리앤이 들러서 차 마시고 갈 집 처럼 아기자기한 인테리어가 일단 예쁜집뚝섬유원지 근처에 홍차&스콘집이 생겼다는것도 신기한데 이렇게 사람도 많다니.. 거의 30분 정도 대기하고 들어갈 수 있었다 스콘과 클로티드 크림을 같이 먹어본 적은 여기가 처음인데 버터도 아닌것이 쨈이랑 같이 먹으니까 요새 왜 스콘이 유행인지 알 거 같은 느낌 집에 갈 때도 포장해갔는데 가게에서 직접 만드셨다는 클로티드 크림이 내 입맛에는 더 잘맞았다 집 가까이만 있다면 매일 가고 싶은 곳,맛있다
