,가게이름,리뷰,맛평가
0,원조할아버지손두부,"아차산 등산 후 내려오는 길에 필수코스처럼 되어버린 두부집. 늘 대기가 조금씩 있는데 회전이 워낙 빨라 십분 이상 대기한 적이 별로 없는 것 같다. 포장도 가능해서 줄이 길면 그냥 포장해도 된다(포장시 두부에서 물이 빠져 좀 단단해지는 감은 있다) 모두부, 순두부, 콩국수가 있다. 콩국수는 걸쭉한 콩국물이 찐이고 순두부와 모두부 모두 갓 만든 듯한 고소함과 탱글한 질감을 보여준다. 곁들여 나오는 젓갈이 또 별미다. 막걸리 한잔 안할 수가 없는 곳.",맛있다
1,원조할아버지손두부,"<다른메뉴 없고 손두부만 파는 집>이 집의 매력포인트 중 하나는 막걸리가 정말 싸다는 것이다. 모든 막걸리 2,500원두부는 부드럽고 탱글탱글 존맛탱반찬도 없고 찐 두부만 합리적인 가격에 내놓는다",맛있다
2,원조할아버지손두부,"등산 후 맛보는 기가막힌 #원조할아버지손두부- 직접 만든 유기농 100% 손두부- 저렴한 가격 고퀄리티 맛 ❤️- 웨이팅 있음, 자리순환 빠름 오랜만에 아차산을 등산했어요! 서울 시내 풍경을 눈에 담고 하산 후 그 유명한 할아버지 두부집으로 왔습니다 ! 모두부 /6,000따뜻한 한모가 잘려서 나옵니다. 같이 나오는 새우젓갈과 고추는 두부와 먹기 아주 맛있어요. 젓갈은 비린 향 없이 고추가루양념으로 되어 있는데 호불호 없이 무난하게 사람들이 좋아 할 수 있는 사이드 같아요. 저는 순두부, 모두부 중에 씹는 맛이 느껴지는 모두부를 더 맛있게 먹은거 같아요. 순두부도 맛있었는데 많이 먹지는 못했어요순두부 /4,0001인분 양으로 나오는데 양이 많습니다. 요거트 같아요. 한 입 떠먹어보면 타 순두부와는 다른게 느껴져요. 두유의 그 진하고 깊은 맛도 느껴집니다. 간장에도 먹거나 그냥 술 안주 같이 먹기 딱이예요.  개인적으로 지평막걸리를 좋아하는데 요구르트 처럼 톡 쏘면서 달짝지근한게 두부랑도 조화가 좋았습니다.  콩국수도 주문하고 싶었는데 2인이 먹기에 양이 많아서 다음 기회를 노려보려구요.",맛있다
3,원조할아버지손두부,드디어 먹어본 아차산 순두부!! 같이 가 준 친구들이 이미 전에도 맛본 경험이 있어서 나는 룰루랄라 등산 후 따라 들어오기만 해도 됐어서 너무 편하고 고마웠당ㅎㅎㅎ 두부는 정말 깔끔하고 순수한 맛이었는데 그냥 모두부가 이렇게 맛있을 일인가 싶었다 ㅎㅎ 순두부도 넘 고소하고 ㅠㅠ 막걸리랑 두부가 이렇게 잘 어울리는 줄 알았더라면... 왜때문인지는 모르겠는데 모두부는 백설기 먹고 있는 듯한 느낌도 들었당 두부 먹으러 또 등산 올 의사 완전 100퍼센트 있음!!,맛있다
4,원조할아버지손두부,처음에는 그냥 두부이고 엄청 고소하진 않다고 생각했는데 먹을 수록 맛있고 돌아서니 생각나는 순두부였네요. 곁들여 주시는 멸치젓갈이 짜고 살짝 달달한데 독특하고 좋았습니다. 모두부는 너무 단단하지 않고 부드럽게 먹었습니다.,맛있다
5,원조할아버지손두부,"또 왔어요 할아버지~♤ 모두부 (6,000₩, 포장 4,000₩)♤ 순두부 (4,000₩)♤ 공기밥 (1,000₩)♤ 막걸리 (2,500₩)♤ 새우젓 포장 (1,000₩)이거 먹으려고 또 아차산 올라갔다 왔다. 겨울이라서 그런지 콩국수는 메뉴에 없었고, 3명이서 모두부×1, 순두부×2, 밥 한 공기 시켰다.모두부랑 순두부는 어김없이 맛있었고, 저번에 못 먹은 공기밥을 시켰는데 이것도 히트다. 천 원짜리 밥 주제에 무채까지 딸려 나오는데, 순두부 반쯤 남기고 밥이랑 무채 비벼먹으면 너무나 맛있다. 막걸리는 알밤막걸리랑 아차산막걸리를 마셨는데, 아차산막걸리 이게 생각보다 굉장히 맛있다. 아차산 왔으면 아차산막걸리 마셔 줘야지. 아무튼 강추한다.콩비지는 공짜로 가져갈 수 있다.추천도: ★★★★☆#다시먹어봄",맛있다
6,원조할아버지손두부,"아차산역에 위치한 ""원조할아버지손두부"". 보통은 아차산 등산 후에 시원~하게 막걸리 한 잔 곁들이는 맛집인 것 같으나.. 전 여기 넘 가고싶어서 그냥 택시타고 다녀왔어요ㅋㅋ 등산 여부와 관계없이 강추!! : D'순두부', '모두부'. 두부 종류가 두 개길래 하나씩ㅋㅋ 와이프님은 순두부가 더 맛있다고 했고, 나도 동의!! 순두부는 공기밥 하나 시켜가지구 스윽스윽 비벼 먹으면 짱맛이에요ㅋㅋ 여기는 특이하게 간장이 아니라 젓갈을 주시는데 이게 진짜 두부랑 엄청 잘 어울려요!! 따로 파시기도 하는 것 같은데 사오고 싶을 정도ㅋㅋ 모두부는 약간 단단해서 아삭한 김치에 싸서 먹고 막걸리 한 잔 캬~ 먹으면 딱이다!! 뜻밖에도 막걸리 종류가 상당히 많이 구비되어있어요ㅋㅋ 아침 10시에 아침 먹으러 간 거였는데도 마침! 아차산 막걸리가 있길래 한잔씩 마셨는데 두부랑 넘 잘어울리네요!!분위기도 두부에 밥 한 끼 먹기 괜찮은 분위기!! 아침에 갔는데도 사람이 많아서 놀랐다!! 계속 두부 만드는 기계 소리가 윙윙 거리기는 하는데 또 이게 여기만의 낭만 아닐까 싶네요ㅋㅋ 여기는 다음에 아차산 등산할 때 꼭 또 올 것!!",맛있다
7,원조할아버지손두부,기대하고 갔으나 막걸리 잔 에 립스틱 자국이 하나도 안지워진 상태로 그대로 묻어있어서 바꿨는데 (물로도 헹구지 않은 상태인것 같았음) 또 고춧가루 묻은 잔을 줬음 그 후 두부는 비위상해서 못먹음,맛있다
8,원조할아버지손두부,이 지역에서 엄청 유명한 식당이라는 것 외에는 어떤 정보도 없이 아침 일찍 가보았더니 웨이팅은 없었다. 그런데 칼칼한 순두부를 기대하는 마음이 있었어서 그런지 허옇게 두부만 냄비에 떡 나오는 걸 보고 당황했닼ㄱㅋㅋㅋ물론 고소하고 맛은 있었다 하지만 기대가 너무 컸나보다 웨이팅까지해서 먹고 싶은 맘은 없다..등산하고 나서 막걸리랑 먹으면 더 맛있겠지만 그땐 뭐든 맛있을테고 전이나 도토리묵 같은게 더 땡길 것 같다. 그냥.. 맛은 있으나 그 정도까진..하는 의아함이 더 컸다 이상 지극히 주관적이고 솔직한 리뷰였슴당,맛있다
9,원조할아버지손두부,"고소하며 담백합니다. 순두부에 밥을 비벼 무생채와 액젓을 넣고 먹으면 진짜 맛있어요 !! 웨이팅이 많으니 미리 가는게 좋아요 !!! 계속먹다보면 물릴 수 있으니 과하게 시키지말고 두명일때 모두부 , 순두부 , 공기밥1 딱 적당할 듯 싶어요!!",맛있다
