,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,혜화도담,서울특별시 종로구 대명1길 16-6,한정식 / 백반 / 정통 한식,만원 미만,20,4.3
1,청산손만두,서울특별시 종로구 대학로11길 19-6,탕 / 찌개 / 전골,만원 미만,12,4.3
2,혜화칼국수,서울특별시 종로구 창경궁로35길 13,국수 / 면 요리,만원 미만,56,4.2
3,나누미떡볶이,서울특별시 종로구 성균관로 9-1,기타 한식,만원 미만,170,4.1
4,왕십리순대국,서울특별시 종로구 율곡로 220-1,탕 / 찌개 / 전골,만원 미만,7,4.0
5,봉쥬떡볶이,서울특별시 종로구 대명길 4 B1,기타 한식,만원 미만,8,3.9
6,명륜 왕만두,서울특별시 종로구 성균관로 4-2,한정식 / 백반 / 정통 한식,만원 미만,10,3.8
7,순대실록,서울특별시 종로구 동숭길 127 우성빌딩,탕 / 찌개 / 전골,만원 미만,42,3.7
8,둘리분식,서울특별시 종로구 창경궁로34길 15,기타 한식,만원 미만,8,3.7
9,창화당,서울특별시 종로구 창경궁로26길 39 1F,기타 한식,만원 미만,7,3.7
10,개미식당,서울특별시 종로구 대명길 35,탕 / 찌개 / 전골,만원 미만,16,3.6
11,옥이모깻잎떡볶이,서울특별시 종로구 대학로11길 3,기타 한식,만원 미만,4,3.6
12,삼삼뚝배기,서울특별시 종로구 동숭길 51,탕 / 찌개 / 전골,만원 미만,10,3.5
13,혼가츠,서울특별시 종로구 대명길 24 B1F,기타 한식,만원 미만,14,3.4
14,어바웃샤브,서울특별시 종로구 대학로12길 61 계우빌딩 1F,탕 / 찌개 / 전골,만원 미만,11,3.4
15,식탁의목적,서울특별시 종로구 대명길 34,한정식 / 백반 / 정통 한식,만원 미만,16,3.2
16,석관동떡볶이,서울특별시 종로구 대명길 21-2,기타 한식,만원 미만,13,2.9
17,명륜쭈꾸미,서울특별시 종로구 성균관로 37,해산물 요리,만원 미만,2,
18,국수가,서울특별시 종로구 동숭2길 1,국수 / 면 요리,만원 미만,4,
19,할매냉면집,서울특별시 종로구 동숭2길 3-8,국수 / 면 요리,만원 미만,2,
20,코야코,서울특별시 종로구 동숭길 68,기타 한식,만원 미만,6,
21,모티집,서울특별시 종로구 이화장2길 1,국수 / 면 요리,만원 미만,3,
22,육수당,서울특별시 종로구 창경궁로34길 22,탕 / 찌개 / 전골,만원 미만,7,
23,본가칡냉면,서울특별시 종로구 대학로7길 9,국수 / 면 요리,만원 미만,3,
24,명륜손칼국수,서울특별시 종로구 혜화로 45-5,국수 / 면 요리,만원 미만,4,
25,선다래분식,서울특별시 종로구 이화장길 14,기타 한식,만원 미만,4,
26,콩나물장수,서울특별시 종로구 동숭길 94 1F,한정식 / 백반 / 정통 한식,만원 미만,1,
