,가게이름,리뷰,맛평가
0,혜화도담,"가성비, 런치에 가고싶다. 분위기도 오짐. 친구들과 함께",맛있다
1,혜화도담,"2월 11일 방문, 1시 반쯤 갔을 때는 사람이 많이 빠진 상태라 바로 앉아서 먹을 수 있었다.점심메뉴 김치찜(8.0) 2인분과 대파전(12.0) 하나를 시켰는데 너무 많이 시켰다 싶었다. 대파전은 매우 바삭바삭하면서도 대파향이 굉장해서 맛있었고 김치찜은 고기도 부드럽고 김치도 맛있었다.재방문의사 있긴한데 다른 혜화 맛집 때문에 밀릴 듯.",맛있다
2,혜화도담,이 근처 학교 다니던 친구가 본인은 과제하다 열받으면 여기서 막걸리를 퍼마신다길래 저장해놨던 곳인데 드디어 방문. 주말 저녁 5시 조금 넘어서 방문했는데도 사람이 엄청 많았고 운좋게 착석할 수 있었다. 그리고 이른 시간임에도 불구하고 직접 제조했다는 막걸리는 거의 품절이고 한 종류만 가능하길래 주문. 전과 김치찜을 주문했는데 우선 전은 안까지 바삭바삭한 것이 독특했고 비법을 좀 듣고 싶었다... 아주 도톰해서 그런지 채소가 그대로 느껴지는 듯했고 마치 분식집 야채튀김을 먹는 느낌...그리고 두꺼운 만큼 좀 물리기도 해서 김치찜 같이 완화해줄 수 있는 메뉴 동반 주문 필수. 김치찜은 살짝 달달한데 고기는 보들보들하고 잡내가 없다. 김치는 아삭하기도 하지만 엄청 부드럽기도 하다. 술이 쭉쭉 들어감... 쌀밥 좋아하는 사람들은 꼭 밥이랑 같이 먹어야 할 것 같다. 술마시는 곳이라 조금 북적북적하긴 한데 너무 힘든 정도는 아님.,맛있다
3,혜화도담,"⭐️ 한줄평: 김치찜 최고*\(^o^)/*1. 위치 및 분위기맛집이 많은 대학로 골목에 있는 또 하나의 맛집. 위층도 유명한 집이고 옆에 있는 독일주택도 웨이팅이 있는 곳으로 알고있는데 그 사이에 위치해있다. 분위기는 그냥 깔끔한 한식집 느낌. 테이블 사이의 간격이 넓진 않다.2. 음식- 김치찜명불허전. 여자 둘이서 시키고 좀 많지 않으려나? 했는데 전혀 많지 않았다^.^ 맛있어서 싹싹 먹음. 들어가 있는 고기 양도 꽤 되는데, 거기에 김치를 싸서 같이 먹으니 배가 불러도 술술 들어갔다.- 돼지갈비찜맛있기는 했지만 둘 중 비교하라면 김치찜 승.- 도담막걸리혜화도담양조장에서 직접 만드는 막걸리인데 호불호가 크게 갈리지 않는 맛이었다. 수량이 정해져 있어 늦게 가면 다 떨어질 때도 있음3. 재방문의사김치찜 먹고싶을 때 생각날듯",맛있다
4,혜화도담,김치찜 달지 않고 괜찮았는데 고기가 좀만 더 많았으면 해요..!,맛있다
5,혜화도담,"식사 메뉴인 8천원 김치찜이 평일 점심이라고 적혀있었는데 조금 한가한 이른 저녁 때 가능한지 여쭤보니까 김치찜 메뉴는 가능하다고 하셔서 시켰어요!! 밥이랑 반찬은 셀프바를 이용하는데 반찬이 콩나물 무침, 깍두기 뿐이었어요. 콩나물 무침은 매우 맛있었고 김치찜이라 굳이 깍두기는 안 먹어봤어요.김치찜 돼지고기가 아주 그냥 쫙쫙 찢어지더라구요. 만족 ㅎㅎ 김치찜 진짜 맛있었는데 아쉬운 건 김이…없었다는 거 왜 김이 없죠… 김치찜인데…조금 단 느낌이 없지 않아있었지만 가뿐히 맛있게 먹을 맛집이었어요",맛있다
6,혜화도담,나는 뭐가 특별한지 모르겠는데 리뷰보면 다들 맛있다고 하는 곳!고기가 들어갔으니 당연히 맛있는 정도??,괜찮다
7,혜화도담,"❤︎k-vibe!k-food!김치찜 너무 맛있다!혜화쪽에서 맛집을 찾다가 이런 한식느낌 뿜뿜나는 메뉴와 막걸리를 먹고 싶어 방문한 곳이다.+믿고가요 망플평점! 여기는 김치찜의 칭찬이 자자하여 김치찜은 무조건 시키기로 이미 가기전부터 결정을 해두었고 마침 김치찜+대파전+도담막걸리 세트가 있어 해당메뉴로 결정!참고로 밥은 셀프이다!먹고 싶은만큼 담아오면 된다.✔️김치찜❤️묵은지의 영롱한 자태! 김치를 쭉 찢어서 먹는 재미도 입맛을 돋구는 하나의 좋은 퍼포먼스라 생각한다. 아주 부드럽게 잘 찢어지는 묵은지와 너무나도 부드러운 고기.묵은지+고기+밥한숟가락이면 뭐 이게 진정한 k-food k-vibes아니겠는가. 김치찜 국물도 진하고 고소했다! 정말 밥도둑인 것 같다. 진짜 맛있게 먹었다!✔️대파전대파가 크게 들어가있는 파전! 대파,부추,당근,청양고추가 함께 들어가있다. 밀가루반죽의 비율이 적은편이라 바삭바삭하면서도 대파의 식감이 잘 느껴져서 맛있게 먹었다! 무엇보다 막걸리의 최고의 짝궁이기에 안 먹을 수 없었다.다만 난 오징어가 들어있는 해물파전이 좀더 취향일뿐!✔️도담막걸리 가게이름을 따서 직접 양조장에서 만든 막걸리 예쁜 주전자에 담겨져 나오며 작은컵에 조금씩 따라 마시는 방식이다. 맛은 걸쭉했으며 강하게 느껴졌다. 걸쭉하면서도 일반 지평막걸리의 흔들기 전 윗부분의 시큼한 맛이 강하게 느껴졌다. 단맛이 강하지 않고 이건 빠르게 취할 것 같은 느낌이 들어 도수를 확인했더니 10%로 다소 높은 알콜도수였다(지평막걸리 5%) 개인적으로는 지평막걸리가 좀 더 내취향이라 도담막걸리를 다 마시고 지평을 시켰으나 너무 배불러서 다 못마신건 안비밀!든든한 한식과 함께 막걸리 한잔 할수 있는 곳이라 마음에 들었다. 특히 김치찜 매우 추천합니다!",맛있다
8,혜화도담,너-무 맛있었음.....다섯 팀 미만 정도는 웨이팅 의사 O.. 막걸리 부르는 맛인 것 같던데 술찌라서..흑흑 ㅠ너무 또 가고싶다.. 맛맛..,맛있다
9,혜화도담,"혜화에서 먹은 거 중에 제일 맛있었음.아시나요.. 대학로가 노맛집 성지라는 사실을.. 뭔가 번화가인듯 한데 다들 프랜차이즈고, 겉은 그럴듯해보이는데 먹어보면 맛없음 ㅠ 그러던 중에 만만하게 여기는 누구나 좋아할것이다!하고 데려갈 만 한 곳을 찾았어요. 바로 혜화도담!! 그러고보니 대학로에서 유일하게 재방문한 식당이기도 하네요. 김치찜의 정석적인 맛입니다. 푹 익혀 살살 찢어지는 돼지고기에, 새콤한 김치를 얹으면 이걸 거부할 한국인은 없겠죠.. 파전도 파삭파삭하게 맛있어요♡ 물론 막걸리도 파는데, 여기서 직접 담구시는 거라고 들은것 같아요. 술 한잔해도 좋고, 식사로 김치찜만 먹어도 좋아요! 동네주민들에겐 소문난 곳이라 항상 갈때마다 북적북적하네요",맛있다
10,혜화도담,제가 제에에에일 좋아하는 한식집!! 혜화도담-김치찜 소 + 갈비찜 소 + 파전 => 세트메뉴-항상 갈비찜 김치찜 시켜먹어요~~ 진짜 꼭 한번 가보세용 둘이 먹다 하나 죽어도 모르는 맛!! 맛있어욤 ㅎㅎ,맛있다
11,혜화도담,가성비 최강 혜화 도담막걸리와 함께 곁들일 수 있는 안주들로 가득한 곳시그니처 묵은지 김치찜에 두부 추가해서 먹었는데 크흡 이렇게 맛있을 수가 없다가격도 합리적이라 여기 계속 머물러서 다른 안주들도 다 뽀개봐야지참고로 일찍가야 자리를 맡을 수 잇다!,맛있다
12,혜화도담,존맛토마토향 좀 남,맛있다
