,가게이름,리뷰,맛평가
0,어머니대성집,처음보다 끝이 더 맛있는 해장국집슴슴하다는 평을 듣고 먹었으나 뭔가 빠진 듯한 맛으로 느껴졌다맛이 없는 건 아니나 12000의 해장국이라고 하기엔포만감만 남아서 별로…!,별로
1,어머니대성집,"아침 10시에 만나서 쏘주먹고, 맥주먹고 국밥이 나오기 전에 헤롱헤롱하고 국밥 먹었습니다. 이름만 해장국 집이고 술이  더들어가게 하는 집이에요. 꺼억~!",맛있다
2,어머니대성집,.,맛있다
3,어머니대성집,"술꾼들의 성지. 신동엽과 성시경의 단골집.솔직히 어렸을 때 처음 먹었을 때는 ‘이게 왜... 유명하지...?’라는 생각을 했다. 그런데 이제 술을 제.대.로. 먹을 줄 아는 어른이 되니 알겠다. 왜 술꾼들의 성지인지. 또 여기에서 평소 나의 주량을 넘어버렸고, 신이 나 2차를 가게 되었고, 그 다음날 나는 눈이 퉁퉁 부은 채로 일어나게 되었다. 예전에는 해장국이라고 하면 얼큰~하고 자극적이어서 칼칼한 맛을 좋아했었다. 하지만 이 집은 완전히 반대이다. 팔팔 끓여 나오는게 아니라 끓인 것을 떠서 내주는 형식이라 바로 떠먹어도 뜨겁지 않고 적당히 뜨뜻하다. 그리고 절대 자극적인 맛이 아니라 깊게 우려낸 국물 맛이 진하고 담백하게 난다. 그렇다. 팔팔 끓여 나오지 않는 것은 맛을 잘 느낄 수 있게 하려는 사장님의 자부심이 었던 것이다. 술안주는 자극적이어야 술이 잘 넘어간다? 틀렸다. 이 집 해장국은 오히려 자극적인 음식을 술로 씻어내는 느낌으로 먹는게 아니라 술과 음식의 조화가 발맞추어 나가는 느낌이다. 그래서 해장국 한 술, 술 한 잔이 번갈아 술술 넘어간다. 수육 또한 양은 적지만 매우 부드럽고 맛있다. 해장국이 너무 식었다 싶으면 데워달라고 요청하면 되고, 국물이 부족하면 언제든지 몇 번이고 리필해 주시니 참 넉넉한 인심이 아닐 수 없다.옛날에는 완전 노포에서 영업하셨는데, 이제는 새 건물로 옮겨서 장사 하신지도 꽤 됐다. 주말 저녁에 방문했는데 웨이팅이 장난아니게 많았다. 하.. 최근에 성시경이 이 집을 또 언급했더라지..? 그만... 더 이상 사람 더 오지 않게 그만... 방문할 때마다 자주보이는 벤틀리가 있는데..  벤틀리 차주도 웨이팅해서 먹는 맛이군요. zzz✨ 인스타 @food.tomorrow: 해장국 12,000원: 모둠수육 40,000원",맛있다
4,어머니대성집,전형적인 서민음식이라고 여겨지는 해장국의 가격 치곤 약간 비싼 편이지만 비싼 값어치를 하는 맛.사골 베이스의 국물 맛에 신선한 듯한 선지 두 세 덩어리 정도와 끄알끔한 시래기 및 조사놓은 고기들이 얽히고 설켜 깊은 맛을 구현!,맛있다
5,어머니대성집,"맑은 국물의 자극적이지 않은 해장국집. 매콤하게 하는 집들이 많은데 여긴 따로 나오는 청양고추를 꽤 첨가해도 많이 맵지는 않아 좋았다. 운영시간도 아주 길다. 예전에 어른들이 좋아하셔서 같이 오곤 했는데 큼지막한 선지가 참 인상 깊었다. 선지만 있는 줄 알고 별로 안좋아했던 기억인데 오랜만에 와보니 우거지랑 양지가 더 많았다. 편집된 기억이란 참... 지금은 그냥 조화롭게 맛있는 것 같다. 적당히 익은 배추김치도 좋고, 살짝 새콤한 무생채도 괜찮았다. 새건물로 옮기고는 처음인데 분위기가 참 다르다. 깨끗하고 자리도 넓고 식사하기는 더 편한데 다른 가게 같은 느낌은 지울 수가 없는 것 같다.",맛있다
6,어머니대성집,국밥한그릇 12000원으로 오름..맛은 괜찮은데 가성비 진짜 최악이다9천원 정도면 인정일듯,별로
7,어머니대성집,"어제 저녁에 나정순할매쭈꾸미 먹으러 가면서 근처 빌딩에 주차를 하는데 바로 맞은편에 어머니대성집이 떡하니 있는 겁니다 깜짝 놀랐습니다 여기에 있었구나너 확실히 내가 예전부터 가고싶다 눌러놓은 그 집이 맞는거니? 바로 검색해서 지도를 보니 딱 맞는 위치였습니다 주차는 잠시 제쳐두고 바로 해장국 포장했습니다저는 할매랑 둘이 먹을 거 2인분 포장하고 친구들은 부모님하고 먹을 거 3인분씩 포장해 줬습니다 2인분은 무생채 하나 들어가고 3인분은 2개 들어간다고 합니다 무생채 개수나 해장국 무게로 구분하면 될 것 같습니다오늘 점심 저녁 다 해장국 먹었습니다2인분 포장인데 밥과 반찬 몇 가지 빠지니 해장국 양이 확실히 많습니다 엄마는 고깃국 안 좋아하시고 할매도 양이 많지 않으셔서 저 점심 두 그릇 저녁 두 그릇 할매 점심 한 그릇 먹으니 딱 양이 맞았습니다리뷰에서 봤을 때와 포장한 용기를 열어서 확인했을 때 유치회관의 해장국과 느낌이 상당히 비슷하다고 느꼈습니다어머니대성집과 유치회관의 공통점- 고기육수에 된장이 들어간 스타일입니다- 소고기, 선지, 우거지 등 비슷한 주재료가 들어갑니다- 해장국에 들어가는 재료, 특히 선지가 아주 신선합니다- 새콤 달콤 가볍게 무친 무생채가 반찬으로 나옵니다유치회관하고 공통점이 있어 어떨까 먹어보니 맛은 또 많이 다릅니다유치회관의 국물은 찐덕하고 간이 강한것에 비해 어머니대성집의 국물은 정말 깔끔합니다 맑고 담백한데 고깃국의 고소함도 간직하고 있습니다전혀 부담이 안 되는 국물이라 두 그릇을 밥 말아 훌훌 떠먹어도 질리거나 거부감이 없습니다또 한 그릇은 온전한 국물로 먹고 다음번은 같이 넣어준 파양념장을 넣어서 국물에 풀어 먹습니다대게 이런 깔끔한 국물에 다대기를 넣으면 국물에 고춧가루 향이 퍼지고 확 칼칼해지고 텁텁해지는 경험을 더러 하는데 어머니대성집은 양념장 마저 깔끔합니다 국물의 맛을 많이 해치지 않는 선에서 본인의 역할을 잘 해줍니다아주 좋은 해장국을 먹었습니다 속풀이에는 어머니대성집의 국물이, 반주에는 유치회관의 국물이 잘 맞을 것 같습니다어머니대성집은 용인에서는 접근성이 떨어지고, 저는 대왕판교로에 유치회관이 있어서 재방문은 안 할 것 같지만 근처에 계시는 분들께는 (이미 저보다 한참 먼저 많이 다니셨겠지만) 추천드릴 수 있는 곳입니다재방문 의사 : x",맛있다
8,어머니대성집,"남편 학교다닐때 단골집이라며 익히 듣곤했는데 요근래 방송에도 많이 소개되길래 근처 간김에 찾았어요~ 원래는 제기동 작은 해장국집이었다고 하는데 신설동으로 옮기며 커졌다 하더라고요. 수육, 육회, 해장국 시켜봤는데 해장국이 진짜 최고였어요! 술 좋아하는 사람들에겐 술을 부르는 맛이더라고요 ㅋㅋ 해장국 다 먹고나면 국물이랑 선지 리필로 주시는것도 감동이에요~~ 선지 진짜 신선하고 맛있고 육회는 조금 달아서 밥이랑 비벼먹으니 별미더라고요! 멀지만 않으면 자주 올거같아요^^",맛있다
9,어머니대성집,밥이 말아져나와 뜨겁지않았다ㅜ김치는 좀단편이고 얼큰한맛이없어 내입맛엔 별루였다ㅜ 왜이렇게까지유명한건지 모르겠다,별로
10,어머니대성집,개안음,괜찮다
11,어머니대성집,선지류의 해장국에서는 제일호불호없을듯.저는 개인적으론 용문동 쪽이 더잘맞는듯한 느낌,괜찮다
12,어머니대성집,해장국에서 잡내가 너무 나고 양이 너무 적었습니다.주방은 얼마나 시끄러운지 밥을 먹을 수가 없어요!대 실망입니다. 다시는 안가고 싶습니다.,별로
13,어머니대성집,"술먹고 오니깐 더 좋네.. 해장+술 무한반복.. 역시 어머니 대성집이날은 스시카야논데에서 거하게 1인 1사케를 한 날이었다. 그대로 집에 가려고 했으나… 시간이 8시가 채 되지 않았기에 간단하게 해장술을 하고 싶다는 나의 욕망..ㅎㅎ 빠르게 서치 후 어대로 결정!!어대는 두번째 방문인데, 이전 첫 방문땐 금주 기간이였던지라 술과 함께 하지 못했다. 하지만 이번엔 이미 취하고 간 상태였기에… ㅎㅎ 해장국 하나와 진로 하나 주문!!한국의 패스트푸드 답게 시키자마자 3분 안에 나오는듯ㅋㅋ 국물부터 맛보는데… 취한 상태에서 맛보니 더 깊은 느낌..?? 이름부터 ‘해장국’인 이유가 있나보다.. 투명한 한우 양지 육수는 깊으면서도 또 맑아서 잘 들어간다.다데기를 풀면 약간 자극적인 맛으로 변한다. 저번엔 다데기를 푸는게 좋았는데… 술과 먹을땐 안 풀고 먹는데 술이 깨기에 더 좋은거같기도 하고…아무튼 너무 좋았다. 당연히 재방문 예정!!",맛있다
14,어머니대성집,맛있습니다. 든든하구요 김치도 맛있네요. 선지도 많이 주시고 국물도 깔끔한 느낌이 들어서 토렴된 밥과 함께 먹으니 정말 좋은 조합이라는 생각이 들었습니다. 선지도 리필이 되니까 한번더 드세요,맛있다
15,안동집손칼국시,"배추가 듬뿍들어간 안동국시집.슴슴함 국물에 콩가루가 들어간 면의 고소함은 올라가고달달한 배추와 후루룩 먹다 간장과 다진마늘, 고추를 넣으면또다른 국시가 탄생한다.저렴한 가격에 먹을수있는 수육 역시 달달한 배추에 다진 마늘과 새우젓, 고추를 곁들여 먹으면 고기의 풍미가 기가 막힌다.무엇보다 필자가 좋아하는 배추전을 제대로 즐길수 있어 너무나도 행복한 식사였다.사장님도 친절하게 계속 챙겨주시고, 합리적 가격에 맛도 훌륭해 재방문 의사가 백만배인 집이었다.",맛있다
16,안동집손칼국시,"경동시장 상가에 있는 칼국수 전문점. 안동국시 처음이었는데 부드러운 면이나 슴슴한 국물이나 조화롭고 좋았던 곳이었다.칼국수 나오는데까지 시간이 좀 걸리는데 조밥을 배추에 싸먹으면서 기다리면 지루하지 않다. 콩가루를 넣은 반죽을 얇게 밀어서 썰어 넣고, 맑은 멸치육수에 말아내는 손 칼국시인데 간이 좀 심심하다. 같이 나오는 다진마늘이랑 고추를 취향껏 넣으면 맛이 더 좋아진다. 국물은 짜지 않으면서 맑은게 취향이라 간장을 추가하진 않았고, 면도 좀 심심한 느낌이라 아쉬울 때 소바 처럼 간장에 조금 찍어먹었다. 면이 찰기 있는 느낌은 아니지만 부드러운 식감도 괜찮았고, 배추가 많이 들어있어서 같이 먹으면 딱 좋았다. 마감 시간 즈음 방문했는데 친절한 사장님 덕분에 전도 조금 얻어먹을 수 있었고, 국수도 많이 주셔서 아주 배부르게 먹었다.   진한 육수와 쫄깃한 면의 칼국수도 좋아하지만 이쪽도 새롭고, 속도 편안한 느낌이라 마음에 들었다. 다만 시장 중간에 있어서 일부러 찾아가기는 조금 힘든 것 같다. 지하 내려가서 간판 찾을 때까지 잘못 왔나 했다.",맛있다
17,안동집손칼국시,"경동시장 신관 지하 1층에 있는 식당. 근처에 사람들은 죄다 여기서 식사하는지 사람들이 많은 곳이었어요. 손국시, 건진국시 차이는 물어보니 '뜨거운 것, 미지근한 것 차이이고 그래도 뜨거운 게 낫겠죠' 이야기하시길래 '네~'했습니다. 조밥+배추 쌈 싸 먹으니 색달라서 맛있었고, 국시는 나와서 면만 먹을 때는 몰랐다가 국물 떠 먹으니 정말 시원하니 맛있었어요. 시원한 배춧국 느낌으로요~! 처음에 내주는 신선한 배추, 배추들어간 국시, 배추김치에 배추전 먹으니 배추 종합선물세트 먹은 것 같았어요 ㅎ.ㅎ 주변이 정통재래시장이고 길 찾기 어려웠던 부분이나, 국시 반찬으로는 배추김치 밖에 없었던 점은 조금 아쉬웠습니다. 복잡한 정통 시장 골목인 점이나 '칼국수'는 아닌점은 참고하셔야 할 것 같아요",괜찮다
18,안동집손칼국시,저렴한 가격에 친절한곳. 비빔밥도 직접 비벼주심,맛있다
