,가게이름,리뷰,맛평가
0,아경면선,곱창국수하면 뭐다? 대만이쥬!노량진에서 대만을 잠시 잠간느낄수 있습니다한국패치되어서 향신료맛 좋아하시지 않는 분들도 편안하게 드실수 있을 듯작은사이즈의 국수인데도 곱창이 심심치 않게 들어있음쫄깃한건 아니고 부드러워 거부감없이 먹을수 있어요곱창구이와는 다르게 부들부들 스르르 녹는 식감이라생각보다 느끼하게 느껴지는게 아쉽다..맛이 생소해서 호불호 갈릴수 있어요,맛있다
1,아경면선,"대만식 곱창국수.곱창국수+미니덮밥+버블티 3종세트로 주문.가격은 참 저렴해요.곱창국수가 맛있고 덮밥과 버블티는 별로에요.수저로 퍼먹는 곱창국수는 얼큰한 국밥느낌으로 한국인 입맛에 잘 맞아요.덮밥은 고기가 물컹해서, 버블티는 펄이 쫀득하지 않고 퍽퍽딱딱해서 비추합니다.한반 맛본 걸로 만족이에요. 차라리 고기국밥을 먹겠다!",괜찮다
2,아경면선,대파 올린 중간컵 곱창 국수 먹었습니다! 양은 적당했습니다. 근데 곱창국수를 처음 먹어봐서 그런지 영...무슨 맛인지 모르겠더군요. 곱창은 많이 들어있기는 한데 맛은 그냥..기름맛? 국수맛? 잘 모르겠습니다,괜찮다
3,아경면선,벼르고벼르다 드디어 가봤음위치가 좀 아쉽다 이촌동에 일식집에 많아서 상대적으로 안 가게 된다는그냥 아무동네나 있음 엄청 맛집일텐데엄청 맛집은 맞다밥먹고 입가심으로 먹었는데도 호로록 맛있게 먹었다대만 향수병 고치기 딱이였다곱창냄새도 안심하도 면도 푹 익어서 후루룩 먹기 좋음,맛있다
4,아경면선,"일부러 찾아간 아경면선. 의외로 맛집이 별로 없는 이촌동에서 가장 평점이 높은 곳이라 궁금했다. 대만에 갔을 때는 줄이 너무 길기도 하고, 딱히 먹고싶다는 생각이 없었는데이제는 여행을 가지 못해서인지 이렇게라도 먹어보고싶다는 생각이 들었다.오래된 건물에 아담한 사이즈로 있는 아경면선.버블티와 곱창국수 큰 사이즈로 주문했다.고수는 못먹어서 빼니 부추로 대체해주셨다.물은 셀프. 카운터에서 주문하면 자리로 가져다 주신다. 하루 첫끼였는데 먹고 나니 아주 든든.매운걸 아예 못먹는데 그정도는 아니고 매콤하면서도 느끼함이 없는 맛이다.곱창이 들어가 기름 둥둥은 아닐까라는 생각이 있었는데 그렇지도 않고 맛있다.혼밥하기 좋은 곳 같다.버블티랑 같이 먹으니 한 끼로 모자람이 없었음!",맛있다
5,아경면선,"(무나리뷰) 대만 현지에서 먹던 곱창국수 맛 그대로. 해외 못나간지 1년이 지나면서 대만음식 금단현상이 심해짐. 이에 전국 각지의 대만음식을 찾아 돌아다니는 짓을 하고있는데, 하나같이 현지패치했거나 아예 다른 맛. 이젠 현지패치된 맛에서 '특정 포인트에서 20%정도 현지의 맛이 나는구나 헤헤..'정도가 됨..이촌에 곱창국수집이 있다해서 한국에 하필 곱창국수전문점이라고..? 라는 생각으로 방문. 매장은  자리몇개없어 이역시 대만스러움으로 느껴짐. 대만에서 곱창국수집은 매장앞에 서서먹어나 자리가 있어도 이집처럼 매우 적기때문. 곱창국수와 고기덮밥인 루로우판을 주문. 곱창국수는 대만의 아종몐셴을 대표로하는 숟가락으로 훌훌 떠먹는 국수요리. 걸죽한 국물에 곱창과 함께 아주 가는 국수를 넣고 오랜시간동안 삶아 탄력은 없고 툭툭 끊겨 죽처럼 먹는것으로, 국물은 가즈오부시 베이스라 특유의 향미가 진하게 베어있음. 아종몐셴이 대만에서 알려져있는 집중에선 가장 맛있는 집에 속하는 편으로, 다른 집들보다 국물이 더 진하고 걸죽한면서도, 곱창의 누린내가 나지 않음. 이촌의 아경면선이 이런 정도는 아니지만 대만의 일반적인 곱창국수와 거의 같은 맛을 냄. 이만하면 진짜 대만 맛이라 할 수 있겠음. 루러우판은 원래 만드는 방법이 돼지껍질로 육수를 만들고, 고기와 육수만들때 사용했던 껍질 간장과 약재등을 사용하여 졸인 후 각각 잘게 깍둑 썰어 밥위에 올려먹는 덮밥. 대만에서도 기본적으로 편차가 크지않게 다 맛있는데, 한국에선 왠지 이맛을 내는 집이 거의 없음(압구정에 어딘가 하나 정도?), 개인적으로는 대부분 돼지껍질로 육수를 내지않아 특유의 꼬릿하면서 진한 맛이 안베어있어서 인것과, 약재 향의 차이, 그리고 판매되는 그릇크기(?)로 보는데, 한국에서는 돼지껍질로 육수를 우리는 경우가 거의 없어서 비계와 살코기부분읗 사용해서 맛이 그만큼 안나오는 것과, 나라마다 같은 이름의 약재여도 향의 느낌이나 진하게 정도가 많이 달라서 그런듯. 또하나는 그릇의 크기인데, 대만에선 주로 저렴한 가격으로 작은 밥공기에 적은 양의 밥과 루러우를 올려서, 젓당하게 몇입 먹는걸로 경험하는 반면, 국내에선 한그릇으로도 든든한 식사가 되어야되기때문에 큰 그릇에 충분한 양의 밥을 넣고 고기를 충분이 올려서 약간 느끼하고 배부를때까지 먹게 되어 경험을 반감시키는 듯. 하지만 이렇게 안하면 한국에선 욕먹으니까.. 아경면선은 그런을 감안하고 보면, 한국에서 먹었던 루러우판중엔 그래도 적당히 괜찮았던 느낌. 한국에서 찐 대만 맛을 느낄 수 있어 좋았음. instagram: munandeng_chinabrunch: 무나and뎅youtube: muna&deng",맛있다
6,아경면선,"뜨끈한 국물이 당기는 요즘 날씨, 집앞 슈퍼를 가듯 편하게 방문해 간단한 대만식 국수요리를 먹어볼 수 있는 곳이다. 가게 자체는 협소하기 때문에 포장주문도 나쁘지 않은 선택이라고 본다. 대만식 국수와 버블티 메뉴를 함께 고를 수 있는 세트 메뉴가 제일 인기이다.가격은 저렴하지만, 그만큼 양이 적은 편이기 때문에 웬만하면 큰컵 사이즈를 추천한다. 3가지 국수메뉴 중 가장 좋아하는 곱창국수를 택했는데, 곱창의 느끼한 맛이 별로 느껴지지도 않고 오히려 깔끔하고 시원했다. 좀 더 자극적이었으면 좋았을 것 같지만, 담백하니 나쁘지 않았다. 양이 적은 게 아쉽지만, 국물의 중독성 때문에 국물만 남은 그릇을 봤을 때, 아쉬움이 유독 커졌던 곳 같다.곱창국수 위에 올라가는 고명은 부추/고수 둘 중 하나로 선택 가능하다. (안고수파를 위한 대안이었다.) 곱창의 양도 적진 않았고, 무엇보다 늦은 아침 식사로 매우 좋았다. 버블티 맛은 호불호가 좀 갈리는 것 같지만, 나름 시그니처 메뉴이니 같이 시켜보는 것도 나쁘진 않을 것 같다.ℹ️맛: 4/5가격대: 곱창국수 6.0 차돌국수 7.0 루로우판(대만식 덮밥) 7.5 버블티 4.0위치: 이촌역 3-1번출구웨이팅: 없음분위기: 간편한 집앞식당st",맛있다
7,아경면선,"혼밥하기 좋은곳곱창국수 맛있습니다.다진마늘 양념장에 고수 팍팍 넣어서 먹으면 여기가 대만인가 싶은 맛! 하지만 아주 가끔씩 냄새나는 곱창이 있고, 중국쪽 향신료를 안좋아하신다면 호불호가 많이 갈릴듯그리고 고수를 좀 신선한걸 써주셨으면 좋겠어요쭉정이를 제가 골라내고 있었음ㅜㅜ돼지고기 덮밥도 괜찮은데저번에 포장했을때보다 매장에서 먹으니 별맛이 없는데... 밥이 너무 많아서 그런가 봐요.곱창국수 중자에 돼지고기 덮밥 소자 세트가 있는데 엄청 배부른편이니 밥을 좀 덜달라고 해도 괜찮을듯흔치않은 음식을 파는 곳이라 맛있다로!",맛있다
8,아경면선,곱창국수 중간 세트(국수+버블티) 9500-대만식 국수에요. 국물이 매생이국 처럼 끈적하고 감칠맛나요. 고수가 들어가는데 못드시면 부추로 선택하시면 되요. 칠리소스가 고명으로 얹어서 나오는데 이게 엄청 매콤해요. 매운거 못드시면 반 덜어내시는걸 추천합니다. 면이 얇은게 후루룩 떠먹을수 있는 수준입니다. 대만에서는 젓가락 제공안된다네용 ㅎㅎㅎ 되게 생각나는 맛이에요. 작은 사이즈인데도 다 먹고나몀 배불러요. 처음에 곱창국수라고해서 곱창냄새 나면 어쩌나 했는데 안그래요! 버블티는 7-8종류 되었던거 같은데 저는 블랙밀크티 얼음없이로 주문했어요. 사이즈는 스벅 톨사이즈에요. 식사다하고 받겠다고 말해도되고 식사중에 받아도되고 ㅎㅎ 저는 다 먹고 달라고해서 사무실 가지고 들어왔어요.#아무리뷰,맛있다
9,아경면선,"한국에서 먹는 곱창 국수! 대만에서 인기있는 야식이라면  곱창국수, 특히 아종면선 곱창국수를 꼽을 수 있을것 같아요. 곱창국수 (6,0) - 과연 한국에서도 대만 현지맛을 따라할 수 있을까 궁금했는데, 역시 미묘한 차이가 느껴지네요. 이곳 국수는 아종면선의 걸죽한 스프맛과 뚝뚝 끊어지는 얇은 면과는 사뭇 거리가 있어요. 그리고 매운 양념도 미리 넣어주셔서, 양념 종류도 선택할 순 없네요. 한국이다보니 대만보다 두배가량 비싼건 어쩔수 없나봐요 ㅠ한국에서 대만의 곱창 국수가 그리울 때 가면 좋을것 같아요.",괜찮다
10,아경면선,대만에서 먹었던 것이라 맛이 똑같아요!!너무 맛있습니다,맛있다
11,아경면선,약간 울면 비슷하다. 돼지곱창이니만큼 약간의 냄새는 각오해야할 듯...,맛있다
12,아경면선,대만에서 먹은 곱창국수맛! 호로록 넘어가는 면발에 곱창은 쫄깃하다엄청 맛있다기보단 한번쯤 먹을만한 별미버블티는 공차가 더 맛있음.....★,괜찮다
13,아경면선,"목적/ 추운 날씨에 진득한 국물이 먹고 싶을 때. 멀리 가기 귀찮고 동네에서 간단히 한 끼 때우고 싶을 때.추천 메뉴: 중자 사이즈 + 버블티 세트 맛: 걸죽, 매콤, 시원, 간장 베이스• 곱창 맛이 우러나오는 진한 육수. 곱창은 5개 정도 들어가 있다.• 중자 사이즈가 크진 않음. 위가 큰 분들은 대자 드시길.• 버블티는 무난하고 많이 달지 않음. 타로 맛 추천.• 개인 취향에 맞게 고추나 식초를 넣어 맵기+감칠 맛 조절 가능.대상: 친구, 혼밥분위기: 소박, 협소서비스: 친절 가격: 인당 6-7천원",괜찮다
14,아경면선,첫 한입은 굉장히 신선하고 독특한 맛.맛은 있으나 곱창 냄새가 조금 나긴한다.비위 약한분들에겐 비추천.나처럼 비위 강한사람은 곱창추가 추천,괜찮다
15,아경면선,테이크아웃해서 먹었는데 일단음식 온도는 괜찮았다.그런데 맛은 아무리 생각해도 진하지도 않은 국물 너무 얇은 국수...모두 별로.좀 색다른 중국 국수를 기대한 나로썬 대실망!,별로
16,아경면선,"국물이 중국 사워스프같은 느낌의 점성이 있는 국물이다.국수면은 많이 씹을 필요없는 후루룩 넘어가는 면임.국수자체가 간이 셀것같아 매운소스는 따로요청했는데 아주 현명했음ㅋㅋ소,중,대 사이즈가 있는게 독특했다.배가 별로 안고파 소를 먹을 생각으로 갔지만 사이즈를 보고 중을 시킴.또 하나 특이한건 국수그릇과 수저가 전부 일회용이란거.....왜죠?곱창을 못먹는 사람을 위한 오징어 토핑도 있다.고수대신 부추도 있음.냄새때문에 돼지곱창을 못드시는 분들은 안먹는게 좋을것같고 곱창 좋아하는 분들은 꼭 추가로 곱창주문하세요.",괜찮다
17,아경면선,"대만에서 맛있었던 음식 탑 3안에 드는 아경면선.한국에 왜 이것만 안들어오나 했는데 드디어 생겼다!너무너무 반가워서 인천에서 이촌까지 달려감.국수는 大, 中, 小 사이즈를 고를 수 있고,2000원에 곱창을 더 추가할 수 있으니 꼭 추가하길!고수를 못 먹으면 부추로 바꿀 수도 있으니 향에 민감하거나 거부감이 있는 사람도 걱정없다.여전히 정말 맛있어서 대행복....✨✨✨아침밥으로 최고다. 처음 먹어본 친구도 좋아했음.곱창 국수인데도 느끼하지 않고 깔끔하다.미묘하게 가쓰오부시의 맛이 나는것도 같음.이촌 외에 영등포쪽이나 노량진에도 가게가 있으니가까운 쪽에 한번 들러서 먹어보길 추천 :D",맛있다
18,아경면선,"뜨끈한 매력의 곱창국수!대림점 갔는데 쉬는 날이 아닌 데 문을 닫아서 허탕치고ㅜ 다시 날 잡아서 이촌점으로 다녀왔다!곱창국수 - 진짜 맛있다! 대만에서도 맛있게 먹었는데, 여기도 맛있음!! 뜨끈하고 곱창이 은근 많이 들어있다. 대만보다 면이 덜 풀어져 있어서 좋았다. 옆에 소스들이 있어서 취향껏 넣어 먹으면 되는데 마늘 소스가 잘어울리고 맛있었음ㅋㅋ타로 밀크티 - 공차보다는 맑은 느낌?! 타피오카더 조금 더 말랑한 것 같았다. 그래도 달달하니 맛있음.블랙밀크티 - 유일하게 아쉬웠던 메뉴. 많이 묽어서 밀크티 향도 안나고 그냥 별 맛이 없엇당대만 카스테라, 펑리수, 젤리 등 요즘 한국에 대만 음식들이 많이 들어오고 있는데... 매번 흉내만 낸 느낌이어서 아쉬웠다. 그런데 여기는 그런 이미테이션 느낌이 아니라 진짜 대만 맛을 거의 비슷하게 재현에서 완전 만족스러움!! 집만 가까우면 매일 먹을텐뎅ㅜ매장이 작아서 테이크 아웃해가는 사람도 많은 것 같다. 고수 못 먹으면 부추를 올려주신다. 고수 좋아하는 사람은 말하면 많이 주신당!! 가격은 대림점보다 조금씩 비싸지만 그래도 맛있으니 용서!!ㅋㅋㅋㅋㅋ",맛있다
