,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,옥정,서울특별시 마포구 신수로 106,국수 / 면 요리,만원 미만,10,4.3
1,계고기집,서울특별시 마포구 백범로24길 1,닭 / 오리 요리,만원 미만,26,4.3
2,양송이식당,서울특별시 마포구 토정로17안길 9 1F,퓨전 한식,만원 미만,10,4.2
3,군자네,서울특별시 마포구 대흥로 53,한정식 / 백반 / 정통 한식,만원 미만,19,4.0
4,원조신촌설렁탕,서울특별시 마포구 마포대로14길 16,탕 / 찌개 / 전골,만원 미만,8,4.0
5,도하정,서울특별시 마포구 마포대로4길 38 1F,탕 / 찌개 / 전골,만원 미만,10,3.9
6,원조양평신내서울해장국,서울특별시 마포구 큰우물로 64 대림이편한세상3차 B상가 2F,탕 / 찌개 / 전골,만원 미만,9,3.9
7,옥면가,서울특별시 마포구 백범로26길 4-5 1F,국수 / 면 요리,만원 미만,6,3.9
8,양지설렁탕,서울특별시 마포구 새창로 6,탕 / 찌개 / 전골,만원 미만,13,3.8
9,마포원조떡볶이,서울특별시 마포구 도화2길 3,기타 한식,만원 미만,40,3.5
10,호남식당,서울특별시 마포구 마포대로6길 20-1,탕 / 찌개 / 전골,만원 미만,5,3.5
11,굴다리식당,서울특별시 마포구 새창로 8-1,탕 / 찌개 / 전골,만원 미만,47,3.4
12,코끼리분식,서울특별시 마포구 도화2길 3,기타 한식,만원 미만,10,3.4
13,마포청학동부침개,서울특별시 마포구 만리재로 23 1F,한정식 / 백반 / 정통 한식,만원 미만,27,3.4
14,동아냉면,서울특별시 마포구 백범로 31길 8 리더스뷰상가 2동  1F 101호,국수 / 면 요리,만원 미만,12,3.2
15,산까치냉면,서울특별시 마포구 도화길 35,국수 / 면 요리,만원 미만,5,
16,리북방,서울특별시 마포구 마포대로1길 16  2F,한정식 / 백반 / 정통 한식,만원 미만,4,
17,작은식당한소끔,서울특별시 마포구 홍익로5안길 42 1F,고기 요리,만원 미만,3,
18,국물떡볶이,서울특별시 마포구 대흥로9안길 3,기타 한식,만원 미만,8,
19,원조기사님분식,서울특별시 마포구 대흥로 98,기타 한식,만원 미만,4,
20,순이네바지락칼국수,서울특별시 마포구 대흥로 114-1,국수 / 면 요리,만원 미만,8,
21,힘내라옥탑방,서울특별시 마포구 토정로 216,기타 한식,만원 미만,4,
22,장터생선구이,서울특별시 마포구 마포대로6길 20-1,한정식 / 백반 / 정통 한식,만원 미만,4,
23,마포돼지불백,서울특별시 마포구 백범로 36,고기 요리,만원 미만,7,
24,마포닭곰탕,서울특별시 마포구 토정로25길 43,닭 / 오리 요리,만원 미만,7,
25,킴스맘,서울특별시 마포구 토정로 208,기타 한식,만원 미만,1,
26,그레이스국밥,서울특별시 마포구 마포대로12길 18,탕 / 찌개 / 전골,만원 미만,3,
27,다락떡볶이,서울특별시 마포구 도화2길 8,기타 한식,만원 미만,8,
28,마포손칼국수,서울특별시 마포구 창전로 54,국수 / 면 요리,만원 미만,8,
29,지니돈까스,서울특별시 마포구 대흥로 52,한정식 / 백반 / 정통 한식,만원 미만,1,
30,송백부대찌개,서울특별시 마포구 마포대로 196,탕 / 찌개 / 전골,만원 미만,2,
31,순진분식,서울특별시 마포구 양화로11길 14-5 1F,기타 한식,만원 미만,2,
32,상암회관,서울특별시 마포구 월드컵북로54길 17,국수 / 면 요리,만원 미만,5,
33,여우김밥,서울특별시 마포구 백범로 152 101동 1호,기타 한식,만원 미만,2,
34,뒷동네 feat 애호박,서울특별시 마포구 만리재로 19,탕 / 찌개 / 전골,만원 미만,3,
35,지지고,서울특별시 마포구 와우산로23길 9,기타 한식,만원 미만,3,
36,평창버섯매운칼국수,서울특별시 마포구 독막로 176-12,국수 / 면 요리,만원 미만,4,
37,웰빙김치찜,서울특별시 마포구 마포대로6길 20-1,한정식 / 백반 / 정통 한식,만원 미만,3,
38,또보겠지떡볶이,서울특별시 마포구 잔다리로6길 34-5 2F,기타 한식,만원 미만,3,
39,청담동마녀김밥,서울특별시 마포구 백범로31길 7 상가동 B106호,기타 한식,만원 미만,3,
40,마포만두,서울특별시 마포구 대흥로 92 1F,한정식 / 백반 / 정통 한식,만원 미만,5,
41,개성손만두,서울특별시 마포구 대흥로 64,한정식 / 백반 / 정통 한식,만원 미만,2,
42,상암구름산추어탕,서울특별시 마포구 성암로13길 38,탕 / 찌개 / 전골,만원 미만,2,
43,홍대씨부엉,서울특별시 마포구 와우산로21길 28-6,기타 한식,만원 미만,4,
44,미가,서울특별시 마포구 숭문길 47,한정식 / 백반 / 정통 한식,만원 미만,3,
45,바른치킨,서울특별시 마포구 백범로 152 공덕파크자이상가 102동 13호,닭 / 오리 요리,만원 미만,5,
46,이서방네분식,서울특별시 마포구 도화길 46 B1 109호,기타 한식,만원 미만,4,
47,시골순대,서울특별시 마포구 월드컵북로1길 50,탕 / 찌개 / 전골,만원 미만,3,
48,염리동닭강정,서울특별시 마포구 백범로26길 2,닭 / 오리 요리,만원 미만,2,
49,신전떡볶이,서울특별시 마포구 월드컵북로38길 45 1F,기타 한식,만원 미만,2,
50,대만족,서울특별시 마포구 양화로6길 21,고기 요리,만원 미만,1,
51,치즈밥있슈,서울특별시 마포구 숭문길 98 마포자이3차상가 115호,퓨전 한식,만원 미만,5,
52,오복떡볶이,서울특별시 마포구 독막로31길 18,기타 한식,만원 미만,5,
53,고주파,서울특별시 마포구 광성로6길 28,고기 요리,만원 미만,4,
54,ING치킨,서울특별시 마포구 월드컵로 142,닭 / 오리 요리,만원 미만,3,
55,용마루굴다리껍데기,서울특별시 마포구 만리재옛길 64,고기 요리,만원 미만,1,
56,양지분식,서울특별시 마포구 대흥로 116,기타 한식,만원 미만,1,
57,연희옥,서울특별시 마포구 월드컵북로54길 25 ,탕 / 찌개 / 전골,만원 미만,1,
58,온달만두분식,서울특별시 마포구 백범로 109,기타 한식,만원 미만,5,
59,진시황북어국,서울특별시 마포구 백범로 199,탕 / 찌개 / 전골,만원 미만,3,
60,도마다리감자탕,서울특별시 마포구 도화길 6-12,탕 / 찌개 / 전골,만원 미만,2,
61,떡볶이돈까스,서울특별시 마포구 대흥로20길 10,기타 한식,만원 미만,3,
62,한강서초순대국,서울특별시 마포구 숭문길 20,탕 / 찌개 / 전골,만원 미만,2,
63,광흥창뚝배기집,서울특별시 마포구 서강로1길 12-9 1F,한정식 / 백반 / 정통 한식,만원 미만,1,
64,소구장,서울특별시 마포구 백범로 29,기타 한식,만원 미만,4,
65,신마포갈매기,서울특별시 마포구 대흥로 94,고기 요리,만원 미만,3,
66,정우네신숯불닭갈비,서울특별시 마포구 새창로 20-1,닭 / 오리 요리,만원 미만,4,
67,마포나룻가,서울특별시 마포구 마포대로12길 35,탕 / 찌개 / 전골,만원 미만,3,
68,킹콩부대찌개,서울특별시 마포구 토정로 197 광진빌딩 1F,탕 / 찌개 / 전골,만원 미만,3,
69,한양설농탕,서울특별시 마포구 도화길 20-4,탕 / 찌개 / 전골,만원 미만,2,
70,국수나무,서울특별시 마포구 도화길 6,국수 / 면 요리,만원 미만,2,
