,가게이름,리뷰,맛평가
0,신세계떡볶이,"신세계 백화점 보다 롯데 백화점이 더 가까운신세계 떡볶이. 떡볶이, 순대, 김밥 그리고 만두 튀김을 주문. 떡볶이 떡은 쌀떡이고 소스는 맑은 스타일x 점성 있는 스타일o소스에 마늘을 얼마나 듬뿍 넣었는지소스만 먹어도 아삭한 식감을 느낄 수 있다.한국인은 마늘이지. 마늘 잔뜩 들어간 달달한 떡볶이는 늘 옳다. 순대는 순대. 김밥은 가끔 품절될 때가 있으므로 먹고 싶다면 조금 서두를 것 (맛은 김밥맛 김밥). 떡볶이의 짝은 역시 튀김이다.바싹 튀겨져 한 입 베어물자마자파삭- 소리 나는 만두 튀김.속도 중국집 군만두에 근접한 수준으로 차 있다. 좁아서 받을 수 있는 팀이 한정되어있고,늘 대기가 있지만 생각보다 테이블 회전이 빠르니 실내에서 시원하게 먹어보는 것을 추천.",맛있다
1,신세계떡볶이,"45년 전통의 떡볶이라니 안먹어볼 수 없겠다 해서 들어간 곳!가게는 굉장히 협소했지만 안쪽을 시원하게 해놓으셔서 쾌적하게 먹을 수 있었다마늘맛이 알싸하게 정말 강했던 꾸덕하고 무게감 있는 떡볶이!오뎅국물도 칼칼하니 좋았고 군만두를 추천하는 글이 많아서 시켜보았는데 군만두가 정말 맛있었다! 바삭하고 건조하지않고 촉촉해서 먹기가 좋았던,,!!떡볶이의 양이 가격에 비해 많진 않고 호불호가 갈릴만한 맛이지만 그래도 한번 먹어볼만한 메리트가 있었다",맛있다
2,신세계떡볶이,마늘향이 강하고 매운 떡볶이입니다. 흔한 떡볶이 맛인줄 알고 (달고 학교앞에서 팔것같은)방문했으나 굉~장히 자극적입니다. 마치 수명이 주는 기분입니다. 그래도 제 여친님은 잘 드셨지만 마지막엔 조금 과한것 같다고 하더라구요. 또 명동 특성상 가성비도 그리 좋은 편은 아니라. 저는 별로였슴다. 김밥도 작고 들은것도 없고. 순대는 무난했슴다.,별로
3,신세계떡볶이,코로나 있을때 갔더니 당분간 문 닫는다규 써잇어서 없어지는줄알고 엄청 걱정핬는데 다시 열엇네요 ㅠㅠㅠ 사장님 넘 친절하시구 떡볶이도 찐하구 맛잇음 만두 존맛.. 또갈거임 ㅠ!,맛있다
4,신세계떡볶이,"⭐⭐⭐⭐☆떡볶이 (4.0), 김밥 (3.0).명동 인근에서 망고플레이트를 켤 때마다 어마어마하게 높은 평점, 그리고 수많은 가게들이 생기고 떠나가는 명동에서 50년을 버텨온 공력에 꼭 가봐야겠다고 벼르고 있던 곳이다. 코로나의 여파로 골목은 한산했지만, 이곳은 단골과 인근 회사원들이 간식을/식사를 하려 끊임없이 모여들던. 사장님이 이름을 외우는 손님들이 있는 떡볶이집은 처음보는데 (물론 여럿 있겠지만..!) 그만큼의 역사와 매력이 있는 곳일 것 같아 떡볶이가 나오기 전 부터 기대가 되었다..떡볶이의 소스는 정말 어디에서도 맛보지 못한 독특한 맛이었는데, 굉장히 달달하면서도 마늘이 입자가 보일 정도로 많이 들어가 알싸하고 칼칼한 맛을 더한다. 근데 단순히 마늘폭탄이라 자극적인 맛이라고 하기는 어려웠다. 감칠맛도 느껴지고, 단지 물엿만으로 낸 단순한 단맛이 아닌 퍽 복잡한 단맛이 느껴저 괜히 생활의달인까지 나온, 50년을 버틴 떡볶이가 아니구나 싶던. 함께 주문한 김밥에 소스를 찍어먹어도 맛있었다..다만 첫 입에서 느껴졌던 만족감은 두번째, 세번째 입 부터 급격히 사라졌다. 혀가 피로한 맛이기도 하고, 양념과 떡의 결합력이 좋지 못해 끊임없이 양념을 어디선가 길어와야 하는 피곤함도 있었던 점... 그리고 여자 손님들에게 계속 반말, 아가씨~~라고 부르는 사장님에게서 느껴지는 묘한 불편함. 성인 한 명이 겨우 지나갈 수 있는 좁은 실내 등은 식사의 경험을 다소 지치게 하던 포인트였다. .개인적으로는 포장해서 여러명과 가벼운 간식으로 나눠먹으면 좋겠다고 생각하던 곳. 식사차 방문했는데, 식사로는 다소 좋지 않은 선택이지 않았나 싶다.",괜찮다
5,신세계떡볶이,마늘맛이 많이 나는 자극적인 떡볶이 입니다 ( ⁼̴̤̆◡̶͂⁼̴̤̆ ) 자극적이라고 썼지만 엄청 맵지는 않고 달달한데 감칠맛이 많이 나는 떡볶이에요 원래 떡볶이는 자극적인 맛으로 먹는 거라고 생각하기 때문에 대만족하면서 먹었어요 평소에는 밀떡파지만 여기 쌀떡은 야들야들하고 부드러워서 좋더라구요  상당히 협소한 공간에 손님도 많아서 정신없고 바쁘신 와중에도 상냥하게 응대해주셔서 더 맛있게 먹고 온 거 같습니다 명동 갈 때마다 먹고 갈 거 같아요,맛있다
6,신세계떡볶이,평일 늦은 오후라 그런지 사람은 별로 없었어요. 혼자인데 먹고 싶은 메뉴가 너무 많아서 주문 못하고 갈팡지팡하니까 남자 사장님이 떡볶이랑 군만두 시키고 더 먹고 싶으면 그때 다른 거 시키라고 친절하게 팁을 주셨어요. 리뷰 찾아봤을 때 마늘맛이 많이 난다고 해서 떡볶이에 마늘맛이 뭘지 엄청 궁금했는데정말 한 입 딱 먹어보는 순간 오! 마늘맛!! 딱 이런 느낌이었어요 ㅎㅎ 매우 진한 떡볶인데 +@로 마늘맛까지 있는 가게만의 특징이 독특한 떡볶이에 군만두도 무난하게 맛있어서 오뎅국물까지 싹 비우고 나왔습니다.,맛있다
7,신세계떡볶이,맵지만 맛있는 떡볶이. 마늘향이 가득하고 파도 같이 양념에 버무러져서 먹으면 좋다. 군만두가 중국집에서 먹는 군만두처럼 바삭하고 튀김이 잘 튀겨짐. 기름쩐내가 안나서 좋고 맛있다. 떡볶이는 쌀떡이고 맛있음! 쫄깃하고 아주 맛나다. 김밥도 맛있다!,맛있다
8,신세계떡볶이,떡볶이. 순대. 튀김.,맛있다
9,신세계떡볶이,떡볶이가 조금 자극적임,괜찮다
