,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,깡통만두,서울특별시 종로구 북촌로2길 5-6 1F,한정식 / 백반 / 정통 한식,만원 미만,166,4.3
1,안암,서울특별시 종로구 북촌로5길 10,탕 / 찌개 / 전골,만원 미만,19,4.1
2,경춘자의라면땡기는날,서울특별시 종로구 율곡로3길 82,기타 한식,만원 미만,76,4.0
3,간판없는김치찌개집,서울특별시 종로구 인사동10길 23-14,탕 / 찌개 / 전골,만원 미만,9,4.0
4,북촌김치재,서울특별시 종로구 북촌로2길 8,탕 / 찌개 / 전골,만원 미만,9,4.0
5,유진식당,서울특별시 종로구 종로17길 40,국수 / 면 요리,만원 미만,15,3.9
6,이문설농탕,서울특별시 종로구 우정국로 38-13,탕 / 찌개 / 전골,만원 미만,50,3.9
7,밀양손만두,서울특별시 종로구 계동길 41,기타 한식,만원 미만,10,3.9
8,인사동항아리수제비,서울특별시 종로구 인사동8길 14-1,국수 / 면 요리,만원 미만,29,3.8
9,이밥,서울특별시 종로구 창덕궁1길 29,한정식 / 백반 / 정통 한식,만원 미만,7,3.8
10,온마을,서울특별시 종로구 삼청로 127,한정식 / 백반 / 정통 한식,만원 미만,10,3.7
11,닭칼,서울특별시 종로구 율곡로3길 64 2F,기타 한식,만원 미만,9,3.7
12,조선김밥,서울특별시 종로구 율곡로1길 78,기타 한식,만원 미만,30,3.6
13,풍년쌀농산,서울특별시 종로구 북촌로5가길 32,기타 한식,만원 미만,81,3.5
14,개성만두 궁,서울특별시 종로구 인사동10길 11-3,한정식 / 백반 / 정통 한식,만원 미만,24,3.5
15,르브리에,서울특별시 종로구 삼청로 75-8,기타 한식,만원 미만,11,3.4
16,먹쉬돈나,서울특별시 종로구 율곡로3길 74-7,기타 한식,만원 미만,29,3.3
17,툇마루집된장예술,서울특별시 종로구 인사동4길 5-26,한정식 / 백반 / 정통 한식,만원 미만,7,3.2
18,일미식당,서울특별시 종로구 삼일대로 428 낙원상가 B1,탕 / 찌개 / 전골,만원 미만,12,3.2
19,북촌손만두,서울특별시 종로구 인사동길 42-5,한정식 / 백반 / 정통 한식,만원 미만,15,3.0
20,별궁식당,서울특별시 종로구 윤보선길 19-16,한정식 / 백반 / 정통 한식,만원 미만,7,
21,떡싸롱,서울특별시 종로구 인사동3길 16,기타 한식,만원 미만,6,
22,삼숙이라면,서울특별시 종로구 종로11길 30,기타 한식,만원 미만,8,
23,문경올드,서울특별시 종로구 인사동7길 12,기타 한식,만원 미만,6,
24,황씨네대가추어탕,서울특별시 종로구 삼봉로 81 두산위브파빌리온 132호,탕 / 찌개 / 전골,만원 미만,4,
25,사동면옥,서울특별시 종로구 인사동8길 9,한정식 / 백반 / 정통 한식,만원 미만,5,
26,북촌도담,서울특별시 종로구 북촌로1길 9,탕 / 찌개 / 전골,만원 미만,6,
27,모랑,서울특별시 종로구 율곡로4길 55 원당빌딩,한정식 / 백반 / 정통 한식,만원 미만,3,
28,남도식객,서울특별시 종로구 인사동길 47-6,고기 요리,만원 미만,3,
29,만수의정원,서울특별시 종로구 북촌로5가길 35-2,한정식 / 백반 / 정통 한식,만원 미만,1,
30,북촌손만두,서울특별시 종로구 북촌로4길 10,한정식 / 백반 / 정통 한식,만원 미만,9,
31,합천돼지국밥,서울특별시 종로구 삼일대로 418-3,탕 / 찌개 / 전골,만원 미만,1,
32,안동손칼국수,서울특별시 종로구 창덕궁1길 25,국수 / 면 요리,만원 미만,1,
33,달항아리,서울특별시 종로구 인사동길 49 4F 403호,기타 한식,만원 미만,1,
34,시래기담은,서울특별시 종로구 삼청로 65-2 ,한정식 / 백반 / 정통 한식,만원 미만,2,
