,가게이름,리뷰,맛평가
0,깡통만두,먹어본 만두전골 중 가장 개운한 맛야채육수를 쓰나보다 국물이 엄청 깔끔하다사골육수도 매력있지만 개인적으론 이쪽이 더 취향워낙에 맑은 국물인데다 전분기가 많지 않은만두라 오래끓여도 국물이 텁텁해지지 않는다다만 칼국수 사리가 생칼국수라 넣자마자 엄청나게 걸쭉해지니 맑은국물을 미리 덜어놓자만두자체도 고기맛이 지배적이지 않고야채를 굉장히 잘 활용하는 집이구나 싶음건더기도 찢어놓은 고기보다 버섯이나 배추의비중이 훨씬 커서 먹고나면 속이 편안하다빨간 국물에 만두지만 아주 부담스럽지 않고맵지도 않아서 슴슴한 한식 좋아하는 사람에게 추천+) 포장했더니 저렇게 불에 바로 올리는 용기에 주셔서설거지 따로 할 필요 없이 대만족했음,맛있다
1,깡통만두,안국역에 오래된 만두 맛집이에요 ㅋㅋ 여기 비빔국수 엄청 좋아해서 오랜만에 다녀왔습니다~여기 만두 전골이 진짜 맛있는데 이번에는 두명이서 가서 아쉽게도 비빔국수랑 만두만 시켰어요!갠적으로 여기 제 인생 비빔국수거든요ㅠㅠ 만두 전골 중이랑 고민하다가 결국 역시 비빔국수다 하고 시켰습니다 ㅋㅋ 여기 비빔국수 면도 약간 칼국수면 스타일이구 고명으로 육전 잘게 썰어올라간게 포인트에요!!! 진짜 맛있어요 만두도 안에 알차게 새우 한가득! 여러 명이서 오신 분들은 여기 만두 전골도 꼭 드셔보세요 칼칼하면서 개운하고 정말 맛있습니다~ 11시반 오픈인데 11시 35분애 갔는데도 30분 넘게 기다렸어요! 주변 직장인들도 많이오는데 그냥 놀러오신 분들도 많아서 항상 대기 많고 테이블링으로 미리 줄서는게 나아요!,맛있다
2,깡통만두,칼만두 (9.5)비빔국수(+만두3개) (14.0)지나가다가 웨이팅이 많길래 궁금해서 담에 꼭 들려봐야겠다 벼르고 있다가 퇴근하자마자 달려갔어요! 흐흐6시 좀 넘어서 들어갔는데 웨이팅 없이 바로 식사 가능해서 아주 개꿀이였습니다요~뭘먹어야 하지 고민하면서 슬쩍 슬쩍 옆 테이블 보니까 만둣국하고 비빔국수를 많이 드시더라구요(+전도 많이 드시던데 두명이라 양이 많을것 같아서 못시킴ㅠ)고심끝에 칼만두와 비빔국수(+만두3개)를 주문했슴다칼만두 후기: 떡만두국과 사골국 맛이 나는 육수에 오동통한 칼국수 면. 따뜻한 국물을 첫입 먹자마자 진실의 미간이 찌푸려졌음 국물의 깊은맛과 오동통한 면의 조화가 예술.비빔국수 후기: 갠적으로 비빔국수와 쫄면을 좋아해 이집 저집 많이 먹어본 타입인데 맛이 다 거기서 거기지 하는 생각을 바꾸어버림. 오동통한 면에 아삭아삭한 열무김치와 육전의 고명이 더해져 감칠맛 나는 비빔국수의 맛이 남. 남자친구의 원픽사람들이 줄서있길래 얼마나 맛있나 하고 와본 곳인데 찐맛집을 찾아버렸음. 여기도 짬짜면처럼 비빔국수 칼만두 반반 있으면 너무 좋을 것 같아요 둘 다 맛있어서 하나 고르기 힘듦ㅠㅠ 담에 무족권 재방문 할거임!!,맛있다
3,깡통만두,"어머! 여긴 가봐야해!방문이유: 워낙 평이 좋아서 들렀는데... 줄이 길다 ㅜㅜ 참고로 그냥 줄 서면 안되고 입구 들어가서 테이블링 해둬야한다. 그거 모르고 첨에 그냥 줄 서 있다가 우리보다 늦게온 사람이 우리보다 먼저 들어가는 불상사가 생겼다 ㅜㅜ 그래서 결국 기다리는 시간만 40분쯤 걸린듯. 앞에 줄 서 있는 사람 많은데 속아서 그냥 줄 서면 안됨!가게: 사람이 많아서 다 둘러본건 아니지만, 가게가 좁지는 않다. 테이블 사이 간격도 좁은 편이라 꽤 많은 사람이 들어가는 듯. 그래서 회전이 느린 편은 아니다.음식: 수요미식회에서는 전골이랑 비빔국수가 나왔다고 하는데, 전골은 좀 부담일거 같아서... 칼만두랑 비빔국수+만두 세트로 주문. 칼만두는 칼국수면에 만두 3개 들어 있었다. 비빔국수는 민두 포함 세트로 시키면 찐만두 3개가 나온다. 여긴 만두 메뉴 시키면 해물만두/김치만두/고기만두가 나온다고 하는데, 손님 많아서 만두가 떨어지면 고기만두로 대체된다. 내가 먹던 날은 김치만두가 없었는지 해물만두랑 고기만두만 나왔다. 해물만두에는 통새우 한마리가 들어가 있는데 고기만두보다 얘가 더 맛있었다.맛: 칼국수 면이 부드러워서 내 취향이었다. 만두는 담백하고 깔끔한 맛. 특히 맛있었던 건 비빔국수. 칼국수면으로 만두는 비빔국수가 흔한건 아니라 좋기도 했지만, 안에 육전이랑 오이랑 열무 등 속재료가 많아서 식감도 넘 좋았다. 음식도 그렇고 나오는 반찬들도 간이 강하지 않아서 넘 좋았다.친절도: 사장님도 직원들도 굉장히 친절하시다. 바빠서 짜증날법도 한데 되게 친절하게 응대해주신다. 추천메뉴: 비빔국수는 강추! 깡통만두 가게 된다면 비빔국수는 꼭 먹어보길~ 난 또 갈건데 그때도 비빔국수는 꼭 시킬듯!",맛있다
4,깡통만두,"허걱.. 맛있다..비빔국수와 만두 3개, 칼만두 이렇게 먹었는데칼만두는 사골국물 베이스로 예상 가능한 맛있었다! 근데 엄청 맛있음.찐은 비빔국수. 면은 칼국수면인데 고명으로 육전이 잘게 잘라진 모양으로 올라가 참기름과 같이 섞어먹는다. 정말 최고의 맛. 비빔소도 강렬한 소스는 아니고 약간 삼삼한 맛으로 내 입맛에 딱 적당한 느낌이였다. 어른들이 좋아할 것 같은 맛!올해 먹은 음식 중 가장 맛있었다~~!",맛있다
5,깡통만두,해물베이스의 칼국수에 익숙해져서 고기육수 베이스는 그렇게 좋아하지 않지만 명동교자 이후 시도해 본 곳. 칼국수치고 어쩔수 없이 비쌌음. 국물보다 비빔이 맛있었음.,괜찮다
6,깡통만두,비빔보다는 만두국,맛있다
7,깡통만두,어릴적 어머니가 온갖 재료를 꾹꾹 눌러담아 빚으시던 손만두의 바로 그 맛!기름기를 걷고 또 걷어내며 끓인 사골국물로 만두국을 내오니 돌아가신 어머니 생각에 눈물 한 움큼 꿀꺽.. ㅠㅜ,맛있다
8,깡통만두,존맛입니더,맛있다
9,깡통만두,"호텔 주변에 맛있는 집이 너무 많았는데 그 중 포장 가능한 집들 추리고 땡기는 메뉴 추리고 해서 선택한 깡통만두입니다살살 걸어가니 십 분이 안 걸렸습니다 지나가는 길에 사람이 아주 많이 기다리고 있는 집이 보이면 거기가 바로 노티드 안국입니다 그 옆으로는 다운타우너 안국이 있습니다 날씨가 엄청 추웠는데 대단하다고 느꼈습니다만두전골 대 미리 포장 전화를 드렸는데 워낙 가게가 바쁜지 통화 중에도 정신이 없으시고 포장도 조금 시간이 걸린다고 합니다다섯시께 도착을 했는데 여기도 대기가 많습니다 토요일이기도 하고 날씨도 추우니 이런 요리가 생각이 나는 건 다 똑같은 것 같습니다포장 전화 드렸다고 말씀드리니 조금만 기다려달라고 포장되면 갖다주신다고 합니다 사장님께서 엄청나게 친절하십니다 잘 되는 가게에서 이런 친절을 느끼면 기분이 더 좋아지는 것 같습니다조금 기다려서 포장을 받고 숙소에 도착해 조리를 했습니다그대로 끓일 수 있는 일회용 냄비라서 아주 편합니다 사골육수 두 병 중 하나만 먼저 넣고 끓이면 됩니다 채수가 나와서 물이 넉넉해집니다끓기 시작하면 가운데 고기양념을 잘 풀어주면 되는데 밑에 야채가 빡빡하게 들어있고 만두가 깨질까 조심스러워 양념을 풀기가 조금 어려웠습니다잘 마무리가 되서 맛을 봤습니다맛있습니다 사골의 깊은 맛과 채수의 담백함이 잘 어울려 참 좋습니다 양념장도 맛이 과하지않고 딱 빨감의 뉘앙스만 풍겨줍니다 아주 깔끔한 맛입니다만두도 속이 꽉 차있고 두부소가 내는 담백한 맛이 참 좋았습니다 인 당 세 알 씩 먹을 수 있으니 양도 괜찮았습니다국물을 한껏 머금은 다양한 야채들 중 버섯, 미나리, 배추, 죽순은 국물과 함께 먹으면 또 훌륭한 술안주가 되어줍니다어마어마한 대기에 가게에서 먹을까는 모르겠지만 포장은 또 생각이 날 것 같습니다추신 칼국수 사리도 들어있었는데 걔는 다음 리뷰에..재방문 의사 : △",맛있다
10,깡통만두,멍멍,맛있다
11,깡통만두,만두전골이랑 비빔면 먹엇다만두전골 맛있다. 밥 말아 먹으면 개꿀맛비빔면은 좀 딱딱하고 떡같아서 그냥그랬다,괜찮다
12,깡통만두,"평일 점심 기준 1시간 정도 웨이팅하고 들어갔습니다.웨이팅이 오래걸리는 이유는 맛집이라서가 아니라 다른 이유였습니다.* 좁은 내부. 점심 메뉴 제한 없음. 느린 뒷정리내부가 좁고 테이블이 적은 편인데 심지어 단품 메뉴보단 만두전골 손님이 더 많습니다. 단품 메뉴는 상당히 빠르게 나오는 편이지만 만두전골은 시간이 걸립니다. 먹는 시간이야 당연히 더 걸리죠. 어머니랑 둘이 가서 만둣국, 칼만두 먹고 나올때까지도 한참전에 먼저들어갔던 팀은 만두전골시켜서 그때까지도 먹고있었습니다. 게다가 직원분들이 자리가 비면 즉각 치워주시는게 아니고 사장님이 얘기하시면 그제서야 가서 자리 정리하시더라고요. 애타는건 사장님과 웨이팅하는 손님들 뿐인것같았습니다. 기다리면서도 무슨 만둣국 하나 먹는데 이렇게 기다리나 싶었는데 들어와서 돌아가는 상황을 보니 오래걸릴만 하더라고요. 근처에 회사가 많은데 이 가게만 유독 직장인들은 거의 없고 대부분 놀러온 사람들이라서 웨이팅이 더 긴 것 같습니다.그럼 기다린만큼의 맛을 볼 수 있느냐? 그건 아니라고 봅니다. 새우가 들어간 만두는 상당히 맛있었지만 고기만두는 그냥 어지간히 잘한다고 소문난 곳들과 별반 다를게 없었습니다. 그러니깐 굳이 시간버리고 기다리면서까지 먹을 특별한 음식은 아니라는 겁니다. 정말 앞에 2-3팀 남아서 잠깐 기다리다 먹을 수 있거나 그 근처 살아서 사람없을때 가서 먹지않는 이상은 기다림에 비해 맛이 보장되지 않는다 생각합니다. 그리고 주변에 앉을 자리가 없고 골목이 좁아 웨이팅이 더 힘들 수 있습니다. 의자가 입구에 2개 있는데 완전 눈치싸움이고요. 메뉴가 메뉴다보니 부모님 모시고 오는 가족단위 손님도 많았는데 근처에 딱히 있을 수 있는 곳이 없어 난감해하시더라고요. 다행히 웨이팅 예약안내는 핸드폰으로 확인할 수 있어서 근처 카페에 가서 시간때우다 대강 시간 맞춰서 오기에는 좋았습니다. 하지만 주변 카페들도 핫플레이스라서 사람이 많아 카페 찾는것도 일입니다.",괜찮다
