,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,맛있는집,서울특별시 서대문구 거북골로20길 55,기타 한식,만원 미만,21,4.3
1,아바이왕순대,서울특별시 서대문구 충정로6안길 52,탕 / 찌개 / 전골,만원 미만,9,4.1
2,엄마식탁,서울특별시 서대문구 연희맛로 17-21,한정식 / 백반 / 정통 한식,만원 미만,5,4.1
3,연희단팥죽,서울특별시 서대문구 연희로11가길 8-5,기타 한식,만원 미만,11,4.0
4,호천식당,서울특별시 서대문구 연희로14길 5,국수 / 면 요리,만원 미만,11,3.9
5,연희김밥,서울특별시 서대문구 연희로11가길 2,기타 한식,만원 미만,35,3.8
6,연희동칼국수,서울특별시 서대문구 연희맛로 37,국수 / 면 요리,만원 미만,15,3.6
7,연희별밥,서울특별시 서대문구 연희로15길 31,한정식 / 백반 / 정통 한식,만원 미만,18,3.5
8,석교식당,서울특별시 서대문구 통일로 183-1,탕 / 찌개 / 전골,만원 미만,10,3.5
9,모래내곱창,서울특별시 서대문구 증가로10길 26,고기 요리,만원 미만,6,3.5
10,한옥집,서울특별시 서대문구 통일로9길 12 1F,탕 / 찌개 / 전골,만원 미만,10,3.4
11,철길떡볶이,서울특별시 서대문구 충정로 35-6,기타 한식,만원 미만,31,3.3
12,백암왕순대,서울특별시 서대문구 증가로 13-6,탕 / 찌개 / 전골,만원 미만,12,3.3
13,딸부잣집백반,서울특별시 서대문구 포방터2길 5,한정식 / 백반 / 정통 한식,만원 미만,1,
14,찜우동,서울특별시 서대문구 간호대로3길 60,기타 한식,만원 미만,6,
15,청안식탁,서울특별시 서대문구 충정로4길 21,닭 / 오리 요리,만원 미만,3,
16,인라면,서울특별시 서대문구 명지대2길 2,기타 한식,만원 미만,3,
17,원조떡볶이,서울특별시 서대문구 통일로 205-5,기타 한식,만원 미만,5,
18,도깨비칼국수,서울특별시 서대문구 영천시장길 40 1F,국수 / 면 요리,만원 미만,4,
19,모래내설농탕,서울특별시 서대문구 모래내로 271,탕 / 찌개 / 전골,만원 미만,4,
20,밀양돼지국밥,서울특별시 서대문구 서소문로 55-9,탕 / 찌개 / 전골,만원 미만,4,
21,장터순대국,서울특별시 서대문구 세검정로 46,탕 / 찌개 / 전골,만원 미만,3,
22,굴대박 초계국수,서울특별시 서대문구 독립문로 66-1,해산물 요리,만원 미만,5,
23,연희옥,서울특별시 서대문구 연희로 81-26,탕 / 찌개 / 전골,만원 미만,5,
24,돈까스가땡길때,서울특별시 서대문구 연희로8길 14 1F,기타 한식,만원 미만,5,
25,전통만두,서울특별시 서대문구 연희로8길 5-3,기타 한식,만원 미만,5,
26,파파,서울특별시 서대문구 연희로10길 77,한정식 / 백반 / 정통 한식,만원 미만,4,
27,영천떡볶이,서울특별시 서대문구 영천시장길 22,기타 한식,만원 미만,4,
28,맛있는칼국수,서울특별시 서대문구 불광천길 150,국수 / 면 요리,만원 미만,2,
29,백년추어탕,서울특별시 서대문구 증가로 9,탕 / 찌개 / 전골,만원 미만,4,
30,퐁닭떡볶이,서울특별시 서대문구 명지대2길 14 1F 103호,기타 한식,만원 미만,2,
31,최가상회,서울특별시 서대문구 영천시장길 68 영천시장,한정식 / 백반 / 정통 한식,만원 미만,2,
32,녹원쌈밥,서울특별시 서대문구 연희로25길 22,고기 요리,만원-2만원,15,4.3
33,제주도그릴,서울특별시 서대문구 연희로 89,고기 요리,만원-2만원,9,4.3
34,참맛집,서울특별시 서대문구 경기대로 82,고기 요리,만원-2만원,6,4.2
35,월순철판동태찜,서울특별시 서대문구 연희맛로 17-14,해산물 요리,만원-2만원,5,4.1
36,서대문족발,서울특별시 서대문구 충정로6안길 54,고기 요리,만원-2만원,26,4.1
37,고미정,서울특별시 서대문구 연희로26길 24,한정식 / 백반 / 정통 한식,만원-2만원,5,4.1
38,연탄생고기집,서울특별시 서대문구 홍제천로 76,고기 요리,만원-2만원,7,4.1
39,닭내장집,서울특별시 서대문구 수색로 28-5,닭 / 오리 요리,만원-2만원,5,4.0
40,안춘선갈비배추탕,서울특별시 서대문구 통일로 135 B1F,탕 / 찌개 / 전골,만원-2만원,15,4.0
41,주반여름,서울특별시 서대문구 연희맛로 17-13,퓨전 한식,만원-2만원,10,4.0
42,청송함흥냉면,서울특별시 서대문구 연희맛로 6 에스빌딩,국수 / 면 요리,만원-2만원,10,3.7
43,조은집,서울특별시 서대문구 연희맛로 43,한정식 / 백반 / 정통 한식,만원-2만원,15,3.6
44,장호왕곱창,서울특별시 서대문구 통일로 107-13,고기 요리,만원-2만원,10,3.4
45,고릴라,서울특별시 서대문구 충정로 22-2,고기 요리,만원-2만원,10,
46,민스키친,서울특별시 서대문구 연희맛로 7,한정식 / 백반 / 정통 한식,만원-2만원,6,
47,용씨네누룽지통닭구이,서울특별시 서대문구 통일로39가길 10-3,닭 / 오리 요리,만원-2만원,4,
48,등촌샤브칼국수,서울특별시 서대문구 모래내로 273,탕 / 찌개 / 전골,만원-2만원,3,
49,닭발상점,서울특별시 서대문구 명지대길 54,닭 / 오리 요리,만원-2만원,4,
50,왕언니갈비탕,서울특별시 서대문구 연희맛로 28,탕 / 찌개 / 전골,만원-2만원,7,
51,가우,서울특별시 서대문구 세검정로 9,고기 요리,만원-2만원,3,
52,초가집,서울특별시 서대문구 연희로 90-1,고기 요리,만원-2만원,5,
53,미향,서울특별시 서대문구 충정로11길 8,기타 한식,만원-2만원,2,
54,미동식당,서울특별시 서대문구 충정로6길 59 1F,해산물 요리,만원-2만원,6,
55,짚불집,서울특별시 서대문구 연희로8길 5-3,고기 요리,만원-2만원,2,
56,이판저판,서울특별시 서대문구 통일로 153-1,고기 요리,만원-2만원,3,
57,가고싶은 선리네,서울특별시 서대문구 증가로 53 1F,한정식 / 백반 / 정통 한식,만원-2만원,2,
58,원마산아구찜,서울특별시 서대문구 통일로 387,해산물 요리,만원-2만원,3,
59,동네고기,서울특별시 서대문구 세무서길 59 ,고기 요리,만원-2만원,1,
60,비진도해물뚝배기,서울특별시 서대문구 서소문로 53,해산물 요리,만원-2만원,4,
61,용씨네누룽지통닭구이,서울특별시 서대문구 통일로39가길 10-3,닭 / 오리 요리,만원-2만원,4,
62,훗닭훗닭,서울특별시 서대문구 홍제천로 160,닭 / 오리 요리,만원-2만원,7,
63,등촌샤브칼국수,서울특별시 서대문구 모래내로 273,탕 / 찌개 / 전골,만원-2만원,3,
64,닭발상점,서울특별시 서대문구 명지대길 54,닭 / 오리 요리,만원-2만원,4,
65,한돈의달인,서울특별시 서대문구 통일로 510 북한산 더샵상가 101-3호,고기 요리,만원-2만원,1,
66,초가집,서울특별시 서대문구 연희로 90-1,고기 요리,만원-2만원,5,
67,192전집,서울특별시 서대문구 연희맛로 5,한정식 / 백반 / 정통 한식,만원-2만원,3,
68,이판저판,서울특별시 서대문구 통일로 153-1,고기 요리,만원-2만원,3,
69,원마산아구찜,서울특별시 서대문구 통일로 387,해산물 요리,만원-2만원,3,
70,동네고기,서울특별시 서대문구 세무서길 59 ,고기 요리,만원-2만원,1,
71,비진도해물뚝배기,서울특별시 서대문구 서소문로 53,해산물 요리,만원-2만원,4,
72,제주식탁,서울특별시 서대문구 통일로39가길 64,한정식 / 백반 / 정통 한식,만원-2만원,1,
73,유진치킨,서울특별시 서대문구 세무서7길 13,닭 / 오리 요리,만원-2만원,3,
74,어상,서울특별시 서대문구 통일로9안길 36-3,한정식 / 백반 / 정통 한식,만원-2만원,2,
75,북문우리집,서울특별시 서대문구 연희로26길 23,한정식 / 백반 / 정통 한식,만원-2만원,2,
76,거북골숯불갈비,서울특별시 서대문구 증가로 215,고기 요리,만원-2만원,1,
77,놀란곱창,서울특별시 서대문구 응암로 100,고기 요리,만원-2만원,1,
78,장모생각,서울특별시 서대문구 충정로2길 8,고기 요리,만원-2만원,1,
79,청기와소금구이,서울특별시 서대문구 충정로11길 21-4,고기 요리,만원-2만원,1,
80,마포소금구이,서울특별시 서대문구 통일로 389,고기 요리,만원-2만원,1,
81,남산골뱅이,서울특별시 서대문구 통일로 107  미근빌딩 2F,해산물 요리,만원-2만원,1,
82,신원당마늘보쌈,서울특별시 서대문구 서소문로 61-1,고기 요리,만원-2만원,1,
83,교촌치킨,서울특별시 서대문구 통일로 153-1,닭 / 오리 요리,만원-2만원,3,
84,썬더치킨,서울특별시 서대문구 통일로37길 21,닭 / 오리 요리,만원-2만원,1,
85,지호한방삼계탕,서울특별시 서대문구 연희로25길 10,탕 / 찌개 / 전골,만원-2만원,2,
86,연희보리밥,서울특별시 서대문구 연희맛로 33,한정식 / 백반 / 정통 한식,만원-2만원,2,
87,홍제솥뚜껑생삼겹살,서울특별시 서대문구 홍제내길 128,고기 요리,만원-2만원,1,
88,선진국낙지마당,서울특별시 서대문구 충정로9길 12,해산물 요리,만원-2만원,1,
89,하남돼지집,서울특별시 서대문구 충정로 71-1,고기 요리,만원-2만원,1,
90,삼삼치킨,서울특별시 서대문구 응암로 90,닭 / 오리 요리,만원-2만원,1,
91,정정아식당,서울특별시 서대문구 통일로9안길 36-2,탕 / 찌개 / 전골,만원-2만원,1,
92,표현식당,서울특별시 서대문구 통일로9안길 7 1F,고기 요리,만원-2만원,1,
93,계동치킨,서울특별시 서대문구 통일로9안길 37,닭 / 오리 요리,만원-2만원,1,
94,옛날왕솥뚜껑생삼겹살,서울특별시 서대문구 통일로39길 22-58 1F,고기 요리,만원-2만원,1,
95,모래내꼼장어,서울특별시 서대문구 수색로 42,해산물 요리,만원-2만원,1,
96,마이샤브,서울특별시 서대문구 통일로 484 유진상가 1F,탕 / 찌개 / 전골,만원-2만원,1,
97,바네스치킨,서울특별시 서대문구 증가로 14,닭 / 오리 요리,만원-2만원,2,
98,오감도,서울특별시 서대문구 충정로 47,고기 요리,만원-2만원,3,
99,포방식당,서울특별시 서대문구 홍은중앙로8길 19,고기 요리,만원-2만원,1,
100,아리동동,서울특별시 서대문구 충정로11길 21-3,한정식 / 백반 / 정통 한식,만원-2만원,1,
101,평양옥,서울특별시 서대문구 통일로 107-23,탕 / 찌개 / 전골,만원-2만원,2,
