,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,엘림들깨수제비칼국수,서울특별시 강북구 삼각산로 67,국수 / 면 요리,만원 미만,30,4.2
1,벼랑순대국,서울특별시 강북구 한천로 924,탕 / 찌개 / 전골,만원 미만,8,4.1
2,참만두,서울특별시 도봉구 노해로 383 KB국민은행 창동지점 앞,한정식 / 백반 / 정통 한식,만원 미만,11,4.0
3,옛곰탕집,서울특별시 강북구 도봉로71가길 4,탕 / 찌개 / 전골,만원 미만,10,3.9
4,북한산 인수재,서울특별시 강북구 수유동 산 17-1,고기 요리,만원 미만,5,3.9
5,최고집칼국수,서울특별시 도봉구 덕릉로 270,국수 / 면 요리,만원 미만,5,3.8
6,만두향,서울특별시 강북구 한천로123길 61,한정식 / 백반 / 정통 한식,만원 미만,6,3.8
7,춘천막국수,서울특별시 강북구 삼양로141길 4-4,국수 / 면 요리,만원 미만,5,3.7
8,수유리우동집,서울특별시 강북구 덕릉로 98,기타 한식,만원 미만,5,3.6
9,수유손칼국수,서울특별시 강북구 도봉로101길 45,국수 / 면 요리,만원 미만,8,3.6
10,제일분식,서울특별시 강북구 숭인로 65-3,기타 한식,만원 미만,11,2.8
11,썬데이스낵,서울특별시 강북구 도봉로10길 54 남상빌딩 1F,기타 한식,만원 미만,4,
12,어랑,서울특별시 도봉구 도봉로170길 2,한정식 / 백반 / 정통 한식,만원 미만,2,
13,예와손만두,서울특별시 강북구 4.19로 40-8,한정식 / 백반 / 정통 한식,만원 미만,6,
14,김밥은,서울특별시 강북구 한천로 1016,기타 한식,만원 미만,11,4.1
15,옛곰탕집,서울특별시 강북구 도봉로71가길 4,탕 / 찌개 / 전골,만원 미만,14,3.9
16,여러분평양냉면,서울특별시 강북구 한천로 1074 1F 7호,국수 / 면 요리,만원 미만,12,3.9
17,북한산 인수재,서울특별시 강북구 수유동 산 17-1,고기 요리,만원 미만,7,3.9
18,최고집칼국수,서울특별시 도봉구 덕릉로 270,국수 / 면 요리,만원 미만,5,3.8
19,만두향,서울특별시 강북구 한천로123길 61,한정식 / 백반 / 정통 한식,만원 미만,6,3.8
20,춘천막국수,서울특별시 강북구 삼양로141길 4-4,국수 / 면 요리,만원 미만,12,3.7
21,수유리우동집,서울특별시 강북구 덕릉로 98,기타 한식,만원 미만,5,3.6
22,수유손칼국수,서울특별시 강북구 도봉로101길 45,국수 / 면 요리,만원 미만,8,3.6
23,제일분식,서울특별시 강북구 숭인로 65-3,기타 한식,만원 미만,11,2.8
24,크래미김밥우동집,서울특별시 강북구 노해로 117,기타 한식,만원 미만,4,
25,어랑,서울특별시 도봉구 도봉로170길 2,한정식 / 백반 / 정통 한식,만원 미만,2,
26,예와손만두,서울특별시 강북구 4.19로 40-8,한정식 / 백반 / 정통 한식,만원 미만,6,
27,경우가,서울특별시 도봉구 덕릉로 282-1,탕 / 찌개 / 전골,만원 미만,1,
28,미아골목냉면,서울특별시 강북구 도봉로13길 22,국수 / 면 요리,만원 미만,1,
29,수유골목냉면,서울특별시 강북구 솔매로45길 92,국수 / 면 요리,만원 미만,2,
30,청양육개장,서울특별시 강북구 도봉로53길 7 1F,탕 / 찌개 / 전골,만원 미만,3,
31,영즉석떡볶이,서울특별시 도봉구 도봉로109길 35-26,기타 한식,만원 미만,4,
32,봉평메밀촌,서울특별시 도봉구 방학로 31-16 신일빌딩,국수 / 면 요리,만원 미만,2,
33,텐더크래커,서울특별시 도봉구 마들로11가길 6-25 1F 104호,닭 / 오리 요리,만원 미만,2,
34,와92닭,서울특별시 도봉구 덕릉로57길 36 신창시장내,닭 / 오리 요리,만원 미만,1,
35,도레미분식즉석떡볶이,서울특별시 도봉구 삼양로144길 18,기타 한식,만원 미만,4,
36,곰이순대국,서울특별시 강북구 삼양로30길 6,탕 / 찌개 / 전골,만원 미만,3,
37,조이키친,서울특별시 도봉구 삼양로144길 3-8,퓨전 한식,만원 미만,5,
38,모람,서울특별시 도봉구 삼양로144길 25-11,한정식 / 백반 / 정통 한식,만원 미만,4,
39,방학동이야기,서울특별시 도봉구 도봉로146길 40,기타 한식,만원 미만,2,
40,행복김밥,서울특별시 도봉구 해등로 128,기타 한식,만원 미만,2,
41,홍두깨손칼국수,서울특별시 도봉구 덕릉로58길 3 ,국수 / 면 요리,만원 미만,2,
42,망향비빔국수,서울특별시 도봉구 도봉로 534  1F,국수 / 면 요리,만원 미만,1,
43,샘터마루,서울특별시 강북구 4.19로12길 35,탕 / 찌개 / 전골,만원 미만,4,
