,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,고삼이,서울특별시 서대문구 연세로7안길 38,한정식 / 백반 / 정통 한식,만원 미만,88,4.3
1,영미김밥,서울특별시 서대문구 신촌역로 21 1F,기타 한식,만원 미만,38,4.3
2,심플리키친,서울특별시 서대문구 이화여대5길 35 107호,기타 한식,만원 미만,25,4.3
3,북성해장국,서울특별시 서대문구 신촌로35길 7,탕 / 찌개 / 전골,만원 미만,5,4.3
4,아콘스톨,서울특별시 서대문구 신촌역로 17 110호,기타 한식,만원 미만,11,4.3
5,이세계는놀이터예요,서울특별시 서대문구 이화여대길 88-15 1F 2호,퓨전 한식,만원 미만,8,4.2
6,가미분식,서울특별시 서대문구 이화여대8길 2,기타 한식,만원 미만,26,4.1
7,대명꼬기,서울특별시 서대문구 명물길 27-15,고기 요리,만원 미만,6,4.1
8,조선의육개장,서울특별시 서대문구 연세로5나길 20,탕 / 찌개 / 전골,만원 미만,83,4.0
9,삭,서울특별시 서대문구 이화여대3길 12,기타 한식,만원 미만,93,4.0
10,오리지날분식,서울특별시 서대문구 이화여대길 88-9,기타 한식,만원 미만,9,4.0
11,만냥하우스,서울특별시 서대문구 성산로 402-1,기타 한식,만원 미만,11,4.0
12,신촌오빠네옛날떡볶이,서울특별시 서대문구 연세로5다길 22-7,기타 한식,만원 미만,8,4.0
13,또보겠지떡볶이집,서울특별시 서대문구 연세로4길 19,기타 한식,만원 미만,79,3.9
14,신촌귀일만두,서울특별시 마포구 신촌로 108,한정식 / 백반 / 정통 한식,만원 미만,8,3.9
15,연희김밥,서울특별시 서대문구 신촌로 61-1 화현빌딩,기타 한식,만원 미만,6,3.9
16,빠빠빠치킨,서울특별시 서대문구 연세로11길 19,닭 / 오리 요리,만원 미만,16,3.8
17,청년국수,서울특별시 서대문구 연세로12길 23,국수 / 면 요리,만원 미만,38,3.7
18,소녀방앗간,서울특별시 서대문구 이화여대길 52-39,한정식 / 백반 / 정통 한식,만원 미만,29,3.7
19,치즈를사랑한찜닭,서울특별시 서대문구 연세로 29,닭 / 오리 요리,만원 미만,23,3.7
20,카우떡볶이,서울특별시 서대문구 이화여대길 88-21,기타 한식,만원 미만,16,3.7
21,유자유김치떡볶이,서울특별시 서대문구 연세로11길 22,기타 한식,만원 미만,19,3.7
22,공릉닭한마리,서울특별시 서대문구 연세로2길 77,닭 / 오리 요리,만원 미만,10,3.7
23,육산,서울특별시 서대문구 이화여대길 42,퓨전 한식,만원 미만,7,3.7
24,어바웃샤브,서울특별시 서대문구 이화여대8길 2,탕 / 찌개 / 전골,만원 미만,11,3.7
25,크리스터치킨,서울특별시 서대문구 연세로11길 30,닭 / 오리 요리,만원 미만,14,3.7
26,신촌 닭한마리 유닭스토리,서울특별시 서대문구 연세로4길 7,닭 / 오리 요리,만원 미만,11,3.7
27,유채우요리사랑,서울특별시 서대문구 연세로 41,한정식 / 백반 / 정통 한식,만원 미만,8,3.7
28,신촌수제비,서울특별시 서대문구 신촌로 87-8,국수 / 면 요리,만원 미만,18,3.6
29,새문순대국,서울특별시 마포구 대흥로 163-1,탕 / 찌개 / 전골,만원 미만,15,3.6
30,김광석신촌칼국수,서울특별시 서대문구 명물길 70 1F,탕 / 찌개 / 전골,만원 미만,9,3.6
31,베지베어,서울특별시 서대문구 신촌역로 25-2 박스퀘어 2F 49호,퓨전 한식,만원 미만,6,3.6
32,도토리칼국수,서울특별시 서대문구 명물길 27-19,국수 / 면 요리,만원 미만,18,3.5
33,맨도롱식당,서울특별시 서대문구 연세로5가길 8-3,국수 / 면 요리,만원 미만,15,3.5
34,설레임삼겹살,서울특별시 서대문구 연세로5가길 31 낙원빌딩 1F,고기 요리,만원 미만,14,3.5
35,형제식당,서울특별시 마포구 신촌로16길 4,기타 한식,만원 미만,8,3.5
36,춘천집닭갈비막국수,서울특별시 서대문구 연세로5가길 1,닭 / 오리 요리,만원 미만,15,3.4
37,엠브로돈까스,서울특별시 서대문구 명물길 26 1F,기타 한식,만원 미만,14,3.4
38,뜸들이다,서울특별시 마포구 백범로 20,기타 한식,만원 미만,16,3.4
39,딸기골분식,서울특별시 서대문구 연대동문길 29,기타 한식,만원 미만,10,3.4
40,화가와요리사,서울특별시 서대문구 성산로 539,기타 한식,만원 미만,16,3.4
41,보승회관,서울특별시 서대문구 연세로5길 26,탕 / 찌개 / 전골,만원 미만,8,3.4
42,돈까스대왕전,서울특별시 서대문구 신촌로 155 해암빌딩 2F,기타 한식,만원 미만,6,3.4
43,디델리,서울특별시 서대문구 이화여대7길 16 2F,기타 한식,만원 미만,10,3.3
44,맛있는순두부&김치찜,서울특별시 서대문구 명물길 36,탕 / 찌개 / 전골,만원 미만,8,3.3
45,독립문설렁탕,서울특별시 서대문구 명물1길 2,탕 / 찌개 / 전골,만원 미만,7,3.3
46,싸움의고수,서울특별시 서대문구 명물길 20 1F,고기 요리,만원 미만,20,3.1
47,꼬꼬아찌숯불치킨,서울특별시 서대문구 연세로9길 16,닭 / 오리 요리,만원 미만,14,2.8
48,신계치,서울특별시 서대문구 명물길 47,기타 한식,만원 미만,13,2.7
49,마포만두,서울특별시 서대문구 신촌로 87-4,한정식 / 백반 / 정통 한식,만원 미만,12,2.7
50,더진국,서울특별시 서대문구 연세로5가길 4,국수 / 면 요리,만원 미만,13,2.7
51,다발김치찌개,서울특별시 서대문구 연세로11길 8 B1,한정식 / 백반 / 정통 한식,만원 미만,4,
52,김종구부산어묵,서울특별시 서대문구 신촌로 187,기타 한식,만원 미만,4,
53,참참참,서울특별시 서대문구 이화여대길 52-31 1F,한정식 / 백반 / 정통 한식,만원 미만,9,
54,따봉이네,서울특별시 서대문구 신촌로 117,기타 한식,만원 미만,8,
55,우리집식당,서울특별시 서대문구 이화여대길 72-6 2F,탕 / 찌개 / 전골,만원 미만,5,
56,예즈지,서울특별시 서대문구 연세로7길 13,닭 / 오리 요리,만원 미만,4,
57,두끼,서울특별시 서대문구 이화여대길 89 2F,기타 한식,만원 미만,3,
58,불밥,서울특별시 서대문구 이화여대8길 11,고기 요리,만원 미만,11,
59,풍국면,서울특별시 서대문구 신촌로 83 현대백화점 신촌점 10F,국수 / 면 요리,만원 미만,5,
60,더도이축산직영점,서울특별시 서대문구 연세로7길 24 1F,고기 요리,만원 미만,4,
61,김삼보김치찌개,서울특별시 서대문구 명물길 62,탕 / 찌개 / 전골,만원 미만,4,
62,맛있는식사,서울특별시 서대문구 이화여대3길 12-6 B1,한정식 / 백반 / 정통 한식,만원 미만,8,
63,청년다방,서울특별시 서대문구 신촌로 139,기타 한식,만원 미만,9,
64,한솔냉면,서울특별시 서대문구 신촌로 83 현대백화점 신촌점 B1,국수 / 면 요리,만원 미만,6,
65,개미집,서울특별시 서대문구 연세로11길 15 1F,해산물 요리,만원 미만,4,
66,백암순대국,서울특별시 서대문구 연세로11길 13,탕 / 찌개 / 전골,만원 미만,7,
67,훼드라,서울특별시 서대문구 연세로5길 32,한정식 / 백반 / 정통 한식,만원 미만,4,
68,신촌설렁탕,서울특별시 서대문구 연세로2길 9,탕 / 찌개 / 전골,만원 미만,1,
69,신촌잔치국수,서울특별시 서대문구 연세로 1,국수 / 면 요리,만원 미만,1,
70,콩불,서울특별시 서대문구 연세로 35,고기 요리,만원 미만,1,
71,호남기사식당,서울특별시 서대문구 북아현로 70,한정식 / 백반 / 정통 한식,만원 미만,1,
72,누들김밥,서울특별시 서대문구 이화여대8길 2,기타 한식,만원 미만,8,
73,장군닭갈비,서울특별시 서대문구 연세로9길 7 2F,닭 / 오리 요리,만원 미만,10,
74,어머니가구워주신생선구이,서울특별시 서대문구 명물길 42,한정식 / 백반 / 정통 한식,만원 미만,3,
75,놀부부대찌개&철판구이,서울특별시 서대문구 연세로 23,탕 / 찌개 / 전골,만원 미만,3,
76,닭발먹은새우,서울특별시 서대문구 연세로5가길 8-3,닭 / 오리 요리,만원 미만,4,
77,바지락수제비칼국수,서울특별시 서대문구 신촌로 87-20,국수 / 면 요리,만원 미만,2,
78,원조감자탕,서울특별시 서대문구 연세로5다길 8,탕 / 찌개 / 전골,만원 미만,3,
79,니뽕내뽕,서울특별시 서대문구 명물길 26 1F,퓨전 한식,만원 미만,7,
80,장군삼겹살,서울특별시 서대문구 연세로9길 22,고기 요리,만원 미만,1,
81,착한순우리,서울특별시 마포구 숭문길 216,한정식 / 백반 / 정통 한식,만원 미만,2,
82,미정국수0410,서울특별시 서대문구 연세로7안길 2 1F,국수 / 면 요리,만원 미만,13,
83,고향,서울특별시 서대문구 연세로7안길 52,고기 요리,만원 미만,7,
84,테라스,서울특별시 서대문구 북아현로 2,기타 한식,만원 미만,5,
