,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,코리아식당,서울특별시 마포구 연희로 35,한정식 / 백반 / 정통 한식,만원 미만,24,3.7
1,월강부산돼지국밥,서울특별시 마포구 동교로 241-1,탕 / 찌개 / 전골,만원 미만,29,3.6
2,또보겠지떡볶이집,서울특별시 마포구 양화로19길 22-25,기타 한식,만원 미만,25,3.5
3,교동집,서울특별시 마포구 동교로 208,해산물 요리,만원 미만,18,3.5
4,봉쥬르밥상,서울특별시 마포구 성미산로26길 37 B1,탕 / 찌개 / 전골,만원 미만,18,3.5
5,감나무집기사식당,서울특별시 마포구 연남로 25,한정식 / 백반 / 정통 한식,만원 미만,31,3.4
6,해피치즈스마일,서울특별시 마포구 동교로 244-1 2F,기타 한식,만원 미만,12,3.4
7,마포곱창타운,서울특별시 마포구 동교로27길 20,고기 요리,만원 미만,12,3.3
8,윤수김밥,서울특별시 마포구 동교로 221,기타 한식,만원 미만,7,3.2
9,올바른김밥,서울특별시 마포구 성미산로 198 동진시장,기타 한식,만원 미만,5,3.0
10,꽃살집,서울특별시 마포구 동교로 212-2 1F,퓨전 한식,만원 미만,5,
11,감미분식,서울특별시 마포구 동교로38안길 7  B1,기타 한식,만원 미만,3,
12,밥스바비,서울특별시 마포구 동교로 225,기타 한식,만원 미만,8,
13,산동꾸냥수제만두,서울특별시 마포구 연남로 12,한정식 / 백반 / 정통 한식,만원 미만,4,
14,창화당,서울특별시 마포구 양화로23길 22-6,기타 한식,만원 미만,4,
15,연남동돼지구이백반,서울특별시 마포구 동교로 240,한정식 / 백반 / 정통 한식,만원 미만,9,
16,포포야어묵,서울특별시 마포구 동교로27길 82,기타 한식,만원 미만,6,
17,홍쌤떡볶이,서울특별시 마포구 연남로5길 36,기타 한식,만원 미만,4,
18,미소국수,서울특별시 마포구 동교로27길 41,국수 / 면 요리,만원 미만,4,
19,아담한식탁,서울특별시 마포구 동교로27길 78 1F,퓨전 한식,만원 미만,6,
