,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
0,김경자원조손칼국수보쌈,서울특별시 성동구 금호산2길 20-1,국수 / 면 요리,만원 미만,4,4.3
1,악어떡볶이,서울특별시 성동구 마조로 33,기타 한식,만원 미만,76,4.1
2,만나떡볶이,서울특별시 성동구 왕십리로24길 27,기타 한식,만원 미만,8,4.1
3,만두전빵,서울특별시 성동구 행당로15길 2,기타 한식,만원 미만,20,4.1
4,옥정김밥,서울특별시 성동구 한림말3길 28-9,기타 한식,만원 미만,8,4.1
5,소문난성수감자탕,서울특별시 성동구 연무장길 45,탕 / 찌개 / 전골,만원 미만,116,4.0
6,한양대신닭발,서울특별시 성동구 마조로 34,닭 / 오리 요리,만원 미만,9,4.0
7,도담치킨,서울특별시 성동구 마조로1가길 14,닭 / 오리 요리,만원 미만,7,4.0
8,색다른면,서울특별시 성동구 뚝섬로9길 16 101호,국수 / 면 요리,만원 미만,10,3.9
9,시골집,서울특별시 성동구 성수이로 36-9,한정식 / 백반 / 정통 한식,만원 미만,5,3.9
10,비사벌전주콩나물국밥,서울특별시 성동구 왕십리로6길 1-2,탕 / 찌개 / 전골,만원 미만,22,3.8
11,콩빠두,서울특별시 성동구 한림말1길 8,한정식 / 백반 / 정통 한식,만원 미만,14,3.8
12,난포,서울특별시 성동구 서울숲4길 18-8,한정식 / 백반 / 정통 한식,만원 미만,29,3.6
13,행운돈가스,서울특별시 성동구 마조로1길 2,기타 한식,만원 미만,27,3.6
14,산골막국수,서울특별시 성동구 왕십리로 347 1F,국수 / 면 요리,만원 미만,6,3.6
15,짱고기,서울특별시 성동구 마조로 15-6 1F,고기 요리,만원 미만,19,3.6
16,간판없는갈비탕집,서울특별시 성동구 청계천로10가길 10-7,탕 / 찌개 / 전골,만원 미만,4,3.6
17,봉평메밀면사무소,서울특별시 성동구 왕십리로5길 9-20,국수 / 면 요리,만원 미만,18,3.5
18,삼맛호오떡,서울특별시 성동구 무학봉16길 26,기타 한식,만원 미만,13,3.5
19,골목냉면,서울특별시 성동구 독서당로 295-7,국수 / 면 요리,만원 미만,11,3.5
20,윤경양식당,서울특별시 성동구 서울숲2길 40 2F,기타 한식,만원 미만,20,3.4
21,소녀방앗간,서울특별시 성동구 왕십리로5길 9-16,한정식 / 백반 / 정통 한식,만원 미만,24,3.4
22,힘냉면록,서울특별시 성동구 상원1길 41 1F,국수 / 면 요리,만원 미만,7,3.4
23,제주국수,서울특별시 성동구 성수이로 118,국수 / 면 요리,만원 미만,9,3.4
24,알촌,서울특별시 성동구 마조로3길 6,한정식 / 백반 / 정통 한식,만원 미만,13,3.3
25,두끼,서울특별시 성동구 마조로 30,기타 한식,만원 미만,7,3.3
26,사철냉면,서울특별시 성동구 마조로 17,국수 / 면 요리,만원 미만,12,3.3
27,계월곰탕,서울특별시 성동구 성덕정3길 8,닭 / 오리 요리,만원 미만,3,
28,밀본,서울특별시 성동구 아차산로 67-16 예당빌딩 1F,국수 / 면 요리,만원 미만,7,
