,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,고불초쌈밥,서울특별시 강남구 도곡로7길 25,한정식 / 백반 / 정통 한식,만원 미만,16,4.3,37.4921918,127.0340714
2,시골야채된장,서울특별시 서초구 강남대로69길 11 삼미빌딩 1F,탕 / 찌개 / 전골,만원 미만,54,4.2,37.5014603,127.0242724
3,들름집,서울특별시 서초구 사임당로 178 이즈타워 B1,국수 / 면 요리,만원 미만,51,4.0,37.4921947,127.0290425
4,장원김밥,서울특별시 서초구 서초대로77길 31,기타 한식,만원 미만,12,3.9,37.5005919,127.0253554
5,강남원주추어탕,서울특별시 강남구 강남대로110길 6,탕 / 찌개 / 전골,만원 미만,16,3.9,37.5040021,127.0254378
6,보슬보슬,서울특별시 강남구 테헤란로8길 22,기타 한식,만원 미만,39,3.8,37.4973823,127.0315957
7,강남불백,서울특별시 강남구 강남대로78길 27,한정식 / 백반 / 정통 한식,만원 미만,36,3.8,37.4954573,127.0314373
8,아빠곰수제돈까스,서울특별시 서초구 사평대로56길 7 서초한일유앤아이주상복합 112호,기타 한식,만원 미만,17,3.8,37.5033211,127.0236335
9,연희동칼국수,서울특별시 서초구 서초대로 411,국수 / 면 요리,만원 미만,8,3.8,37.4977803,127.0261927
10,신동궁감자탕,서울특별시 강남구 테헤란로10길 11,탕 / 찌개 / 전골,만원 미만,21,3.7,37.4984011,127.0326603
11,시원한대구탕,서울특별시 강남구 강남대로62길 26 모두빌딩,해산물 요리,만원 미만,4,3.7,37.4905947,127.0336837
12,장꼬방,서울특별시 서초구 효령로 364,한정식 / 백반 / 정통 한식,만원 미만,48,3.6,37.486853,127.0236479
13,딸부자네불백,서울특별시 강남구 봉은사로6길 38 정암빌딩,한정식 / 백반 / 정통 한식,만원 미만,28,3.6,37.5025167,127.0275596
14,청담돈까스,서울특별시 강남구 테헤란로4길 46,기타 한식,만원 미만,17,3.5,37.4953323,127.0303725
15,모랑해물솥밥,서울특별시 서초구 강남대로 359 대우도씨에빛2차,한정식 / 백반 / 정통 한식,만원 미만,15,3.5,37.49475899999999,127.0285943
16,딸부자네불백,서울특별시 서초구 서초대로77길 9 누드죤빌딩 103호,한정식 / 백반 / 정통 한식,만원 미만,9,3.5,37.4985508,127.0261996
17,고양이부엌,서울특별시 서초구 강남대로61길 7,기타 한식,만원 미만,23,3.4,37.4989982,127.025936
18,전주현대옥,서울특별시 강남구 역삼로 113 오성빌딩,탕 / 찌개 / 전골,만원 미만,7,3.4,37.4937616,127.0314768
19,장인닭갈비,서울특별시 강남구 봉은사로4길 37,닭 / 오리 요리,만원 미만,46,3.3,37.5024002,127.027094
20,강남교자,서울특별시 서초구 강남대로69길 11 삼미빌딩 2F,국수 / 면 요리,만원 미만,21,3.3,37.5014603,127.0242724
21,한성돈까스,서울특별시 서초구 서초대로78길 36 강남지웰타워,기타 한식,만원 미만,18,3.3,37.4946662,127.0281488
22,서강쇠떡볶이,서울특별시 강남구 강남대로66길 11,기타 한식,만원 미만,22,3.3,37.4920283,127.0318163
23,꼬꼬아찌숯불치킨,서울특별시 강남구 테헤란로1길 28-1,닭 / 오리 요리,만원 미만,11,3.3,37.5002746,127.0276384
