,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,우리동네막국수국밥,서울특별시 강동구 상암로4길 9 1F,국수 / 면 요리,만원 미만,6,4.3,37.5499626,127.1265271
2,영화정해장국,서울특별시 강동구 진황도로43길 9 1F,탕 / 찌개 / 전골,만원 미만,10,4.3,37.5357655,127.1382793
3,화진포막국수,서울특별시 강동구 성내로10길 12,해산물 요리,만원 미만,28,4.1,37.5284063,127.124518
4,봉래면옥,서울특별시 강동구 명일로 200-16,국수 / 면 요리,만원 미만,34,4.1,37.5364356,127.1466685
5,경양미식,서울특별시 강동구 천호옛14길 23-4,기타 한식,만원 미만,11,4.1,37.5362293,127.1269566
6,푸지미곱창,서울특별시 강동구 천호옛14길 23,고기 요리,만원 미만,12,4.1,37.536153,127.1267493
7,송월냉면,서울특별시 강동구 구천면로29길 26,국수 / 면 요리,만원 미만,12,4.0,37.5414209,127.1294863
8,평양만두집,서울특별시 강동구 성내로 14,한정식 / 백반 / 정통 한식,만원 미만,10,4.0,37.5300149,127.1221086
9,소문난칼국수,서울특별시 강동구 천호대로 1045 일성하이츠오피스텔 2F,국수 / 면 요리,만원 미만,6,4.0,37.53512480000001,127.1363161
10,두리돈까스,서울특별시 강동구 고덕로 89 2F,기타 한식,만원 미만,11,4.0,37.5549026,127.1352805
11,성일면옥,서울특별시 강동구 성내로 38 1F,국수 / 면 요리,만원 미만,12,3.9,37.5288871,127.124345
12,진이네떡볶이,서울특별시 강동구 동남로71길 19,기타 한식,만원 미만,18,3.9,37.5503962,127.1551501
13,천호쭈꾸미,서울특별시 강동구 천호대로158길 14,해산물 요리,만원 미만,11,3.8,37.5368695,127.1262861
14,셀프하우스,서울특별시 강동구 올림픽로 572,기타 한식,만원 미만,27,3.7,37.5323014,127.1217027
15,모범떡볶이 1976,서울특별시 강동구 진황도로 85,기타 한식,만원 미만,20,3.5,37.5367102,127.1332652
16,함경면옥,서울특별시 강동구 강동대로 215 삼안빌딩,국수 / 면 요리,만원 미만,4,3.4,37.52351,127.1301176
17,평냉집,서울특별시 강동구 천호대로219길 76,국수 / 면 요리,만원 미만,6,,37.5491654,127.1710542
18,엄마손만두,서울특별시 강동구 올림픽로 683,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5424022,127.1244936
19,꾸러기분식,서울특별시 강동구 구천면로 389-1,기타 한식,만원 미만,5,,37.5508799,127.1420132
20,고급아바이순대,서울특별시 강동구 진황도로 127,탕 / 찌개 / 전골,만원 미만,4,,37.53430000000001,127.140317
21,김여사네국수,서울특별시 강동구 천호대로162길 19,국수 / 면 요리,만원 미만,5,,37.5358714,127.1285144
22,원조쌈밥집,서울특별시 강동구 고덕로38길 63,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5516381,127.1426937
23,국민떡볶이,서울특별시 강동구 양재대로89가길 68 1F,기타 한식,만원 미만,7,,37.5235687,127.133693
24,니뽕내뽕,서울특별시 강동구 올림픽로 807 1F,퓨전 한식,만원 미만,4,,37.5530863,127.1283253
25,성길이네만두,서울특별시 강동구 천중로18길 53,기타 한식,만원 미만,2,,37.5424838,127.1295656
26,명동식당,서울특별시 강동구 상암로6길 23,한정식 / 백반 / 정통 한식,만원 미만,2,,37.549262,127.1266949
27,치킨보이,서울특별시 강동구 천호대로168가길 21,닭 / 오리 요리,만원 미만,4,,37.5351884,127.1310885
28,구삼부대찌개,서울특별시 강동구 강동대로53길 12,탕 / 찌개 / 전골,만원 미만,5,,37.52332699999999,127.1317035
29,강동KD 부대찌개나눔터,서울특별시 강동구 올림픽로62길 7,탕 / 찌개 / 전골,만원 미만,7,,37.5363934,127.1233192
30,치킨의계절,서울특별시 강동구 성안로 181,닭 / 오리 요리,만원 미만,1,,37.5392589,127.1360563
31,청년다방,서울특별시 강동구 상암로 169 1F,기타 한식,만원 미만,5,,37.546116,127.1411444
32,한솔냉면,서울특별시 강동구 천호대로 1005 현대백화점 천호점 B2,국수 / 면 요리,만원 미만,3,,37.538851,127.124463
33,남원황토추어탕,서울특별시 강동구 성안로 7-12,탕 / 찌개 / 전골,만원 미만,1,,37.5250118,127.1286215
34,남산돈까스,서울특별시 강동구 천호대로 1005 현대백화점 천호점 B2,기타 한식,만원 미만,3,,37.538851,127.124463
35,마늘떡볶이,서울특별시 강동구 천호대로187길 61 복조리시장 내,기타 한식,만원 미만,4,,37.5369711,127.1428594
36,길동우동,서울특별시 강동구 천호대로 1135 1F,기타 한식,만원 미만,2,,37.5345896,127.1377746
37,싸다김밥,서울특별시 강동구 올림픽로 787,기타 한식,만원 미만,1,,37.55150769999999,127.1277099
38,암사면옥,서울특별시 강동구 상암로12길 9,국수 / 면 요리,만원 미만,1,,37.549192,127.1285653
39,샘밭막국수,서울특별시 강동구 강동대로 241,국수 / 면 요리,만원 미만,4,,37.5223612,127.1327035
40,튀김마트,서울특별시 강동구 진황도로 103,기타 한식,만원 미만,5,,37.535694,127.1378558
41,미아리우동,서울특별시 강동구 천호대로 1053 상경빌딩,기타 한식,만원 미만,1,,37.5372735,127.1288986
