,가게이름,리뷰아이디,리뷰,맛평가
1,우리동네막국수국밥,고덕 사랑,"괜히 평점이 높은게 아니었습니다.골목 안쪽에 있지만 찾기쉬워요.가게는 작지만, 내공이 느껴집니다.방문한 시간이 오후 4시인데요, 손님이 계속 있네요.추천합니다",맛있다
2,우리동네막국수국밥,맛이쪄영,"냉막국수도 맛있고, 국밥도 맛있어요.메밀전도 참 바삭했어요. 다음에 또 갈래요.찐 맛집 :)",맛있다
3,우리동네막국수국밥,파랑앤홍,21-5조그마한 국밥집이라 맘먹고 찾아가지 않으면 안보입니다그런데 이집의 시그니처인 한우시래기국밥 이거 정말 맛있습니다전복이 앙증맞게 들어가 있는것도 단 7천원에 대접 받는듯한 기분입니다흡사 추어탕이 생각나는 묵직한 국물베이스지만 한우가 그 바탕에 깔려서 살짝 단맛이 납니다한우는 달다고 누가 그러더군요한입씩 먹으면서 재차 감탄합니다이런맛이.. 이런 가격에..이런동네에..다음에는 꼭 다시 와서 막국수도 한번 맛보고 싶은 궁금증이 생깁니다서빙하시는분의 살짝 츤대래도 인상 깊습니다방문추천 99%서비스 50%청결 85%주차불가,맛있다
4,우리동네막국수국밥,Taste10good,"암사 #우리동네막국수국밥.조용한 동네에 튀지않는 간판이지만 음식이 아주 맛있는 곳이다. 가게이름처럼 막국수와 국밥을 취급하는 곳..#한우시래기국밥시래기가득 고기가득의 국밥이다. 살짝 추어탕 맛지도 느껴지는것이 구수하고 얼큰한 맛이다. 점점추워지는 날씨에 한그릇 먹기 제격인곳. .시레기소국밥이지만 무려 전복이 2개나 들어있다. 비록 크기는 크지 않지만 재료에 아낌이 옶다는게 느껴지는 곳.#들깨막국수.메밀면의 쫄깃한 식감과 들깨의 고소함 토핑으로 올라가는 인삼튀김의 건강함까지 어디서 흔히 보기 힘든 막국수계의 은은하게 퍼지는 참기름향까지 살짝 다먹을쯤 떡볶이가 땡기는 느끼함(?)은 있는 것 같다..특이하게 튀김도 판매한다새우튀김과 인삼 튀김도 맛있다는 평이 있으니 시도해보시길 추천드리며기본찬도 다 맛있었고 특히 물김치 맛이 깔끔하고 좋았다..극추천하는 암사동 맛집.메뉴정보:한우시래기국밥 - ₩7,000굴국밥 - ₩7,000막국수 - ₩7,000",맛있다
5,우리동네막국수국밥,인생은 고기서 고기,"암사동에 맛있는 집을 발견했다.암사역 근처이고 걸어서 5분거리 위치하고 있다.여기를 미리 알고 찾아 간 것은 아니고 우연찮게 방문했는데, 세상에 찐 맛집이었다. 망플을 켜보니 이미 다녀가신 홀릭분도 있어서ㅋㅋ 망플의 맛집 판독기를 인정하게 되었다 ㅋㅋ우선 내부는 협소하나 1인이 와서 먹기에 좋다. 단체로 오면 들어가지도 못하니 참고.메뉴는 국밥과 막국수이다. 밥이 먹고 싶어서 나는 이름부터 맛있는 한우시래기국밥(7000원)을  주문했다.깔끔하게 트레이에 국밥,밥,반찬이 담겨져 나온다. 그래서 깔끔하게 식사가 가능하다.시래기국밥은 엄청난 반전이 있는데, 국밥안에 전복이 들어있다 ㅋㅋㅋ 이것부터 맛집 합격. 시래기 고소함 + 한우고기 고소함=맛있다   이것은 진리이자 공식이다. 내가 7000원을 내고 푸짐하고 맛있는 음식을 먹을 수 있을까라는 생각이 들정도였다. 게다가 공기밥도 메밀을 넣으셨는지 초록색밥이었는데 오 이거 맛있었다. 이날 아침에 기분이 너무 안 좋았는데 맛있는 시래기국밥덕에 기분이 매우 좋아졌다.여기는 나만 알고싶은 찐맛집이였으면 좋겠다",맛있다
6,우리동네막국수국밥,JENNY ,"근처에 어디가 맛있는지 몰라서 돌아다니다 그냥 들어온 곳이었는데, 기대보다 좋았네요. 가게는 협소하지만 아주 깔끔해요, 혼밥하기 좋은 벽에 붙은 테이블도 있구요. 손님도 꽤 있었어요. “새우튀김”☆ - 실해요!! 새우 자체에 살이 많았어요. 일식집 튀김 스타일은 아니고 돈까스에 가까운 튀김옷?! 그래서 튀김옷이 얇은 편은 아니예요. 그래도 기름이 깨끗한지 컬러도 예쁘고 쩐맛도 안나요. 게다가 타르타르소스가 넘맛! 시판소스 맛이랑은 달라요! 맛있어서 리필 요청했어요ㅎㅎㅎ 5천원에 잘 튀긴 실한 새우튀김이 4마리면 가격도 좋은 거 아닌가요?! “냉막국수” & “들깨 비빔 막국수” - 이곳 막국수의 특징 중 하나가 바로 요 인삼튀김! 신기함에 한 입 맛보았지만 역시나 인삼을 아직은 잘 못먹겠는 젊은 입맛이네요ㅎㅎ 전반적으로 맛이 깔끔하고 괜찮았어요. 냉막국수 시원하니 면도 맛있었어요, 다만 고춧가루가 뿌려져 나온 점은 제 취향은 아니었던ㅜ 들깨비빔막국수는 크리미하고 고소하더라구요. 다만 무절임생채가 굳이 들어가있어야했나라는 생각이 들었어요. 좀더 고소담백함을 즐기고 싶은데 무절임생채가 그 맛을 방해하는, 오이만으로도 충분한데..라고 생각이 듭니다 저는. 그래도 완면했습니다ㅎㅎ 그리고 또 좋았던 점은 보리차를 내어주신다는 점! 보리차 나오면 괜히 좋아요^^ 기대 없이 그냥 무작정 들어갔는데 괜찮았어서 나오면서 기분 좋았어요. 여사장님은 생글생글 웃으시며 막 친절한 스타일은 아닌데, 센스있게 알아서 다 챙겨주세요. 그리고 가게내부며 음식이며 다 깔끔하고 정갈해서 뭔가 믿고 먹을 수 있는 느낌이 들더라구요.#아무리뷰",맛있다
7,영화정해장국,영이나물,"맛의 불모지 강동에 맛집이 있는가...오늘도 강동에서 맛집을 찾던 중맛집 찾음!포장은 밥이 없는대신 선지를 더 주신다는 소문을 듣고당연히 포장!!결론적으로는2인분을 샀는데 4명이 배터지게 먹었습니당ㅎㅎ아빠는 종일 입에서 선지 냄새가 진동을 했다고질려버리셨다며...ㅋㅋㅋㅋㅋ선지가 정말~ 많았어요!국물도 완전 진하고 맛이 깊어요좀 특이한건 해장국인데 콩나물이 없고건더기가 아주 심플하다는거!약간 진~ 한 느낌이 이곳의 추구하는 바라서맑은 국물 느낌이 나게하는 콩나물이 안들어가는게 아닐까어설픈 추리도 해봅니당ㅎㅎ....결론은 선지 많다, 진하다, 맛있다!",맛있다
8,영화정해장국,궁궁,"길동사거리에 위치한 영화정해장국 입니다.집에서 정말 가까운 식당이라 정말 자주 먹어봤지만 코로나로 인해 지금까지 여태껏 포장으로만 먹다 처음 식당을 방문하여 먹게되었습니다. 제 인생 최고 국밥으로 뽑을 수 있을 만큼 얼른 방문하여 게시하고 싶었네요 :)** (포장일 경우 양이 훨씬 많습니다.) 간결하게 메뉴판에 '해장국' 만 적혀있으며 일찍 Open 하시고 오후 3시경에 영업을 종료를 하는 부분에서 이 가게의 자부심을 느낄 수 있습니다. 작년부터 주인할머님에서 아래 부부가 이어서 영업하고 있기도 합니다.영화정해장국의 맛은 담백한 배춧국에 가깝습니다. 정말 깔끔하며 선지 외에 건더기에 배추, 파만 들어있습니다. 처음 방문 식사인지라 김치, 깍두기, 꽈리고추멸치볶음을 처음 접해봤네요.위 밑반찬 모두 훌륭하고 김치는 명동X자의 김치처럼 마늘 매운맛 매우 강하여 깔끔한 국밥과 잘 어울렸습니다.또한 국물 다데기로 다진마늘과 양념장을 주십니다. 저의 경우 국물을 식사를 2/3정도 한 뒤 양념장과 다진마늘을 넣습니다. 뻘건 양념장은 엄청 맵기에 소량만 넣으셔도 굉장히 얼큰해집니다.마늘과 양념장을 넣은 뒤 드셔보시면 처음 나온 국밥과 아이 다른 국밥인 것 같은 매력이 있습니다. 한가지 아쉬운 점은 저녁쯤 방문하여 술과 곁들이면 정말 행복할 것 같으나 불가하기에 집에서만 즐기도록 하겠습니다. 다들 이른 오전에 강동에 오신다면 영화정해장국 어떠실까요?",맛있다
9,영화정해장국,먹죽귀,길동역에 해장국 노포집인 영화정해장국에서뜨끈한 선지해장국 먹고 왔어요오직 점심시간에만 판매를 하며 메뉴는 단하나인 선지해장국 딱 1개 입니다먼저 밑반찬 부터주셨는데 푸짐한 김치와깍두기 멸치 꽈리고추 볶음이 나왔어요그리고 다진 마늘과 양념장이 같이 제공 되는데너무 많이 넣으면 맵거나 굉장히 알싸해서조금씩 추가 하시는거 추천 드립니다사골육수와 된장베이스라 구수하고 다진마늘과양념장 넣으면 굉장히 자극적인 맛으로 돌변하는데 맛이 확 변하는게 좋았어요매콤한 김치와도 굉장히 잘 어울렸고 들어있는배추도 부드러운게 맛있었습니다선지도 굉장히 신선하고 퀄리티가 좋았고저녁시간에도 열면 술먹으러 자주 올거 같아요,맛있다
10,영화정해장국,다람이,"내공이 느껴지는 깔끔한 맛의 해장국강동역 근처에서 아침먹을 식당을 찾다가 방문! 10시 이전에 오픈하는 곳이 많지 않은데 이곳은 아침 7시부터 오픈을 해서 이른 아침 식사도 가능하다! 그동안 내가 먹어온 선지해장국과는 다르게 생각보다 건더기가 단촐했다. 송송썬 파와 선지, 배추가 전부인듯. 하지만 건더기가 단촐하다해서 맛의 깊이가 얕은 건 아니었다. 깔끔하면서도 깊은 국물 맛이 인상적이었다. 탁한 국물 색깔만 봤을땐 좀 텁텁하지 않을까 싶었는데 또 그렇지도 않더라. 입맛 까다로우신 부모님과 함께 간 곳이라 입맛에 안맞으시면 어쩌나 걱정했는데 부모님모두 밥 한공기를 뚝딱 비우셨다.이 집의 킥은 김치인 듯 한데, 김치의 간이 센 편이긴 하지만 해장국만 먹다보면 느껴질 수 있는 심심함을 김치가 적절한 때에 잘 달래주는 듯 했다. 혹시 이렇게 먹는데도 변화구가 필요하다 싶으면 다진마늘 또는 다대기 넣는 것을 추천 ㅎㅎ강동구에서 이른 아침에 든든한 한 끼 식사할 곳을 찾는다면 이곳을 추천!",맛있다
