,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,원조닭한마리,서울특별시 강남구 논현로10길 13,닭 / 오리 요리,만원 미만,16,4.0,37.4744184,127.0496137
2,부산어묵빨간오뎅,서울특별시 강남구 개포로82길 13-11,기타 한식,만원 미만,47,3.9,37.4887105,127.0681053
3,밀란국수,서울특별시 강남구 개포로28길 4,국수 / 면 요리,만원 미만,28,3.9,37.4785087,127.0490961
4,서평기사식당,서울특별시 강남구 개포로 646,닭 / 오리 요리,만원 미만,15,3.8,37.4946814,127.0834856
5,수서골목냉면,서울특별시 강남구 광평로 232,국수 / 면 요리,만원 미만,7,,37.4854425,127.0980764
6,내가국수다,서울특별시 강남구 밤고개로23길 20,국수 / 면 요리,만원 미만,4,,37.4735658,127.1084213
7,숙아채콩나물국밥,서울특별시 강남구 개포로20길 17,탕 / 찌개 / 전골,만원 미만,6,,37.4777172,127.0478206
8,혜성손만두,서울특별시 강남구 일원로 33 금성빌딩,한정식 / 백반 / 정통 한식,만원 미만,3,,37.49087919999999,127.081045
9,짱구분식,서울특별시 강남구 광평로19길 15,기타 한식,만원 미만,2,,37.4849458,127.0851548
10,민박사봉평메밀촌,서울특별시 강남구 개포로 615 석탑프라자,국수 / 면 요리,만원 미만,2,,37.4926193,127.0755689
11,만나식당,서울특별시 강남구 개포로109길 9,한정식 / 백반 / 정통 한식,만원 미만,3,,37.49396540000001,127.0750977
12,신평양찹쌀순대,서울특별시 강남구 광평로51길 6-11  문암빌딩 2F,탕 / 찌개 / 전골,만원 미만,2,,37.488456,127.1032124
13,추오정남원추어탕,서울특별시 강남구 밤고개로14길 13,탕 / 찌개 / 전골,만원 미만,3,,37.4813199,127.1039591
14,강남햅쌀만꼬마김밥,서울특별시 강남구 밤고개로 231 훼밀타운 A동 104호,기타 한식,만원 미만,2,,37.4737808,127.1065697
15,금촌사골순댓국,서울특별시 강남구 광평로 280 로즈데일 B2 139호,탕 / 찌개 / 전골,만원 미만,2,,37.4872829,127.1031088
16,김밥천국,서울특별시 강남구 개포로 615,기타 한식,만원 미만,1,,37.4926193,127.0755689
17,소풍가는날두번째이야기,서울특별시 강남구 개포로25길 7,기타 한식,만원 미만,4,,37.4793949,127.0480356
18,이십사절기,서울특별시 강남구 밤고개로 99,한정식 / 백반 / 정통 한식,만원 미만,1,,37.4737808,127.1065697
19,대청뼈다귀감자탕,서울특별시 강남구 일원로9길 26,탕 / 찌개 / 전골,만원 미만,1,,37.4897913,127.0837116
20,동대문엽기떡볶이,서울특별시 강남구 논현로16길 17 1F,기타 한식,만원 미만,5,,37.476715,127.0476886
21,개성칡냉면,서울특별시 강남구 일원로9길 12,국수 / 면 요리,만원 미만,4,,37.4894354,127.0825546
22,신마포갈매기,서울특별시 강남구 양재대로37길 5,고기 요리,만원 미만,2,,37.4900923,127.0838346
