,가게이름,리뷰아이디,리뷰,맛평가
1,원조닭한마리,Saejun,"정말 오랜만에 방문. 연휴를 맞아 근처 구룡산 등산하고 나서 들렸다. 미리 삶아놓은 닭이 냄비에 미리 세팅되어 있어서 주문 후 거의 바로 나온다. 끓기 시작하면 바로 먹으면 되기 때문에 허기진 손님들에겐 안성맞춤.전반적으로 짜다는 평이 있는데, 개인적으론 그렇게 간이 강하다고 느껴지진 않았다. 감자는 조금 더 넣어주시면 좋을 것 같긴하다… 겨자와 간장 그리고 양파채가 들어간 양념장이 이곳의 별미, 닭고기 특유의 느끼함을 잘 잡아준다.2명이서 닭한마리에 칼국수 사리 2인분 그리고 소주 한병 후딱 비우고 나왔다.",맛있다
2,원조닭한마리,박혜,개포동에 있는 원조닭한마리!여기는 사장님의 비법으로 탄생한곳인데요~국물이 진짜 진국이어서 다른거 안넣고 이것만 먹어도 너무 맛있고비법 양념에 찍어먹으면 더 맛있어요!!닭한마리 다 먹고 칼국수와 죽은 필수로 먹어야하는데지금 생각해도 입맛이 다셔지네요 ㅎㅎ,맛있다
3,원조닭한마리,밍밍,개인적으로 을지로 그곳보다 맛있었어요!감자는 꼭 남겨서 죽 해먹으면 꿀맛!!!!가게에 들어서면 청국장 냄새같은 꼬릿한 냄새가 나서 기분이 조금 안 좋아지지만... 국물 한 입 떠먹는 순간 모든 상념이 사라지는 맛 입니다같이 간 지인이 양재에 들리면 꼭 가야하는곳이라고 하더군요 ㅋㅋㅋ,맛있다
4,원조닭한마리,골드퓨쳐,여기 초반은 무난한데 끓을수록 소맥이랑 먹으면 술이 술술 들어갑니다...칼국수사리는 무난쓰하고 꼭 ♨️죽♨️ 드세용,맛있다
5,원조닭한마리,맛난거좋아하는햄토리,개포동 사람들이라면 다 안다는 이동네 맛집 원조닭한마리 !닭한마리는 2인부터 기본주문!소스에 양파를 더 넣어서 먹는건데소스는 개인적으로 너무 시고 취향이 아니어서전 그냥 남편 다 줬어요 ㅎㅎ아... 여기 닭 국물이 정말 끝내줘요!너무너무 맛있어서 사장님한테 육수에 대체 뭘 넣으신거냐고 몇번을 물어봤어요 ㅎㅎ원조닭한마리 만의 비법이라 당연히 알려주진 않으시겠지만 정말 맛있어서 하는 말이었어요. ​육수만 앞접시로 몇번을 먹은건지 셀 수가 없네요. 닭고기도 푹 고아져서 야들야들해요. 다 먹고나서 볶음밥 필수!,맛있다
6,원조닭한마리,zzzzzo!,"닭냄새가 안나고 살코기가 부드러워 좋았지만 너무~짰어요, 식당에 들어가는 순간 짠내가 났어요. 그리고 가격대에 비해 건더기가 부실한 느낌이에요, 하지만 추가한 국수사리는 양이 굉장히 많았어요.유명하다해서 기대 많이 했는데, 맛이 없는건 아니지만... 굳이 재방문은 안할것 같아요.",괜찮다
7,원조닭한마리,히호,국물 간이 세긴하지만 그래도 겨울엔 꼭 생각나는 그런집이에요닭고기가 질기거나 국물이 비리거나 하는 것 없이 깊게 우러난 육수와 부드러운 고기까지 매번 만족스러워요살코기와 같이 먹는 간장겨자양파부추소스(?)도 너무 맛있고 톡 쏘는 동치미도 제 입맛엔 딱이에요닭고기 양이 넉넉하진 않지만 국수사리랑 밥도 먹어야하니까요 ㅋㅋㅋㅋㅋ,맛있다
8,원조닭한마리,졸령,쏘쏘,괜찮다
9,원조닭한마리,마틴써니,"뜨끈한 국물에 낮술하기에도 죠은 곳^^ㅎㅎ단, 닭한마리 요리에 야채가 안들어가 있어서양념장에 넣는 부추를 계속 넣어서 먹었습니다후식은 칼수와 죽을 다 하실도, 선택해서 드실 수도 있습니다^^",맛있다
10,원조닭한마리,코코브루니 ,"이런곳이 진정한 숨은 맛집이라 생각함. 꽤 오랫동안 아는 사람들만 아는 집. 20여년전과 육수도 소스도, 다 그대로다. 겨울철에 푹 고은 닭육수에 칼국수랑 죽까지 먹으면 이보다 몸보신이 되는 느낌이 없음. 겨자가 들어간 소스도 중독성이 강함.",맛있다
11,원조닭한마리,보나보나,주말진료 끝나구 뒷풀이로 가는곳들 중 하나! 가게에 들어가면 맛있는 냄새가 솔솔난당~ 닭한마리 먹구 칼국수 먹으면 맛없을수가 없지용~ >.< 오랜만에 먹어서 그런지 더 맛있었던 것 같음! 국물도 맛있구 닭고기도 국물 잘 베여서 맛있음 같이 나오는 양파+부추+다데기+간장+겨자 소스도 맛있음! 어렸을때는 이런거 나오면 다데기랑 간장 빼고 먹었는데 오늘은 다 먹었음. 어른이 된 기분이다 오홍홍홍 >///< 칼국수로 깔끔하게 마무리 >.<맛있는 점저였습니다아앙,맛있다
12,원조닭한마리,빵쥬,중학교때부터 다니던 집인데 오랜만에 방문! 여전히 맛있다 추억의 맛집!!! ㅋㅋ 닭-칼국수-죽 순서인데 육수의 양조절이 매우 중요함 ! ㅋㅋ 부추와 양파를 양념장에 듬뿍 넣고 싸먹으면 정말 맛있다~,맛있다
