,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,빠사삭,서울특별시 관악구 신림로17길 41,기타 한식,만원 미만,44,4.6,37.4688176,126.9364921
2,오월의김밥,서울특별시 관악구 봉천로 605,기타 한식,만원 미만,78,4.5,37.4760503,126.9645943
3,봉이돈가스,서울특별시 관악구 남부순환로 1754,기타 한식,만원 미만,27,4.2,37.4817586,126.9449527
4,제주상회,서울특별시 관악구 관악로12길 108 B1,국수 / 면 요리,만원 미만,82,4.1,37.4771776,126.9583514
5,기절초풍왕순대,서울특별시 관악구 봉천로62길 2,탕 / 찌개 / 전골,만원 미만,51,4.1,37.4780711,126.9584068
6,삼촌네,서울특별시 관악구 신림로59길 14,탕 / 찌개 / 전골,만원 미만,16,4.1,37.4832519,126.9287583
7,춘천골참숯불닭갈비,서울특별시 관악구 신림동7길 46,닭 / 오리 요리,만원 미만,22,4.1,37.4849715,126.9266205
8,어부사시가,서울특별시 관악구 관악로14길 31,한정식 / 백반 / 정통 한식,만원 미만,27,4.1,37.4789727,126.9542856
9,메밀쟁이,서울특별시 관악구 대학길 60 1F,국수 / 면 요리,만원 미만,5,4.1,37.46797120000001,126.9375589
10,완산정,서울특별시 관악구 봉천로 484,탕 / 찌개 / 전골,만원 미만,21,4.0,37.4816345,126.9535927
11,생각보다맛있는집,서울특별시 관악구 관악로 152 서량빌딩,국수 / 면 요리,만원 미만,22,4.0,37.4787395,126.9526134
12,얼큰수제비해물칼국수,서울특별시 관악구 관악로 113,국수 / 면 요리,만원 미만,11,4.0,37.4751615,126.9524914
13,마뇨떡볶이,서울특별시 관악구 신원로 35 삼모더프라임타워,기타 한식,만원 미만,7,4.0,37.5379845,126.9685056
14,호남댁,서울특별시 관악구 신림로59길 12 204호,기타 한식,만원 미만,6,4.0,37.4832236,126.9290222
15,보울,서울특별시 관악구 봉천로 566-1 동아오피스텔 1F,퓨전 한식,만원 미만,7,4.0,37.4773258,126.9603426
16,다글다글,서울특별시 관악구 남현8길 8-7,닭 / 오리 요리,만원 미만,8,4.0,37.4737707,126.9753456
17,막불감동,서울특별시 관악구 남부순환로 1599 B1,국수 / 면 요리,만원 미만,20,3.9,37.4842556,126.928156
18,우리가참순대,서울특별시 관악구 관악로 148 B1,탕 / 찌개 / 전골,만원 미만,28,3.9,37.4784177,126.9525726
19,들깨향장수밀,서울특별시 관악구 봉천로 355,국수 / 면 요리,만원 미만,6,3.8,37.4844461,126.9397826
20,덕봉식당,서울특별시 관악구 호암로24길 24,한정식 / 백반 / 정통 한식,만원 미만,9,3.8,37.4694895,126.9344613
21,밥한끼,서울특별시 관악구 관악로12길 12 B1,한정식 / 백반 / 정통 한식,만원 미만,6,3.8,37.4779729,126.953014
22,안녕부산,서울특별시 관악구 관악로14길 45,국수 / 면 요리,만원 미만,25,3.7,37.4787408,126.9550633
23,산골,서울특별시 관악구 관악로 211,탕 / 찌개 / 전골,만원 미만,13,3.7,37.4839807,126.9541921
24,삼미옥,서울특별시 관악구 남부순환로 1829-6,탕 / 찌개 / 전골,만원 미만,15,3.7,37.4813076,126.9537171
25,야간얼큰우동,서울특별시 관악구 남부순환로226길 13,기타 한식,만원 미만,15,3.7,37.4798947,126.9539144
26,서울뼛국,서울특별시 관악구 관천로 36-1,탕 / 찌개 / 전골,만원 미만,18,3.6,37.4831599,126.9275566
27,다부찌,서울특별시 관악구 호암로24길 43,탕 / 찌개 / 전골,만원 미만,25,3.6,37.4695271,126.9356286
28,자하연식당,서울특별시 관악구 관악로 1 생활협동조합 3F,한정식 / 백반 / 정통 한식,만원 미만,11,3.6,37.480912,126.953218
29,봉천동진순자김밥,서울특별시 관악구 남부순환로214길 14,기타 한식,만원 미만,16,3.4,37.4809753,126.9474455
30,온정돈까스,서울특별시 관악구 조원로 60,기타 한식,만원 미만,8,3.4,37.4835116,126.909084
31,신선설농탕,서울특별시 관악구 관악로 163 효원빌딩,탕 / 찌개 / 전골,만원 미만,13,3.4,37.4798366,126.9520327
32,오막회집,서울특별시 관악구 남부순환로226길 19,해산물 요리,만원 미만,10,3.4,37.47965689999999,126.9538204
33,동네아저씨치킨,서울특별시 관악구 행운2길 16,닭 / 오리 요리,만원 미만,11,3.4,37.4791794,126.9598454
34,라티놀,서울특별시 관악구 관악로 154-5,기타 한식,만원 미만,15,3.4,37.4789263,126.9528142
