,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,봉산옥,서울특별시 서초구 반포대로8길 5-6 조강빌딩,한정식 / 백반 / 정통 한식,만원 미만,86,4.4,37.4833449,127.0124419
2,신숙,서울특별시 서초구 법원로3길 21 이정빌딩,국수 / 면 요리,만원 미만,41,4.4,37.492961,127.0082464
3,백화요란골동반,서울특별시 서초구 서초대로 240,국수 / 면 요리,만원 미만,31,4.1,37.4913624,127.008348
4,우작설렁탕,서울특별시 서초구 서초중앙로6길 7,탕 / 찌개 / 전골,만원 미만,24,4.0,37.486157,127.0161081
5,광해즉석떡볶이,서울특별시 서초구 서초대로 275 중앙빌딩 B1,기타 한식,만원 미만,28,4.0,37.4971556,127.0125709
6,믿을신,서울특별시 서초구 서초중앙로 105 1F,기타 한식,만원 미만,7,3.9,37.4909885,127.0138408
7,샘밭막국수,서울특별시 서초구 서초중앙로24길 27,국수 / 면 요리,만원 미만,48,3.8,37.4954141,127.0164028
8,아따맵소,서울특별시 서초구 서초대로40길 88,탕 / 찌개 / 전골,만원 미만,10,3.8,37.487682,127.0087144
9,삼산회관,서울특별시 서초구 반포대로28길 77 1F,탕 / 찌개 / 전골,만원 미만,38,3.7,37.4911643,127.010897
10,시골집,서울특별시 서초구 반포대로10길 7 청학빌딩,한정식 / 백반 / 정통 한식,만원 미만,10,3.7,37.4836873,127.012235
11,목천집,서울특별시 서초구 효령로52길 69,국수 / 면 요리,만원 미만,33,3.6,37.4812624,127.0133931
12,명동곰돌이,서울특별시 서초구 서초대로55길 11,국수 / 면 요리,만원 미만,19,3.6,37.4955965,127.0153589
13,이남장,서울특별시 서초구 서초대로49길 4,탕 / 찌개 / 전골,만원 미만,8,3.6,37.49374780000001,127.0123728
14,창화당,서울특별시 서초구 서초대로54길 29,기타 한식,만원 미만,14,3.5,37.4929183,127.0163032
15,마실,서울특별시 서초구 명달로 58 1F,퓨전 한식,만원 미만,11,3.3,37.4824823,127.0047884
16,기와집순두부,서울특별시 서초구 서초대로51길 21 하림빌딩 2,탕 / 찌개 / 전골,만원 미만,6,3.3,37.495784,127.0138591
17,이여곰탕,서울특별시 서초구 서초대로46길 19-15 이여빌딩 1F,탕 / 찌개 / 전골,만원 미만,10,3.2,37.49179609999999,127.0108538
18,한국수,서울특별시 서초구 남부순환로347길 101,국수 / 면 요리,만원 미만,9,3.0,37.4867122,127.031016
19,스노우폭스,서울특별시 서초구 강남대로 305 현대렉시온,기타 한식,만원 미만,6,,37.489964,127.0306059
20,순남시래기,서울특별시 서초구 강남대로39길 15-10,탕 / 찌개 / 전골,만원 미만,7,,37.48549630000001,127.0326628
