,가게이름,리뷰아이디,리뷰,맛평가
1,봉산옥,로우니,여기 만두전골과 오징어순대를 좋아하는데홓ㅎㅎㅎ 갈비찜이 찐맛이라는 소식을 들었습니다 하지만 나는 그걸 먹어본 적이 없네요 아쉽게ㅠㅠㅠㅠ 매번 쌀쌀한 날씨에 만두전골에 소주 먹고는 왔는데ㅎㅎ 회식하기도 꽤 괜찮은 곳이라서 회식으로도 자주 갔었던 곳이에요,맛있다
2,봉산옥,노맛집연구소,남부터미널역 최고 아웃풋! 무려 3년 연속 미슐랭에 블루리본에 우리 망고플레이트 스티커까지 문에 덕지덕지 붙어있는 걸 보고 직감했어요. 웨이팅이 있겠구나... 평일 점심에 갔는데 웨이팅 10번인 거 보고 백스텝 ㅋㅋㅋ다음날 11시쯤 가니까 자리가 좀 비어있었는데 들어가니까 금방 자리가 꽉 찼어요. 본 매장 말고 방이 있는 다른 건물이 있는 듯했어요.봉산옥의 만두국은 국물이 약간 갈비탕 국물 같은데 깊이가 있어요. 이북 음식이라 하면 슴슴하고 간이 약할 거 같았던 제 선입견과 매우 달라서 놀랐어요. 만두가 두툼하고 크고 손으로 직접 빚어서 맛있어요. 근데 여기는 오징어순대가 진짜 맛있어요! 꼭 드시길!!!포장도 가능하니까 만두국 비조리로 포장해서 집에 와서 먹어도 좋을 거 같아요~,맛있다
3,봉산옥,Taste10good,"서초 #봉산옥.황해도 봉산이 고향인 시어머니에게 전수받은 황해도스타일의 음식점!.만두국이 식사메뉴로는 메인, 특징적인건 황해도 스타일이라 설렁탕 곰탕 느낌의 맑은 육수이다!.양지로 낸 깊은 육수 맛은 첫 숟갈 입에 넣자마자 매우 인상깊었다!.만두는 절인 배추와 숙주로 속을 이뤘고 이북스타일답게 담백하다! 미슐랭 원스타이긴 하지만 가격이 너무 비싼편 (만두국이 12,000원) 그치만 육수는 인정 .그치만 이 곳의 메인메뉴 하나만 고르라면 만두국보다는 오징어순대가 아닌가 싶을 정도로 오징어 순대가 최고였음!.같이나온 명태회 무침과도 잘 어울리고 순대만 먹어도 충분히 간이 되어있어 괜찮았다! 자체 속재료의 간이 아주 잘배인 순대는 강추!.지하에도 자리가 있으며 미슐랭가이드2022에 뽑힌 곳!으로 주말 점심 방문했고 나올쯤(12시) 웨이팅도 복작복작했다.메뉴정보:봉산만두국 - ₩12,000오징어순대 - ₩25,000녹두빈대떡 - ₩20,000.주소:서울 서초구 반포대로8길 5-6",맛있다
4,봉산옥,VERYGOOD㋛,"간만에 재방문한 봉산옥! 7시쯤에 갔으나 만두가 1인분밖에 안 남았다고ㅠㅠ 그래서 어쩔 수 없이 알밥 하나, 만두국 하나 시킴. 우리가 시킨 후에도 만두국 찾는 사람이 엄청 많았는데 그분들은 어쩔 수 없이 돌아가셨다...그래도 멀리서 왔는데 하나라도 시킬 수 있어서 다행이다.만두국이야 믿고 먹는 대표메뉴니까 칭찬하기 입만 아프다ㅋㅋㅋ 내가 먹어본 만두국 중에서 가장 맛있고 국물 맛이 깔끔하다. 쉽게 물리지도 않고 먹고 나면 일주일 안에 또 먹고싶은 맛이다. 어쩔 수 없이 시킨 알밥도 맛있었으나 9천원이라니ㅠㅠ 요즘 물가가 다 올라버리는 바람에...에휴ㅠㅠ 요즘 참 외식하기가 무섭다",맛있다
5,봉산옥,로한,# 봉산 만둣국 주말 점심에 밥 먹으러 간 봉산옥여긴 워낙 유명한 곳이라 한 번 가봐야지 생각은 하고 있었는데재택 근무하면서 만둣국은 점심으로 충분히 먹어서 미루고 미루다 드디어 방문했음 개인 입맛이 슴슴하고는 거리가 있는 편인데 먹다보니 엄청 슴슴은 아니라서 괜찮았음 만두는 투박하게 생겼는데 안에 들어간 소가 아삭이는 식감도 있고 깔끔해서 좋았고육수도 첨엔 입힌 것 마냥 조금 심심하단 생각이 들었는데슴슴한 맛에 입이 익숙해졌는지 만두랑 먹다보니 크게 심심하단걸 못느꼈고밥 말아서 먹다보니 더 못느꼈음의외로 고춧가루가 훅 치는 맛이 있어 인상깊었는데집에서 고기육수로 만둣국 끓일 일이 있음 한 번 넣어볼 생각임,맛있다
6,봉산옥,난감,"•예술의전당 근처에서 뜨끈한 국물이 생각난다면..사실 어렸을 적의 경험으로 만둣국을 좋아하지는 않는데, 전당에 전시를 보러갔다가 뜨끈한 국물이 당겨서 방문. 생각보다 크지 않아 대기해야하나라고 생각하며 익숙한 스티커(컬렉션이 상당합니다. 미쉐린빕구르망/망플/블루리본..)가 주렁주렁 달린 문을 열자 지하로 안내해주셨어요. - 봉산만두국(￦11000) 만두국은 만두국인데, 봉산이 무엇일까라고 생각해보니 황해도만두국 전문점인것을 미루어 보았을 때 황해도의 지명인 듯 합니다. 반찬으로는 무말랭이, 김치, 깻잎지가 나오는데 무말랭이는 매콤달달한 맛. 김치는 적당히 익은 평이한 맛.  조금 기다리면 만두국이 나오는데 맑은 국물에 큰 만두 5개, 고기고명이 올려져 있습니다. 국물은 의외로 칼칼한 고기국물의 맛. 갈비탕 국물을 생각나게 하는데 후추를 살짝 뿌려먹어도 좋았습니다. 반면 만두가 채소위주의 슴슴한 맛이어서 국물에 기름도 많이 안뜨고 칼칼한 국물과 조화를 이루는 것 같았습니다. 만두를 쭉 먹은 뒤에 작은 종지에 나오는 고슬밥까지 말아먹으면 뜨뜻하고 든든한 한 끼를 먹었다 싶습니다. 사실 만두국보다는 만두전골이 먹고싶었지만.. 혼자 방문한 관계로 다음에는 동행과 함께 방문해서 면사리도 넣어먹고 싶네요. 22-38",맛있다
7,봉산옥,Juan,"*요약: 뜨끈한 이북식 만두전골로 몸을 데우기에 딱 좋은 지금이야 회사와 집이 강동이라 강동 잠실 성수 집요정이지만, 2년 반쯤 전에는 서초에 있었던 회사 덕에 이곳저곳 구석탱이 서초구 맛집을 부시러 다녔었다. 회사 분들과 먹었던 곳 중 재방문 의사가 생겼던 몇 안되는 곳 중 하나. 가끔 여기서 친구들을 만나기도 하고 이번에는 데이트로도 방문하게 돼서 감회가 새로웠다.  1층은 이미 만석이라 지하 좌식 자리로 안내를 받았다. 만두국과 전골을 고민하다 푸짐하게 먹자며 전골 주문. 다른 메뉴 중 오징어 순대를 먹었는데 굉장히 맛있었고, 갈비찜도 괜찮으니 여럿이서 방문한다면 이것저것 많이 시켜보시길.  큼직큼직 만두, 소고기 고명, 버섯과 야채가 푸짐하게 담겨 나온다. 소고기 고명을 풀면 맑았던 국물이 빨갛게 변한다.  만두속이 푸짐해서 한 입 물면 가득 차는 느낌이 좋다. 국물을 떠넣으면 술 안먹어도 해장되는듯한 착각. 약간 걸쭉할때쯤 넣는 면사리면 끝.잘먹었습니다.",맛있다
8,봉산옥,YNZ,"쌀쌀한 날씨에 뜨끈한 전골이 땡겨서 방문한 봉산옥. 숙주와 두부, 고기 등으로 가득해 아주 담백하면서도 씹는 맛이 좋은 만두를 낸다. 만두 위에 소복히 양지가 올라가는데, 이걸 만두랑 같이 곁들이면 육향과 함께 맛이 업그레이드되서 굉장히 만족스럽다. 이북식 만두 전골이라고 해서 광화문의 평안도 만두집 같은 슴슴한 것을 생각했는데 예상외로 국물이 그보다는 훨씬 간간했다. 적당히 짭조름하면서 고기국물의 말간 느낌도 놓치지 않았기 때문에 호불호는 확실히 적지 않을까 싶다. 아무튼 맛있었던 한끼! 예술의 전당이나 남부터미널에 갈 일 있다면 금강산도 식후경이니, 봉산옥에서 뜨끈한 만두전골을 먹자!",맛있다
9,봉산옥,밈미,또 방문한 봉산옥 입니다봉산옥은 역시 오징어순대 먹으러 옵니다만둣국은 안먹던사이에 뭔가 더 밍밍해지고맛이 좀 떨어진덧 같아요그치만 오징어 순대는 역시나 통통하고 맛있고곁들여먹는 가자미식해도 상콤 달달하니 최고입니다같이 나오는 반찬중에 깻잎장아찌도 진촤 맛있어요김치말이 국수는 절대 시키지마세요노맛…ㅎㅎㅎ,맛있다
10,봉산옥,밈미,여기 진짜 맛있습니다 진짜 최고오징어 순대 꼭 드세요 진짜 인생 오징어 순대회식으로 먹고 넘 맛있어서 집에 또 포장해 갔습니다점심 시간에 늦게가면 자리없어서 기다려야 합니다지하도 있어서 웨이팅은 금방금방 빠지는 편반찬도 정갈하니 맛있고 만둣국도 맛있습니다그러나 뭐니뭐니해도 오징어순대(25000원)진짜 최고사장님이 친절하시진 않은데 맛있으니까 뭐 그래도 가야지요추천합니다,맛있다
