,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,낭만부대찌개,서울특별시 구로구 디지털로 288 대륭포스트타워 B1 104호,탕 / 찌개 / 전골,만원 미만,17,4.2,37.4835267,126.8954883
2,평양냉면,서울특별시 구로구 고척로10길 65,국수 / 면 요리,만원 미만,16,3.8,37.4963786,126.8421737
3,101번지남산돈까스,서울특별시 구로구 경인로 662 현대백화점 디큐브시티점 B1,기타 한식,만원 미만,9,2.8,37.5084321,126.8887332
4,고고즉석떡볶이,서울특별시 구로구 경인로 661,기타 한식,만원 미만,9,,37.5093957,126.8877258
5,소녀방앗간,서울특별시 구로구 경인로 662 현대백화점 디큐브시티점 5F,한정식 / 백반 / 정통 한식,만원 미만,11,,37.5084321,126.8887332
6,입춘,서울특별시 구로구 디지털로35길 41 1F,기타 한식,만원 미만,6,,37.48762,126.895471
7,참조은순대국전문점,서울특별시 구로구 구로중앙로 43,탕 / 찌개 / 전골,만원 미만,3,,37.4934932,126.8898265
8,백채 김치찌개,서울특별시 구로구 경인로 661,탕 / 찌개 / 전골,만원 미만,7,,37.5093957,126.8877258
9,은행나무손칼국수,서울특별시 구로구 디지털로27가길 3-3,국수 / 면 요리,만원 미만,2,,37.4837666,126.8917625
10,대왕곱창,서울특별시 구로구 새말로16길 29,고기 요리,만원 미만,4,,37.5042865,126.8911415
11,오봉집,서울특별시 구로구 디지털로34길 55 B1 137호,한정식 / 백반 / 정통 한식,만원 미만,4,,37.4842333,126.8992725
12,담미온,서울특별시 구로구 디지털로34길 55,탕 / 찌개 / 전골,만원 미만,7,,37.4842333,126.8992725
13,또치분식,서울특별시 구로구 새말로 97 10F,기타 한식,만원 미만,2,,37.5070431,126.8902185
14,구씨네매운집,서울특별시 구로구 공원로6나길 17-2,닭 / 오리 요리,만원 미만,4,,37.5039913,126.8908936
15,걸작떡볶이,서울특별시 구로구 디지털로31길 12 태평양물산 1F,기타 한식,만원 미만,3,,37.4851811,126.8951168
16,시골통돼지볶음,서울특별시 구로구 시흥대로163길 20,탕 / 찌개 / 전골,만원 미만,4,,37.4818187,126.8990038
17,05식당,서울특별시 구로구 디지털로 288 대륭포스트타워1차 B119호,한정식 / 백반 / 정통 한식,만원 미만,2,,37.4835267,126.8954883
18,만복영양솥밥,서울특별시 구로구 구로중앙로19길 13,한정식 / 백반 / 정통 한식,만원 미만,2,,37.494345,126.8884206
19,이게국수집,서울특별시 구로구 디지털로32길 87,국수 / 면 요리,만원 미만,8,,37.4832238,126.9001037
20,한옥집,서울특별시 구로구 디지털로 300 지밸리비즈플라자 B1,한정식 / 백반 / 정통 한식,만원 미만,2,,37.4833793,126.8941131
21,북촌손만두,서울특별시 구로구 디지털로 288 대륭포스트타워 1차,한정식 / 백반 / 정통 한식,만원 미만,4,,37.4835267,126.8954883
22,고퀄분식,서울특별시 구로구 경인로 662 현대백화점 디큐브시티점 B2,기타 한식,만원 미만,4,,37.5084321,126.8887332
23,대림원조마늘통닭,서울특별시 구로구 도림천로 336,닭 / 오리 요리,만원 미만,2,,37.4949733,126.8937332
24,새벽집,서울특별시 구로구 경인로 661 신도림1차푸르지오,탕 / 찌개 / 전골,만원 미만,4,,37.5068463,126.8846329
25,밥복끼,서울특별시 구로구 디지털로 288 대륭포스트타워1차 B1,한정식 / 백반 / 정통 한식,만원 미만,1,,37.4835267,126.8954883
26,담소사골순대,서울특별시 구로구 디지털로34길 27 대륭포스트타워3차,탕 / 찌개 / 전골,만원 미만,1,,37.4854799,126.8981862
27,태기산더덕순대,서울특별시 구로구 오리로 1154-7,탕 / 찌개 / 전골,만원 미만,4,,37.4875288,126.8387982
28,송주불냉면,서울특별시 구로구 구로동로 100,국수 / 면 요리,만원 미만,1,,37.4875452,126.8851111
29,나살던고향,서울특별시 구로구 디지털로32나길 12,한정식 / 백반 / 정통 한식,만원 미만,1,,37.48357439999999,126.9004027
30,다원국수,서울특별시 구로구 경인로 22,국수 / 면 요리,만원 미만,5,,37.4893155,126.8252103
31,숙성의미껍데기,서울특별시 구로구 새말로16길 20,고기 요리,만원 미만,3,,37.5045846,126.8905557
32,구름산원주추어탕,서울특별시 구로구 디지털로31길 38-9 에이스테크노타워1차 107호,탕 / 찌개 / 전골,만원 미만,1,,37.4859741,126.8932881
33,해남식당,서울특별시 구로구 디지털로 300 지밸리비즈플라자 2F,탕 / 찌개 / 전골,만원 미만,3,,37.4833793,126.8941131
34,24시동네뼈감자탕,서울특별시 구로구 새말로 34,탕 / 찌개 / 전골,만원 미만,3,,37.5025612,126.8847498
35,청수옥,서울특별시 구로구 고척로 177,탕 / 찌개 / 전골,만원 미만,2,,37.5041529,126.8530899
36,마리오,서울특별시 구로구 새말로 97,닭 / 오리 요리,만원 미만,2,,37.5070431,126.8902185
37,개봉칼국수,서울특별시 구로구 개봉로16길 41,국수 / 면 요리,만원 미만,5,,37.4901886,126.8585695
38,뽀끼살롱,서울특별시 구로구 디지털로 288 대륭포스트타워1차 B1,기타 한식,만원 미만,2,,37.4835267,126.8954883
39,빨봉분식,서울특별시 구로구 경인로47길 25 2F,기타 한식,만원 미만,3,,37.5004633,126.8663568
40,해밀,서울특별시 구로구 서해안로18길 24 1F,기타 한식,만원 미만,1,,37.4882942,126.8375515
41,다모아,서울특별시 구로구 구로중앙로 197 기계공구상가 B1,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5032025,126.8781546
42,광장민속촌,서울특별시 구로구 개봉로23가길 37,닭 / 오리 요리,만원 미만,1,,37.4952748,126.8584582
43,숙성의미껍데기,서울특별시 구로구 디지털로34길 55 B135호,고기 요리,만원 미만,1,,37.4842333,126.8992725
44,동대문엽기떡볶이,서울특별시 구로구 개봉로20길 54,기타 한식,만원 미만,2,,37.4933988,126.8573378
45,놀란곱창,서울특별시 구로구 신도림로 105 우성아파트,고기 요리,만원 미만,3,,37.511463,126.885482
46,칠공주떡볶이,서울특별시 구로구 구로동로22길 16-17,기타 한식,만원 미만,1,,37.4893586,126.885265
47,광희네칼국수,서울특별시 구로구 구로동로26길 16,국수 / 면 요리,만원 미만,1,,37.4902077,126.8851009
48,태천옥,서울특별시 구로구 개봉로 9,국수 / 면 요리,만원 미만,3,,37.486498,126.8561607
49,강남교자,서울특별시 구로구 디지털로31길 12,국수 / 면 요리,만원 미만,1,,37.4851811,126.8951168
50,토담집,서울특별시 구로구 디지털로34길 55 코오롱싸이언스밸리2차,탕 / 찌개 / 전골,만원 미만,3,,37.4842333,126.8992725
51,전라도밥상,서울특별시 구로구 디지털로26길 111 제이앤케이디지털타워 1F,한정식 / 백반 / 정통 한식,만원 미만,1,,37.4823711,126.8972692
52,할머니추어탕,서울특별시 구로구 개봉로19길 39 개봉동청송빌딩,탕 / 찌개 / 전골,만원 미만,3,,37.4935092,126.8558027
53,엄마네,서울특별시 구로구 개봉로3길 68,국수 / 면 요리,만원 미만,3,,37.4862839,126.8524766
54,여민락,서울특별시 구로구 고척로 49,한정식 / 백반 / 정통 한식,만원 미만,2,,37.4992555,126.8395869
55,청담동마녀김밥,서울특별시 구로구 디지털로34길 55  코오롱싸이언스밸리2차 125호,기타 한식,만원 미만,2,,37.4842333,126.8992725
56,누나홀닭,서울특별시 구로구 경인로 572,닭 / 오리 요리,만원 미만,1,,37.5032462,126.8810549
57,신의주찹쌀순대,서울특별시 구로구 디지털로 271 벽산디지털밸리 3차,탕 / 찌개 / 전골,만원 미만,1,,37.4763735,126.8852475
58,본래순대,서울특별시 구로구 디지털로33길 11,탕 / 찌개 / 전골,만원 미만,1,,37.4856641,126.8955021
59,파랑떡볶이,서울특별시 구로구 디지털로31길 120 1F,기타 한식,만원 미만,1,,37.4885326,126.8906507
60,이태리부대찌개,서울특별시 구로구 디지털로26길 123 지플러스코오롱디지털타워 105-106호,탕 / 찌개 / 전골,만원 미만,2,,37.4833536,126.8965156
61,신의혼밥,서울특별시 구로구 공원로9길 19  1F,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5026723,126.8872612
62,마실 바다요리전문,서울특별시 구로구 디지털로32나길 17-38,해산물 요리,만원 미만,1,,37.485154,126.8998357
63,추황,서울특별시 구로구 디지털로26길 123 지플러스타워,탕 / 찌개 / 전골,만원 미만,2,,37.482941,126.8977956
64,꼬꼬스토리,서울특별시 구로구 신도림로19길 7  성광빌딩 112호,닭 / 오리 요리,만원 미만,1,,37.5112343,126.8845635
65,하루국수,서울특별시 구로구 경인로 202,국수 / 면 요리,만원 미만,1,,37.4955156,126.8433834
66,바르다김선생,서울특별시 구로구 경인로 661,기타 한식,만원 미만,2,,37.5093957,126.8877258
67,원대로감자탕,서울특별시 구로구 경인로 661 227호,탕 / 찌개 / 전골,만원 미만,1,,37.5093957,126.8877258
68,먹깨비김밥,서울특별시 구로구 디지털로32길 87,기타 한식,만원 미만,1,,37.4832238,126.9001037
69,이조칼국수,서울특별시 구로구 공원로7길 22,국수 / 면 요리,만원 미만,2,,37.501836,126.8877283
70,이사부김치찌개,서울특별시 구로구 고척로1길 10,탕 / 찌개 / 전골,만원 미만,1,,37.4953042,126.8401117
71,하늘주,서울특별시 구로구 디지털로26길 111 제이앤케이디지털타워 109호,탕 / 찌개 / 전골,만원 미만,2,,37.4823711,126.8972692
72,부경이네,서울특별시 구로구 경인로33길 50,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5001144,126.8515027
73,미다원,서울특별시 구로구 디지털로 288 대륭포스트타워1차 B1,기타 한식,만원 미만,1,,37.4835267,126.8954883
74,문가네바지락칼국수,서울특별시 구로구 고척로21길 29,국수 / 면 요리,만원 미만,1,,37.5027498,126.845665
75,남원가마솥추어탕,서울특별시 구로구 새말로 81 도림빌딩,탕 / 찌개 / 전골,만원 미만,1,,37.5051241,126.8889244
76,토마토김밥,서울특별시 구로구 개봉로17길 11,기타 한식,만원 미만,2,,37.4914995,126.8551119
77,백백분식,서울특별시 구로구 경인로33길 110,기타 한식,만원 미만,1,,37.5026188,126.8502554
78,떡끼오끼,서울특별시 구로구 공원로7길 24,기타 한식,만원 미만,1,,37.5017828,126.8876307
79,제주은희네해장국,"서울특별시 구로구 디지털로 300  지밸리비즈플라자 104-2, 105호",탕 / 찌개 / 전골,만원 미만,2,,37.4833793,126.8941131
80,평양메밀촌,서울특별시 구로구 경인로 209-1,국수 / 면 요리,만원 미만,1,,37.4964828,126.8440753
81,모메존칼국수,서울특별시 구로구 경인로 18,국수 / 면 요리,만원 미만,1,,37.4890201,126.8248655
82,대박순두부,서울특별시 구로구 새말로 97,탕 / 찌개 / 전골,만원 미만,1,,37.5070431,126.8902185
83,백맘,서울특별시 구로구 개봉로16가길 21,기타 한식,만원 미만,1,,37.490915,126.85654
84,팔보면옥,서울특별시 구로구 새말로 97,국수 / 면 요리,만원 미만,1,,37.5070431,126.8902185
85,계림원,서울특별시 구로구 구로중앙로 43,닭 / 오리 요리,만원 미만,1,,37.4934932,126.8898265
86,선비촌,서울특별시 구로구 오리로13길 4,한정식 / 백반 / 정통 한식,만원 미만,1,,37.4897311,126.8335048
87,김밥가게,서울특별시 구로구 오리로 1159,기타 한식,만원 미만,1,,37.48745,126.8379321
88,신선설농탕,서울특별시 구로구 경인로 385,탕 / 찌개 / 전골,만원 미만,1,,37.4969167,126.8628764
89,숯구닭,서울특별시 구로구 경인로 176-8 1F,닭 / 오리 요리,만원 미만,1,,37.4943224,126.8405114
90,신도림김밥,서울특별시 구로구 경인로67길 23,기타 한식,만원 미만,1,,37.5104893,126.8894187
91,두드림,서울특별시 구로구 경인로 669-1 신도림1차푸르지오상가 1F 148호,국수 / 면 요리,만원 미만,1,,37.5068463,126.8846329
92,깡우동,서울특별시 구로구 공원로6나길 29-2,기타 한식,만원 미만,1,,37.5042842,126.8914695
93,본가설렁탕,서울특별시 구로구 디지털로32길 97-39,탕 / 찌개 / 전골,만원 미만,1,,37.4842108,126.9013115
94,명동할머니국수,서울특별시 구로구 디지털로34길 55 코오롱싸이언스밸리2차,국수 / 면 요리,만원 미만,1,,37.4842333,126.8992725
95,거목한방순대국,서울특별시 구로구 개봉로16가길 10-4,탕 / 찌개 / 전골,만원 미만,1,,37.4903551,126.8568787
96,동대문엽기떡볶이,서울특별시 구로구 새말로 15 양재빌딩 2F,기타 한식,만원 미만,1,,37.5047436,126.8874857
97,칼국수전문미림,서울특별시 구로구 천왕로 32,국수 / 면 요리,만원 미만,1,,37.4954031,126.887369
