,가게이름,리뷰아이디,리뷰,맛평가
1,낭만부대찌개,CDS,"항상 붐비는곳, 또다른 부대찌개를 만날 수 있음11시반 넘기면 웨이팅필",맛있다
2,낭만부대찌개,빨강코알라,근처가면 먹을 맛. 동네 부대찌개 맛집.,맛있다
3,낭만부대찌개,홍쭈,우리회사 사람들 단골집!!부대찌개라기보단.. 부대스튜 같은 느낌이에요걸죽하고~~햄맛이 진하게 느껴지는 ㅎㅎ제 기준 좀 특이한맛인데 맛있긴해요,맛있다
4,낭만부대찌개,혜긍,"낭만부대찌개 (8,000)밥과 라면사리는 기본제공.점심엔 부대찌개만 판다.주말엔 장사를안해서 직장다니는 인근거주민들은 먹기힘들다.시간내서 일부러찾아갔다왔는데밖에 의자들과 안에 사람들이 다차있는테이블이 얼마나인기있는지알려줌.안내된대로 끓였더니 진짜 맛있다. 마늘향이 진짜 상큼(?)하게 시원하게 올라오는데 이거장난아닌데 싶더라.. 불초가루의 정체는 지금생각해도모르겠다. 캡사이신분말일거라생각했지만 그정도의 매운맛이없었다. 매운맛이날라간걸까, 그리맵지않아서 그릇마다뿌려먹음..부대찌개로유명한 맛집들을 찾아다니면서 먹으러다녔는데 이정도면 근거리에서먹을수있는 최상의맛이아닌가싶다..또먹고싶다..",맛있다
5,낭만부대찌개,쥴리,또 오고 싶어지는 맛,맛있다
6,낭만부대찌개,662,"부대찌개하고 부대볶음이 있습니다.부대찌개는 마늘베이스 소스를 넣어서 국물맛이 꽤 좋습니다.볶음은 국물을 자작하게 볶아서 졸인 것으로 비벼먹기 좋습니다.개인적으로는 찌개가 더 맛있지만, 볶음도 훌륭합니다.밥은 리필이 가능합니다.주문시 안에서 1차로 조리가 되어서 나오기 때문에 금방 먹을 수 있습니다.",맛있다
7,낭만부대찌개,홍아리,"총점 : ★★★★★한줄평 :  부대찌개 ㄹㅈㄷ재방문의사 : O맛 : 진짜 맛있어요 햄종류도 많고 햄퀄리티가 넘사임양 : 밥 무한리필이라 먹고나면 배터짐가성비 : 가성비 개꿀진짜 가격도 저렴해요위치 : 역에서 도보10~15분특징 : 사람 겁나많아서 웨이팅있음팁 : 회사주변이라 주말에는 영업안함 헛걸음 조심!----------------------------------------------입맛맵고 달고 짜고 자극적인거좋앙❣️소, 돼지, 닭, 양 고기라면 다 좋아하는 고기러버❣️곱창, 회도 흰살생선만먹음, 징그러운거못먹비싸도 맛있는게 최고! 비싸고 맛없으면 화남밥떡빵 별루...꾸덕케이꾸는 좋아♥----------------------------------------------부대찌개 안좋아하는데 존맛탱임구디살고있는사람들은 알꺼임 체인점가득인맛집없는동네라 친구들 구디놀러오면 다들 갈 곳 없음그래서 갈 곳 없을때 마다 데려갔는데 실패없었음햄도 싸구려햄 1도안들어가고햄종류도 많고 양도 혜자임",맛있다
8,낭만부대찌개,이진쓰,맛있음페퍼로니도 들어가고.. 햄소시지 부족함 없이 들어가있고 맛있게먹는 방법대로 먹으면 진짜 맛있게 먹을 수 있어용ㅋㅋㅋ밥 한 공기 뚝딱입니다요. 점심식사하는 직딩들.. 특히 남자분들은 밥까지 리필하면서 맛있게 잘 드십니다!,맛있다
9,낭만부대찌개,고독한미식가코스프레,"“점심엔 부대찌개”1. 말이 필요 없는 직장인 부동의 점심 메뉴 부대찌개. 부대찌개를 사실 좋아하지 않지만, 이 곳은 다르다. 아마 마늘소스 때문일 것이다.2. 심지어 가격도 저렴한데 내용물은 충분하다. 남자 둘이가서도 부대찌개 2인분이면 충분하다. 햄사리 등을 추가할 수 있지만, 굳이 추가하지 않아도 내용물이 많다.3. 맛을 설명하자면 사실 맛있는 마늘맛이 듬뿍나는 라면, 햄, 국물을 먹는 맛이다. 거기에 치즈가 더해져 약간의 고소함까지. 특별한 것 같진 않는데, 이집을 먹고 그 어느 부대찌개집을 가도 만족이 되지 않는다.4. 옆 테이블에 앉은 남성 두분이 월요일 점심부터 소주를 마셔서 너무 부러웠다. 덕분에 다음번엔 연차내고 부대찌개에 소주를 마셔야겠다는 버킷리스트 하나가 추가됐다.",맛있다
10,낭만부대찌개,고독한미식가코스프레,1. 확실히 다른데서는 맛본적 없던 맛.2. 마늘소스 덕분인지 느끼한 맛이 없다.3. 점심에 가면 웨이팅이 항상 있지만 회전률이 빨라  오래 기다릴 필요는 없다. 하지만 너무 정신이 없는 분위기는 별로이다.,맛있다
11,낭만부대찌개,CDS,일반 부대찌개 집보단 확실히 다른 무언가 있음추천 맛집,맛있다
12,낭만부대찌개,chochokong,부대찌개는 진하고 걸쭉한 햄사리와 치즈의 맛이 잘살아있고 정말 햄햄! 좋아!하시는 분들이라면 좋아할것 같네요이런 진한 부대찌개가 평택식이라던데요? (알못...)다ㅠ먹고 라면 사리 넣으면 최고입니다!!하지만 햄휴먼들에게 진짜는 부대볶음이에요.여러분 부대볶음드세요 부대볶음!!저녁시간에만 가능한 별미입니다저는 포장해와서 제가 햄사리 더 왕창 추가해서 행복하게먹습니다 으헤ㅔ,맛있다
13,낭만부대찌개,호두꽈자,여기 참 찰지게 맛있고 치즈와 마늘 등의 맛이 아주 잘 어우러지는 부대찌개다 ㅠㅠ막 담백하고 깔끔한 느낌은 아니라 그런 맛을 선호한다면 추천하긴 애매하지만 뭔가 자극적이면서도 끌리는 맛이 있는 곳. 치즈가 들어있지만 그렇다고 또 느끼해서 먹다 질릴 정도도 아니다.또 가보고 싶은데 뭔가..위치가 애매한데다가 직장인 상대로 영업하는 곳이라 그런 지 평일에만 문 열고 주말에 영업을 안해서 아쉬운 곳이랄까..,맛있다
14,낭만부대찌개,므또,"평일 점심에는 항상 줄서서 기다리네요~햄이 종류별로 엄청 많이 들어가있고 라면사리, 치즈가 기본 포함이에요.국물에 들어가는 마늘소스 때문에 마늘향이 강하면서 얼큰해요!밥은 무한리필이라서 다 먹고 나오면 배가 빵빵해집니다!",맛있다
15,낭만부대찌개,이진쓰,"직딩에게 딱 좋은 부대찌개집(7,000원/1인)소시지, 페퍼로니, 스팸, 베이컨, 치즈떡 등 내용물이 다양합니다. 하지만 막 햄과 소시지기 엄청 많은 건 아니고 딱 적당하네요. 밥 리필하면 국물까지 싹싹 긁어먹을 양?ㅋㅋㅋ국물은 맵거나 시원하지는 않아요. 하지만 정말 담백해서 남녀노소 다 즐기실 수 있을거예요. 옆에 매운고추가루가 구비되어있어 취향껏 뿌려먹을 수 있는데 별로 큰 도움은 안되네여ㅋ고추가루가 별로 안매워여ㅋㅋ",맛있다
16,낭만부대찌개,추억의도나쓰,주로 부대찌개를 먹는데 전체적으로 양이 푸짐하고 라면사리 기본에 치즈떡볶이도 들어있다. 햄도 다양하게 들어있다. 점심 저녁  식사시간에 가면 항상 줄서서 기다려야한다. 90년대 음악과 인테리어로 복고 분위기 물씬,맛있다
17,낭만부대찌개,송연,인당 6000인데 죤맛. 특제 마늘소스 넣어주는데 그게 진짜 맛있음. 국물이 자꾸 생각나요...,맛있다
18,평양냉면,택꽁이,8000원이라는 저렴한 가격의 맛있는 평양냉면.일반 냉면과 가격이 비슷한데 육수와 면의 맛도 맛있다.비냉은 들기름이 뿌려져 나오는데 맵지 않아서 매운것 못먹는 사람들이 안심하고 먹을수 있을 것 같다.오류동역 근처 갈때마다 생각나는 맛집!,맛있다
19,평양냉면,평냉쟁이,천원 올라 8천원 놀랄가격 친절은 만점 면발 굵기 적당 메밀향 육수 맛 좋고 온육수도 좋아요 김치 열무물김치 굿 유명한집 값을하네요,맛있다
20,평양냉면,ㅂㅇ,개운 깔끔! 면이 맛나요!,맛있다
21,평양냉면,배배,인테리어가 입식으로 바뀌었네요?좌식보다 덜 어수선해서 좋은 것 같아요근처 광명 정인면옥보다 더 슴슴한 육수 맛입니다(그렇다고 아주 슴슴한건 아님)육수 맛있어요!!다만 면발이 굵은 편이라 취향을 좀 탈듯해요그래도 이 가격에 이정도 평양냉면 잘 없는거 같아요~!,맛있다
22,평양냉면,깽민,정인면옥 계열의 원조격인 집이라고 한다. 여의도 정인면옥이 개인적으로 가장 좋아하는 평냉집 세 손가락 안에 들어 어느정도 기대를 품고 갔다. 정인면옥을 좋아하는 이유 중 가장 중요한건 면발이다. 이 집도 두툼한 면발이 인상적이다. 가는 면발과 확실히 다른 매력이다. 투명하고 간간한 육수도 정인면옥과 비슷한 느낌이다. 다른 부분은 가격. 상대적으로 저렴한 가격에 맛 볼 수 있는 맛있는 냉면이다. 의도한 바는 아니었다만 이날 돈카츠에 이어 냉면도 가성비 좋은 맛있는 집을 만났다. 여의도까지 가는 수고를 덜어주는 냉면집이다.,맛있다
23,평양냉면,피카츄,맛있습니다. 근데 약간 아쉽습니다.국수가 살짝 굵습니다. 어쩌면 물냉보다는 비냉이 어울릴 국수입니다. 국물이랑 간은 모두 괜찮습니다. 딱히 냉면은 국수 굵기 외에는 문제가 없습니다.녹두전은 훌륭합니다. 흠 잡을 데가 없습니다. 가격도 착합니다.그런데 만두가.... 만두가 좀.... 음..이북식 만두를 기대했는데 전혀 아니였고 두부도 지나치게 많습니다. 또한 부족한 소를 채우기 위해 조미료를 많이 넣었습니다. 이건 어쩔 수 없던 것 같습니다.다음에는 비냉을 먹으러 가보고 샆네요,괜찮다
24,평양냉면,작약,"여름이 다가오는 탓인지, 평냉 생각이 스물스물 들어서 찾아간 곳이에요.주차 x 골목길에 있어요. 브레이크 타임도 있으니 방문 전 확인해보고 가세요-육수있는 냉면과 편육을 시켰는데, 주인 아주머니께서 편육에다가 비냉을 먹는데 더 맛나다고 해서 그렇게 시키긴했는데, 약간 후회했어요 ... 편육이 확 맛나지도 않았고 평냉집에 와서 육수맛을 못봐서요.. 그렇다고 비냉이 너무너무너무 맛있고 그렇진 않았어요 퓨ㅠㅠㅠㅠ 전체적으로 괜찮다라는 생각이 들어서 괜찮다고 평가를 누르지만... 평냉 먹어보고 다시 후기 쓰고 싶어요 !",괜찮다
25,평양냉면,배배,고기육수에 약간 동치미 맛이 도는 육수입니다 육수는 정말 좋은데 면이 두꺼워서 약간 아쉽습니다 ㅠㅠ 그래도 가격이 매우 저렴하고 집과 가깝다는 지극히 개인적인 이유로..ㅋㅋㅋ 맛있다로!,맛있다
26,평양냉면,benedetta,/냉면/녹두전/춘님이 남기신리뷰 이상 쓸말이..없어 몇가지 기억나는 것을 적어보자면...요즘 평냉가격이 워낙비싼데 거의 1/2가격에 맛볼수있는 곳이 있다는것이 놀라움. 물론 고명이 좀 적게들어가고? 계란까지 작은느낌?ㅋㅋ일컫자면 보급형 평양냉면이라고할까.. 주변상권이나 동네주민들을 품의며??장사하시는 느낌이 꽤들었다.육수는 좋았는데 나한텐 면이 좀 메밀향이 덜나고 두꺼운느낌이었다.일반 가정집을 개조한 식당은 노포임을 증명이라도 하듯 근대화되기 전 옛 서울의 풍경을 담은 사진이 걸려있었다. 정인면옥을 낳은ㅋㅋ평냉집이니 방문해보는것도 괜찮을듯-웨이팅있고 주차장은 없다. 지나가는 차를 피해줄을 서야하고 ㅎㅎ2:40부터 4시 사이 브레이크타임이니 참고!!,맛있다
