,가게이름,리뷰아이디,리뷰,맛평가
1,스쿨푸드,맛집세포,"스팸말이 김밥, 치즈떡볶이, 장아찌라면 주문.다시는 안 갈 것 같다..:) 일반 분식집과 비등하거나 더 별로인 맛으로 가격은 너무 비쌈.특히 김밥이 가장 가성비 제로이고..라면은 스쿨푸드 만의 특별한 장아찌를 곁들여 먹는 라면이라는데 그냥 평범한 라면이였고;떡볶이도 쏘쏘..",별로
2,스쿨푸드,MadMaxMarMan,가성비도 떨어지고 먹고나면 건강한 기분이 안듦.맛도 그럭저럭.,별로
3,상아탑분식,김서하,"떡볶이 킬러인 엄마와 함께 떡볶이 2인에 쫄면사리, 계란, 만두 추가와 볶음밥을 시킴.우선 위생상태가..ㅎㅎㅎㅎㅎ... 조금 많이 안좋아요.. 아주머니는 마스크 쓰고 음식 만드셨는데.. 주인아저씨가..ㅎㅎㅎ... 밖에서 나갔다가 손도 안씻고 음식을 만드시더라구요 ㅠㅠ 저희는 코로나 좀 잠잠했을때 방문했었지만.. (11월 초에 방문)그래도 음식만드시는데 마스크 안쓰고, 손도 안씻으시고 음식 조리하시는 아저씨 보고 경악했습니다.. 떡볶이는 평범하구요 볶음밥이 맛있었어오..아주머니는 소문대로 엄청 친절하시지만.. 위생관념이 전혀 없었던 곳처럼 느껴져 재방문 의사 전혀 없어요 ㅠ",별로
4,상아탑분식,몰랑이,자극적인 체인점 배달 떡볶이만 먹다가 오랜만에 먹은 구수한 떡볶이맛 이라고 하면 아시려나요그냥 국물 막 떠먹어도 하나도 안 자극적이고학교앞 컵떡볶이 같은맛인데 직접 끓여가며 즉석으로 먹으니 더 맛있어요 싹싹 긁어먹게되는 맛!야채가 아삭하니 맛있는데 튀김이 없어 조금 아쉽습니다하지만 그 아쉬움을 사리 추가로 한풀음둘이가서떡1오뎅사리1라면사리1계란2만두사리1치즈1많이도 시켰는데 ㅋㅋㅋ 오뎅좋아하면 사리로 꼭 넣어야하구 만두는 튀긴 야끼만두가 나올줄 알았는데 그냥 만두가 나와요!그리고 사리 부족해서 또 쫄면추가해서 먹었슴다(많이 잘 먹는편)볶음밥까지 마무리~~~~~볶음밥이 달달하고 진짜 맛나요ㅠㅠ 기본찬으로 나오는 무는 냉면무 같은 맛인데 걸죽하게 끈적이더라구용...좀 특이했음카드 안받으시고 현금받으십니다 (이체가능)주차공간없습니다,맛있다
5,상아탑분식,땀개,정말...그때의 감동을 잊지못하여 재방문을 하였습니다.어김없이 맛잇었고 사장님은 친절하였으며 볶음밥은 일품이였습니다.맛있다보니까 먹으면서도  아쉽더군요..너무맛있다...언제또오지...정말맛있다 우리집 앞에 있었으면... 말을 반복하면서 먹었습니다. 옛날 즉떡을 사랑하시는분들이라면 고민없이 방문해주세요 시원한 얼음물과 에어컨 그리고 뜨겁고 맛있는 떡볶이 친절하고 상냥하신 사장님과 최고의볶음밥이 하루종일 당신을 행복하게해줄것입니다.재방문율1000000%주변춘천율1000000%,맛있다
6,상아탑분식,커피마시는낙타,떡볶이 is 뭔들ㅠㅠㅠㅠㅠ 여기는 볶음밥이 진짜 맛있어요ㅠㅠㅠ 볶음밥 꼭 드셔주세요ㅠㅠㅠ,맛있다
7,상아탑분식,프리즘,"트위터에 도는 떡볶이 추천글을 보고 방문한 '상아탑분식'. 밀떡 보다는 쌀떡을 선호하는 편이지만 맛있게 먹었다. 쫜득쫜득한 떡, 꼬들꼬들한 라면, 추가한 치즈로 꾸덕해진 국물. 환상적. 무엇보다 추가한 볶음밥이 예술이다. 개인적으로 인생 볶음밥은 대전에서 먹은 볶음밥인데 그에 견줄만한 맛. 떡볶이 2인분에 볶음밥 2인분 클리어.마치 알고 지낸 사이처럼 친근하게 대해주시는 사장님에 기분이 좋았다. 맛도 맛이지만 이집 분위기에 또 가고싶어지는 곳.",맛있다
8,상아탑분식,땀개,오리지날 즉석떡볶이스타일 길쭉하고 쫄깃한 밀떡이 넘모 내스타일이였다. 맛은 달콤함보다는 매콤함이 좀더강해서 질리지않고 끝까지 긁어먹을수있었다. 하지만 끝까지 긁어먹어서는 안된다 왜냐면 볶음밥을 볶아먹어야하니까 볶음밥 맛은 최고다 맛이 처돌이급이다.배가부르지만 남기면 하루종일생각날것같아서 무슨수를써서라도 다먹고나왔다 히히 정겨운 분위기에 매우친절하시면서 내공이 보이는 사장님♡♡ 다 맘에들었다 우리집에서 멀지만 이집 단골이 되고싶다.자주가고싶은 떡볶이집 재방문율100%,맛있다
9,상아탑분식,우주,(너무 예전에 방문해서 달라졌을 수도 있지만 후기가 없어서 남김)시흥동 라인의 떡볶이 투탑 식당 중 하나(였었다. 지금은 고딩이 아니라서 모름. 또륵.) 떡볶이보다는 밥 볶아먹는게 그렇게 맛있는데... 진짜 맛있었당,맛있다
10,순대의명가미각,KYS,친구 점심시간에 직장 근처에서 만나게 됐는데 친구 추천으로 방문!안면 있는 친구 남편과도 같이 먹게 됐는데 둘의 점심시간 단골집인 듯 했다. 가디 쪽 직장인의 찐 맛집인 것 같아 믿고 먹었다.반찬을 잘 안 먹는 타입인데 그래도 맛은 보니 다 맛있었다. 특히 깍두기가 서울식 깍두기인데 삼삼하니 시원하고 맛있었다. 머릿고기도 푸짐하고 순대도 맛있었다. 국물도 잡내 없이 깔끔하고 내 취향의 순대국이었다.다이어트 & 외식 간만이라 순대국 그리웠던 때라 진짜 맛있게 먹었다.. 원래 피자 먹을까 하다가 친구가 원하는 데로 온거라 좋은 선택이었다! 근처라면 좋은 선택이 될 듯!,맛있다
