,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,예삐네집,서울특별시 강남구 학동로4길 31,탕 / 찌개 / 전골,만원 미만,4,4.3,37.5094313,127.0238368
2,한성칼국수,서울특별시 강남구 언주로 735 관세개발원빌딩,국수 / 면 요리,만원 미만,34,4.0,37.52078180000001,127.0337693
3,롤리폴리 꼬또,서울특별시 강남구 봉은사로51길 19,퓨전 한식,만원 미만,9,4.0,37.5112342,127.0423219
4,육개옥,서울특별시 강남구 봉은사로 167 ,탕 / 찌개 / 전골,만원 미만,8,3.9,37.5072082,127.0322447
5,신사면옥,서울특별시 강남구 도산대로46길 11,국수 / 면 요리,만원 미만,8,3.9,37.521248,127.0366212
6,논현손칼국수,서울특별시 강남구 논현로111길 16,국수 / 면 요리,만원 미만,18,3.7,37.5075674,127.032205
7,봉평본가메밀촌,서울특별시 강남구 선릉로129길 23,국수 / 면 요리,만원 미만,14,3.7,37.515777,127.0396281
8,압구정변강쇠떡볶이,서울특별시 강남구 도산대로46길 21 B1,기타 한식,만원 미만,40,3.6,37.5206817,127.037115
9,손국시,서울특별시 강남구 도산대로 310,국수 / 면 요리,만원 미만,15,3.6,37.5214918,127.0354608
10,이모가있는집,서울특별시 강남구 언주로134길 31,탕 / 찌개 / 전골,만원 미만,16,3.4,37.5171698,127.0380458
11,가나기사식당,서울특별시 강남구 언주로 608,기타 한식,만원 미만,15,3.4,37.5098824,127.037748
12,맛짱떡볶이,서울특별시 강남구 강남대로122길 17,기타 한식,만원 미만,11,3.4,37.5082107,127.0244216
13,개성집,서울특별시 강남구 봉은사로1길 6,고기 요리,만원 미만,3,3.2,37.5052205,127.0252342
14,동대문엽기떡볶이,서울특별시 강남구 선릉로131길 8 1F,기타 한식,만원 미만,5,2.9,37.5179438,127.0402667
15,육일점by한옥집김치찜,서울특별시 강남구 언주로148길 6 우미빌딩 1F,한정식 / 백반 / 정통 한식,만원 미만,9,,37.5201804,127.0351319
16,다모아,서울특별시 강남구 논현로150길 41,기타 한식,만원 미만,6,,37.5201173,127.0318879
17,막뚱이치킨,서울특별시 강남구 학동로4길 41 1F,닭 / 오리 요리,만원 미만,5,,37.50876,127.0241702
18,디히랑,서울특별시 강남구 언주로121길 4-3,탕 / 찌개 / 전골,만원 미만,2,,37.5118354,127.0350455
19,두성전주콩나물국밥,서울특별시 강남구 선릉로131길 12  1F,탕 / 찌개 / 전골,만원 미만,2,,37.5175614,127.0395155
20,더수제비,서울특별시 강남구 논현로132길 29,국수 / 면 요리,만원 미만,6,,37.5155154,127.0327369
21,푸드2900,서울특별시 강남구 도산대로50길 16,기타 한식,만원 미만,4,,37.5213335,127.0373781
22,한남동24시뼈다귀감자탕,서울특별시 강남구 언주로134길 35 2F,탕 / 찌개 / 전골,만원 미만,1,,37.5172356,127.038381
23,남다른감자탕,서울특별시 강남구 논현로 750 선주빌딩 1F,탕 / 찌개 / 전골,만원 미만,4,,37.5187933,127.0287749
