,가게이름,리뷰아이디,리뷰,맛평가
1,예삐네집,나영이,"분명한 단점이 있지만 단점으로 기억되지 않는 집. 아니 좋은 기억으로 기억되는 집.그 단점을 음식의 맛, 장소가 주는 분위기로 커버하고도 남기 때문인 것 같아요.금요일 밤이었나 그래서 바깥 자리 잡기가 정말 어려운 날이라 미리 전화로 자리 있음을 확인하고 갔는데 사장님 착오로 다른 분께 자리를 내어주셨더라구요.. 아쉽지만 안에서 먹어야지.. 했는데 다행히 다른 테이블이 나서 원하던 야외자리 착석.제일 기억에 남는 건 역시 수육! 소 수육은 흔히 접하기 힘든 것 같은데 그만큼 특별함이 있더라구요. 껍데기? 지방질의 쫀득쫀득한 부분 식감도 그렇고 살코기 부분의 저항감도 너무 좋았어요. 갓 나온 뜨끈한 느낌도 매력적이더라구요. 술 안주로 이만한 게 없단 생각 들었어요. 편육은 기대했던 만큼의 맛은 아니었던 것 같아요. 다소 밋밋, 평범했어요. 소머리국밥은 많이는 안 먹어서 디테일한 맛 표현은 아닐 수 있는데 꽤나 깊은 맛을 내어 국물 안주 필요할 때 좋은 메뉴인 것 같아요. 국물 전문으로 하지 않는 집이지만 가볍진 않더라구요.서두에 말했던 단점은 역시 위생이나 가게 컨디션이지 않을까.. 가게 안에서는 뭔가 답답해서 음식을 즐기기 힘든 분위기 같고 화장실도 쉽진 않더라구요 ㅎㅎ 노포의 단점을 어느 정도 감수할 수 있어야 하지 않을까라는 생각도 들었어요. 그리고 소주가 덜 시원하다는 거도 개인적으론 아쉬움으로 남았어요. 오히려 안주가 빛을 잃을 수 있는 포인트.그럼에도 선선한 날씨에 야장에서 즐기는 맛있는 안주와 술은 놓칠 수 없는 포인트. 이 집에서 수육에 소주는 무조건 다시 즐기러 올 예정!",맛있다
2,예삐네집,EJ,"불어오는 바람에 따스한 기운이 느껴지기 시작하는 것이 의심할 여지없이 야장의 계절이다. 강남 쪽에서 이런 바이브 찾기 힘든데 신논현과 논현사이 영동시장 안에 있는 곳이 있다.야외 테이블 깔아주시면 시장 상인분들 지나다니시는거 보며 해지면서 하늘 변하는거 보며 맛있는 소머리국밥, 수육, 머릿고기 먹으면 기부니가 좋아짐. 소머리 수육은 콜라겐 덩어리다. 쫀득쫀득하고 양도 실한 편. 국밥의 국물 또 놓칠 수 없으니 국밥도 먹으며 사이드 김치마저도 소주를 콸콸하게 만듦강남 조만간 가야겠군여",맛있다
3,예삐네집,Colin B,"“영동의 소울푸드 레스토랑”현재의 강남 지역은 1960년대 서울특별시에 편입되었는데, 당시만해도 시골이었던 이들 지역을 통칭할 지명이 마땅히 없다보니 사람들은 “영등포의 동쪽” 이라는 뜻으로 영동이라 불렀다. 강남이란 이름이 자리잡아가면서 영동이란 단어는 차츰 사어가 되어갔지만, 강남구와 서초구 곳곳에는 아직 그 때의 흔적이 남아있다. 그 중 하나가 영동시장이다.강남구 유일의 전통시장이자 40여년의 짧지 않은 역사를 가진 시장이다. 백종원거리를 비롯한 논현 먹자골목이 발달하면서 근방 지역은 젊은이들에 의해 완전히 점령당했지만, 뒷 켠 영동시장의 골목골목은 시장 상인들과 영동의 아재들이 굳건히 지켜나가고 있다. 영동시장 A-30호 예삐네집은 이 시장의 소울을 온몸으로 느낄 수 있는 곳이다. 눈이 펑펑 내리던 지난 겨울의 어느 날, 옴짝달싹 못하는 차를 세워두고 예정 없이 이 곳으로 흘러들어오게 됐는데, 문틈 사이로 내리는 눈을 바라보며 맛있는 안주에 소주 거하게 걸친 그날의 기억이 강렬하게 남아있다.꼭 먹어봐야 하는 음식은 편육, 소머리수육, 소머리국.편육. 상가에서나 먹는 음식이라는 편견은 잠시 내려놓자. 큼지막한 누름고기를 덩어리째 내놓는 와일드한 비주얼에 순간 말문이 턱 막힌다. 두툼하게 썰어낸 편육에서 누름고기 특유의 응축된 식감과 진한 육향을 느낄 수 있다. 절인 고추, 매콤한 새우젓, 매콤한 생김치. 뭘 붙여놔도 합이 잘 맞는다.소머리수육. 흐물거리고 느끼한 소머리수육은 잊어버리자. 살코기와 콜라겐의 적절한 배합, 뜨겁지도 차갑지도 않은 온도감으로 탱탱하고 쫄깃한 식감이 살아있다. 고추가루 섞은 굵은 소금에 한 점, 고추 간장에 한 점. 그 새 소주는 두 잔.소머리국. 꼬릿한 잡내에 대한 걱정은 접어두자. 소머리 특유의 잡내는 잡고, 구수함은 살린 웰메이드 국물이다. 서울에서 먹어본 소머리국 중 최상위급. 첫 술에 입술이 코팅될만큼 베지근한 국물에 몸이 녹아 내린다. 멋진 영동의 밤이다.instagram: colin_beak",맛있다
4,예삐네집,오늘,친구가 데려간 곳...ㅋㅋㅋㅋㅋㅋ보자마자 아 여긴 찐이구나... 수육이랑 소머리국밥을 먹었는데 둘다 진짜 맛있다 ㅠㅠ수육은 두툼하게 썰린 살코기와 쫄깃한 비계를 같이 먹으면 환상소머리국밥은 꽤 진한 국물이다! 안에 내용물도 실한 편이다.옆 가게에서 떡볶이도 사와서 먹었다.,맛있다
5,한성칼국수,고균,한성칼국수 본점이에용~ 매장은 2층에 있습니다! 단체로도 가기 좋게 룸도 있는거같았어요!  저희는 낚지볶음에 칼국수 추가! 다른 후기보니 꼭 시켜야겠다는 생각이~ 가격대는 면추가까지 4만원정도인데 양은 그렇게 많지는 않았어요! 비싼만큼 맛도있어서..시킨게 후회되지않는 그런 맛 !! 낙지도 싱싱하고 면빨도 좋아서 너무 맛있게 잘먹고나왔어용~,맛있다
6,한성칼국수,형석,여기는 술집인가 밥집인가마치 한남북엇국을 보는 듯한 곳이다. 분명 가게 이름부터 칼국수로 식사가 메인인 집인데 한식 안주류로 취급 할 수 있는 일품요리들이 꽤나 다양하고 콜키지가 되는 것 까지 한남북엇국과 상당히 흡사하다. 음식들은 분명 맛있다. 만두 수육 제육 모듬전 등등 하나하나 재료가 괜찮고 고기들도 촉촉하니 조리상태가 좋다. 칼국수도 매끈한 면빨의 사골칼국수인데 약간 간이 세다는 것 말고는 굳이 맛으로는 깔게 없었다.하지만 가격이 너무 비쌈. 양도 많은게 아닌데 이게 강남 한복판 물가라는건가.. 법카 아니고서야 찾아오기 쉽지 않은 장벽이 있다.,맛있다
7,한성칼국수,HR,"칼국수에 수육 & 전, 클래식한 조합을 선보이는 한식집노포 바이브 가득했던 한성칼국수가 원래 있던 지하 자리에서 길 건너편 지상 2층 건물로 이전했다 한성칼국수를 기대하며 방문했다한성""칼국수""이니 칼국수 한 그릇에 함께 먹을 수육, 모듬전을 주문했다모듬전에는 새우, 대구, 굴, 애호박이 나오는데 대구는 그냥 보통.. 정도였고 애호박이 물기가 있어 그런가 제일 맛있었다확실히 이전 이후 매장이 한층 넓어지고 깔끔해졌다다만 특유의 소주+노포 바이브는 많이 덜해졌다ㅠ이제는 식사를 하러 오는 느낌에 가까워졌는데 음식 맛이야 그대로이지만 이 집만의 노포 분위기가 덜해진 거 같아 그 부분은 조금 아쉽다by #류흥로그",맛있다
8,한성칼국수,소미,"한성칼국수 지금은 건너편 골목으로 이전했어요!!주차가능하고 주차비있습니다. 한성칼국수가면 칼국수 먼저 드시지마시거 수육이나 전, 낙지볶음 클리어하고 칼국수 하나를 나눠드시면 배부르고 깔끔하게 먹을 수 있어요!! 잔한 사골국물의칼국수 칼국수맛집은 한성칼국수입니다.",맛있다
9,한성칼국수,연건동맛동산,"⭐⭐⭐⭐⭐+낙지볶음 (36.0) 수육 소 (28.0).진짜 맛있는 음식을 먹으면 갑자기 말이 없어지고, 머리의 생각이 일순 정지하는 느낌을 받는다. '갈고닦은 실력'이라는 표현이 무엇인지를 알게 해준 곳. 한성칼국수..#수육 - ""에게게.. 이만큼에 28000을 받는다고?"" 싶었다가 한입먹고 뱉은 말을 주워담았던. 사태 부위를 정말 아름답게 삶아내서 입 안에서 말 그대로 살살 녹는다. 정말 녹진하다는 표현 그대로 살살 녹으면서 살코기의 고소함과 지방의 풍부함이 입안을 가득 채운다. 고기에 간이 적절히 배어 있어서 어떤 양념도 같이 먹을 필요가 없다. 그냥 먹고 즐기면 된다. 한입 먹고 이 곳의 음식실력을 바로 알 수 있었던 메뉴...#낙지볶음 - 다른거는 몰라도 낙지볶음은 무조건 시키기를 추천. 진짜 강남지역에서 30년 넘게 영업한 업장의 실력을 고스란히 보여주는 메뉴다. 볶음요리의 가장 어려운 점은 재료의 맛을 어떻게 살려내는가?라는 질문이라고 생각한다. 근데 이 한 그릇에 들어간 모든 재료는 각각의 매력을 고스란히 살리고 있었다. 양파만 먹어도 칼칼한 양념을 듬뿍 머금으면서 아삭아삭한 맛을 그대로 살리고, 낙지는 바다에서 갓 나온듯 탱글탱글하면서 전혀 질기지 않은 식감을 뚜렷하게 보여주고 있었다. 진짜 한 입 한 입 감탄하며 먹었다. 거기에 불맛 가득한 양념은 자꾸자꾸 젓가락을 들게 만들고 술잔을 기울이게 만들고..여기서 포인트는 꼭, 칼국수를 시키라는 것이다. 식사용도가 아니라 사리 용도로. 사실 이곳은 '칼국수 빼고 다 맛있다'라는 말이 있을 정도로 칼국수는 사이드의 느낌이다. 사골육수를 한껏 머금은 칼국수 사리가 낙지볶음의 양념을 만나는 순간? 게임오버. 진짜 최강의 조합이 아닐 수 없다..#모듬전 - 애호박전, 동태전, 새우전, 굴전. 애호박은 달큰하며 아삭하고, 동태전은 꽉 찬맛이 인상적이고, 굴전은 굴 향을 그대로 살리며 전혀 비리지 않고 정말 '바다의 우유'처럼 고소하다. 하이라이트는 새우전. 탱글한 새우가 고소한 계란옷을 입고 입안을 채우니 막걸리를 시키지 않을 수가 없다....#접시만두 - 이쯤되니 만두가 너무 궁금해서 시키지 않을 수가 없었는데, 만두는 살짝 패스해도 좋을 것 같다^^ 맛이 없는 것은 아닌데, 그렇다고 막 특별한 맛은 아니었음. 소가 꽉꽉 찬 조그만 물만두였는데, 칼국수 국물과도, 남아있는 낙지볶음 양념과도 잘 어울렸다..강북에 호반이 있다면 강남에는 한성칼국수가 있을 것 같다. 오래된 업장이지만, 전혀 오래되었다는 느낌은 들지 않고 정말 깔끔하고 단아하다. 하지만 이 식당의 경력을 알 수 있는 것은 음식. 모든 음식에 칼을 갈고 극강의 맛을 끌어내니, 이것은 정말 오랜 시간 연마하지 않고서는 나올 수 없는 실력.. 가격은 높은데, 전혀 후회할 곳이 아니다. 한성 '칼국수'라는 간판에 속지 말고 막걸리를 마시러 가시길. 그리고 낙지볶음+칼국수 제발 시도해주세요 ㅠㅠ 나만 알고있기 아까워...",맛있다
10,한성칼국수,Luscious.K,"#논현동 #한성칼국수""변하지 않기가 이렇게도 힘들다""1. 참 좋아하는 논현동 토박이 칼국수다. Since 1983이니 벌써 30년의 업력이 됐다. 강남에서는 노포 축에 낄 수 있는 업력으로 향해가고 있다.예전 리뷰에서도 언급했듯이 이집은 사골베이스의 안동국시 스타일 칼국수도 좋지만 수육과 전에 강점이 있는 곳이다.물론 칼국수집이니만큼 칼국수와 반찬들이 기본은 해야하는 곳인데, 이번 방문에서는 아쉬움이 느껴진다.2. 반찬으로 물김치, 배추김치, 부추무침을 주시는데 물김치는 지나치게 짜면서 익지 않았다. 부추무침은 강렬하고 조미료맛이 과도하다. 다행히도 발 발효된 배추김치는 맛있다.이렇게 지나치게 강한 맛의 반찬은 담백한 안동국시의 맛을 해친다.3. 국수가 제일 아쉽다. 예전에는 (이집에는 미안하지만) 소호정 대체재로 이용을 했었다. 그런데 이번에 먹은 맛은 육수의 맛도 기존의 맛과는 달라진 혼합육수 느낌이 나면서 밍밍하고 밀가루의 텁텁함도 느껴진다.레시피가 바뀌었는지, 조리하시는 분이 달라지셨는지는 모르겠지만 오랜 단골의 혀는 예전의 그 맛을 느낄 수 없다.4. 다행인 것은 좋아하는 이집 시그니쳐인 새우전은 여전히 맛있다.5. 변화가 발전으로 이어진다면 더할나위 없겠다. 그렇지만 예전의 장점을 해친다면 그 변화가 옳은 변화인지는 사장님께서는 곰곰히 생각해보셔야 할 듯 하다.의도된 변화일 수도 있고 의도치 않은 변화일 수도 있지만<이집이 변했다> ㅜㅜ",괜찮다
11,한성칼국수,-,"칼국수 국물은 맹탕하고, 김치가 당황스럽도록 달아요 ㅠㅠ 부추(?)김치까지도 달아요 ㅠㅠ배가 많이 고팠는데 다 먹을 수가 없는",별로
12,한성칼국수,Hun.gry.gram,모든 메뉴와 반찬이 맛있는 나보다 오래된 업장수요미식회 나온 논현의 노포.#한성칼국수 한성 칼국수 since 1983.수요 미식회에 나온 새우전은 탱글탱글 하며 고소하고.양지 수육은 진짜 보들보들 하다. 진짜 기본기가 탄탄함이 중요함을 여기서 배운다. 소스 찍지 말고 한 입 드셔보시면 제 말이 무슨 말인지 알 것.칼국수로 호로록 탄수화물 먹어주면 진짜 깔끔한 마무리.우리 동네는 왜 이런 가게 없냐ㅠ논현동 사람 찐 부럽...,맛있다
13,한성칼국수,YNZ,한성칼국수 재방문기. 비오는 쌀쌀한 날 칼국수 한 그릇이 간절해 오랜만에 재방문을 했다. 아니 근데 대체 그동안 무슨일이 있었던 걸까? 2년전에 7천원이었던 칼국수가 1만원이 됐다. 메뉴를 쭉 훑어보니 칼국수만이 아니라 전반적으로 다 값이 오른 것 같다. 세상에.. 법카가 망친 식당이라더니 그 말이 딱 맞다. 맛은 여전히 좋았지만 이정도 값이라면 다신 오지 못할 것 같다.,별로
14,한성칼국수,푸드러버으니,새우전 기절초풍. 낙지볶음사리 완전 맛있다.그냥 칼국수도 맛있다.또 가고싶은 곳,맛있다
15,한성칼국수,동지,"이름은 칼국수집이지만 낙지볶음+칼국수사리 최고,,,모듬전 특히 새우전 너무 맛있음수육 제육 다 맛있고 소라랑 문어데침도 맛있음국물이 필요하다면 칼국수보다는 만두국이 더 맛있음콩비지찌개는 굳이 다시 먹진 않을 것임",맛있다
16,한성칼국수,모찌얌,"모듬전, 수육, 칼국수 한 그릇 반반 나눠서 주문.모듬전에는 새우, 호박, 생선, 굴이 나온다. 알새우가 들어간 새우전이 제일 맛있었다. 다음에 가면 새우전만 시키고 싶다. 생선전은 조금 퍽퍽하다.보기에도 부드러운 수육은 야들야들해서 김치, 부추, 쌈장, 상추의 조합으로 먹었다. 고기가 부드럽고 잡내가 안나서 좋았다.칼국수는 심플한 호박볶음 고명과 국수로 구성. 육수는 멸치인지 사골인지 잘 모르겠다. 이 칼국수를 먹기위해 다시 찾지는 않을 것 같다.",맛있다
17,한성칼국수,ㅂㅅㅎ,"늘 함께 있어 소중함을 몰랐던거죠~~* 일부러 찾아갈 만한가요? 먹어볼 만합니다! 면식가라면 30분 드리죠! 맛집인거야 이미 잘 알지만 이 칼국수가 술안주로도 을매나 끝내주게요?회사 회의자리에서 개박살나게 싸늘한 분위기로 자리가 파한 후 넘모 힘들어서 한잔하러 훅 들른거라, 모듬전 중, 칼국수1로 간단~히 한잔 하고 일어날 셈이었죠.아니 근데 점심에는 맛은 있어도 특별히 감사함을 몰랐던 이 칼국수가 안주가 되니까 아주 소주 흡착기가 따로 읍대여?모듬전은 솔직히 이 양에 24,000원? 조금... 비싸조. 맛은 좋습니다. 그러나 10시에 문닫는데가다 온리완남바완 정도는 아니니까여. 전을 꼭 여기 찾아와 먹을필요는 없겠습니다.그런데 이렇게 칼국수는 극찬하고 전은 데면데면한데 사진은 전뿐이냐!???-> 첫문장으로 돌아가시오",맛있다
18,한성칼국수,mir,정겨운 곳! 칼국수 맛있어여,맛있다
19,한성칼국수,Colin B,"“맛있고 야박한 강남 노포”#강남 노포1970년대 들어서 본격적인 개발이 시작된 강남에서 거의 마흔살을 바라보는 식당이니 이제는 “노포”라 불러도 어색하지 않다. 식당을 개업할 당시만해도 이 근방은 거의 허허벌판에 가까웠다. 강남의 부상과 함께 이 식당 역시 떠오르기 시작했고 정재계 인사와 연예인들이 찾는 식당으로 알려지면서 더욱 유명세를 탔다.“SINCE 1983”. 간판부터 내부 분위기까지 세월의 흐름이 고스란히 느껴진다. 거기에 공간을 빈틈 없이 채운 사람들의 웅성거림까지 더해져 서민적이고 정겨운 분위기를 연출한다.#끄덕여지는 맛이 곳은 칼국수를 옥호에 내세우지만 각종 전류와 수육으로 더 유명한 식당이다. 데친 해산물 요리도 있다. 그야말로 소주 한 잔 걸치기에 더할 나위 없는 음식들이다.이 곳의 음식들을 여럿 시켜 먹어보면 정체성이 꽤 뚜렷하게 느껴진다.- 우선 좋은 재료를 쓴다.- 본연의 맛을 살릴 수 있게 조리한다.- 새로운 시도를 하기 보다는 기존의 방식을 잘 하는 것에 집중한다.문어 데침과 소라 데침은 각각 대문어의 다리와 참소라를 재료로 하여 꾸밈없이 데쳐서 낸다. 날카로운 단면, 치감이 살아있으면서도 질기지 않은 지점을 정확히 찾아낸 데침에서 오랜 세월동안 쌓인 연륜이 느껴진다.새우전도 끝내준다. 노란 계란 꽃이 먹음직스럽게 피었다. 알새우의 통통거리는 식감과 계란의 촉촉한 식감, 적절한 소금 간이 입맛을 자극한다. 갓 부친 전이 맛이 없을 수가 있냐 반문할 수 있지만, 먹어보면 레벨이 다르다는 게 느껴진다.칼국수는 소고기로 낸 육수에 미끈한 면발의 국수를 넣고 그 위에 살짝 볶아낸 애호박만 단촐하게 올렸다. 기본적으로는 안동국시의 느낌인데 국물이 가볍고, 제물국수 방식인지 전분이 국물에 많이 녹아들어서 시장에서 먹는 “서민칼국수”의 느낌도 꽤 난다. 소금만 살짝 더한 듯한 최소한의 조미가 꽤나 인상적이다.#갸우뚱 거려지는 가격과 양이 집을 인정하지만 솔직히 애정은 없다. 그 이유는 야박한 가격과 양.처음 나온 요리가 39,000원짜리 수육(대)였는데 두 접시로 나누니 한 접시에 대여섯 점이 나왔다. 연이어 나온 문어데침(29,000원)과 소라데침(28,000원)에서도 당황스러움은 계속됐다. 음식들은 나오는 족족 순식간에 사라지고 가족들의 불만과 투정에 땀이 삐질삐질.나중에 들어보니 이 곳을 “법카가 망친 식당” 이라고 많이들 한단다. 직장인들, 특히 어느정도 지위가 있는 분들도 많이 찾는 곳이다보니 법카로 결제하는 경우가 많고, 상대적으로 가격에 덜 비판적인 사람들이 많다보니 음식의 값을 높게 붙이는 것도 자유로웠을 것이라는 이야기.소소하게 술 한 잔 걸치러 왔다면 이 식당에 대한 감정이 조금은 달라졌을까.- 추천메뉴: 새우전",괜찮다
20,한성칼국수,코퍼맘,"수육, 모듬전, 문어데침, 빈대떡, 낙지볶음, 마지막으로 칼국수까지 여기에 막걸리까지 곁들이면 더할나위없음. 다만, 요리 ‘소’자는 당황스러우리만큼 적게나옴. 둘이가서 소자 요리두개정도에 칼국수 하나시켜서 나눠먹어도 될 정도! 전 연령때 모두 즐길수 있는 음식. 다만 좀 많이 시끄럽고 정신없긴하다. 방은 좌식이며, 에어컨이 별도로 없어서 더움",맛있다
21,한성칼국수,JENNY ,"상호명에 떡하니 칼.국.수.가 써있지만, 사실 수육과 새우전때문에 방문했어요ㅎㅎ 일요일 점심, 역시 사람 많군요, 가족끼리 친구끼리 연령층이 다양해요. 메뉴도 많아서 어느 연령층을 데려가도 딱히 실패가 없을 것 같긴해요. “수육”☆ - 말해 뭐하나요?! 일단 윤기 좔좔 흐르는 비주얼에 반했어요. 냉면집 포함 어느 식당에서 먹었던 것보다 제일 보드랍고, 냄새 안나고, 윤기가 흘러요, 넘맛♡ “새우전”☆ - 새우전이라고해서 다진 것을 상상했는데, 이렇게 나올줄은 몰랐어요. 전을 별로 안 좋아하는 사람이지만, 새우전인 많이많이 먹을 수 있어요. 기름쩐맛도 안나고 부침옷 컬러마저 파스텔톤으로 보기 좋네요. 물론 새우도 탱글탱글 너무 잘 익혀졌어요. 요건 애기들도 너~무 좋아하겠어요. “칼국수” - 칼국수를 밖에서 별로 사먹어본 적이 없어서 뭐가 맛있고 맛없는지 사실 잘 모르겠어요ㅎㅎ 깔끔담백하니, 전, 수육과 먹기에 발란스 좋았어요. 밑반찬들까지 맛있는 곳! 집앞이라면 자주 왔을 것 같아요. 오래된 곳이지만 음식들은 깔끔하고 정갈해요. 다시 또 올 곳!!",맛있다
22,한성칼국수,인스타검색 석선생,하하하하핳하하하하하하하하핳하하핳핳수요미식회에 소개된 아주 깊은 맛집지하에 위치한 곳인데 매번 발 디딜 틈도 없이 맛있는 칼국수 콩비지 보쌈 그리고 만두 대단한 맛이오. 후회하지 않고 가성비도 괜찮소 무얼 고민하시오? 달려가시오 어서날 팔로우 하게 될 것이오맛있으니 웃음이 나는구만 하하하하하하하하하하하하하하하하핳할,맛있다
