,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,튀김아저씨,서울특별시 강남구 삼성로 212,기타 한식,만원 미만,28,4.0,37.4974576,127.0653265
2,오징어풍경,서울특별시 강남구 테헤란로64길 26,해산물 요리,만원 미만,12,4.0,37.5031025,127.0515111
3,피양콩할마니,서울특별시 강남구 삼성로81길 30,국수 / 면 요리,만원 미만,65,3.9,37.5040712,127.0552278
4,할매재첩국,서울특별시 강남구 삼성로 308,탕 / 찌개 / 전골,만원 미만,13,3.8,37.4995979,127.0608179
5,마녀김밥,서울특별시 강남구 삼성로85길 11,기타 한식,만원 미만,6,3.7,37.5046812,127.056471
6,만나분식,서울특별시 강남구 삼성로 212,기타 한식,만원 미만,32,3.6,37.4974576,127.0653265
7,우리네코다리,서울특별시 강남구 남부순환로 2913 동하빌딩 1F,해산물 요리,만원 미만,13,3.6,37.4926842,127.0584082
8,고봉민김밥인,서울특별시 강남구 삼성로 155 103호,기타 한식,만원 미만,8,3.6,37.4938946,127.0629079
9,대치함흥면옥,서울특별시 강남구 도곡로 424,국수 / 면 요리,만원 미만,10,3.5,37.497234,127.0569232
10,강남면옥,서울특별시 강남구 도곡로 428 웰리스빌딩,고기 요리,만원 미만,19,3.3,37.4974058,127.0573526
11,산월수제비,서울특별시 강남구 삼성로 212 은마상가,국수 / 면 요리,만원 미만,14,3.1,37.4952468,127.0635611
12,후레쉬빌,서울특별시 강남구 테헤란로108길 19,기타 한식,만원 미만,14,3.0,37.5081796,127.0662888
13,할아버지돈가스,서울특별시 강남구 삼성로 212 B1 2-1호,기타 한식,만원 미만,6,,37.4974576,127.0653265
14,우리집김밥,서울특별시 강남구 삼성로64길 41,기타 한식,만원 미만,5,,37.5009694,127.0636711
15,백암가선순대국,서울특별시 강남구 삼성로64길 35,탕 / 찌개 / 전골,만원 미만,6,,37.5006474,127.0631752
16,김가네,서울특별시 강남구 도곡로99길 23 ,기타 한식,만원 미만,7,,37.5021158,127.065412
17,오뎅매니아,서울특별시 강남구 도곡로 444,기타 한식,만원 미만,5,,37.4979898,127.0591563
18,감탄계 숯불치킨,서울특별시 강남구 선릉로 340 1F 106호,닭 / 오리 요리,만원 미만,5,,37.5001824,127.0514293
19,남다른감자탕,서울특별시 강남구 테헤란로92길 13,탕 / 찌개 / 전골,만원 미만,1,,37.5071236,127.0614101
20,산들섬팔도비빔밥,서울특별시 강남구 삼성로 212 은마상가 B 3-1호,한정식 / 백반 / 정통 한식,만원 미만,8,,37.4974576,127.0653265
21,은마왕만두,서울특별시 강남구 삼성로 212 40호,한정식 / 백반 / 정통 한식,만원 미만,3,,37.4974576,127.0653265
22,소공순대,서울특별시 강남구 선릉로82길 4 1F,탕 / 찌개 / 전골,만원 미만,3,,37.5023173,127.0504533
23,육판장,서울특별시 강남구 삼성로 155 대치퍼스트빌딩 122호,한정식 / 백반 / 정통 한식,만원 미만,14,,37.4938946,127.0629079
24,미풍양주,서울특별시 강남구 삼성로75길 26,탕 / 찌개 / 전골,만원 미만,2,,37.5031104,127.0560994
25,대독장,서울특별시 강남구 영동대로85길 9,탕 / 찌개 / 전골,만원 미만,5,,37.5070561,127.062887
26,명성황후,서울특별시 강남구 삼성로 150 한보 미도종합상가 B1 33호,기타 한식,만원 미만,4,,37.5027999,127.0590717
27,오면가면칼국수,서울특별시 강남구 삼성로71길 25,국수 / 면 요리,만원 미만,3,,37.5016213,127.0569313
28,오레노카츠,서울특별시 강남구 삼성로81길 37,기타 한식,만원 미만,2,,37.5036374,127.0546259
29,늘봄스넥,서울특별시 강남구 삼성로 150 한보미도맨션,기타 한식,만원 미만,3,,37.5027999,127.0590717
30,밀본,서울특별시 강남구 테헤란로84길 25 1F,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5055173,127.0591727
31,유성칼국수,서울특별시 강남구 삼성로58길 13,국수 / 면 요리,만원 미만,4,,37.4987858,127.062374
32,장수서울순대가,서울특별시 강남구 테헤란로92길 11,탕 / 찌개 / 전골,만원 미만,3,,37.5072584,127.0613541
33,부산아지매국밥,서울특별시 강남구 테헤란로84길 13,탕 / 찌개 / 전골,만원 미만,2,,37.50631,127.0588065
34,오미닭강정,서울특별시 강남구 삼성로 212 은마상가A블럭 B1 67호,닭 / 오리 요리,만원 미만,7,,37.4974576,127.0653265
35,장금이네,서울특별시 강남구 삼성로64길 41 B1,탕 / 찌개 / 전골,만원 미만,3,,37.5009694,127.0636711
36,강산애,서울특별시 강남구 삼성로64길 51,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5010666,127.0644514
37,정삼이네수제비김밥,서울특별시 강남구 삼성로72길 64,국수 / 면 요리,만원 미만,2,,37.5007498,127.0633594
38,성북동왕돈까스,서울특별시 강남구 삼성로82길 15,기타 한식,만원 미만,1,,37.5053256,127.0589692
39,그집,서울특별시 강남구 삼성로84길 29 테미스빌딩 1F,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5059568,127.059934
40,소문난바지락칼국수,서울특별시 강남구 삼성로 321 김성일빌딩,국수 / 면 요리,만원 미만,4,,37.4889348,127.0679352
41,어죽이네철렵국,서울특별시 강남구 테헤란로92길 11,해산물 요리,만원 미만,3,,37.5072584,127.0613541
42,소풍가는날,서울특별시 강남구 도곡로 401,기타 한식,만원 미만,3,,37.4969255,127.0532731
43,미니슈퍼,서울특별시 강남구 도곡로99길 25 ,기타 한식,만원 미만,2,,37.5022206,127.0653384
44,오늘애김밥,서울특별시 강남구 도곡로 516 1F 102호,기타 한식,만원 미만,1,,37.4991258,127.0629873
45,육첩반상,서울특별시 강남구 도곡로 401 롯데백화점 강남점 B1,한정식 / 백반 / 정통 한식,만원 미만,5,,37.496941,127.05332
