,가게이름,리뷰아이디,리뷰,맛평가
1,튀김아저씨,oogie,튀김 아저씨맛나분식 바로 옆집에 있는 곳어렸을때는 뻥튀기에 아이스크림을 주는 맛나분식이 좋아서 별로 안갔었는데좌식테이블이 2~3개밖에 없는데도 불구하고 그리고 맛나분식이라는 네임드 바로 옆인데도 불구하고 살아남은 이유가 있는 집이다일단 튀김이 전체적으로 바삭하고 내용물이 실하다떡볶이는 최근의 체인점 떡볶이들에 비하면 맛이너무 약해서 심심하다고 생각될 수 있는데튀김과 같이먹기엔 오히려 보조자 역할을 해주서 좋은느낌?둘다 강강으로 때려버리면 좀 질리기 마련이니까재방문의사 - X 맛있는곳인것은 확실하지만 뭔가 점점 떡볶이 자체가 질려가고있다그리고 위생상태도 좋아보이진 않는것도 재방문을 꺼리게된다,괜찮다
2,튀김아저씨,둘기,"은마상가의 또 다른 명물, 튀김아저씨. 감동받은 옛날손짜장만큼이나 인상적이었던 튀김아저씨. 은마상가 지하에 있는 분식집으로, 생활의 달인에도 출연한 유명한 곳입니다. 분식 국룰인 떡순튀를 시키려고 했지만 순대가 품절이라 국물떡볶이와 김말이+오징어튀김 조합으로 주문했어요. 떡볶이는 쫄깃한 밀떡과 매콤한 국물이 튀김을 찍어먹기에 딱 좋지만, 최근에 먹었던 맛있는집에서와 같은 큰 감동은 없었어요. 2% 부족한 느낌. 아마도 단짠단짠+매운맛의 비율이 제 취향과 좀 거리가 있는 듯...ㅠ 하지만! 입술 따끔따끔하게 은근하게 매운맛에 자꾸 손이 가더라고요. 오징어튀김은 오징어 큼지막하니 튀김옷 너무 두껍지 않아서 좋았어요.  떡볶이 국물에 튀김은 역시 말모 조합이죠ㅠㅠ  하지만 딱히 킥이 없어서 순대의 빈자리가 더 크게 느껴졌습니다.  멀리서 찾아간거고, 이미 옛날손짜장으로 충분히 배가 부른 상태라 아쉬움이 더 크게 다가왔던 것 같아요.  하지만 이런 정겨운 곳이 오랜 시간동안 집 주변에 있다는 사실 하나만으로 괜히 든든하고 더 소중한 그 마음을 알기 때문에, 다른 분들의 리뷰가 수긍이 갑니다. 이렇게 꾸준이 장사 잘 돼서 대치동 주민들의 아지트로 끝까지 남았으면 하는 바람. + 상호는 튀김아저씨이지만, 국물떡볶이의 달인인것이 킬포인트 ㅎ.ㅎ + 재형님의 리뷰에서처럼 아저씨는 없고 따님으로 보이는 여자분이 계신데, 너무 친절하세요ㅠㅠ 순대 떨어져서 속상했는데 어린이들이 순대 좋아하는 것 같다며 (어린이날 방문) 바로 기분 풀림 ㅎㅎ",괜찮다
3,튀김아저씨,김재형,"어린이날에는 떡튀~ (순대는 품절..)한 끼로 끝낼 수는 없지 않겠습니까옛날짜장은 은마상가 비동이고 튀김아저씨는 에이동이라 외부로 나와서 건물을 쭉 돌아갑니다 내부는 마스크 써야해서 싫어요사전정보가 없다면 이 큰 상가에서 적잖이 방황했겠지만 요즘은 네이버에 하도 팁을 올려주는 분들이 많아서 착착 쉽게 찾아갔습니다4인 테이블 두 개 2인 테이블 하나 그 작은 가게에 일하시는 네 분 아마 가족으로 추정 옆옆 가게인 만나분식은 훨씬 넓고 쾌적한데 튀김아저씨가 더 끌립니다튀김아저씨인데 아저씨는 안 계십니다 따님으로 보이는 분이 연신 튀김을 튀깁니다 정말 쉬지않고..순대는 품절이라 떡볶이 1인분 김말이오징어 2인분 주문했습니다떡볶이는 거의 10초 안으로 나옵니다 다른 집 2인분은 될 것 같은 4,000원 떡볶이 오뎅국물과 고추장으로 만든 꽤 걸쭉한 떡볶이입니다 맵찔이에게는 꽤나 맵습니다 떡은 쫄깃말캉하고 국물에서는 오뎅국의 감칠맛과 고추장의 텁터부리한 맛이 느껴집니다 최근 맛있는집과 공단떡볶이에서 너무 맛있는 딱 제 스타일의 떡볶이를 만나서 튀김아저씨의 떡볶이는 큰 감흥은 없습니다역시 상호명답게 튀김아저씨에서는 튀김이 짱 미리 튀겨놓은 것을 재벌해서 주는 것이 아니라 주문하면 즉시 튀겨서 주시기 때문에 맛이 없을 수가 없습니다 김말이랑 오징어튀김 주문은 아주 굿 초이스였습니다 김말이 전혀 질기지 않고 아삭하게 쫄깃하게 맛있습니다 오징어도 다리 부분은 쫄깃해서 튀김과 분리되는 경우가 있었지만 몸통 부분은 부드럽게 썰리며 튀김과의 밀착도 좋아서 참 맛있게 먹었습니다 떡볶이 국물과 조화가 좋습니다 튀김만 주문해서 떡볶이 국물을 요청해서 드시면 좋을 것 같습니다옆에서 초등학교 6학년 어린이들이 떡볶이를 먹는데 사장님께서 내년에도 어린이날에 떡볶이 먹으러 오라고 하시니 내년이면 중1이라 어린이 아니라고 사장님과 재밌게 대화를 하는데 괜히 보면서 웃음이 지어졌습니다재방문 의사 : x",맛있다
4,튀김아저씨,써니♡,내 사랑 튀김 아저씨! 떡볶이도 사랑해요떡볶이 맛집들을 여러 곳을 다니면서 나와 궁합이 맞는 곳을 찾아 다녔지만 내가 어렵사리 찾은 한 곳이 재개발로 없아지면서 난 다시 떡볶이 유목민이 되었다. 너무 매운걸 먹지 못하고 약간 달달한 떡볶이를 선호하는 내 입맛에 맞는 떡볶이를 찾는 것은 너무 어려웠다.이사를 가면서 은마상가가 가까워지면서 맛나분식이 유명하다는 것을 알았고 막상 가보니 튀김 아저씨가 더 북적여서 튀김 아저씨를 가서 먹었는데 와... 나의 인생 떡볶이였다. 여기는 국물 떡볶이 스탈이고 많이 맵지 않고 맛있는데 백미는 튀김이다. 어찌그렇게 튀김이 바삭바삭한지 떡볶이보다 오징어 튀김이 항상 먼저 매진된다. 또 이사를 가면서 오랜만에 재방문하였지만 튀김과 떡볶이는 여전히 맛있고 난 다 먹고 일어서면서 내일 또 오고 싶다는 말을 중얼거리고 있다.,맛있다
5,튀김아저씨,따따따따,"언제나 맛있습니다. 튀김은 당연히 맛있고, 국물떡볶이가 은근히 맛있습니다. 이사 후 꽤나 멀어졌음에도 한번씩 생각이 났었는데, 오랜만에 다녀왔습니다.튀김아저씨는 진짜 계~속해서 튀기시는데, 튀김 중에서도 오징어튀김이 유난히 진짜 맛있어요~ 튀김 옷은 바삭하고, 오징어는 쫄깃하니 진짜 맛있습니다~ 오징어튀김 반드시 드셔보세요~",맛있다
6,튀김아저씨,유니맘,튀김이 예술이다. 바로바로 튀겨나오니 더 맛있다.김말이는 어디서 그리 맛있는걸 가져오시는지 다른곳 김말이와는 차원이 다르게 맛있고 튀기는 기술이야 말할것도 없다. 완전 바싹~ 포장해오는 중간에 못참고 하나 훌러덩 먹어버렸다 떡볶이는 계속 생각나서 또 찾게 되는 맛이고 양도 무지 많이 주신다. 늘 대기줄이 많아서 기다리긴 하나 기다린만큼 맛있으니~~,맛있다
7,튀김아저씨,김혜민,여긴 떡볶이 가격도 착하고 맛있는데 무엇보다 튀김이 진짜 맛있어요ㅠㅜㅠ 오징어랑 새우 고구마 튀김 1인분씩 세개 사오는데 진짜 좋아하는 집이에요,맛있다
8,튀김아저씨,ethanghymn,은마지하상가에서 유명하다는 만나분식은 전에 들러서 맛봤었는데 그냥 그랬었던 기억이 있는데 지난번에 Luscious.K님의 리뷰를 보고 또 다른 유명 분식집이 있는 건가 싶어 가고싶다에 세이브해뒀었음.냉장고를 여니 가족인원이 갖고 온 오트 스파이스드 라떼가 보였고 마셔도 되는지 물으니 적당히 남겨놓고 마시라고 해서 잘 흔든 후 얼음컵에 따라 맛을 보는 순간 지난번에 가을 느낌 뿜뿜인 커피음료를 마시러 스벅 삼성역섬유센터R점을 방문했었을 때 가을이면 선보이는 토피넛 라떼는 넘 식상해서 대신 유행하는 것 같은 우유 대신 두유가 들어간 아이스 소이 라떼를 맛봤었다 넘 싼티 뿜뿜인 맛이어서 실망했었는데 그 때 기대했던 맛이었어서 살짝 서프라이즈임.특별하게 고급진 느낌 뿜뿜은 아니었지만 밸런스와 완성도가 높은 시나몬 향이 좋고 가을 느낌 뿜뿜인 오트 스파이스드 라떼가 맘에 들어 다시 한 번 자세히 라벨을 보니 가보진 못했지만 인기있는 가겐지는 알고 있는 인텔리젠시아 커피 브랜드여서 스벅의 트라우마가 치유되는 느낌이면서 고개가 끄덕여짐.어린가족인원을 픽업하러 나간 길에 여기 튀김아저씨에 들르고 싶은데 여전히 오트 스파이스드 라떼의 향긋한 시나몬 향이 입안에서 맴돌아 분식이 딱히 당기진 않았지만 그래도 들러보기로 함.어린가족인원은 신전떡볶이를 사는 줄 알았고 나도 신전떡볶이를 좋아하지만 패스하고 은마종합상가에 도착해 구매 영수증을 보여주면 90분 무료주차가 가능한 상가 주차장에 주차 후 튀김아저씨가 가장 가까운 츨입구인 A블럭 지하 3번 출입구로 들어서니 전에 들렀었던 만나분식이 바로 있었고 만나분식을 지나 바로 튀김아저씨가 보임.더 인기가 있는 가겐지 포장하려는 손님들이 줄을 서있었고 나도 줄을 서니 이모님이 주문을 받으셔서 오징어 튀김이 제일 유명한 건지 물으니 그렇다고 하시고 새우 튀김도 좋다고 하심.김말이 튀김도 좋아해서 가게에서 직접 만드는 건지 여쭈니 튀기는 건 가게에서 하지만 김말이 자체는 가지고 오는 거라고 하셔서 오징어 튀김과 새우 튀김 그리고 떡볶이 1인분을 부탁드리고 선결제를 함.주문이 들어오는 대로 즉시 신선하게 튀기는 방식이어서 먼저 떡볶이를 건네받고 어느 정도 기다려 드디어 내가 주문한 오징어 튀김과 새우 튀김이 든 비닐백을 건네 받음.집에 와서 포장을 푸니 떡볶이는 의외로 볼륨감은 좋지만 색깔은 딱히 맛있어 보이는 느낌은 아닌데 맛을 보니 예전에 몇 번 사다 먹었던 압구정동 신사시장 내 쌍둥이네의 딜달한 떡볶이의 달달함 레벨을 낮춘 느낌으로 달달함을 좋아하진 않지만 그래도 쌍둥이네 떡볶이는 개성이 느껴지는 달달함이었는데 비해 이 집의 떡볶이는 뭔가 특징이 없이 소위 니맛도 내맛도 아닌 맛이어서 다들 맛있다는 말을 하지 않음.그에 반해 튀김들은 좋아보이는데 간장에 찍어 먼저 새우 튀김을 맛을 보니 튀김은 가볍게 바삭하면서 새우는 야들해서 뭔가 속초 튀김골목의 새우 튀김이 생각나 확실히 흔한 분식집들보단 낫게 느껴짐.다음으론 궁금했던 오징어 튀김도 맛을 보니 싸구려 냉동 대왕오징어가 아닌지 푸석한 식감이거나 하지 않고 생물 오징어인지 쫀득함이 좋아 좋네 하게 되고 어린가족인원도 튀김이 맛있다고 하며 계속 먹음.가게에도 전활해서 문의를 하니 생물 오징어를 쓰신다고 하셔서 고개가 끄덕여지고 이제서야 가게 이름이 뭐였는지 다시 생각하니 튀김아저씨였어서 괜히 평소에도 믿지 않는 국물 떡볶이의 달인이란 생활의 달인 표시에 깜빡 속았었네 함.전체적으로 유명한 분식집인 것 같아 벼르다 들러봤는데 떡볶이는 볼륨감은 좋았지만 별로의 느낌이었는데 반해 가게 이름대로 튀김은 좋았었어서 다시 들른다면 튀김만 맛보는 걸로..,맛있다
9,튀김아저씨,Luscious.K,"#대치동 #튀김아저씨""여전한 명성과 여전한 맛과 여전한 친절함 = Consistency""1. 대치동에서 가장 유명한 분식집이 어디냐고 물으신다면, 주저하지 않고 바로 여기 대치동 은마상가의 튀김아저씨라고 얘기할 수 있다.그만큼 레전더리한 성공신화를 가지고 있고 그 성공이 그져 블로그나 SNS의 공허한 입소문이 아닌 진짜 맛에서 기인한다고 할 수 있다.2. 이집의 역사는 이전 리뷰에서 이야기 했기 때문에 이번 재방문의 음식 맛과 질의 <일관성>에 대해 집중해 보는게 좋겠다.이번엔 떡볶이, 튀김 이외에 지난 번에 못먹어봤던 우동도 주문해 봤다.3. 먼저 3,000원 떡볶이의 양이 여전히 엄청나다.주발이 넘치도록 국물떡볶이를 가득 담아 주신다. 떡볶이에만 집중을 하면 다 못먹을 양은 아니지만 튀김, 오뎅, 순대 등과 같이 먹으면 성인 남성도 혼자 먹기 쉽지 않은 양이다.떡볶이의 맛 역시 시원한 해장감과 맵기가 기가막히게 조화롭다. 어떤 집의 매운맛은 얄밉거나 화가 나는 스타일인데, 이집의 매움은 자연스럽고 부드러우면서 간결하게 맵다.여전히 맛있다.4. 새우튀김의 발전이 느껴진다.예전 새우튀김에 비해 이번 주문한 새우튀김은 상당히 맛있다. 신선하고 가벼운 튀김옷과 육즙 느껴지는 부드러운 새우살이 잘 조리가 됐다.오징어 튀김이야 말할 필요도 없고, 만두, 김말이도 떡볶이에 넣어 먹기 좋은 수준을 유지한다.5. 우동은 굳이... 느낌이다.시판 면에, 시판 국물을 따듯하게 해서 쑥갓, 유부 등의 고명을 얹어 내기 때문에 어디서나 쉽게 맛볼 수 있는 맛이다.다만 메뉴 선택의 폭을 넓힌다는 의미에서는 나쁘지 않은 메뉴다.6. 코로나의 위력이 느껴진다.가게가 좁기 때문에 95% 손님이 포장손님이다.덕분에 매장에서 먹으려면 꽤 장시간 대기를 해야 했는데, 지금은 그 정도의 기다림은 아니다.7. 이제는 튀김아저씨의 전설이 대치동의 명물, 대치동의 자랑으로 진화하고 있다.PS: 여사장님 여전히 친절하고 손님 주문 교통정리 너무 샌스있게 잘하신다.이집 가면 여사장님 말 잘 듣는게 남는거다 ㅎㅎ PS2: 아침 오뎅국물은 좀 싱겁다.",맛있다
10,튀김아저씨,스틱스강에맹세하는맛집,은마상가 튀김아저씨*일요일 휴무*주차가능은마상가 안에 튀김아저씨 집입니다... 크......정말 여기 줄 안서고 먹은 적은 안 한번도 없었어요..일단 튀김아저씨 집인만큼 튀김이 너무 바삭바삭한데 기름은 또 싹 빠져있어요. 포장해와도 바삭하답니다....내부가 좁긴 하지만 그래도 바로튀긴 튀김이 맛있잖아요?꼭 바로 먹고 가요 우리......,맛있다
11,튀김아저씨,블루베리베이글,튀김이 맛있고 옛날 스타일의 튀김도 좋다. 기본기에 충실한 맛임.,맛있다
