,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,작은공간,서울특별시 강남구 남부순환로359길 31,기타 한식,만원 미만,105,4.2,37.4867958,127.035552
2,이북손만두 담온,서울특별시 강남구 논현로28길 33,한정식 / 백반 / 정통 한식,만원 미만,25,4.1,37.4839882,127.0445388
3,하영호신촌설렁탕,서울특별시 강남구 논현로28길 36,탕 / 찌개 / 전골,만원 미만,14,4.0,37.4838403,127.0450846
4,더볶이,서울특별시 강남구 논현로28길 48,기타 한식,만원 미만,5,4.0,37.4842912,127.0456951
5,콩뿌리콩나물국밥,서울특별시 강남구 논현로28길 41,탕 / 찌개 / 전골,만원 미만,9,4.0,37.4843562,127.0450418
6,국미당,서울특별시 강남구 남부순환로359길 19,기타 한식,만원 미만,20,3.8,37.4861119,127.0362178
7,그린네은쟁반,서울특별시 강남구 남부순환로359길 16,기타 한식,만원 미만,34,3.5,37.48596879999999,127.036569
8,남순남순대국,서울특별시 강남구 도곡로4길 12,탕 / 찌개 / 전골,만원 미만,14,3.5,37.4891429,127.0334412
9,생강김밥,서울특별시 강남구 남부순환로 2738,기타 한식,만원 미만,13,3.2,37.48592970000001,127.0454085
10,서울경양,서울특별시 강남구 남부순환로359길 14,기타 한식,만원 미만,6,3.0,37.4858864,127.0366334
11,도곡한우소머리국밥,서울특별시 강남구 도곡로 172,탕 / 찌개 / 전골,만원 미만,3,,37.4913488,127.0383115
12,두두컴퍼니,서울특별시 강남구 도곡로4길 24,한정식 / 백반 / 정통 한식,만원 미만,5,,37.4886067,127.0340938
13,오빠부대찌개,서울특별시 강남구 도곡로2길 14 규원빌딩,탕 / 찌개 / 전골,만원 미만,6,,37.4887133,127.0331358
14,어반진지,서울특별시 강남구 남부순환로 2728 유일빌딩 1F,한정식 / 백반 / 정통 한식,만원 미만,2,,37.4856468,127.0444024
15,곽선생왕만두,서울특별시 강남구 남부순환로 2738,한정식 / 백반 / 정통 한식,만원 미만,3,,37.48592970000001,127.0454085
16,명성이자자한국시집,서울특별시 강남구 언주로30길 10,국수 / 면 요리,만원 미만,5,,37.4873002,127.051556
17,엄마밥집,서울특별시 강남구 도곡로4길 10,한정식 / 백반 / 정통 한식,만원 미만,4,,37.4892794,127.0332698
18,청국장과보리밥,서울특별시 강남구 남부순환로 2738 2F,한정식 / 백반 / 정통 한식,만원 미만,4,,37.48592970000001,127.0454085
19,할머니순두부,서울특별시 강남구 도곡로4길 10,탕 / 찌개 / 전골,만원 미만,4,,37.4892794,127.0332698
20,영동코다리,서울특별시 강남구 도곡로8길 5,한정식 / 백반 / 정통 한식,만원 미만,1,,37.4901638,127.035425
21,봉시김치찌개,서울특별시 강남구 논현로28길 45,탕 / 찌개 / 전골,만원 미만,3,,37.48451439999999,127.0453214
22,두메,서울특별시 강남구 강남대로58길 21,한정식 / 백반 / 정통 한식,만원 미만,1,,37.4896539,127.0337874
23,트래고드,서울특별시 강남구 남부순환로351길 19,퓨전 한식,만원 미만,1,,37.48601,127.0341035
24,남원종가집추어탕,서울특별시 강남구 강남대로48길 8,탕 / 찌개 / 전골,만원 미만,1,,37.4866141,127.0338322
25,참고을,서울특별시 강남구 도곡로6길 6 인정빌딩 B1,한정식 / 백반 / 정통 한식,만원 미만,1,,37.4897517,127.0340655
26,안녕숯불,서울특별시 강남구 남부순환로 2615 134호,퓨전 한식,만원 미만,4,,37.4851386,127.0358583
27,이가네떡볶이,서울특별시 강남구 남부순환로 2621 서브원 강남빌딩 1F,기타 한식,만원 미만,2,,37.4852655,127.0367026
28,신전떡볶이,서울특별시 강남구 남부순환로359길 27 1F,기타 한식,만원 미만,1,,37.4864724,127.0358875
29,오무스타,서울특별시 강남구 언주로30길 13 대림아크로빌,퓨전 한식,만원 미만,3,,37.4881456,127.0509571
30,청실홍실,서울특별시 강남구 논현로26길 45,국수 / 면 요리,만원 미만,1,,37.4840122,127.0456206
31,별난낙지,서울특별시 강남구 남부순환로 2613,해산물 요리,만원 미만,1,,37.4850103,127.0354845
32,다우가왕만두,서울특별시 강남구 남부순환로359길 4,기타 한식,만원 미만,2,,37.4853898,127.0371599
33,동대문엽기떡볶이,서울특별시 강남구 남부순환로359길 8 2F,기타 한식,만원 미만,1,,37.4856381,127.0369023
34,선릉역영이네추억의떡볶이,서울특별시 강남구 남부순환로351길 14,기타 한식,만원 미만,1,,37.48568119999999,127.0345555
35,목포집,서울특별시 강남구 논현로24길 25,한정식 / 백반 / 정통 한식,만원 미만,1,,37.48217289999999,127.0449215
36,원조명동칼국수,서울특별시 강남구 논현로38길 38-4,국수 / 면 요리,만원 미만,1,,37.4852796,127.0447949
37,송담추어탕,서울특별시 강남구 논현로 160,탕 / 찌개 / 전골,만원 미만,1,,37.4839841,127.0423656
38,청국장집,서울특별시 강남구 논현로30길 36,탕 / 찌개 / 전골,만원 미만,2,,37.4844066,127.0445832
39,속초코다리냉면,서울특별시 강남구 언주로30길 57,국수 / 면 요리,만원 미만,2,,37.4896405,127.0545117
40,더한순대,서울특별시 강남구 남부순환로 2629  1F,탕 / 찌개 / 전골,만원 미만,2,,37.4852741,127.037348
41,의정부도연부대찌개,서울특별시 강남구 논현로30길 36-4 ,탕 / 찌개 / 전골,만원 미만,1,,37.4842868,127.0446978
42,바르다김선생,서울특별시 강남구 남부순환로363길 16  언주상가 102호,기타 한식,만원 미만,1,,37.4863338,127.0381214
43,담은,서울특별시 강남구 남부순환로363길 12-53,국수 / 면 요리,만원 미만,1,,37.4865461,127.0388593
44,꿍닭꿍닭,서울특별시 강남구 남부순환로363길 15,닭 / 오리 요리,만원 미만,1,,37.4862253,127.037744
45,죽이야기,서울특별시 강남구 남부순환로 2615 극동스타클래스 127호,기타 한식,만원 미만,1,,37.4851013,127.035744
46,이수통닭,서울특별시 강남구 논현로38길 36,닭 / 오리 요리,만원 미만,1,,37.48546,127.0446976
47,부산아지매국밥,서울특별시 강남구 논현로28길 35 대동빌딩 1F101호,탕 / 찌개 / 전골,만원 미만,1,,37.4840882,127.0446563
48,마포집,서울특별시 강남구 남부순환로 2726,고기 요리,만원-2만원,13,4.2,37.4855878,127.0441238
49,네모오징어,서울특별시 강남구 논현로 136,해산물 요리,만원-2만원,10,4.2,37.48184579999999,127.0432511
50,여민락,서울특별시 강남구 논현로38길 46-8,고기 요리,만원-2만원,7,4.2,37.4852482,127.0453686
51,삼식이감자탕뼈해장국,서울특별시 강남구 논현로34길 19,탕 / 찌개 / 전골,만원-2만원,5,4.2,37.4847053,127.0434137
52,답다,서울특별시 강남구 남부순환로359길 13,퓨전 한식,만원-2만원,7,3.9,37.485878,127.0363734
