,가게이름,리뷰아이디,리뷰,맛평가
1,작은공간,최민규,"떡볶이 2인분 14,000볶음밥 2,000치즈 3,000처음 나왔을때는 양이 많이 작은데!?이런느낌이 들었는데 그릇이 2인분을 담기에많이 커서 그럤던거 같아요.볶음밥 먹을쯤되니 배가 많이 불렀어요.즉떡집이다보니 많이 더울까 걱정이였는데냉방이 빵빵해서 그나마 다행이였어요.흔하게 먹을수 있는 즉떡맛이였고저는 다시 방문하지는 않을것같아요.",괜찮다
2,작은공간,머큐리 ,도곡동 <작은공간>. 짜장 즉떡 2인/14000맵칼로 끝나는 국물이 킥. 정겨운 분위기에 상냥한 서비스와 보편적인 즉떡키 있다. 또 갈 래 ~~~,맛있다
3,작은공간,작은우체국,근처에 볼일이 있어 왔다가 유명한 떡볶이 집이라는 얘기에 솔깃해서 방문. 월요일 저녁인데도 웨이팅이 4팀 정도 있었는데 다행히 금방 빠져서 오래 기다리지는 않음.내부는 진짜 완전 옛날 학교 앞 분식집 느낌에 모든 벽면에 낙서가 되어있어 참 많은 사람들이 다녀간 곳이라는 것을 입구 들어서면서 알 수 있었다.메뉴는 일반 즉떡과 짜장 즉떡 두 가지가 메인. 깊이 고민하다가 일단 오리지널을 먹기로 하고 일반 즉떡 2인분에 오징어 튀김 1인분을 주문.둘 다 양이 적은 편인데 먹고나서 볶음밥까지 먹을 수 있었던 걸 보면 양이 어느정도 되는 분들은 둘이라도 3인분을 시키는 게 좋을 것 같다는 생각. 아니면 살짝 아쉬울 수 있음.떡볶이 맛은 그냥 옛날에 먹던 그 맛. 다만 요즘 캡사이신 맛에 길들여진 사람이라면 이걸 색다르다고 느낄 수도 있을 듯. 캡사이신은 전혀 없이 장으로 맛을 냈다는 게 느껴지는 맛.따로 주문한 오징어 튀김 외에 기본으로 만두 튀김이 포함되어 있는데 튀김은 둘 다 별로. 쏘쏘가 아니라 맛이 없다. 튀김옷에 문제가 있는 것 같은 퍼석한 밀가루 맛이 떡볶이 양념을 뚫고 느껴질 정도. 그리고 따로 주문한 튀김은 접시에 따로 나오면 좋겠다. 먹는 사람이 찍어먹든 살짝 담궜다 먹든 하게. 개인적으로는 튀김 사리을 주문할 바에는 그냥 라면이나 쫄면을 추가하는 게 낫다고 생각.그리고 이 가게의 진짜 핵심은 볶음밥이다. 볶음밥 1인분에 치즈 추가를 했는데 밥이 2천원이고 치즈가 3천원이라 당황할 수도 있겠지만 치즈도 무조건 얹는 게 좋다. 치즈가 밥 만큼 올려져 나오는데 아주 맛있는 치즈를 사용해서 밥과도 잘 어울리고 치즈 자체의 맛과 향과 식감도 풍부했다. 이게 제일 맛있었다.적당히 맛있는 한 끼였지만 일부러 멀리서 찾아올 정도라고 생각이 들지는 않는다. 근처에 놀러왔다면 한 번 먹어볼 것을 추천.잘 먹었습니다!,괜찮다
4,작은공간,ryn,"학교 앞 떡볶이가 거기서 거기라고 생각한다면 오산!여기는 꼭 짜장떡볶이를 주문해야한다. 짜장의 감칠맛과 떡볶이 본연의 맛을 환상의 비율로 섞었다.밀떡을 사용해서 쫄깃하고 양념이 속까지 잘베어있다.이 집의 특별한 점은 맥반석계란이다.일반계란에서는 맛볼 수 없는 식감이 즉석떡볶이와 잘어우러진다.야끼만두는 기본적으로 들어가 있지만 꼭 추가하는 사리중 하나.국물을 가득 머금은 야끼만두는 다른 튀김에 비하지 못한다.에어컨이 있지만 여름에는 불앞이라 땀흘릴 자신이 없다면, 조금 선선한때를 이용할 것새벽배송 서비스를 이용해 집에서 맛볼 수 있다는게 장점!",맛있다
5,작은공간,S E R A,사실 무난했어요 ㅋㅋ 손님은 바글바글하지만 평범한 즉석 떡볶이집인데 ㅠㅠ 강남에 많이 없어서 유명한간가...?,괜찮다
6,작은공간,호안,"- 자극적이지 않은데도 맛있는 떡볶이.- 짜장떡볶이도 궁금했지만 첫 방문이니만큼 기본 떡볶이로 주문.- 일단 떡은 쌀떡. 본래 밀떡파인데, 떡볶이가 굵진 않아서 나쁘진 않았음. 양념이랑 따로 논다는 느낌은 없음.- 국물이 처음엔 이거 괜찮나 싶었는데, 끓일수록 감칠맛이 남. 자극적이지 않은데도 은근히 맛있음.- 3인에 튀김을 종류별로 추가. 튀김은 완전 바삭하다는 느낌은 아님. 옛날 동네분식집 스타일. 어차피 국물에 넣어서 함께 끓이니 큰 상관은 없을지도.- 달걀이 훈제달걀인데 그게 조금 아쉬웠음. 은근한 떡볶이에 상대적으로 강한 훈제향이 부담스러움.- 양념자체가 강하지 않다보니, 볶음밥은 간이 좀 아쉬운 느낌. 볶기전에 양념은 개인접시에 좀 덜었다가 볶음밥에 따로 비벼먹으면 좋을 듯.- 볶음밥에 치즈추가는 필수. 치즈는 질 자체가 좋은듯.- 평일저녁에 갔는데 웨이팅이 있었음 ㅠㅜ 그래도 생각보디 회전이 빨라서 금방 앉음.",맛있다
7,작은공간,Capriccio06,"학교 앞에 있는 오래된 즉석 떡볶이집. 그렇게 넓지는 않은데 작은 테이블이 꽤 여러개 있고, 역사가 보이는 낙서가 많은, 학창시절 생각나게 하는 곳이다. 떡볶이에 기본 사리 포함되어 세트처럼 판매되는데 양이 많지는 않은 것 같다. 요즘 유행하는 많이 맵고 자극적인 느낌 아니고, 약간 슴슴한데 짜거나 맵지 않은 식사용 같은 떡볶이였다. 개인적으로는 살짝 칼칼한 맛  좋아해서 떡볶이 같은 느낌이 아니긴 했다. 오징어 튀김이랑 김말이 같이 주문했는데 튀김옷이 바삭하게 맛있고 그런 느낌아니고 분식집에서 미리 튀겨두는 부들부들한 튀김이고, 떡볶이 끓일 때 같이 얹어져서 나온다. 볶음밥에 치즈 추가해서 먹을 수 있어서 좋았다. 약간 관광지 방문한 느낌이라 맛이랑 상관없이 기분 좋았는데, 확실히 테이블이 작아서 몸집 작은 사람도 앉아 있으면 불편한 좌석이고, 테이블에서 불을 사용하니까 지금 날씨에도 많이 더웠다.",괜찮다
8,작은공간,난감,"• 튀김은 노노 사리추가 예스예스@0@애플하우스에 갈까하다가 새로운 즉떡집을 찾아 방문. 양재역 은광여고, 은성중 앞에 위치해있어서 학교앞 추억맛집의 기운이 물씬 배어납니다. 상호처럼 가게도 작고 내부도 좁고 뜨거운 그런 공간이었어요. 더군다나 좁은 좌석이 꽉꽉 들어차 매콤한 즉떡을 끓여대니 땀이 뻘뻘 솟을 수 밖에야. - 즉석떡볶이(2인, 라면/쫄면/맥반석계란/만두튀김 포함) 사실 짜장이 더 인기메뉴라는 글을 보고가긴 했는데 그래도 첫방문이니 오리지날로.배가 많이 고파서 라면사리를 추가할까했는데 라, 쫄 둘다 들어있어서 안했다가 쪼금 후회하고 대신 김말이(1500원), 오징어튀김 3개(3000원) 추가했어요. 요즘 어느 떡볶이를 가나 단맛이 강한데 여기는 덜 달고 생각보다 삼삼하지만 뒤에 기분좋게 매콤한 맛이 있어요. 막 캡사이신 이런 매운 맛이 아니어서 칼칼하다라고 느껴지는 정도.  생각보다 튀김은 바삭하지 않아서 맛있다 싶진 않았고 대신에 떡이 진짜 맛있었어요. 쌀떡인데 뭉그러지는게 아니라 정말 쫀득한 떡. 원래 떡볶이에서 볶이만 좋아하는 편인데 오늘은 떡도 다 먹었습니다. 아마 재방문한다면 튀김은 안하고 사리를 추가할거에요(주변 테이블도 다 그러시더라구요) - 볶음밥(￦2000) 생각보다 국물을 많이 졸여버려서 비벼나오는게 있을까했는데 생각보다 삼삼하니 맛났어요. 안먹으면 좀 아쉬웠을 듯~ 치즈추가 3천원이던데 그것까지 하기엔 너무 배불렀어요. 밥먹고 나오니 웨이팅 3ㅡ4팀 정도 있는 동네맛집. 입구에 또 익숙한 주황딱지가 있어 같이 찍어왔습니다. 막 찾아올 정도로 극강의 맛은 아니라고 평하시는 분도 있을법은 한데 저는 떡볶이 애호가로써 즉떡 먹고싶을 때는 다시 와볼 것 같습니다. 재방문하면 짜장 먹을거에요! 22-57",맛있다
9,작은공간,Jinny,"오랜만의 작은공간이라 사진을 신경쓰지 못했네요!옴청 대박, 찾아와서 먹을 맛!은 아니지만 캡사이신같은 억지스러운 매운맛이 아닌 적당히 매콤한가?의 순한 떡볶이 입니다!잘 모르지만 과일을 갈아서 양념만드시지 않을까 싶을정도로 자연스럽고 부드러운 양념맛에 쫄깃한 떡볶이, 맥반석 계란, 쫄면 등 맛이 없을 수가 없는 곳이에요! 어묵에서 약간 생선 비린맛?이 나는데 먹을때마다 느끼는걸 보니 사용하시는 어묵의 특징인 것 같아요~볶음밥은 참기름 좀 더 뿌려주시면 만족스러울 것 같지만, 꼭 먹어야하는 맛까지는 아니었습니다!그래도 사랑받지 않을 수 없는 훌륭한 즉석떡볶이 집이랍니다!",괜찮다
10,작은공간,둘기,"주변에 학교가 많아서 그런지 떡볶이집이 참 많네요! (처음에 여기 뭐하는 동네인데 떡볶이가 뭐이리 많아? 싶었어요 ㅋㅋ) 그런데.. 이 주변 떡볶이집이 다 이런 맛이라면... 떡볶이로드 각인데요...?! 이날 크레미엘 빵 종류별로 도장깨기 하려고 계획을 세웠는데, 자고로 빵투어의 필수코스는 떡볶이 아니겠습니까ㅋㅋ 너무 멀지 않은 곳에 평점 높은 떡볶이집이 있길래 궁금해서 다녀왔는데 사실 크레미엘보다 더 성공적, 로맨틱, 떡볶이... 인상적이었던 건 기본 떡볶이에 쫄면과 라면 사리 모두 들어가 있다는 것. 평생 난제 중 하나인데, 속시원하게 해결해줘서 좋네요. 기본으로 만두도 달걀도 있어요. 푸짐한 구성 너무 좋습니다 ㅎ.ㅎ  또 짜장떡볶이가 기본 떡볶이보다 유명하더라고요. 첫 방문에 기본 메뉴를 먹어보는게 좋지 않을까 고민하다가 유명한 이유가 있겠지 싶어서 먹어봤는데 역시는 역시! 짜장 특유의 단짠단짠은 살아 있으면서도 과하지 않아서 거부감이 전혀 없고, 그러면서도 매운맛은 은근 강해서 맛있었어요.  옆에서 먹는 볶음밥에서 나는 참기름 냄새가 너무 고소해서 볶음밥 꼭 먹어야지 했는데, 생각보다 양이 많아서 GG... 3명이서 2인분 시키고 볶음밥 먹으면 딱 좋을 것 같아요.",맛있다
11,작은공간,맛 seeker,즉떡은 작공! 저번에 일반떡볶이를 먹었는데 짜장이 더 맛있는 것 같은 느낌에 이번엔 다시 짜장떡볶이를 시켜 집에서 조리했다. 써있는 그대로 조리하면되서 간단하고 금방 맛있게 먹을 슈 있어 굉장히 편리! 쫄면사리는 필수다. 역시 너무 맛있는 짜장떡볶이! 요즘엔 짜장을 조금더 추천한다,맛있다
12,작은공간,스리,은광여고 앞 즉석떡볶이 집이예요!아는 사람들은 다 아는 매우 유명한 집이죠 ㅎㅎㅎ여고 앞 떡볶이 집인데 맛은 당연히 베리 굿입니당떡볶이 좋아하시면 꼭 방문해보시길 바래요배가 터질 것만 같아서 밥은 볶아 먹지 않았지만 볶음밥도 추천!간판 이름처럼 작은 공간이라 규모는 작지만 늘 사람들로 바글바글하고 옛느낌이 그대로 감성 느끼기도 좋아요 ㅎㅎ,맛있다
13,작은공간,역삼동먹짱,짜장떡볶이 너무 맛있어요☺️,맛있다
14,작은공간,쀼쀼,워낙 유명한 즉떡집이라 궁금했는데 드디어 ..! 짜장 맛이랑 보통 맛? 일반적인 떡볶이 맛 둘 다 정말 맛있어요 즉떡 먹을 때 떡이 생각보다 맛 없는 경우도 은근 있는데 여기는 떡도 맛있고 양념이 막 자극적이지 않은데 은근히 계속 생각나는 맛이에요 밥 꼭 볶아드세요 내부는 많이 작은 편이에요,맛있다
15,작은공간,배고팡,티비 나오고 유명하길래 기대해서 갔어요 평일 저녁이 갔는데 웨이팅은 없었어요 학창시절 학교 앞에서 팔던 정말 평범한 즉석떡볶이에요(맛 없지도 않고 특출나기 맛있지도 않은...) 특별한게 있다면 백만석 계란이 들어가더라구요! 다행히 회사 근처여서 가까웠지만 거리도 멀었다면 시간 아까웠을 것 같아요ㅠㅠ...,별로
