,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,서평면옥,서울특별시 동작구 보라매로5길 15 B1,국수 / 면 요리,만원 미만,19,4.3,37.4921385,126.9242551
2,다독이네 숯불구이,서울특별시 동작구 노량진로 106-5 1F,고기 요리,만원 미만,23,4.3,37.51292,126.9377805
3,가마솥손두부,서울특별시 동작구 남부순환로271길 20,탕 / 찌개 / 전골,만원 미만,6,4.2,37.4776952,126.9801819
4,멸치국수집,서울특별시 관악구 과천대로 951,국수 / 면 요리,만원 미만,6,4.1,37.475496,126.9812655
5,서일순대국,서울특별시 동작구 여의대방로24길 10-4,탕 / 찌개 / 전골,만원 미만,25,4.0,37.4980298,126.9207304
6,농부쌈밥,서울특별시 동작구 사당로30길 19,한정식 / 백반 / 정통 한식,만원 미만,22,4.0,37.4839958,126.9810744
7,정원분식,서울특별시 동작구 사당로28길 5 1F,기타 한식,만원 미만,13,4.0,37.484103,126.9797194
8,더코네,서울특별시 동작구 상도로61길 23 2F,기타 한식,만원 미만,8,4.0,37.4950185,126.9562275
9,파동추야,서울특별시 동작구 상도로58길 4 경원빌딩,한정식 / 백반 / 정통 한식,만원 미만,9,4.0,37.4958777,126.9530276
10,리얼후라이,서울특별시 동작구 사당로 6-1,닭 / 오리 요리,만원 미만,15,4.0,37.4953064,126.9551549
11,유정우함흥냉면,서울특별시 동작구 동작대로29다길 7-1 1F,국수 / 면 요리,만원 미만,6,4.0,37.488551,126.9802877
12,애플하우스,서울특별시 동작구 동작대로27다길 29 2F,기타 한식,만원 미만,206,3.9,37.4862393,126.9806459
13,마마부찌,서울특별시 동작구 만양로14길 40,탕 / 찌개 / 전골,만원 미만,18,3.9,37.5121258,126.9462911
14,방배한가람김밥,서울특별시 동작구 동작대로7길 55 지암빌딩,기타 한식,만원 미만,10,3.9,37.4783512,126.9793608
15,즉석바지락손칼국수,서울특별시 동작구 상도로 77,국수 / 면 요리,만원 미만,14,3.9,37.4998542,126.929219
16,경성모밀,서울특별시 동작구 동작대로29가길 6,국수 / 면 요리,만원 미만,8,3.9,37.4882284,126.9814285
17,라이스 & 포테이토,서울특별시 동작구 흑석로 83,기타 한식,만원 미만,8,3.9,37.5071173,126.9587261
