,가게이름,리뷰아이디,리뷰,맛평가
1,서평면옥,푸디트래블러,"푸디트래블러의 평냉투어 네번째. 직장인들이 밀집한 곳에 평양냉면집이 있는 건 국룰인 것 같다. 보라매병원 부근 회사건물 지하에 위치한 서평면옥은 평일 점심시간에 핫플이나 다름없지만 규모가 매우 큰 편이라 웨이팅할 필요가 없다. 1인용 좌석부터 4인 테이블, 개별룸까지 모두 갖추고 있어 어떤 형태로든 방문하기 좋은 곳.평양냉면 입문자가 먹기에 적절한 곳은 아닌 것 같다. 이전에 방문했던 평양냉면집들의 물냉면에 비해서는 상대적으로 맛이 심심하게 느껴졌기 때문. 내가 방문했던 평양냉면 가게들이 비교적 짜고 대중적인 맛에 속했던 곳들이었기 때문에 충분히 그럴만도했다.하지만 상대적인 비교일뿐 슴슴하기만 한 평양냉면은 절대 아니다. 호로록 면을 삼킬 때마다 육수의 염도가 은은하게 느껴지고 국물도 담백하니 깔끔해서 좋다. 고명으로 올라간 편육의 식감이 취향에 안맞아서 살짝 아쉽긴 했지만..평냉덕후 초기 단계에 놓인 현재로서는 육수까지 맛있게 먹을 정도로 만족스러웠다.ℹ️맛: 4/5가격: 물냉면 10.0 비빔냉면 10.0 녹두지짐이 12.0ℹ️위치: 보라매공원역 2번출구웨이팅: 없음영업시간: 11am-9pm (Break time 3:30-5pm)분위기: 직장인 맛집",맛있다
2,서평면옥,올리브,"<공간도 음식도 깔끔한 평양냉면집>지난 겨울 방문 후 오랜만에 서평면옥을 재방문했다. 오늘은 두명이서 방문했기에 물냉면과 육개장 그리고 녹두지짐이 반개를 주문했다.오랜만에 먹는 평양냉면은 역시나 꽤나 간간했고 육향도 잘 느껴졌다. 염도를 좀 더 낮추면 더 좋을 것 같다는 생각이 들기는 하지만 간이 강한편이 대중적으로 더 인기가 있을 것 같기는 하다. 면 또한 이전과 같이 꽤 탄력이 있으면서도 곡향을 잘 간직하고 있어 맛나게 먹었다.육개장은 얼큰하면서도 간이 너무 세거나 자극적이지 않아 해장이나 점심식사로 안성맞춤인 느낌이었다. 느타리, 숙주, 소고기 양지, 대파 등이 듬뿍 들어있어 심심하지 않다. 다만 개인적으로 육개장의 핵심재료 중 하나라 생각하는 고사리가 없는 부분은 아쉬웠다. 함께 식사한 짝꿍은 푹 끓여 뭉근해진 대파를 좋아해 숨이 살아있는 대파가 아쉽다고 했다.녹두지짐이는 겉은 바삭하고 속은 부드럽게 잘 부쳐 나왔는데 간이 약한편이고 담백해서 간이 강한 평양냉면, 얼큰한 육개장과 잘어울렸다. 평양냉면가게의 녹두전은 너무 기름지거나 맛이 강한 것보다 이렇게 담백한 것이 좋은 것 같다.꽤 오랜만에 방문했는데 여전히 만족스럽게 식사할 수 있었다. 음식뿐 아니라 가게 자체도 정말 깔끔하다. 개업한지 3년정도 밖에 되지 않아 당연하다고 생각할 수 있으나 끈적임을 찾아볼 수 없는 테이블에 기분이 좋아지는 것은 사실이다. 깔끔한 공간에서 깔끔한 평양냉면과 음식들을 맛볼 수 있는 곳이라 누구에게나 추천할만한 곳이다.",맛있다
3,서평면옥,헬시또또,"갑자기 평양냉면이 먹고 싶다며 주위의 평냉집을 찾는데, 차로 20분 거리에 서평면옥이 있더라고요! 흙속의 진주을 찾은 것 마냥 기뻐서 즉흥으로 먹으러 다녀왔어요.평양냉면이라고 생각하는 간보다는 조금 셌지만, 기대했던 것 보다 맛있고 친절하시고 깔끔하고! 다음에 다른 메뉴도 먹어보려고요 :) (주차도 30분 가능합니다!)",맛있다
4,서평면옥,SaintJay,자주 가는 가성비 갑 냉면집냉면의 폼질은 유명한 집에 비해 달어지지 않는데 가격은 만원이 안됩니다사이드로 나오는 수육과 녹두 만두도 짱,맛있다
5,서평면옥,쌰오전,신림에도 맛있는 평냉집이 있어서 너무 좋아요,맛있다
6,서평면옥,올리브,"<얼어 죽어도 냉면> 아주 추웠던 날 갑자기 냉면이 당겨 전문건설조합 지하1층 식당가에 있는 서평면옥에 칼바람을 뚫고 다녀왔다. 들어가니 사장님께서 친절하게 맞아주신다. 앉은 뒤바로 물냉면 만두 세트를 시키니 사장님께서 물을 가져다 주신다. 나는 당연히 따뜻한 면수도 주실 줄 알았는데 찬물만 주셔서 혹시 내가 따로 가져다 마시는 곳이 있나 주변을 살폈지만 그렇진 않은 것 같았다. 날이 무척 추웠기 때문에 따뜻한 면수로 몸을 따뜻하게 데우고 난 후 냉면을 먹고싶었기에 조금 아쉬웠다. 이윽고 냉면과 만두가 나왔다. 음식을 가져다 주실 때 사장님께 혹시 면수도 조금 주실 수 있는지 여쭤보니 따뜻한 면수 한컵을 주셨다. 진작 달라고 할걸 그랬다. 그래도 구수한 면수 한모금 마시니 기분이 좋아졌다. - 평양물냉면 : 정갈하게 준비된 냉면에는 소고기, 계란, 오이, 무절임이 고명으로 들어가 있었다. 소고기 고명은 2점 올라가 있는데 한 점은 양지, 한 점은 사태로 보였다. 고명과 면을 뒤로하고 국물을 먼저 맛보니 육향과 간이 꽤나 선명한 편이다. 그러면서도 가볍고 깔끔햐서 평양냉면에 익숙하지 않은 분들도 어렵지 않게 즐길 수 있을 만큼 밸런스가 좋다도 느꼈다. 면은 메밀맛을 충분히 즐길 수 있으면서도 생각보다는 탄력이 느껴졌다. 고기 고명 양지는 강한 육향이 좋았고 사태는 부드러운 가운데 살짝 남아있는 쫀득한 식감이 좋았다. - 만두 : 만두는 2알이 나왔는데 전형적인 이북만두 스타일이었는데 역시나 간이 조금 강했다. 살짝 말라있는 느낌이라 좀더 촉촉했으면 더 맛있게 먹었을 것 같다. 냉면 외에도 육개장, 소고기국밥, 갈비탕 등 식사류들이 있는데 갈비탕이 궁금하다. 냉면 육수만큼 깔끔한 맛이라면 아주 좋을 것 같다. 다음에는 따끈한 갈비탕 한 그릇 하러 와야겠다.",맛있다
7,서평면옥,ksj,평냉의 날 세트 15000만두두알 편육 냉면,맛있다
8,서평면옥,보송요시,만두2개+냉면 세트 12000원평양냉면 첫경험함고기국물이 좀 더 진하면 더 맛있겠다만두는 직접 빚으신듯. 육즙 가득하고 맛있음,괜찮다
9,서평면옥,MatKnight,"보라매공원 옆 큰 건물 지하 식당가에 있는 평양냉면 집이다. 작년 4월에 새로 생겨 이제 1년 조금 지난 식당인데도 평가가 아주 높았다. 원래 사람들이 많이 안 찾는 지역이어서인지 집합금지 탓인지 저녁 때 방문했는데 사람이 거의 없었다.냉면 국물은 평양냉면 중에서도 염도가 낮고 슴슴한 편이라고 느껴졌다. 면발은 꽤 쫄깃한 편이었는데, 국물에 풀어도 잘 풀리지 않고 계속 꼬여있어 먹기 조금 불편했던 점은 아쉽다. 고명으로 올라간 고기가 적당히 기름지고 고기맛이 진해 좋았다. 만두도 속이 실하고 맛이 괜찮았다.냉면의 맛은 다른 유명 평양냉면 집들에 비해 특별한 점은 없었다. 그러나 9천원이라는 저렴한 가격에 충분히 수준 있는 평양냉면을 먹을 수 있다는 가격 메리트가 장점인 곳이다. 만두도 같은 가격에 7개나 나오니 가게 위치 덕인지 전반적으로 상당히 저렴하다. 밑반찬도 먹지는 않았지만 풍성하게 나왔다. 무엇보다 집 근처에 이런 가게가 있다는 점이 좋다.",맛있다
10,서평면옥,Hans,"소위 3대장 살짝 아래, 기타 신흥강자들과의 비교는 동급 이상조금만 기름기를 잘 거르고 메밀향을 더 살리고염도만 조금 낮춰 주면 충분히 원픽에 오를 수 있을듯9000원이라는 다른 집 대비 저렴한 가격에 곱배기같은 많은 양도 감사이젠 일요알에 열어도 충분히 단골손님들 모일거 같은데",맛있다
