,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,충북식당,서울특별시 강서구 강서로45가길 9,고기 요리,만원 미만,10,4.0,37.5475227,126.8356399
2,등촌최월선칼국수,서울특별시 강서구 화곡로64길 68,국수 / 면 요리,만원 미만,38,3.8,37.5559981,126.8566983
3,고성막국수,서울특별시 강서구 방화대로49길 6-7,국수 / 면 요리,만원 미만,18,3.8,37.5774065,126.8161124
4,동양식당,서울특별시 강서구 마곡중앙5로1길 20 2F,퓨전 한식,만원 미만,15,3.7,37.564979,126.827427
5,똑순이막국수,서울특별시 강서구 강서로47길 19 발산상가,국수 / 면 요리,만원 미만,19,3.5,37.55246289999999,126.8350775
6,목동분식,서울특별시 강서구 강서로45라길 36,기타 한식,만원 미만,25,3.5,37.5492406,126.8343242
7,김종용누룽지통닭,서울특별시 강서구 화곡로 113,닭 / 오리 요리,만원 미만,7,3.4,37.5401945,126.8344368
8,망향비빔국수,서울특별시 강서구 양천로 716 신한빌딩,국수 / 면 요리,만원 미만,10,3.2,37.5492851,126.8753967
9,공항칼국수,서울특별시 강서구 공항대로 18-1,국수 / 면 요리,만원 미만,17,3.1,37.5609362,126.8091609
10,우학면옥,서울특별시 강서구 공항대로 261 발산파크프라자 208호,국수 / 면 요리,만원 미만,5,,37.5533338,126.8510294
11,코끼리만두,서울특별시 강서구 공항대로51길 27,한정식 / 백반 / 정통 한식,만원 미만,11,,37.5552804,126.8572773
12,80년전통 원조순대국,서울특별시 강서구 방화대로6가길 34,탕 / 찌개 / 전골,만원 미만,9,,37.5533903,126.8168862
13,박가부대,서울특별시 강서구 양천로 583 우림블루나인,탕 / 찌개 / 전골,만원 미만,1,,37.556904,126.8642901
14,사이드쇼,서울특별시 강서구 하늘길 38 롯데몰 김포공항점,기타 한식,만원 미만,8,,37.5632603,126.8031088
15,도라무통즉석떡볶이,서울특별시 강서구 곰달래로 163,기타 한식,만원 미만,3,,37.5309174,126.8510668
16,가마솥한우국밥,서울특별시 강서구 강서로 349,탕 / 찌개 / 전골,만원 미만,4,,37.55678169999999,126.837378
17,의성식당,서울특별시 강서구 공항대로59가길 25-6,한정식 / 백반 / 정통 한식,만원 미만,3,,37.5517703,126.865459
18,올바른분식,서울특별시 강서구 마곡중앙6로 10 마곡역 센트럴푸르지오시티 112호,기타 한식,만원 미만,11,,37.5604186,126.8283151
19,사랑방손칼국수,서울특별시 강서구 국회대로 249-1,국수 / 면 요리,만원 미만,2,,37.5300006,126.8626583
20,청풍동태탕,서울특별시 강서구 화곡로68길 15 아벨테크노 2F 212호,해산물 요리,만원 미만,4,,37.5593942,126.8554059
21,양평해장국,서울특별시 강서구 공항대로 242 212호,탕 / 찌개 / 전골,만원 미만,10,,37.5533338,126.8510294
22,청년다방,서울특별시 강서구 공항대로 269-15 122호,기타 한식,만원 미만,3,,37.5533338,126.8510294
23,정통춘천닭갈비,서울특별시 강서구 양천로49길 53 1F,닭 / 오리 요리,만원 미만,1,,37.571006,126.8403865
24,냅다청양집,서울특별시 강서구 화곡로58길 8 1F,고기 요리,만원 미만,2,,37.5528506,126.8511964
25,우리해장국,서울특별시 강서구 마곡중앙5로1길 25  107호,탕 / 찌개 / 전골,만원 미만,2,,37.564979,126.827427
26,자연과함께한칼국수,서울특별시 강서구 강서로34길 18,국수 / 면 요리,만원 미만,4,,37.5426345,126.8408442
27,접시고기,서울특별시 강서구 공항대로46길 25-8,고기 요리,만원 미만,3,,37.55405289999999,126.8526221
28,고이다,서울특별시 강서구 마곡중앙6로 42 사이언스타 211호,퓨전 한식,만원 미만,3,,37.5601828,126.8314155
29,저-집 김치찌개,서울특별시 강서구 공항대로51길 17-10 1F,탕 / 찌개 / 전골,만원 미만,4,,37.5554746,126.8571636
30,아빠애식탁,서울특별시 강서구 강서로18다길 9  2F,탕 / 찌개 / 전골,만원 미만,2,,37.5346147,126.8474052
31,이태리부대찌개,서울특별시 강서구 마곡중앙6로 66 퀸즈파크텐 B동 B103호,탕 / 찌개 / 전골,만원 미만,5,,37.5598223,126.8340102
32,오점오닭갈비,서울특별시 강서구 강서로 237,닭 / 오리 요리,만원 미만,3,,37.5468258,126.8358714
33,금왕돈까스,서울특별시 강서구 강서로 502,기타 한식,만원 미만,2,,37.5700994,126.8418337
34,미가버섯매운탕샤브샤브칼국수,서울특별시 강서구 강서로5나길 57,탕 / 찌개 / 전골,만원 미만,2,,37.5282576,126.8449722
35,부부칼국수만두,서울특별시 강서구 강서로56가길 47 동진빌딩,국수 / 면 요리,만원 미만,7,,37.5616621,126.8400854
36,낭만치맥,서울특별시 강서구 양천로 492 길훈엔트러스빌 1F,닭 / 오리 요리,만원 미만,6,,37.5690471,126.8225313
37,왕세숫대야냉면돈까스,서울특별시 강서구 공항대로 423,기타 한식,만원 미만,2,,37.5555258,126.8543582
38,강순자옛맛김치찌개,서울특별시 강서구 마곡중앙6로 85 2F,탕 / 찌개 / 전골,만원 미만,3,,37.55319679999999,126.8298352
39,영애식당,서울특별시 강서구 공항대로 209 1F 114호,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5533338,126.8510294
40,봉순이칼국수,서울특별시 강서구 양천로 401 에이동 105-2호,국수 / 면 요리,만원 미만,1,,37.5642415,126.8426754
41,미소돈가스,서울특별시 강서구 화곡로64길 78,기타 한식,만원 미만,2,,37.5557665,126.8571546
42,빨강호랑이,서울특별시 강서구 화곡로64길 2 경동미르웰한올림,탕 / 찌개 / 전골,만원 미만,2,,37.55726420000001,126.8535321
43,맛자랑치킨,서울특별시 강서구 양천로 492 길훈엔트런스빌,닭 / 오리 요리,만원 미만,1,,37.5609499,126.854704
44,김희라한국식왕돈까스,서울특별시 강서구 강서로 201,기타 한식,만원 미만,2,,37.5438424,126.8378709
45,흥난닭,서울특별시 강서구 마곡중앙6로 16 GMG타워 1F 137호,닭 / 오리 요리,만원 미만,1,,37.5603999,126.8290844
46,맛짜우우동짜장,서울특별시 강서구 양천로 623,기타 한식,만원 미만,1,,37.554416,126.8672626
47,삼백집,서울특별시 강서구 강서로56길 17 NC백화점 강서점 8F,탕 / 찌개 / 전골,만원 미만,2,,37.5599265,126.8405125
48,해피치즈스마일,서울특별시 강서구 마곡중앙6로 42 사이언스타 103호,기타 한식,만원 미만,2,,37.5601828,126.8314155
49,이타제면소,서울특별시 강서구 마곡동로10길 46,국수 / 면 요리,만원 미만,2,,37.5590032,126.8343207
50,이가바지락손칼국수,서울특별시 강서구 양천로 460,국수 / 면 요리,만원 미만,8,,37.56255489999999,126.851679
51,보승회관,서울특별시 강서구 마곡중앙6로 16 마곡 GMG TOWER 1F 104호,탕 / 찌개 / 전골,만원 미만,2,,37.5767515,126.8385166
52,죠스떡볶이,서울특별시 강서구 화곡로 163,기타 한식,만원 미만,2,,37.5417128,126.8396624
53,마마된장,서울특별시 강서구 양천로 344,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5642415,126.8426754
54,할머니가래떡볶이,서울특별시 강서구 화곡로31길 15 1F,기타 한식,만원 미만,2,,37.5439606,126.8422891
55,사미식당,"서울특별시 강서구 마곡중앙4로 22 파인스퀘어 A동 107호(본관), 119호(배달관)",닭 / 오리 요리,만원 미만,2,,37.5584411,126.8294265
56,히야식당,서울특별시 강서구 공항대로53길 37 ,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5550706,126.8603862
57,봉이밥,서울특별시 강서구 마곡중앙로 171 안강프라이빗 2차 103-104호,한정식 / 백반 / 정통 한식,만원 미만,8,,37.6028165,126.8697238
