,가게이름,리뷰아이디,리뷰,맛평가
1,충북식당,JESSIE,첫방문때 실패하고 두번째에 성공한 충북식당.아저씨가 굉장히 무뚝뚝하시고 주문해도 대답도 안하셔서 주문이 잘 된건가 긴가민가 했는데 무사히 주문한 메뉴가 나왔다.2인분 시켰는데 3명이서 먹어도 배부르고도 남을 만한 제육볶음이 나온다가끔 식당가면 당근이랑 양파 양배추만 많고 고기는 적은데 여기는 그렇지 않다고기도 푸짐한데다 아삭한 양파랑 부추.그리고 적당히 맛있게 매콤한 맛이 중독성이 있다. 양만 많아서 유명한게 아니라 맛까지 있어서 유명한게 분명하다같이나온 콩나묵도 엄청 칼칼~하고 반찬들도 다 맛있었다. 찾아보니 밑반찬은 그때그때 바뀌는모양..?주문 통일해야되는줄 알고 같은메뉴 시킨건데 아니였네..다음엔 찌개도 꼭 먹어봐야겠다재방문의사 있음☆,맛있다
2,충북식당,chanwook_ie,고봉밥을 주는 백반집으로 이미 유튜브에 많이 소개된 곳이다. 조금 이른 점심시간에 방문해 간신히 자리를 잡고 가장 잘나간다는 제육볶음과 된장찌개를 주문했다.주방이 개방형이라 아주머니께서 웍질 하시는 모습을 볼 수 있다. 제육볶음은 1인분이라고 믿기 어려울 정도로 양이 푸짐했고 불 향이 강하게 입혀져 있다.고기는 다소 얇은 전형적인 제육볶음 스타일이다. 양이 두 명이서 먹기에 충분히 많아서 개인적으로 고기 양은 조금 줄이고 반찬 가짓수를 늘리면 좋을 것 같다.반찬은 특별하다고 보기 어렵고 감자조림 같은 경우 워낙 배가 불러서 많이 먹기 버거웠다. 된장찌개는 국물이 엄청 진하게 보이는데 묽고 깔끔한 편이다.동네 사람들에게는 저렴한 가격에 한 끼 식사를 할 수 있어서 괜찮은 백반집 같다. 멀리서 찾아올 정도는 아니지만 가까운 곳에 있으면 방문을 추천한다.,괜찮다
3,충북식당,정민,"사장님 표정이 항상 화나있는 네모네모 눈을 하고 계신다. 일체, 말씀을 하시지 않는다. 고개로 까딱, 눈빛으로 찌릿. 하면 다들 알아듣는다. 충북식당만의 룰이다.여기에 불만을 품을 바에야, 여기까지 와서 자고로 사람을 응대하는 맛집이란- 하며 불평할 바에는 오지를 말아야 한다.서비스에 대한 호불호(대게는 불호)인 이 곳이 그럼에도 불구하고 높은 평점을 유지하고 있기에 궁금했다.긴장한 채 찾아간 충북식당은 코로나가 뭐냐고 물을만큼 여느때와 다름없이 기본 4팀의 웨이팅이 줄어들고 늘어나고를 반복하고 있었다.손님이 빠져서 테이블에 자리가 나도 절대로 문을 열고 손님을 안내하지 않기때문에, 알아서 눈치껏 대기번호1번은 재정돈 된 테이블에 얼른 착석해야한다.착석하면, 카운터까지 걸어가서 직접 메뉴를 주문해야한다. “제육볶음이랑 우렁된장찌개요.” 라고 말 했을 때, 사장님의 대답을 바라지 말 것.한 번 눈빛으로 찌릿, 고개로 까딱 하면 아, 주문이 들어갔구나 하면 된다.자리로 와서 기다리면 고봉의 고봉의 고봉밥, 밑반찬과 주문한 제육볶음과 우렁된장찌개가 나온다. 이건 다행히 가져다주신다.가가가감사합니다... 하고 말하면서 눈길은 모두 고봉밥으로 향해있다. 여기는 고봉밥 먹을 자신 없으면 밥 조금만 주세요 라고 말해야한다. 이 말을 하는 것도 약간 혼나는 분위기이니 잘 말씀하시길...불맛이 나는 제육볶음에는 부추와 양파가 듬뿍 고기도 듬뿍 들어가있고 우렁된장찌개에도 우렁이 한움큼 들어가있다.사장님의 뿔난 네모네모 눈빛은 “사람이 밥은 든든히 먹고 다녀야지!”하는 고집스런 삼촌같은 눈빛이다.나처럼 서울촌년은 겁먹을 수 있지만,욕을 먹든 단골이 되든 누가 뭐라든 상관없이 주방에서 부인이 홀에서 사장님이 열심히 입 꾹 다무시고 맡은 바 최선을 다 하신다.요즘 맛집들의 맛과 서비스를 위한 고집이 아닌,나는 이렇게 생겨먹은 사람이고 다 모르겠고 와서 맛있게 밥이나 먹고 얼른 나가슈-충북토종 고집의 맛을 맛보고 왔다. 아, 맛있었다~",맛있다
4,충북식당,NIWOOW,"망플 강서 지역에서 점수가 높아 방문했어요.점심 시간보다 브레이크 타임이 끝난 직후가더 여유로울 것 같아서 오후에 방문했는데,다행히 한 자리가 있어서 바로 들어갔네요.제육볶음을 1인분 주문해서 먹었습니다.불맛이 강하고 꽤 매콤한 제육볶음이었어요.단맛도 생각보다는 강한 편이었던 것 같구요.반 정도 먹다보니 조금씩 물리기 시작하네요.혼자 먹기엔 양이 많아 그런 것도 있겠지만 기름이 많고 단맛이 강한 것도 물리는데한몫하지 않을까하는 생각이 들었습니다.여러 리뷰에서 나온대로 양은 정말 많았어요. 제가 입이 짧은 편이긴 하나 그 날 처음으로먹는 식사였는데 다 못 먹고 많이 남겼거든요.어쩐지 비닐 봉투 챙겨오는 분들이 많더라니...우렁 된장에 제육 볶음 조합이 진리라는데혼자 가서 된장찌개를 못 먹은 게 아쉽구요.맛도 나름 만족스러웠고 그 무엇보다도가성비가 좋아서  [맛있다]로 정했어요.하지만 무뚝뚝한 사장님을 보니 바쁠 때는어떨지 눈에 훤히 보여서 재방문을 하더라도최소한 점심 시간은 피할 것 같습니다.P.S. 재료가 떨어지면 주방 마감하는데제가 갔던 날에는 오후 5시 44분에 끝났어요.시간을 잘 맞춰 가시는 것이 좋을 것 같습니다.",맛있다
5,충북식당,고도슴치,맛있다고 해서 개습한데 밖에서 30분 기다렸다 들어갔다. 대기 접수 그딴 거 없고 그냥 무작정 서 있다가 사람들 나오면 알아서 들어가야 한다. 홀 보는 사람(5-60대 남성)은 안내도 안 해주면서 자리 나서 들어가면 치울 때까지 나가 있으라고 한다. ㅋㅋ 주문 받으러 직접 행차하시지 않기 때문에 직접 가서 얘기해야 한다. 물론 불러도 안 옴. 주문해도 대답 안 한다. 내 주문이 들어갔는지 불확실한 상태에서 10~15분 기다렸더니 제육복음이 나왔다. 같이 시킨 오징어볶음도 곧 나오냐고 물어보니 짜증을 낸다. ㅋㅋ 음식은 맛있게 먹긴 했다. 불맛도 나고 양도 많고 맛도 있다. 남기는 걸 싫어해서 공기밥 다 먹고 밑반찬 남은 것도 먹고 있는 와중에 홀 보는 사람이 다 먹었으면 나가라고 한다. ㅋㅋ 그래서 아직 먹고 있다고 하니 그럼 빨리 먹고 나가라고 한다. ㅋㅋ 입맛 뚝 떨어져서 떨떠름한 상태로 나가니 웬 대기 중이던 할배가 둘이서 뭐 저렇게 오래 먹냐고 지랄한다. ㅋㅋ 메뉴 다 나오고 다 먹기까지 30분 정도였는데 ㅋㅋ 양 개많아서 빨리 먹지도 못하는데 ㅋㅋ여긴 먹으면서 말도 못 하고 침묵한 상태로 빨리 처먹어야 하나 보다. ㅋㅋ 대기가 계속 있는 건 알지만 카페에서마냥 한 입 먹고 수저 놓고 있던 것도 아니고 ㅋㅋ 이런 게 역갑질인 건가. 예전부터 줄 서던 곳이고 먹던 사람 재촉해서 나가게 할 만큼 대기 손님들이 신경 쓰이면 확장이전을 하든지 대기 손님들 안내라도 하든지 직원을 늘리든지. ㅋㅋ 꼴랑 둘이서 일하면서 회전율만 높이고 싶은 게 양아치 심보 아니고 뭘까.서비스가 뭣 같아도 여긴 옛날 가게니까. 대충 해도 사람들은 계속 오니까 이런 마인드겠지. 후기들 보면 홀 보는 사람 때문에 언짢았던 사람들 많던데 꼭 배로 돌려받았으면.. ㅎㅎ자기 시간이랑 돈 쓰면서 불쾌한 경험하고 싶으신 분들은 가보세요~#화곡동 #우장산,별로
6,충북식당,Rachel,삼고초려끝에 드디어 맛본 충북식당의 제육볶음! 도대체 무슨 맛이길래 평일 저녁 6시반에도 마감을 하는지.. 주말 점심에도 줄을서 먹는 곳이다. 제육볶음과 우렁된장찌개가 유명하다. 산처럼 쌓은 고봉밥과 직접 한 반찬이 같이 나온다. 반찬들도 밥도둑들. 음식이 모두 제법 간이 간간하게 되어있다. 제육볶음은 고추장 맛이 아닌 고춧가루를 볶아낸 스타일이다. 돼지고기 기름에 고춧가루베이스의 양념으로 고춧기름을 뽑아내고 양파와 부추를 가득 볶아낸 맛. 우렁된장찌개는 우렁이 한가득 들어있고 바지락으로 시원한 맛을 낸 짭쪼름한 찌개다. 매번 방문할 때 마다 툭툭 내뱉는 말투로 친절함을 찾아볼 수 없는 접객이지만 제육이 가끔 생각날 것 같은 맛인건 인정..! 그냥 밥먹으러 온다~ 생각하고 크게 기대하지 않으면 아주 맛있게 먹을 수 있음!,맛있다
7,충북식당,런던프라이드,계속 생각나는 맛 ㅠㅠ,맛있다
8,충북식당,Hynorii,화곡동 충북식당 ●●●●●사장님에게 친절을 기대할수 없는 곳이지만.... 맛있고 양도 엄청 많네요,맛있다
9,충북식당,Gastronomy,서울 우장산역 근처에 위치한 백반집. 이름 그대로 사장님이 충청북도 출신임. 충남사투리와 충북 사투리가 약간 다른데 충북 사투리가 좀 더 빠르고 덜 프렌들리한 말투인데 여기 사장님이 딱 그말투. 제육볶음과 우렁된장찌개르으주문함. 밥그릇 위로 두배는 올라가 있는 고봉밥이 매우 인상적임. 진짜 탄수화물로 격하게 혼나고 싶은 사람에 적격. 보자마자 와구와구 먹고싶은 충동이 듬. 제육볶음도 고봉으로 나오는데 부추와 고춧가루를 넉넉히 넣고 볶아서 불맛이 살아 있음. 야채덕분에 물이 많은 그타일이 아닌 마르고 매콤한 스타일. 우렁된장찌개는 재료가 충실하고 보통 우렁된장찌개 보다 매콤함. 고봉밥에 가득 제육볶음을 올려 와구와구 먹었음. 반찬도 다 맛있음. 점심에 가면 웨이팅 약 삼십분.,맛있다
10,충북식당,박정원,"제육볶음과 우렁된장찌개를 먹었다.산더미같이 나오는 밥을 다 먹고싶을 정도로 맛있었다. 제육볶음에는 적당한 불맛이 섞여 있고, 돼지고기가 대단한 질은 아니었지만 7천원에 최선을 다해 내놓으시는 마음이 느껴졌다. 정말 양이 많고 푸짐하고 맛있다. 우렁된장찌개야말로 정말 만족스럽다. 개인적인 추억까지 떠올리게 하는 맛이었고, 푸짐한 우렁과 건더기 덕분에 감동받았다. 꼭 다시 가 볼 곳이다.",맛있다
