,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,금성수제돈까스,서울특별시 양천구 목동동로10길 12-24,기타 한식,만원 미만,18,4.2,37.51764,126.8709895
2,미시락칼국수,서울특별시 양천구 목동중앙북로16길 10,국수 / 면 요리,만원 미만,18,4.2,37.5456912,126.873657
3,강릉스낵,서울특별시 양천구 목동동로 228-2,기타 한식,만원 미만,6,4.0,37.52574389999999,126.8721197
4,살구나무집칼국수,서울특별시 양천구 중앙로32길 35,국수 / 면 요리,만원 미만,22,3.9,37.5194587,126.8575457
5,평미가,서울특별시 양천구 목동동로10길 16,국수 / 면 요리,만원 미만,18,3.5,37.5189073,126.87151
6,스쿨푸드,서울특별시 양천구 목동동로 257 현대백화점유플렉스목동 B2,기타 한식,만원 미만,17,3.2,37.5268253,126.8749782
7,개성집,서울특별시 양천구 목동중앙서로 48,한정식 / 백반 / 정통 한식,만원 미만,5,,37.53287,126.8690945
8,언니김밥,서울특별시 양천구 중앙로36길 32,기타 한식,만원 미만,3,,37.5196209,126.8575398
9,삼정,서울특별시 양천구 목동동로 228-4,탕 / 찌개 / 전골,만원 미만,4,,37.5257073,126.872256
10,죠스떡볶이,서울특별시 양천구 목동로 210,기타 한식,만원 미만,3,,37.5273464,126.864459
11,박가네들깨칼국수,서울특별시 양천구 신목로12길 7,국수 / 면 요리,만원 미만,5,,37.5209707,126.874634
12,옥천집,서울특별시 양천구 목동로21길 4,한정식 / 백반 / 정통 한식,만원 미만,6,,37.5254825,126.8632801
13,봉평메밀막국수,서울특별시 양천구 목동중앙서로 8,국수 / 면 요리,만원 미만,4,,37.5322954,126.8647042
14,두끼,서울특별시 양천구 목동동로 293 현대41타워 3F,기타 한식,만원 미만,6,,37.5281164,126.8758458
15,이조면옥,서울특별시 양천구 신목로 88,국수 / 면 요리,만원 미만,4,,37.5222024,126.8750985
16,다채샤브,서울특별시 양천구 목동동로 55 밀레니엄프라자 2F,탕 / 찌개 / 전골,만원 미만,2,,37.5154279,126.861399
17,고양이부엌,서울특별시 양천구 목동동로 233-1,기타 한식,만원 미만,6,,37.5274468,126.8715522
18,임꺽정김치찌개,서울특별시 양천구 목동동로12길 27,탕 / 찌개 / 전골,만원 미만,5,,37.5227297,126.8743643
19,쌍둥이네수제비대합탕,서울특별시 양천구 목동동로 226-1,기타 한식,만원 미만,2,,37.5256571,126.8720871
20,설악산칡냉면,서울특별시 양천구 목동중앙남로3가길 59,국수 / 면 요리,만원 미만,1,,37.5383326,126.8640763
21,목동카츠,서울특별시 양천구 목동로9길 4 1F,기타 한식,만원 미만,3,,37.5231363,126.8640341
22,목동찹쌀호떡,서울특별시 양천구 중앙로32길 61,기타 한식,만원 미만,2,,37.5200495,126.8603161
23,오부장치킨,서울특별시 양천구 목동중앙남로 35,닭 / 오리 요리,만원 미만,1,,37.5370271,126.866711
24,금화왕돈까스,서울특별시 양천구 화곡로 91,기타 한식,만원 미만,1,,37.539735,126.8321582
25,대박곱창,서울특별시 양천구 신월로 340 1F,고기 요리,만원 미만,6,,37.5215375,126.8588602
26,슈퍼떡볶이,서울특별시 양천구 오목로 38-1 1F,기타 한식,만원 미만,6,,37.5217685,126.8418595
27,24시 누름돌 생고기 김치찌개,서울특별시 양천구 중앙로 237,탕 / 찌개 / 전골,만원 미만,3,,37.5176998,126.853628
28,육쌈냉면,서울특별시 양천구 중앙로 251,국수 / 면 요리,만원 미만,4,,37.5186858,126.8531955
29,백년초칼국수,서울특별시 양천구 목동중앙로 45,국수 / 면 요리,만원 미만,2,,37.5338001,126.8694877
30,양천뼈다귀,서울특별시 양천구 목동동로 258,탕 / 찌개 / 전골,만원 미만,2,,37.5253027,126.8747092
31,옥련밀,서울특별시 양천구 중앙로 304,국수 / 면 요리,만원 미만,1,,37.5233374,126.851665
32,김밥소담,서울특별시 양천구 중앙로32길 61 현대프라자 103호,기타 한식,만원 미만,4,,37.5200384,126.8602046
33,지리산어탕국수,서울특별시 양천구 목동서로 234,해산물 요리,만원 미만,2,,37.5263135,126.8693168
34,신월동곱창,서울특별시 양천구 오목로 39,탕 / 찌개 / 전골,만원 미만,1,,37.5220544,126.8417102
35,북창동순두부,서울특별시 양천구 목동서로 155 목동파라곤 B1,탕 / 찌개 / 전골,만원 미만,1,,37.5293869,126.8750591
36,이모네별난곱창,서울특별시 양천구 신월로10길 8 대림아파트,고기 요리,만원 미만,2,,37.5164178,126.8404422
37,새벽집,서울특별시 양천구 목동동로 387 광장빌딩,탕 / 찌개 / 전골,만원 미만,1,,37.5356341,126.8798357
38,국수나무,서울특별시 양천구 목동서로 377 이스타빌3차,국수 / 면 요리,만원 미만,1,,37.5160389,126.86226
39,홍선떡볶이,서울특별시 양천구 오목로 315 대영상가,기타 한식,만원 미만,3,,37.5250882,126.8727111
40,다시국수,서울특별시 양천구 등촌로 56-1,국수 / 면 요리,만원 미만,4,,37.5349446,126.8637792
41,신의주찹쌀순대,서울특별시 양천구 목동서로 377 이스타빌3차상가 B동 102호,탕 / 찌개 / 전골,만원 미만,3,,37.5160389,126.86226
42,개성집,서울특별시 양천구 목동동로 293,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5281527,126.8757457
43,낙지와볼테기,서울특별시 양천구 목동동로 73,해산물 요리,만원 미만,3,,37.5157593,126.862801
44,40년전통할머니추어탕,서울특별시 양천구 가로공원로 146,탕 / 찌개 / 전골,만원 미만,3,,37.53610949999999,126.8321887
45,명동손칼국수,서울특별시 양천구 목동중앙북로6길 4,국수 / 면 요리,만원 미만,2,,37.5482185,126.864998
46,해월손만두,서울특별시 양천구 신월로 383,한정식 / 백반 / 정통 한식,만원 미만,2,,37.5225656,126.8635292
47,산아래맛있는이야기,서울특별시 양천구 목동서로 155 목동파라곤,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5293869,126.8750591
48,장호덕손만두,서울특별시 양천구 신목로 82-1 ,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5220099,126.8744702
49,왕냉면앤왕돈까스,서울특별시 양천구 중앙로 260,기타 한식,만원 미만,2,,37.5195705,126.853363
50,뽕스떡볶이,서울특별시 양천구 신목로5길 16,기타 한식,만원 미만,1,,37.5178604,126.8722769
51,바르다김선생,서울특별시 양천구 목동서로 170 홈플러스 목동점,기타 한식,만원 미만,1,,37.5302084,126.8732314
52,일상밥상,서울특별시 양천구 목동동로 339 B112호,한정식 / 백반 / 정통 한식,만원 미만,1,,37.5321473,126.87673
53,웅이네남도순대국,서울특별시 양천구 곰달래로13길 54,탕 / 찌개 / 전골,만원 미만,1,,37.5343313,126.8350575
54,솜씨맛,서울특별시 양천구 남부순환로79길 37,기타 한식,만원 미만,1,,37.5183287,126.8431852
