,가게이름,리뷰아이디,리뷰,맛평가
1,금성수제돈까스,토요미식회장,오랜만에 가본 경양식 돈까스솔직히 유명한 곳이라는 이야기가 없었다면 딱히 찾아오진 않았을 것이다. 아무리 생각해도 내가 선호하는 스타일은 아니다.일단 경양식돈까스를 일본식 돈까스보다 선호하지 않고.메뉴의 종류가 생각보다 너무 많다. 그래도 가끔 어릴 때부터 먹던 익숙한 맛이 생각나서 와봤더니일단 역시나 가격이 훨씬 저렴하다.요즘 일식 돈까스는 싼 곳이 만원이다. 조금만 이름난 곳이면 히레카츠 14000원 이상.그래도 이곳의 경양식은 8500원.만원 미만으로 이렇게 푸짐하게 식사할 수 있다.돈까스는 주문 즉시 튀겨주기 때문에 시간은 살짝 걸린다. 그 사이 스프가 나온다. 스프는 뭐 익숙한 그 맛이다. 꼬숩고 따뜻하다.돈까스는 오래 기다린만큼 괜찮다. 물론 일본식 돈까스같은 고급스런 느낌이랑은 살짝 다르지만 나름대로 바삭하고 고기 손질도 적당히 잘 되어 있다. 나머지는 경양식인만큼 역시나 소스맛.달고 새콤하고 눅진한 소스맛. 이곳만의 소스를 만든 듯 한데 꽤나 매력있다. 물론 많이 먹으면 물릴지도 모르겠다. 확실히 평은 이렇다.일본식 돈까스에 비해 맛이 있을 수는 없다.하지만 그만큼 아주 저렴하다.저렴한 가격대에 비해 맛 또한 양호하다. 냉면 같은 메뉴도 파는 것 같은데 어떤 맛인지는 모르겠다. 아마 아이 키우는 부모님들을 위한 것 같기도 하고..냉면+돈까스 집 가끔 보이는데 보통 맛있다고 알려진 곳은 거의 없다. 여기는 냉면 돈까스 같이 하는데 일단 돈까스는 아주 맛있다. 가성비 높은 외식 장소로 추천할만하다.,맛있다
2,금성수제돈까스,Special U,"동네에 있는 돈까스 집인데 나름 이 근방에선 유명한 편이다. 요즘 유행하는 일식 스타일의 촉촉한 돈까스 보다는 경양식 돈까스를 표방하고 있다. 스프, 깍두기, 단무지가 기본찬으로 나오는 것만 봐도 이 집은 옛날식 돈까스다.기본, 매콤 돈까스가 제일 많이 나가는데 나는 반반 돈까스를 주문. 매콤한 양념이 생각보다 꽤 매워서 정말 매운 거 잘 먹는 사람 아니면 가급적 반반을 주문할 것을 추천한다! 우선 스프로 속을 달래주고 돈까스를 하나씩 썰어서 먹어보는데 튀김의 두꺼움이 아니라 고기의 두툼함에 놀랐다. 고기가 꽤나 실하게 두툼해서 씹는 맛이 좋고 그렇다고 육즙이 없는 것도 아니다. 경양식이지만 또 그에 맞는 육즙이 있다. 돈까스를 얇게 두드려 편 것보다는 두툼한 방섹으로 속까지 맛있게 튀겨낸 듯. 다만 감자튀김은 미리 튀겨놨는지 눅눅해서 이쉬웠다. 샐러드는 리필도 돼서 계속 먹을 수 있어서 대만족!성인 남성도 아주 배부르게 먹을 수 있고 요즘 돈카츠에 비해서 무려 5천원 이상 저렴한 편이니 가격대비 그리고 두툼하고 맛있는 소스를 생각해보면 맛있는 편!",맛있다
3,금성수제돈까스,달토끼,돈까스가 아주 두툼하고 맛납니다. 기름냄새도 안나고요. 옛날 경양식 돈까스 스타일인데 두툼해서 맛나네요. 가격이 저렴한건 덤이죠.,맛있다
4,금성수제돈까스,그리미,굿,맛있다
5,금성수제돈까스,모진수,목동에 이런 맛집이??!!고기가 무척 싱싱하고 두터웠다. 튀김옷 바삭하기는 이루 말할 수 없고 소스도 달달하면서 복잡한 맛이 나는 것이 수제작 같았다. 양도 무지하게 많았는데 가격은 만원이 넘지 않는다. 꼭 재방문해서 치즈돈가스도 먹어보고싶다. 그래 목동. 숨어있을 뿐 너도 잘할 수 있잖아!코로나 덕분에 동네에서 밥 먹을 일이 많은데 이 기회를 발판 삼아 목동이 맛집 불모지라는 오명에서 벗어나기를!!,맛있다
6,금성수제돈까스,큐그,"저렴하고 양이 많은 경양식 돈가스 음식점입니다.동네에서 돈가스 집으로 인기있길래 방문해보았습니다.갔을 때는 줄이 없어서 바로 먹을 수 있었고, 식당 내부는 꽤 넓었습니다.기본으로 나오는 스프는 그냥 그렇지만 돈가스는 맛있습니다. 보통 이상의 느낌입니다.맛과 가성비가 좋아서 동네에서 인기있는 것 같습니다. 다른 메뉴들도 더 있던데 그건 안먹어봐서 모르겠지만 맛있을 것으로 예상됩니다.가까우면 좀 더 방문했을텐데 걷기에는 좀 멀어서 아쉽네요.#먹어서응원",맛있다
7,금성수제돈까스,VERYGOOD㋛,한줄평 : 돈까스는 여기서 사드세요....제발 워낙 인기많은 집이니 시간 참고하세용(평일 방문)11:00  가게 오픈11:40  우리 도착. 4테이블 정도 여유있어 웨이팅X11:55  돈까스 나옴12:10  5팀 대기중스프는 그냥 시제품 쓰시는 듯. 그냥 먹으면 밍밍해서 후추 많이 뿌려서 먹었당<일반 돈까스>주방에 일하시는 분이 4분정도 되시던데 일 처리가 엄청 빠르신 것 같다..(다들 고수의 향기가...ㅋㅋ) 우리 말고도 음식 안 나온 테이블 엄청 많았는데 빨리 나왔다. 양도 꽤 되고 고기도 두껍고 먹는 내내 '아 맛있다' 라고 했다ㅋㅋ 소스는 땅콩맛이 강하게 났다. 같이 나오는 샐러드와 감자튀김도 존맛탱. 이게 어떻게 7500원이여ㅠㅠ <치즈킹>진짜 사진에서 봤던 것보다 훨씬 크다. 내 중지보다도 길고 두께도 어마어마하다. 웬만한 여성은 이거 4개 다 먹기 힘들 듯.. 결국에 하나는 포장해서 집으로 가져갔다. 물론 맛은 왕크니까 왕맛있었다ㅋㅋㅋ 그리고 여기 주차는 힘드니 그냥 대중교통으로 오시는 걸 추천드립니다.,맛있다
8,금성수제돈까스,마시쪙,도톰한 돈까스ㅡ.질리지않게 반반으로 주문기대가 컸지만 큰거에 비해 다른집과 비교해서 임팩트가 큰건 아니였어요하지만 어디 만원넘는 돈까스보다 고기고 두툼하고 부드럽고 비교적 저렴한 편인건 좋음냉면은 영 아니올시다,괜찮다
9,금성수제돈까스,mustit_korea,"야탑역에 짱가네돈까스가 있다면,목동 오목교역에는 #금성수제돈까스 가 있다..#왕돈까스 #돈까스 #돈까스맛집 #쫄면 #쫄면맛집",맛있다
10,금성수제돈까스,먹집쟁이,여기 정말 인생돈까스!! 가격도 착하고 소스모두 너무 맛있어요 ㅎㅎ 돈까스도 두껍구 감자튀김도 넘 맛잇어요!! 멀지만 가는길이 아깝지 않은곳:),맛있다
11,금성수제돈까스,먹는게젤조하,가성비 5맛 5서비스 4 로컬인이 인정하는 로컬맛집 ! 목동인중 금돈 모르는 사람이 어디이써 ~~~ 가성비 말해뭐해 만원짜리 돈까스도 맛없는걸 봤는데 여긴 육천원에 넘 만족된다 두껍고 막 튀겨진것처럼 바삭 바삭하다 ! 나는 매운소스를 따로 달라고 해서 찍먹하는데 기본소스도 찍먹해도 좋을것 같다 여기 최소 다섯번은 와봤는데 근처에 있고 싸지만 맛있는 돈까스를 찾는다면 왕 추천! 쫄면에는 야채도 왕왕 주신다 (서비스는 캐바캐),맛있다
12,금성수제돈까스,함비,돈까스 두께 엄청 두꺼움.양 많고 가격도 쌈. 여기보다 가성비 좋은돈까스집 찾기 힘들듯.아무것도 모르고 곱빼기돈까스(10.5) 시켰는데 진짜 당황스러울 정도로 양 엄청 많았음경양식이라기보단 일식에 가까운 돈까스에소스가 부먹st로 나오는데 튀김도 바삭바삭하고 고기 자체도 두툼하니 배터지게 잘먹었음.가게 내부는 깨끗하고 넓어서 쾌적한편.재방문의사 100%,맛있다
13,금성수제돈까스,맛집찾아삼만리,곱빼기돈까스를 반반(일반+매콤) 소스로 시켰다.돈까스는 예전 경양식집 돈까스 스타일이 아니라 일식돈까스마냥 두툼하다. 그게 얄팍한 옛날돈까스와의 차이랄까.양도 엄청 많았다. 결국 다 먹긴 했지만 음식 남기는 거 싫어하는 내가 두 조각 중 한 조각의 1/3정도는 포기할까 고민할 정도.잘 구운 두툼한 돼지고기와 맛있는 소스 신선한 사이드메뉴(특히 김치가 좋았다). 베리 굿.개인 취향이지만 매운소스는 먹다보니 양념치킨의 양념 맛 또는 닭강정의 소스 맛이 나서 별로였다.일반 소스 승!!!,맛있다
14,금성수제돈까스,모이모이짱,"맛있고 깨끗한데 저렴한 곳. 이 곳을 알게 되어 정말 기쁘지만, 한편으로는 집이 멀다는 사실이 슬프다. 몰랐다면 못 왔을 곳이라 이전에 리뷰를 써주신 분들께 감사드리는 마음이다.돈까스가 두툼하고 고기 질이 훌륭하며 너무나 맛있당. (미리 요청하지 않으면) 소스를 미리 끼얹어 주시는 부먹st. 식당이다.ㅋ. 그밖에도 짜거나 달지 않은 반찬, 추가반찬은 셀프바 이용으로 재사용을 안 할것 같은 분위기, 돈까스에 곁들여 나오는 양배추도 신선하고 그 위 소스도 흑임자맛, 그 옆 감자튀김도 바삭하고, 한 스쿱의 밥 위엔 검정깨 7알! 쫄면은 옆테이블에서 많이 먹길래 컨닝하는 마음으로 주문했는데 짜거나 달거나 맵지 않고 괜찮은 맛, 채소도 듬뿍 넣어주셨다. 정갈하고 깨끗하게 관리되는 식당 내부, 유니폼 입고 친절하게 응대해주시는 아주머니 직원분들, (혼밥이었는데 내가 2인분을 주문하자, 그 바쁘신 와중에 돈까스는 꼬마돈까스로 하는게 어떻겠냐고 권해주셨다. 친절친절... 그러나 나는 남으면 싸가겠다고 체면을 지키며 일반으로 주문을 감행함.) 남편과 왔으면 곱배기돈까스 2개 주문할 수 있었을텐데... 옆테이블 보니 곱배기돈까스가 진짜 컸다! ㅜㅋㅋㅋㅋ그런데 어떻게 가격이 이렇게 저렴할 수 있는가!?? 약 15년 전쯤, 목동에서 즐겨 찾던 우리동네감자탕인가.. 그런 곳이 있었다. 가격은 싼데 음식이 진짜 푸짐하고 고기도 많이 주고 재료가 엄청 좋아서 의문의 식당이었다. 그런데 나중에 알게 된 비결은 바로 건물주였던 것! 임대료부담이 없어 재료를 팡팡 쓴다는 것이었다. ㅋㅋ 뭐 어쨌든 오늘은 저녁까지 안 먹어도 든든할것 같다. 잘 먹었습니다~",맛있다
15,금성수제돈까스,KimJong-hwa,확장이전하면서 값은 500원정도 올랐습니다. 사이드로 나오는 감자튀김이 눅눅할때가 있어서 아쉽습니다. 단점 끝.목동에서 제일 좋은 돈까스를 냅니다. 항상 두툼하게 잘 튀겨져 나옴. 고기의 질이 상당히 좋습니다. 가공도 좋아서 십여번 먹으면서도 힘줄 한번 씹어본 적 없음.소스는 얹어서 나오는게 기본이지만 요청하면 따로 받을 수 있습니다. 튀김 수준이 좋기 때문에 한번쯤은 따로 받아서 찍먹을 해 보는것도 추천합니다곱배기가 기본보다 상당히 비싼데 그냥 돈까스가 두 덩이가 나와버립니다. 양 엄청 많으니 잘 생각해보고 주문해야 합니다. 매운돈까스도 소스가 매운맛이 과하다 싶기 직전에서 잘 컨트롤 되는 느낌입니다. 평소 매운걸 잘 못먹는 사람이라도 붉닭볶음면 까르보나라정도 먹는 수준이라면 맛있게 먹을 수 있는 수준.,맛있다
16,금성수제돈까스,FantasticToTo,"감히 목동 최고 가성비 돈까스 집이라고 말할 수 있다.평소 일주일에 3회 정도는 돈까스를 즐기는 사람으로서, 이 곳 돈까스는 고기의 실함 정도와, 튀김의 바삭함, 양 그리고 가격 면에서 나무랄데 없다. 돈까스 먹는 양이 많다면, 곱빼기(사진 첨부)로 주문 가능하고, 돈까스만 먹기에 느끼하다면 2인이상 주문가능한 돈까스 백반을 시켜, 된장찌개(일반 고기집에 비해 뛰어남)와 계란찜을 같이 즐길 수도 있다.",맛있다
17,금성수제돈까스,Zzo,"2,4째 일요일은 5000원",맛있다
18,금성수제돈까스,Zzo,돈까스가 5500원가성비 짱!,맛있다
