,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,갈쿠리와소쿠리,서울특별시 서초구 신반포로45길 50-9 유진빌딩,국수 / 면 요리,만원 미만,30,4.3,37.5126777,127.0178538
2,홍두깨수타손칼국수,서울특별시 서초구 강남대로109길 45-16 대성빌딩,국수 / 면 요리,만원 미만,5,4.3,37.5171377,127.0175035
3,상아김밥&떡볶이,서울특별시 서초구 강남대로95길 47-4,기타 한식,만원 미만,24,4.2,37.5127649,127.0176196
4,꽃볶이,서울특별시 서초구 강남대로95길 47-7 1F,기타 한식,만원 미만,11,4.2,37.5128408,127.017967
5,한성돈까스,서울특별시 서초구 강남대로97길 10,기타 한식,만원 미만,121,4.0,37.5147666,127.019082
6,잠원떡볶이,서울특별시 서초구 잠원로4길 45,기타 한식,만원 미만,29,4.0,37.5131283,127.0107375
7,홍미단,서울특별시 서초구 효령로31길 94,기타 한식,만원 미만,29,4.0,37.4850528,126.9945405
8,봉평고향메밀촌,서울특별시 서초구 신반포로45길 26,국수 / 면 요리,만원 미만,22,4.0,37.5116854,127.0186891
9,코아손만두,서울특별시 서초구 잠원로 51 B1,기타 한식,만원 미만,28,4.0,37.509517,127.0073082
10,영동냉면,서울특별시 서초구 신반포로 177,국수 / 면 요리,만원 미만,12,4.0,37.5060582,127.0033885
11,성천막국수,서울특별시 서초구 강남대로 545-12,국수 / 면 요리,만원 미만,7,4.0,37.5103946,127.0206934
12,청담동마녀김밥,서울특별시 서초구 방배로 89,기타 한식,만원 미만,5,4.0,37.4822269,126.9967515
13,강남따로국밥,서울특별시 서초구 신반포로47길 118 2F,탕 / 찌개 / 전골,만원 미만,30,3.9,37.5155996,127.0188075
14,양양메밀막국수,서울특별시 서초구 동광로15길 10 광원빌딩,국수 / 면 요리,만원 미만,31,3.9,37.4924752,126.9882689
15,충무할매김밥,서울특별시 서초구 신반포로 177 반포쇼핑타운,기타 한식,만원 미만,17,3.9,37.5060582,127.0033885
16,전주청국장집,서울특별시 서초구 나루터로 70,탕 / 찌개 / 전골,만원 미만,6,3.9,37.5153186,127.0177423
17,서호김밥,서울특별시 서초구 방배중앙로 141-1,기타 한식,만원 미만,28,3.8,37.4916371,126.9866812
18,돈키,서울특별시 서초구 방배천로18길 10,기타 한식,만원 미만,16,3.8,37.4825302,126.9832154
19,일번지육개장,서울특별시 서초구 신반포로 195 반포쇼핑타운5동 B1,기타 한식,만원 미만,18,3.8,37.5066949,127.0054918
20,서초면옥,서울특별시 서초구 동광로 97,국수 / 면 요리,만원 미만,13,3.8,37.4939005,126.9931021
21,해남원조김밥,서울특별시 서초구 방배중앙로25길 15,기타 한식,만원 미만,11,3.8,37.4938045,126.9852451
