,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점,lat,lng
1,방이샤브샤브칼국수,서울특별시 송파구 오금로31길 42,국수 / 면 요리,만원 미만,30,4.3,37.5092475,127.123337
2,황산냉면,서울특별시 송파구 가락로 257,기타 한식,만원 미만,12,4.1,37.5109095,127.1184391
3,샛집남원추어탕,서울특별시 송파구 오금로11길 7-12,탕 / 찌개 / 전골,만원 미만,7,4.1,37.51482439999999,127.1077316
4,방이손칼국수,서울특별시 송파구 백제고분로48길 10,국수 / 면 요리,만원 미만,4,3.8,37.5113233,127.1142502
5,백암왕순대,서울특별시 송파구 위례성대로18길 27-6 삼영빌딩,탕 / 찌개 / 전골,만원 미만,15,3.6,37.5096042,127.1253881
6,평이담백 뼈칼국수,서울특별시 송파구 위례성대로18길 31-12 1F,국수 / 면 요리,만원 미만,6,3.6,37.5092465,127.1253821
7,밀회관,서울특별시 송파구 올림픽로32길 33,닭 / 오리 요리,만원 미만,6,3.1,37.513471,127.1099931
8,제일제면소,서울특별시 송파구 올림픽로 424,국수 / 면 요리,만원 미만,11,,37.5217853,127.1165203
9,농부의꿈,서울특별시 송파구 양재대로71길 4-12,탕 / 찌개 / 전골,만원 미만,11,,37.5107432,127.1263736
10,바삭한식당,서울특별시 송파구 오금로29길 3,기타 한식,만원 미만,8,,37.5070387,127.1208745
11,좋은생고기정육점식당,서울특별시 송파구 오금로13길 11,탕 / 찌개 / 전골,만원 미만,2,,37.51347579999999,127.1089603
12,공룡떡볶이,서울특별시 송파구 올림픽로32길 36,기타 한식,만원 미만,6,,37.5129916,127.110113
13,오토김밥,서울특별시 송파구 올림픽로34길 31 1F,기타 한식,만원 미만,4,,37.5143628,127.112117
14,서울김밥,서울특별시 송파구 오금로11길 26,기타 한식,만원 미만,8,,37.5149173,127.1100166
15,청년감자탕,서울특별시 송파구 오금로19길 5,탕 / 찌개 / 전골,만원 미만,5,,37.5103526,127.1131249
16,다랑손칼국수,서울특별시 송파구 양재대로 1222 올림픽프라자,국수 / 면 요리,만원 미만,5,,37.51593200000001,127.1320277
