,가게이름,리뷰아이디,리뷰,맛평가
1,방이샤브샤브칼국수,♡,"칼칼한 샤브샤브 맛집. 먹다가 마지막 쯤가면 진한 국물과 끓여 먹는 죽이 정말 별미.동네사람들한테는 입소문이 자자했고, 유명해서 주말에 여기가면 얼굴만 아는 어색한 동네사람부터 친분있는 동네 사람들까지 항상 한두그룹은 만나고옴.",맛있다
2,방이샤브샤브칼국수,Jake,고기부터 칼국수 볶음밥까지 정말 맛있더라구요. 리뷰들이 거짓이 아니었네요. 종종 생각날거같아요. 다먹고 바로앞에 와플대학에서 디저트까지 먹으면 완벽,맛있다
3,방이샤브샤브칼국수,으히히,"✦ 맛 4/5    분위기 3/5    재방문의사 O방이동에 위치한 샤브샤브 칼국수집.평일이나 주말, 언제 가도 늘 대기가 있었던 곳이다.가끔씩은 늦게 가면 고기가 다 떨어져서 조금밖에 못먹을 때도 있는 맛집!보통 2명가면 칼국수2인, 고기추가2인 을 주문하는 듯 하다.칼국수에는 기본으로 칼국수와 볶음밥이 나오는데 고기가 없기때문에 고기 추가는 필수! (고기가 안들어가면 국물맛이 뭔가 허전하다)밑반찬은 김치랑 동치미가 나오는데 김치가 정말 맛있다! 김치는 칼국수나 볶음밥이랑 먹기도 딱 좋음-국물이 어느정도 끓어오르면 고기를 넣어 익혀 먹고 그다음 칼국수를 넣어 먹고 다 먹어갈때쯤 알아서 냄비를 들고가서 밥을 볶아주신다.국물은 칼칼한데 너무 맵지 않아 계속 손이 간다.그리고 야채가 무료로 추가가 가능해서 꼭 추가하는것을 추천! 미나리랑 버섯.. 너무 맛있기 때문...고기도 부드럽고, 칼국수를 넣으면 아무래도 밀가루기때문에 국물이 약간 뻑뻑(?)해지는데 그래도 맛있다!아 볶음밥은 생각한 그런 묽은 스타일이 아니라 밥알 한알한알 살아있는 느낌의 볶음밥인데 볶음밥도 참 매력있는 맛이다!",맛있다
4,방이샤브샤브칼국수,달려요달려,여기 오니 등촌동 최월선 칼국수가 생각남!여긴 볶음밥이 최고임!꼭 추가해서 드시길!소고기는 안먹는걸 추천. 너무 질김 짜증남,맛있다
5,방이샤브샤브칼국수,수즤니,주차할곳이 딱히 없다.. 맛있음... 특히 볶음밥,맛있다
6,방이샤브샤브칼국수,홍머미대,몸이 찌뿌둥할 때 한번씩 가주는 얼큰한 샤브샤브 칼국수집. 솔직히 이 집밖에 안 간다. 계란을 넣어 한참을 볶아주는 볶음밥이 조금 특이하다.,맛있다
7,방이샤브샤브칼국수,영쯔,미나리 듬뿍 늘 맛있는 집 고기도 맛있고 서비스도 좋은데 가격대비 양은 조금 적은 듯? 둘이 가면 꼭 고기 3-4개는 기본으로 시켜먹는 것 같습니다. 칼국수 면에 볶음밥은 국물에 넣고 볶으려고 했더니 그냥 떠먹는거라고 하시더군요...!! 죽용이 아니라 정말 그냥 볶음밥을 후식처럼 내주십니다 역시 k-디저트...,맛있다
8,방이샤브샤브칼국수,효정,맛있어요 국물이 칼칼하고 야채도 많이 주시고 만족합니다,맛있다
9,방이샤브샤브칼국수,얌얌,송파구 로컬 맛집일주일에 한번씩 꼭 가요ㅠㅠ너무 맛나요사장님도 항상 계시고손님들께 친절하게 대해주셔서더 믿음가는곳이에요이모님들도 친절하세요:)코로나때문에 포장도 자주 해먹는데포장하면 양이 더 많은것 같아용ㅎㅎ,맛있다
10,방이샤브샤브칼국수,젯장,"최애 음식점... 한달에 한번은 꼭 가줘야하는 집입니다..ㅠㅠ 특히 지금같이 추워지는 날이면 무조건..ㅠㅠ 샤브샤브부터 칼국수, 볶음밥까지 하나도 빠짐없이 다 맛있어요ㅠㅠㅠ 추천 추천 추천합니다!!!!",맛있다
11,방이샤브샤브칼국수,둥둥이,동네맛집♡♡이사가서도 가족들이 주기적으로 가서 먹는 곳입니다너무 맛있고 소중한 방이샤브 ♡♡,맛있다
12,방이샤브샤브칼국수,Mark&Jacob,"쇠고기샤브와 버섯칼국수, 그리고 달걀볶음밥까지 인당 15,000원에 즐길 수 있는 곳. 이 집 특유의 얼큰한 국물이 다른 곳의 버섯칼국수를 능가함. 볶음밥도 강력추천!",맛있다
13,방이샤브샤브칼국수,Jineeyous,오랫동안 안먹으면 생각나는집ㅜㅡㅜ너무 맛있어서 가고싶은데 항상 웨이팅때문에 망설여지는집개인적으로 이런 등촌칼국수? 류중에 제일 맛있는집인것같음..,맛있다
14,방이샤브샤브칼국수,Jessica,맛있당단점은 주차,괜찮다
15,방이샤브샤브칼국수,유정,이런 류의 샤브샤브 처음 먹어보는데 진짜 소문대로 너무 맛있음ㅜㅜ 국물맛이 대박이에요! 미나리랑 버섯이 핵심인데 리필도 해줘요! 고기도 충분하고 칼국수랑 볶음밥 먹었는데 남겼어요!8-8,맛있다
16,방이샤브샤브칼국수,김키미,"방이동에서 제일 애정하는 맛집.버섯+미나리+양파의 조합과 매운탕 국물이 계속해서 흡입하게 되는 맛이에요.주문 시 칼국수 7천원, 샤브샤브 7천원 따로 주문을 해야하는데 칼국수는 인원수대로 하고 샤브샤브는 하나 정도 적게 시켜도 맛있기 먹을 수 있어용반찬이라고는 김치와 시원한 동치미 뿐이지만 이 동치미가 또 매운탕 국물과 조합이 좋아서 다른 반찬은 필요가 없는 것 같아요. 늘 대기를 해야하지만 순환은 빠른 편이고 다만 주차가 조금 아쉬워용",맛있다
17,방이샤브샤브칼국수,세상엔맛있는게많고많아,동네 맛집하면 여기밖에 안떠오르네요 ㅋㅋㅋㅋ 저녁엔 항상 웨이팅 있는데 다 동네 주민들 아닐까 싶은... 동치미 짱맛!!! 야채 무한 리필 가능해요. 멀리서 찾아올 정도는 아닐지도...? 싶은데 쨌든 안먹다보면 드문드문 생각나더라고요.,맛있다
18,방이샤브샤브칼국수,minarimani,기대를 너무 많이했나봐요. 딱히 특별한 맛은 아니었어요. 제 입에는 국물이 너무 짰어요ㅠㅠ 육수를 추가하고 물을 계속 넣었는데도 간 조절이 힘들었습니다. 감칠맛은 좋았어요,괜찮다
19,방이샤브샤브칼국수,Jinny,칼국수사리도 맛있어용!!,맛있다
