,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
1,문배동육칼,서울특별시 강남구 삼성로96길 3,국수 / 면 요리,만원 미만,15,4.0
2,김경자원조손칼국수,서울특별시 강남구 테헤란로 517 현대백화점 무역센터점 B1,국수 / 면 요리,만원 미만,6,3.9
3,전통백암순대국,서울특별시 강남구 테헤란로81길 37,탕 / 찌개 / 전골,만원 미만,10,3.9
4,소연,서울특별시 강남구 봉은사로84길 24-2,국수 / 면 요리,만원 미만,9,3.8
5,박서방순대국밥,서울특별시 강남구 삼성로 520,탕 / 찌개 / 전골,만원 미만,21,3.6
6,성북동청국장,서울특별시 강남구 봉은사로104길 6,탕 / 찌개 / 전골,만원 미만,14,3.6
7,화평칼국수,서울특별시 강남구 삼성로 654 1F,국수 / 면 요리,만원 미만,13,3.6
8,밀밭사이로,서울특별시 강남구 봉은사로78길 6,국수 / 면 요리,만원 미만,16,3.6
9,신전떡볶이,서울특별시 강남구 봉은사로 474 쌍용플래티넘상가 109호,기타 한식,만원 미만,5,3.6
10,러브인토스터,서울특별시 강남구 삼성로115길 37 1F,기타 한식,만원 미만,6,3.6
11,미사리밀빛초계국수,서울특별시 강남구 영동대로 513 코엑스몰 B1 J114호,국수 / 면 요리,만원 미만,57,3.4
12,JVL부대찌개,서울특별시 강남구 테헤란로81길 46,탕 / 찌개 / 전골,만원 미만,15,3.3
13,경성면옥,서울특별시 강남구 테헤란로87길 22 코엑스몰 B1,국수 / 면 요리,만원 미만,5,3.3
14,브라운돈까스,서울특별시 강남구 선릉로 660,기타 한식,만원 미만,10,3.2
15,이곧,서울특별시 강남구 선릉로122길 8,한정식 / 백반 / 정통 한식,만원 미만,6,
16,선릉공원떡볶이,서울특별시 강남구 테헤란로69길 16,기타 한식,만원 미만,3,
17,공수간,서울특별시 강남구 영동대로 513 코엑스몰 B1 H116호,기타 한식,만원 미만,9,
18,삼성국수,서울특별시 강남구 영동대로 611 찬앤찬타워 B1,국수 / 면 요리,만원 미만,4,
19,이남장,서울특별시 강남구 봉은사로108길 21,탕 / 찌개 / 전골,만원 미만,5,
20,행복이 싹트면,서울특별시 강남구 선릉로 660,한정식 / 백반 / 정통 한식,만원 미만,5,
21,전주현대옥,서울특별시 강남구 봉은사로 623,탕 / 찌개 / 전골,만원 미만,4,
22,명동칼국수,서울특별시 강남구 테헤란로83길 14,국수 / 면 요리,만원 미만,6,
23,남도밥상이어요,서울특별시 강남구 영동대로114길 9 1F,한정식 / 백반 / 정통 한식,만원 미만,2,
24,수락정김밥,서울특별시 강남구 선릉로 614,기타 한식,만원 미만,1,
25,바르다김선생,서울특별시 강남구 학동로68길 7,기타 한식,만원 미만,4,
26,북창동순두부,서울특별시 강남구 봉은사로68길 6 은경빌딩 1F,탕 / 찌개 / 전골,만원 미만,5,
27,봉화전2,서울특별시 강남구 영동대로106길 41 103호,국수 / 면 요리,만원 미만,1,
28,어생만,서울특별시 강남구 봉은사로63길 7 수목빌딩 1F,기타 한식,만원 미만,3,
