,가게이름,리뷰아이디,리뷰,맛평가
1,문배동육칼,우기,최자로드에 소개된 곳이기도 하다.면이 따로 나온다. 고기랑 대파가 듬뿍 들어간 국물에 면을 조금씩 덜어서 푹 적셔먹는다. 얼큰하니 맛있다. 고기도 숭덩숭덩 들어가있어서 마음에 든다. 밥도 시킬까 했는데 생각보다 면 양이 알맞아서 좋았다!,맛있다
2,문배동육칼,UDOEE,좋아하는 육칼 본점 보다 친절 하고 맛있다. 점심시간에 항상 붐비지만 회전율이 빠르다.원조는 원조라 평균 이상의 맛!특히 애호박반찬이 맛있다. 집에서 해먹어도 이 맛이 안 나온다. 코엑스 출근할 때 마다 재방문 함,맛있다
3,문배동육칼,Jinny,생각하는 그 육칼 맛입니다!양은 많아옄ㅋㅋㅋ 면이 근데 꽤 쫄깃해요!!점심에 갔는데 매장 큰 만큼 손님듀 많아서 착석은 했으나 음식 받는 데에는 기다렸어요면이 불지도 않고 딱 좋아서 맛있게 잘 먹었습니다,맛있다
4,문배동육칼, 꽃보다맛집 @---#,"<예전에 먹던 진한 국물보단 뭔가 아쉽다>2016년에 처음 문배동육칼 본점에 방문해봤다.당시 회사가 근처에 있어 이후 몇번 더 가보며 진한 국물맛에 빠진적이 있었는데 최근 선릉역 근처의 직영점을 방문해보게 되었다.점심시간임에도 자리가 많았다.일단 식당이 상당히 넓고 테이블이 많아 번잡함이 없다.육칼 구성은 본점과 역시 동일하다.육개장, 칼국수면, 소량의 밥칼국수면이 생각보다 많아 밥까지 말아먹고 나면 상당히 배부르다.국물이 깊고 진한맛이 몇년전 본점에서 느낀것 보다 덜하다.내 입맛이 바뀐건지 직영점 맛이 약간 다른건지..오랫만이라 기억보정인건지도 모르겠다.암튼 큰 감동을 주기엔 아쉬웠다.면도 요즘 잘 즐기고 있는 소래면옥의 탱탱쫄깃한 칼국수에 비하면 개인적으로 감흥이 적다. 다만 칼국수 면 바닥에 깔린 썰어놓은 양파가 한두개 들어있는데 그게 좀 특이하다. 국물에 면과 함께 넣어 신성하게 즐기라는 이유일듯..밥은 아주 적어서 입가심용이다.본점도 마찬가지이지만 한두숟갈먹다면 아쉽다.전체적으로 맛있는 육칼임은 분명하지만 기억과 달라진 맛은 아쉬울뿐이다.",괜찮다
5,문배동육칼,루디얌얌,육개장 칼국수로 유명한 삼성동 문배동육칼을 방문했다.  칼칼한 육개장에 넣어 먹는 칼국수의 맛이 일품이다.  칼국수를 먼저 먹고 밥을 넣어서 먹으면 된다.  추운 겨울날 점심으로 어울리는 음식이다.,맛있다
6,문배동육칼,찻집고냉이,어차피 체인점이라 다른 곳을 가도 맛은 똑같지 않을까? 적당히 칼칼하고 가끔 가기에 나쁘지 않다. 가격대는 좀 있다는 느낌.,괜찮다
7,문배동육칼,Jessica,부담없는 아버지들의 아지트 같은 곳 ㅋㅋ장점) 저렴한 가격에 육개장 칼국수 밥 해결가능편안하다. 덕분에 대다수 고객이 아버님들컨셉을 잘 알고와야하는데 대단한 맛집이기 보다는 세상살이를 한탄하며 술잔을 기울이는 맛집 컨셉임ㅋㅋ칼국수가 아주 맛나다밑반찬도 적당한 양에 삼삼하다단점) 너무나 캐주얼한 분위기 손님을 데려오는건 불가육칼이다 보니 육개장의 얼큰함이나 담백함을 느끼게 된다기 보다는 칼국수에 집중하게된다,괜찮다
8,문배동육칼,Woody,<문배동 육칼> 삼성점. 먹을 만하긴 한데 육개장에 밥이 아니라 굳이 칼국수를 넣어먹어야 되는 이유를 아직 잘 모르겠다.,괜찮다
9,문배동육칼,정윤영,칼칼함 뒤에 달달함.,괜찮다
10,문배동육칼,춘,문배동에 있는 문배동 육칼의 직영 체인점입니다. 문배동에서 오리지널을 먹지 않았다면 이곳 육개장도 진하고 얼큰하고 맛있다! 정도로 평했을텐데.. 오리지널을 먹고나서 먹어보니 맛이 조금 다르네요.오리지날과 비교하자면 칼칼함은 덜하고 국물 뒷맛에 감칠맛이 다소 강했던 것 같습니다. 오리지널에도 조미료를 넣으셨겠지만 여기서는 그보다 좀 더 넣으신 것 같네요. 아무래도 근처 그 수많은 점심 밥집들과의 경쟁 속에서 직장인들의 입맛을 사로잡기 위해 어쩔 수 없이 타협을 하지 않았을까 추측이 됩니다. 그래도.. 문배동 오리지널 대비 다소 감칠맛이 강했다 정도이지 여기 육개장은 뭐.. 명불허전 맛있죠 :),괜찮다
