,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
1,월화당,서울특별시 서초구 사평대로22길 9,한정식 / 백반 / 정통 한식,만원 미만,12,4.0
2,효미역,서울특별시 서초구 서래로 5 1F,탕 / 찌개 / 전골,만원 미만,4,
3,청실홍실,서울특별시 서초구 서래로10길 9 서래,탕 / 찌개 / 전골,만원 미만,7,
4,최고집바지락칼국수,서울특별시 서초구 방배로8길 14,국수 / 면 요리,만원 미만,5,
5,서래말면옥집,서울특별시 서초구 사평대로26길 47,국수 / 면 요리,만원 미만,3,
6,서래분식,서울특별시 서초구 서래로 45,기타 한식,만원 미만,4,
7,전주행,서울특별시 서초구 서래로 37,국수 / 면 요리,만원 미만,2,
8,영스타,서울특별시 서초구 서래로8길 1 보스톤빌딩 2F,고기 요리,만원-2만원,13,4.3
9,서래전,서울특별시 서초구 서래로 14,한정식 / 백반 / 정통 한식,만원-2만원,22,3.9
10,서래오뎅,서울특별시 서초구 사평대로26길 22,기타 한식,만원-2만원,7,3.6
11,나무그린차돌가,서울특별시 서초구 사평대로26길 5,고기 요리,만원-2만원,13,
12,서래통,서울특별시 서초구 서래로7길 19,고기 요리,만원-2만원,11,
13,서래쭈꾸미,서울특별시 서초구 서래로5길 6,해산물 요리,만원-2만원,7,
14,테이블반,서울특별시 서초구 서래로6길 20 106호,퓨전 한식,만원-2만원,2,
15,테이스티나인홈,서울특별시 서초구 서래로 41  명궁빌딩 1F,한정식 / 백반 / 정통 한식,만원-2만원,3,
16,도야진가,서울특별시 서초구 서래로10길 9 서래,고기 요리,만원-2만원,5,
17,서래마을이야기,서울특별시 서초구 반포대로39길 39,고기 요리,만원-2만원,1,
18,장수식당,서울특별시 서초구 서래로 50 B1,탕 / 찌개 / 전골,만원-2만원,2,
19,일공공키친,서울특별시 서초구 사평대로26길 38 무주빌딩,탕 / 찌개 / 전골,만원-2만원,1,
20,깐부치킨,서울특별시 서초구 서래로 13,닭 / 오리 요리,만원-2만원,1,
21,라일락집,서울특별시 서초구 사평대로26길 9-11,탕 / 찌개 / 전골,만원-2만원,2,
22,반월아구찜,서울특별시 서초구 사평대로2길 22,해산물 요리,만원-2만원,1,
23,육갑식당,서울특별시 서초구 사평대로 130,고기 요리,만원-2만원,1,
24,시민화로숯불닭발,서울특별시 서초구 사평대로55길 47 1F,닭 / 오리 요리,만원-2만원,1,
25,BHC,서울특별시 서초구 서래로10길 10  1F,닭 / 오리 요리,만원-2만원,1,
26,맘 코리안 비스트로,서울특별시 서초구 사평대로26길 48 미성빌딩,한정식 / 백반 / 정통 한식,2만원-3만원,19,3.7
27,서래양곱창,서울특별시 서초구 사평대로 130,고기 요리,2만원-3만원,5,
28,토박이,서울특별시 서초구 반포대로39길 38,한정식 / 백반 / 정통 한식,2만원-3만원,3,
29,서래회집,서울특별시 서초구 서래로5길 17 연우빌딩,해산물 요리,2만원-3만원,3,
30,구이정,서울특별시 서초구 서래로 30 1-2F,고기 요리,2만원-3만원,1,
31,서래본갈비,서울특별시 서초구 사평대로 126,고기 요리,4만원 이상,14,3.7
32,우주,서울특별시 서초구 사평대로18길 38,고기 요리,4만원 이상,3,
33,봉피양샤브,서울특별시 서초구 동광로 89 베로니스타운 B1,고기 요리,3만원-4만원,8,
34,송강,서울특별시 서초구 명달로9길 5 정호빌딩,해산물 요리,4만원 이상,8,
35,우참판,서울특별시 서초구 사평대로20길 28,고기 요리,3만원-4만원,7,
36,한국회관,서울특별시 서초구 사평대로18길 10 부림빌딩,고기 요리,3만원-4만원,6,
37,홍일수산,서울특별시 서초구 서래로6길 6 홍일빌딩,해산물 요리,3만원-4만원,2,
38,우와정,서울특별시 서초구 사평대로26길 8,고기 요리,4만원 이상,1,
39,남도미락,서울특별시 서초구 사평대로 150 신반포궁전아파트,해산물 요리,4만원 이상,1,
40,산쪼메,서울특별시 서초구 서래로7길 15,라멘 / 소바 / 우동,만원 미만,23,3.4
41,삼번가우동,서울특별시 서초구 서래로5길 3,라멘 / 소바 / 우동,만원 미만,2,
42,이태원천상,서울특별시 서초구 서래로 39,이자카야 / 오뎅 / 꼬치,만원-2만원,4,
43,유다,서울특별시 서초구 동광로39길 50 대경빌딩,이자카야 / 오뎅 / 꼬치,2만원-3만원,16,3.4
44,이자카야일보,서울특별시 서초구 서래로8길 1,이자카야 / 오뎅 / 꼬치,2만원-3만원,6,
45,무샤,서울특별시 서초구 서래로 33,이자카야 / 오뎅 / 꼬치,2만원-3만원,3,
46,수다,서울특별시 서초구 서래로 50,이자카야 / 오뎅 / 꼬치,2만원-3만원,1,
47,타쿠미곤,서울특별시 서초구 사평대로18길 10 한국회관 2F,정통 일식 / 일반 일식,4만원 이상,25,4.7
48,스시고,서울특별시 서초구 사평대로22길 15,회 / 스시,4만원 이상,44,4.3
49,스시쇼우,서울특별시 서초구 사평대로22길 17 2F,회 / 스시,4만원 이상,22,4.3
50,스시타노,서울특별시 서초구 서래로5길 30 2F,회 / 스시,4만원 이상,37,4.2
51,스시만,서울특별시 서초구 동광로27길 3 1F,회 / 스시,4만원 이상,22,4.1
52,와이스타일,서울특별시 서초구 사평대로26길 9-3,기타 일식,3만원-4만원,10,3.1
53,우나기야,서울특별시 서초구 서래로8길 6 4F,정통 일식 / 일반 일식,3만원-4만원,3,
54,쿠오코선술,서울특별시 서초구 서래로10길 9,이자카야 / 오뎅 / 꼬치,4만원 이상,4,
55,스이젠,서울특별시 서초구 반포대로39길 36-1,정통 일식 / 일반 일식,3만원-4만원,1,
56,황제,서울특별시 서초구 서래로7길 19,정통 중식 / 일반 중식,만원 미만,5,
57,미요,서울특별시 서초구 사평대로18길 5,정통 중식 / 일반 중식,만원-2만원,8,4.0
58,항방양육관,서울특별시 서초구 서래로6길 6 홍일빌딩,기타 중식,만원-2만원,8,3.4
59,서래향,서울특별시 서초구 사평대로26길 48 미성빌딩,정통 중식 / 일반 중식,2만원-3만원,5,
60,브루클린더버거조인트,서울특별시 서초구 서래로2길 27,브런치 / 버거 / 샌드위치,만원 미만,104,4.1
61,그랜파키친팜,서울특별시 서초구 서래로8길 18,브런치 / 버거 / 샌드위치,만원 미만,8,
62,푸드더즈매터,서울특별시 서초구 서래로1길 10 1F,기타 양식,만원-2만원,23,4.3
63,이딸리아,서울특별시 서초구 동광로39길 63 혜정빌라 1F,이탈리안,만원-2만원,11,4.3
64,버거그루72,서울특별시 서초구 동광로39길 79 반포빌딩 1F,브런치 / 버거 / 샌드위치,만원-2만원,61,3.8
65,레드브릭,서울특별시 서초구 서래로6길 17 오삼빌딩,이탈리안,만원-2만원,44,3.6
66,37.5,서울특별시 서초구 서래로7길 16,브런치 / 버거 / 샌드위치,만원-2만원,23,2.8
67,휴락담,서울특별시 서초구 서래로 50 한영빌딩 2F,퓨전 양식,만원-2만원,4,
68,키친야나,서울특별시 서초구 서래로6길 10 반포4동근린빌딩 1F,프랑스 음식,만원-2만원,1,
69,시실리,서울특별시 서초구 서래로 26,기타 양식,만원-2만원,4,
70,치뽈라,서울특별시 서초구 방배중앙로 208 1F,이탈리안,만원-2만원,2,
71,카페 실부플레,서울특별시 서초구 서래로6길 10 2F,브런치 / 버거 / 샌드위치,만원-2만원,2,
72,볼라레,서울특별시 서초구 사평대로20길 8,이탈리안,2만원-3만원,67,4.3
73,로얄맨션,서울특별시 서초구 사평대로22길 9 포레스트 2F,이탈리안,2만원-3만원,26,3.8
74,톰볼라,서울특별시 서초구 서래로7길 16,이탈리안,2만원-3만원,45,3.6
75,뉴욕스테이크하우스,서울특별시 서초구 사평대로22길 37,스테이크 / 바베큐,2만원-3만원,14,3.4
76,포폴라리타,서울특별시 서초구 사평대로22길 41,이탈리안,2만원-3만원,7,
77,라무진,서울특별시 서초구 사평대로26길 48 1F,스테이크 / 바베큐,2만원-3만원,2,
