,가게이름,리뷰아이디,리뷰,맛평가
1,월화당,플라나리아,"만두전골은 맛있고 김치만두는 쏘쏘. 양이나 음식에 비해 좀 비쌈. ㄴㅇㅂ 지도 말고 ㅋㅋㅇ 지도가 가르쳐주는 곳으로 가야한다. 가게는 넓고 깨끗하며 종업원 분들 친절하심.■ 만두전골 대 (45,000) + 사리추가 (5,000)  사골 베이스 육수여서 고소한 맛이 압도적이다. 파가 많이 들어갔지만 그래도 칼칼+시원보다는 고소한 쪽이다. 구수(x) 고소(o) 깊고 묵직한 맛 아니구 점심으로 먹을 만한 가볍고 깔끔한 맛.  사리추가는 면, 떡, 야채라고 써있었는데 5천원이길래 셋 다 주시는 줄 알았더니 면만 주셨다. 셋 중 하나만 주신다는 뜻이었나보다. 시키기 전에 면이 어떤 면인지 여쭤봤는데 그래서 자연스럽게 면을 주신 것 같다. 갓 뽑은 면이라면서 주셨는데 되게 미끄덩한 굵은 소면 같았다.  전골 대자가 3인분 정도 된다고 하셨는데 면까지 먹으면 4인분 정도 될 듯.■ 김치만두 (8,000)  피가 좀 도톰했다. 많이 맵지 않고 자극적이지도 않았다. 막 인상 깊지는 않았음.",괜찮다
2,월화당,Luscious.K,"#서래마을 #반포동 #월화당""만두를 기품있게...""1. 서래마을에서 브레이크타임 없는 곳을 찾기가 녹녹하지 않았는데, 다행히 발견한 곳이 월화당이다. 몇 해 전 “생활의달인에”도 출연하고 각종 방송에도 많이 나오셨다고 하는데, 예전엔 도곡동과 방배동 두 군데를 운영하시다가 이제는 도곡동은 접고 서래마을점만 운영을 하신다고 한다.블로그 글들을 보면 이집의 원류는 중식당이라고 하는데 사장님께 직접 여쭤보진 않아 진위 여부는 확실하지 않지만 새우만두나 꿔바로우가 있고 중화풍의 튀김만두가 준수한 것을 보면 헛말은 아닌 듯 하다 ㅎㅎ2. 깔끔하고 단정한 인테리어의 가게인데 <만두집>이라고 하기에는 너무나 정갈하다. 안사장님도 굉장히 나긋하시고 친절하신데  일부러 만들어낸 말투와 몸짓이 아니라 몸에 배인 자연스러움이다.3. 김치만두만 제외하고 다 먹은 것 같은데 음식이 하나 하나 참 정갈하다고나 할까?코로나 때문이겠지만 반찬도 모두 개인 반찬으로 주시고 식기들도 모두 사기그릇을 사용하시기 때문에 마치 양반집에서 음식을 대접받는 기분이 드는 기품이 느껴진다.4. 만두는 살짝 조미료의 힘이 들어갔지만 굉장히 부드러운 맛이 좋다. 만두소가 혀를 감싸고 부드럽게 어루만지는 느낌이다. 게다가 만두피 역시 쫄깃함 보다는 부드러움이 우세해서 만두가 입안에서 녹는다는 표현을 해도 과언이 아니다.5. 역시나 마무리는 만두전골인데 사골 + 양지의 담백한 국물에 포실한 만두를 넣고 끓여내신다. 거기에 배추 버섯 등의 꽤 많은 채소가 들어있어 달큰하게 건져먹는 재미가 있다.국물이 부드럽게 넘어가는데, 마치 안동 양반가의 안동국시가 느껴질 만큼 포근하면서 위장을 따듯하게 위로하는 맛이다.6. 식사를 다 마치고 나서 가게를 나서는데 각종 전통주 병들 장식이 있어서 여사장님께 여쭤보니 주류메뉴를 보여주신다.사실 메뉴 주문할 때 주류메뉴판을 보여달라고 하니 테이블 메뉴판 보시면 된다고 하셨는데, 마스크를 쓰고 있어 서로 미스커뮤니케이션이 된 것 같다.이게 너무 아쉬우셨는지 사장님께서 <황금보리소주>를 한 병 선물로 내어주셨다 ㅎㅎ<맛과 친절과 배려와 인심까지 넘치는 완벽한 만두집 경험이였다>",맛있다
3,월화당,아지,"친절하신 사장님, 서래마을 동네 만둣집늘 사람이 많이 없어서 장사가 잘 되는 곳인가 했는데, 만두전골 맛있다는 추천을 받아 가게 됐다. 양이 엄청 많다기 보다, 사골이 엄청 진해서 좋았다. 팽이버섯이 많이 들어가서 좋았고, 만두는 생각보다 더 담백해서 좋았다. 사골이 조금 짜다고 느껴졌는데, 밥이랑 같이 먹기엔 좋다. 다음에 와도 만두전골을 먹을 예정, 가격은 1인분 15,000원:)",맛있다
4,월화당,뉸뉴난나,떡만두국 맛있었어요 사골국물 굿새우 고기만두 반반으로 먹었는데고기만두는 조금 느끼했어용 새우굿만두 먹고 싶을 때 재방문의사 있음,맛있다
5,월화당,예랑,"한줄평: 서래마을에서 깔끔하고 실한 만두전골이 맛있는 곳우리 가족이 좋아하는 서래마을 월화당의 만두전골.사골육수를 베이스로 하는 국물은 깔끔하고 군더더기 없는데다, 만두도 실하고 맛있다. 왕만두 스타일인 이곳 고기만두는 내용물이 실하고 담백하다. 배추나 버섯 미나리 등 채소도 담뿍 넣어줘서 같이 건져먹는 재미가 있다.더운 여름에도 종종 생각나는 메뉴. 내부도 깔끔하고 모던한 인테리어. 막걸리 라인업도 괜찮은데다, 새우만두 등 다른 메뉴도 맛있다. 오래오래 이곳에서 영업했으면 하는 바람이다.",맛있다
6,월화당,뚜비,"월화당에서 꿔바로우, 새우만두, 고기만두를 먹었는데요, 개인적으로 새우만두는 탱글하다못해 좀 딱딱하다는 기분이 들었어요 그래도 같이 간 친구는 맛있다구 했으니 취향을 타는 것 같습니다. 고기만두는 정말 맛있었습니다! 육즙이 제대로 살아있었어요. 꿔바로우도 평범한 맛있는 맛으로 괜찮았습니다. 만두 먹고 싶은 날에는 가면 좋을 것 같아융",괜찮다
7,월화당,❤️,⭐️⭐️⭐️⭐️새우만두와 꿔바로우를 주문해서 먹었어요꿔바로우는 그냥 그렇고.. 전문은 아니지만 먹을만한 맛이었어요새우만두는 탱글탱글 맛있었어요다음에는 다른 만두메뉴를 도전하려구요!:),맛있다
8,월화당,남동우,좋아좋아요,맛있다
9,월화당,파랑 이명한,새우만두와 만두국을 시켰습니다.만두국감칠맛도 참 맛있고 속이 꽉 들어찬 새우만두도 정말 맛있습니다. 입안에 새우살이 탱글탱글 돌아다니는게 일품입니다.,맛있다
10,월화당,Daniel Kim,군만두 새우만두 전골 추천,맛있다
