,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
1,유원설렁탕,서울특별시 송파구 삼전로 90,탕 / 찌개 / 전골,만원 미만,15,4.3
2,엄지손칼국수,서울특별시 송파구 가락로28길 15,국수 / 면 요리,만원 미만,10,4.2
3,함경도찹쌀순대,서울특별시 송파구 송파대로28길 32,탕 / 찌개 / 전골,만원 미만,50,4.0
4,장칼집,서울특별시 송파구 가락로6길 3,국수 / 면 요리,만원 미만,15,4.0
5,부미면옥,서울특별시 송파구 백제고분로 219,국수 / 면 요리,만원 미만,5,4.0
6,수수앤핫커리핫도그,서울특별시 송파구 백제고분로28길 10,기타 한식,만원 미만,8,4.0
7,유천칡냉면,서울특별시 송파구 강동대로3길 22,국수 / 면 요리,만원 미만,15,3.9
8,연백냉면,서울특별시 송파구 새말로12길 7,국수 / 면 요리,만원 미만,12,3.9
9,프라자손칼국수,서울특별시 송파구 문정로 125,국수 / 면 요리,만원 미만,7,3.9
10,풍년뼈다귀해장국,서울특별시 송파구 가락로 94,탕 / 찌개 / 전골,만원 미만,8,3.9
11,육장정,서울특별시 송파구 오금로16길 9-1 1F,탕 / 찌개 / 전골,만원 미만,5,3.9
12,황도바지락칼국수,서울특별시 송파구 백제고분로 358,국수 / 면 요리,만원 미만,19,3.8
13,원산만두,서울특별시 송파구 백제고분로46길 39,한정식 / 백반 / 정통 한식,만원 미만,10,3.7
14,장털보설렁탕,서울특별시 송파구 중대로 288,탕 / 찌개 / 전골,만원 미만,10,3.6
15,제주은희네해장국,서울특별시 송파구 송파대로49길 10,탕 / 찌개 / 전골,만원 미만,8,3.4
16,골목떡볶이,서울특별시 송파구 문정로1길 33,기타 한식,만원 미만,29,3.3
17,오모리찌개,서울특별시 송파구 송파대로 471,탕 / 찌개 / 전골,만원 미만,42,3.2
18,돈까스의집,서울특별시 송파구 삼전로 100,기타 한식,만원 미만,14,3.2
19,모꼬지에,서울특별시 송파구 송파대로36길 5-13,기타 한식,만원 미만,35,3.1
20,하연옥,서울특별시 송파구 송파대로49길 61 1F,국수 / 면 요리,만원 미만,6,3.1
21,개롱골목냉면,서울특별시 송파구 오금로44가길 8 상왕빌딩 1F,국수 / 면 요리,만원 미만,5,
22,동촌보리밥돈까스,서울특별시 송파구 거마로 22,한정식 / 백반 / 정통 한식,만원 미만,5,
23,삼백집,서울특별시 송파구 석촌호수로 240,탕 / 찌개 / 전골,만원 미만,12,
24,내꾸미쭈꾸미,서울특별시 송파구 성내천로 106,해산물 요리,만원 미만,5,
25,부산밀면,서울특별시 송파구 가락로 43,국수 / 면 요리,만원 미만,9,
26,소문난대박집,서울특별시 송파구 마천로41길 5 2F,고기 요리,만원 미만,3,
27,봉평메밀나라,서울특별시 송파구 마천로 206,국수 / 면 요리,만원 미만,7,
