,가게이름,리뷰아이디,리뷰,맛평가
1,유원설렁탕,평냉쟁이,잠실에 추억을 간직한 설렁탕 맛집 노포 주인장의 내공이 느껴지는 깊은맛 깔끔한 국물 보약을 먹는 느낌 기분 좋은 한끼입니다,맛있다
2,유원설렁탕,이나가,1. 저는 어제밤 과음을 했습니다. 저는 속이 매우 쓰렸을 뿐입니다. 육개장도 아니오 해장국도 아니오 저는 그저 맑디 맑은 국물은 원했을 뿐. 2. 그래서 찾아간 이 집은 이미 아재들에 의해 검증되어 보이던데. 역시나 맑은 국물이 적당한 온도로 서빙. 한 숟갈 바로 떠 먹으니 지친 속을 달래주는 깊은 산 속 옹달샘.. 속이 너무 안좋아 국물과 고기만 먹고 밥알은 많이 남긴게 미안한 집이네요. 3. 조금 찾아보니 아드님이 물려받고 불친절 무관심해서 끊었다는 리뷰들이 많이 나오네요. 격어본바 보통 우리가 친절하다 생각하는 모습은 아니었지만(김치 안먹는) 저를 관찰하시고 제가 나갈 때 다음에 오실 때 김치를 안먹는다고 미리 말하면 고기를 더 넣어주겠다 말씀하시는거 보면 고객 관찰과 대응은 잘 살아있는거 같은데요? 결론은 추천.,맛있다
3,유원설렁탕,또롱임,가게에 들어설 때 약간 냄새가 나서 걱정했었는데먹을 때는 전혀 못느꼈다.오히려 국물에서 설렁탕 특유의 고소한 맛이 나면서 깔끔했다. 맛있었다! 밥은 말아져 나오는데 국물이 잘 배서 맛있었다. 여긴 소면이 없는 대신 밥 양이 많다. (맛)설렁탕이 고기양이 좀 더 많고 담백하다고 하셨는데 일반 설렁탕보다 국물이 더 고소하다. 맛 먹고 일반 먹으니까 심심한 느낌이 들었다.  1000원 차이면 맛 선택할 것 같다 ㅎㅎ소머리설렁탕도 포장해서 왔는데 기대된다.밥 필요없다고 하면 국물을 더 넣어주신다.나올 때 보니까 블루리본이 많이 붙여져 있다.역시 맛집이었군 ^^ 만족스러운 식사였다.,맛있다
4,유원설렁탕,알초코,주모! 여기 국밥 한그릇이랑 막걸리 한잔이오!라고 외칠 바이브의 국밥그릇이 인상적인 가게였다외관도 노포느낌의 세월이 느껴지고내부 테이블도 많지않았다.설렁탕 종류가 넘많아서 선택 어려움을 겪는 나로서 몇번을 고민했다 ㅋㅋ 맛설렁탕으로 결정딱보기엔 별 특별할거없는데토렴한 밥이 들어가있는데 파 넉넉하게 넣어주고 후추 톡톡 뿌려서먹는데 오잉 머지??사실 국밥에 밥을 말아서 먹는거 자체를 싫어하는데(왜냐면 국물이 싱거워져서..)한숟갈 한숟갈 먹을수록 깊은 내공이 느껴지고 매력이 느껴졌다 ㅎㅎ  겉절이랑 석박지랑 고기랑 같이먹으면캬~~~~날씨도 넘춥고 혹한의 추위에 보드타고 와서 몸이 힘들었는데 사르르르 풀렸다입맛 까다로운 국밥쟁이 남동생도 대만족했었다재방문의사 당연있음fin.,맛있다
5,유원설렁탕,단율,"유원설렁탕_설렁탕부문 맛집(4)최초방문_'19년 9월최근방문_'21년 9월1. 처음으로 나이드신 주인아주머니를 뵀다. 매번 아들로 보이는 분의 묘한 불편함이 있었는데, 주인 아주머니에게선 그런 불편함은 없었고 오늘에서야, 기본 설렁탕을 접할수 있었다 ㅋㅋㅋㅋ2. 기본설렁탕, 특설렁탕을 주문했다.  - 먼저 고기원산지를 보면, 기본설렁탕은 호주산육우, 특설렁탕은.. 적혀있지는 않으나, 머릿고기는 국내산 한우로 보인다. 양지살은 사실상 기본설렁탕과 큰차이가 없으므로, 같은 호주산인것 같다. 국물은 기본적으로 꼬릿함이 강하고, 특설렁탕은 기본설렁탕 대비 밀도가 높다. 만약 멀리서 간다면, 특을 먹는게 나을것 같다. 국물은 차이가 꽤 난다.  - 꼬릿한 냄새가 강하다. 냄새에 예민하신분은 방문을 비추한다. 우리 와이프도, 여전히 불만족이다. 3. 여전히 맛있었고, 특설렁탕에는 머릿고기가 들어가는것도 참 좋았다. 4. 여전히... 예비사장으로 보이는 아들분이 걱정이다. 우리 다음팀으로 초행으로 오신 2분이  ""맛설렁탕"" 2개를 주문했다. 마침 아들분이 들어왔고, 다음팀중 한명이 음식이 나오고 사실 동일한 비주얼이기에 나온것이 맛설렁탕이 맞는지 물어봤다. 당연히 맛설렁탕에 대해 설명을 해줄줄 알았는데, ""먹어보셨어요? 일반 설렁탕도 먹어보시고 이야기하는거에요?"" 라고 되묻는걸 보며, 많이 놀랐다. 손님의 태도가 공격적이지도, 불쾌함을 드러내지도 않았는데, 먼저 그렇게 나오는 것은 정말 문제라고 생각한다. 5. 좀 불편해서.. 자주 발은 안가지만 적어도 맛은 확실히 내 스타일이긴하다※결론꼬릿함을 즐길수 있다면 추천",맛있다
6,유원설렁탕,Picky_G,체인점 맛에 익숙해져서 그런지 나에겐 좀 삼삼한 맛의 설렁탕이었다. 개인적으론 뽀얗고 진한 사골설렁탕을 좋아하는데 여긴 그런 진한 맛은 없구 정말 깔끔한 국밥느낌. 깍두기보단 김치가 맛있었음. 리뷰보고 기대해서 그런지 아주 살짝 실망했음. 재방문은 없을듯,괜찮다
7,유원설렁탕,하루한끼,배고파서 가봤는데 딱히 특별함은 못느꼈습니다.무난한 설렁탕 맛이었어요.,괜찮다
8,유원설렁탕,평냉쟁이,오랫만에 갔더니 할머니 안보이고 남자분이 아들이란다 엄마는 가끔씩 나오신다네요 아들한테 물려 주시려 하나봅니다 설럴탕 특은 소머리 섞어와 순수 소고기 두가지 오늘은 섞어을 주문해봤다 소머리 적당히 삶아내어 식감이 좋네요 여긴 든든한 한끼,맛있다
9,유원설렁탕,단율,"유원설렁탕_설렁탕부문 상위권최초방문_'19년 9월최근방문_'21년 3월1. 유원설렁탕이 있는 그 길을 종종 걸어다녔는데, 사실 그 라인의 간판중에 내 눈에 가장 먼저 들어온 것은 '멸치국수' 였다. 언젠가 한번 내가 저기가본다.. 하고 생각하던차에 확!! 땡겨버린 설렁탕이 땡겼고 뭔가에 홀린듯 유원설렁탕으로 들어갔었다. 그게 이 설렁탕의 첫경험이었다.2. 들어가자마자 나는 꼬릿한 소쩐내를 맡고 노포임을 느꼈다. 그리고 맛설렁탕을 시켰고, 내가 생각한 설렁탕과 다른 비주얼에 한번더 놀랐다. 사실 설렁탕이라기보단 곰탕같은 느낌이었고, 같이나오는 고기의 양을 봤을때도 오히려 곰탕에 가깝지 않고서야 고기가 이정도로 같이 나올리가 없는데.. 라는 생각을했다.3. 맛은 처음 들어왔을때의 느낌 그대로다. 소쩐내가 이정도 나주면 맛도 이정도 깊어줘야한다. 진하단 느낌이 아니다 오히려 깔끔하니 깊다. 이런 깔끔하게 깊은맛은 왠지 접해본적도 없는 시골에서의 어릴적 추억이 떠오르는 아주 익숙하면서 편안한 느낌을 준다. (진하게 깊으면 전설로 남고 자주 생각나지 않는다.) 그리고 간이 안되어나와 깊은 맛을 온몸으로 느낄수 있는 기회가 있는것도 참 좋다. 마지막으로 김치가 매우 적절하다. 어울린다.4. 이정도 칭찬했으니 아쉬운 점도 이야기하자면, 리뷰들을보면 기존 사장님 아들분이 이어서하시는것 같은데(내가 갈때마다 젊은분 혼자) 항상 맛설렁탕 이상을 권하고 기본을 달라고하면 없다고 이야기를 하신다. 음... 일요일 오전도 있었고, 평일 오전도 있었는데 단 한번도 기본 설렁탕을 먹어본적이 없다. 이부분은 권유를 받는게 아닌 호구가된 기분이라 썩 좋지않다. 그리고 불친절은 전혀 문제가 안되는데 궁시렁은 좀 불쾌하단걸 알아두시는게 나을것 같다. 5. 맛만으로 평가를 하려했지만 아까 포장하면서도 당하고 온터라 ㅋㅋ 조금 흥분했다. 맛은 확실하다. 음식이 맛있으니. 이 양반이 어디까지 하나보자.. 하면서 자꾸 가게되는게 문제긴 하다. 꼬릿한 냄새는 맛에서 나오는 부산물이니 즐기도록 하자.※ 결론재작년 부터 알게 됐지만 어릴적 추억이 담긴 음식점.",맛있다
10,유원설렁탕,Luscious.K,"#삼전동 #유원설렁탕""여전히 구수한 어나더레벨의 설렁탕 장인의 집""1. 강남에 설렁탕을 아주 잘하는 집이 강북에 비해 많질 않은 것은 아마도 동네의 역사에 기인하는 듯 하다. 종로통에서 유구한 업력을 자랑하는 100년 식당인 ‘이문설농탕’을 보더라고 설렁탕 노포는 대부분 강북 사대문 지역에 많이 자리잡고 있다.그래서 강남에서 외고집설렁탕, 유원설렁탕, 영동설렁탕의 존재는 그 가치가 더욱 빛나는 것 같다. 그 중 외고집과 영동의 경우 이미 기업화가 되서 맛은 있으나 정감은 크지 않은데, 이곳 유원설렁탕은 자그마한 동네 설렁탕집으로서의 감성까지 여전했다.2. 토요일 아침거리를 사러 아침 8시에 첫 손님으로 방문을 했는데, 그 자리에서 참지 못하고 한뚝배기를 주문하고 말았다. 설렁탕 한 그릇에 8,000원이라는 착한 가격도 좋지만 특색있는 뚝배기에 토렴되어 나오는 먹음직 스러운 설렁탕 한 그릇은 마치 사극에서 주모가 국밥 한 그릇 말아 숟가락 꽂아 턱 올려주는 정감을 연상케 한다.3. 뜨거울 때 파를 넣고 국물을 한 숟가락 먹으면 다른 설렁탕집에서는 찾아볼 수 없는 (마치 누릉지 같은) 구수함이 혀를 코팅한다. 이런 구수함은 유원설렁탕만의 특색이기도 한데, 처음 먹을 때도, 이번에도 그 구수함이 느껴지는 것을 보면 특별한 국물내기 방법이 있으신가보다.여전히 아쉬운 것은 고기가 좀 퍽퍽하다는 것... 그래서 그냥 먹기 보다는 소금을 찍어 먹으면 더 좋아진다는 팁도 꼭 공유하고 싶다.4. 김치는 언제나 명불허전이다. 평상시 보다 더 익어 푹~~ 삭은 느낌도 나는데, 그 삭은 산미와 단맛 없는 유산균 맛이 구수한 설렁탕과 잘 어울린다. 떡볶이, 짜장면이 국민 소울푸드라고는 하지만, 설렁탕 만큼의 마음의 평안과 따듯함을 주기에는 역부족인 것을 보면 설렁탕이 우리 민족 최고의 소울푸드일 수도 있겠다는 생각이 든다.여긴 당연히 그 기준을 만족시키고도 남는다.5. (맛)설렁탕으로 2인분 포장을 해왔는데 (10,000원), 포장용에는 마늘이 들어간다. 처음에는 맛있지만 좀 묵으면 마늘향이 강해져 맛이 변할 수 있으니 다음에 방문할 때는 마늘을 빼달라고 해야겠다.<클래스는 역시 클래스 값어치를 한다>#동네식당응원프로젝트",맛있다
