,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
1,파오파오,서울특별시 송파구 석촌호수로12길 22,한정식 / 백반 / 정통 한식,만원 미만,109,4.3
2,해주찹쌀순대,서울특별시 송파구 올림픽로12길 28,탕 / 찌개 / 전골,만원 미만,13,4.2
3,토마루해물칼국수 (휴업중),서울특별시 송파구 백제고분로15길 6,국수 / 면 요리,만원 미만,5,4.2
4,서래냉면,서울특별시 송파구 올림픽로 300 롯데월드몰 5F,국수 / 면 요리,만원 미만,19,3.9
5,베테랑칼국수,서울특별시 송파구 올림픽로 240 롯데백화점 잠실점 B1,국수 / 면 요리,만원 미만,5,3.9
6,봉평메밀막국수,서울특별시 송파구 석촌호수로 61 트리지움상가 B1,국수 / 면 요리,만원 미만,11,3.9
7,케이트분식당,서울특별시 송파구 올림픽로35길 104 장미종합상가 B동 B1 13호,기타 한식,만원 미만,7,3.8
8,해주냉면,서울특별시 송파구 백제고분로7길 8-16,국수 / 면 요리,만원 미만,37,3.6
9,와인에빠진저팔계,서울특별시 송파구 백제고분로9길 45,고기 요리,만원 미만,13,3.5
10,칼라분식,서울특별시 송파구 석촌호수로12길 3,기타 한식,만원 미만,20,3.4
11,원조양평해장국,서울특별시 송파구 올림픽로8길 11 아이호텔,탕 / 찌개 / 전골,만원 미만,10,3.4
12,바르다김선생,서울특별시 송파구 석촌호수로 61,기타 한식,만원 미만,6,3.2
13,오뎅식당,서울특별시 송파구 올림픽로 300 롯데월드몰 6F,탕 / 찌개 / 전골,만원 미만,34,3.0
14,뽀빠이분식,서울특별시 송파구 올림픽로35길 124 장미상가 B동 B51호,기타 한식,만원 미만,9,3.0
15,깻잎닭강정,서울특별시 송파구 석촌호수로12길 13,닭 / 오리 요리,만원 미만,11,2.9
16,마리왕,서울특별시 송파구 올림픽로 265,기타 한식,만원 미만,9,
17,탕,서울특별시 송파구 백제고분로15길 48,탕 / 찌개 / 전골,만원 미만,3,
18,제주올레냉면,서울특별시 송파구 올림픽로35가길 9 잠실푸르지오 월드마크 B1,국수 / 면 요리,만원 미만,3,
19,평양만두,서울특별시 송파구 올림픽로 118 ,한정식 / 백반 / 정통 한식,만원 미만,1,
20,수가성,서울특별시 송파구 올림픽로 293-19 현대타워,한정식 / 백반 / 정통 한식,만원 미만,6,
21,셰프리푸드트럭,서울특별시 송파구 올림픽로 300 롯데월드몰 B1,퓨전 한식,만원 미만,3,
22,홍코너,서울특별시 송파구 석촌호수로12길 23 1F,기타 한식,만원 미만,5,
23,나살던고향,서울특별시 송파구 백제고분로7길 24-7 1F,한정식 / 백반 / 정통 한식,만원 미만,2,
24,정성한줄,서울특별시 송파구 올림픽로 145 리센츠상가 B1,기타 한식,만원 미만,2,
25,삼진어묵,서울특별시 송파구 올림픽로 240 B1,기타 한식,만원 미만,4,
26,환희분식,서울특별시 송파구 올림픽로35길 112 장미B상가  B1 45호,기타 한식,만원 미만,5,
27,꼬치집,서울특별시 송파구 백제고분로 158,기타 한식,만원 미만,3,
28,만포면옥 소반,서울특별시 송파구 송파대로 570 타워730 B1,국수 / 면 요리,만원 미만,2,
29,명랑핫도그,서울특별시 송파구 석촌호수로 60,기타 한식,만원 미만,1,
30,반장즉석떡볶이,서울특별시 송파구 올림픽로 300,기타 한식,만원 미만,6,
31,김스시,서울특별시 송파구 올림픽로35가길 11 한신코아 1F,해산물 요리,만원 미만,1,
32,명품치킨&꼬치,서울특별시 송파구 석촌호수로12길 15 ,기타 한식,만원 미만,1,
33,김영희강남동태찜,서울특별시 송파구 삼전로 87,해산물 요리,만원 미만,4,
34,김자순 수제 돈까스,서울특별시 송파구 석촌호수로12길 16,고기 요리,만원 미만,1,
35,완도멱집,서울특별시 송파구 올림픽로 145 B1 A9호,한정식 / 백반 / 정통 한식,만원 미만,2,
36,미미국수,서울특별시 송파구 백제고분로19길 6 301호,국수 / 면 요리,만원 미만,1,
37,컵앤곱,서울특별시 송파구 석촌호수로 68,고기 요리,만원 미만,3,
38,일일식탁,서울특별시 송파구 올림픽로35길 124 장미종합상가 A동 B1,한정식 / 백반 / 정통 한식,만원 미만,3,
39,우리집맛집,서울특별시 송파구 올림픽로 289 시그마타워,한정식 / 백반 / 정통 한식,만원 미만,1,
40,스쿨스토어,서울특별시 송파구 올림픽로 240,기타 한식,만원 미만,3,
41,모퉁이직화구이,서울특별시 송파구 석촌호수로12길 40 두나빌라 1F,고기 요리,만원 미만,2,
42,오렌지분식,서울특별시 송파구 석촌호수로12길 3,기타 한식,만원 미만,3,
43,모범떡볶이,서울특별시 송파구 백제고분로7길 54 2F,기타 한식,만원 미만,2,
44,공씨네주먹밥,서울특별시 송파구 올림픽로 240 롯데월드정문매표소 앞,기타 한식,만원 미만,1,
45,송파감자탕,서울특별시 송파구 백제고분로 188,탕 / 찌개 / 전골,만원 미만,2,
46,취사부,서울특별시 송파구 올림픽로 300  5F,한정식 / 백반 / 정통 한식,만원 미만,2,
47,33떡볶이,서울특별시 송파구 올림픽로 119 잠실엘스아파트 파인애플상가 1F 35호,기타 한식,만원 미만,1,
48,할아버지돈까스,서울특별시 송파구 올림픽로35길 124,기타 한식,만원 미만,4,
49,호호맛집,서울특별시 송파구 올림픽로 104 동성빌딩,기타 한식,만원 미만,1,
50,전주설렁탕,서울특별시 송파구 백제고분로7길 33,탕 / 찌개 / 전골,만원 미만,1,
51,한모네소문난순대집,서울특별시 송파구 석촌호수로12길 24,탕 / 찌개 / 전골,만원 미만,3,
52,핫도그찹찹,서울특별시 송파구 올림픽로 300,기타 한식,만원 미만,3,
53,비비큐치킨,서울특별시 송파구 올림픽로35길 10,닭 / 오리 요리,만원 미만,2,
54,용범이네 인계동껍데기,서울특별시 송파구 백제고분로7길 24-14,고기 요리,만원 미만,2,
55,땡깡김밥,서울특별시 송파구 백제고분로18길 16,기타 한식,만원 미만,2,
56,청국장과보리밥,서울특별시 송파구 백제고분로 166,한정식 / 백반 / 정통 한식,만원 미만,4,
57,사랑한다면0614,서울특별시 송파구 올림픽로 145 리센츠상가 B1,국수 / 면 요리,만원 미만,1,
58,잠실순대,서울특별시 송파구 백제고분로7길 7-5 1F,탕 / 찌개 / 전골,만원 미만,3,
59,계절밥상 소반,서울특별시 송파구 송파대로 521 롯데월드 B1,한정식 / 백반 / 정통 한식,만원 미만,1,
60,잠실국수,서울특별시 송파구 올림픽로35가길 9,국수 / 면 요리,만원 미만,1,
61,리김밥,서울특별시 송파구 올림픽로 240 롯데월드,기타 한식,만원 미만,2,
62,김명자굴국밥,서울특별시 송파구 올림픽로 289 잠실시그마타워,탕 / 찌개 / 전골,만원 미만,2,
63,할머니추어탕,서울특별시 송파구 석촌호수로 110,탕 / 찌개 / 전골,만원 미만,3,
64,오마뎅,서울특별시 송파구 올림픽로 111,기타 한식,만원 미만,1,
65,정성가득국수,서울특별시 송파구 석촌호수로12길 23,국수 / 면 요리,만원 미만,1,
66,맥쓰,서울특별시 송파구 백제고분로7길 28-6 2F,닭 / 오리 요리,만원 미만,1,
67,두찜,서울특별시 송파구 백제고분로7길 20,닭 / 오리 요리,만원 미만,2,
68,서민국수,서울특별시 송파구 백제고분로 144 동성빌딩,국수 / 면 요리,만원 미만,2,
69,오마뎅,서울특별시 송파구 올림픽로35길 10 파크리오 B상가 1F,기타 한식,만원 미만,1,
70,황기순칼국수돈까스,서울특별시 송파구 올림픽로 305 B1,국수 / 면 요리,만원 미만,1,
71,을찌로떡볶이,서울특별시 송파구 올림픽로12길 37-1,기타 한식,만원 미만,1,
72,20년전통송가네감자탕,서울특별시 송파구 올림픽로35길 124 장미아파트 A상가 B1 7-4,탕 / 찌개 / 전골,만원 미만,1,
73,청년다방,서울특별시 송파구 송파대로 521 롯데월드 B1,기타 한식,만원 미만,1,
74,팔팔뼈해장국감자탕,서울특별시 송파구 백제고분로7길 6-5,탕 / 찌개 / 전골,만원 미만,1,
75,청산맛감자탕,서울특별시 송파구 백제고분로15길 47 1F,탕 / 찌개 / 전골,만원 미만,1,
76,돌깨마을맷돌순두부,서울특별시 송파구 올림픽로8길 6,탕 / 찌개 / 전골,만원 미만,2,
77,쌀어묵공방,서울특별시 송파구 올림픽로 145 A동 82호,기타 한식,만원 미만,1,
78,삽다리손칼국수,서울특별시 송파구 올림픽로8길 23,국수 / 면 요리,만원 미만,1,
79,비사벌전주콩나물국밥,서울특별시 송파구 백제고분로 181,탕 / 찌개 / 전골,만원 미만,1,
80,맛짱,서울특별시 송파구 올림픽로37길 130 파크류상가A동 1F,기타 한식,만원 미만,2,
81,올레김밥,서울특별시 송파구 석촌호수로 61 트리지움상가 122-1,기타 한식,만원 미만,2,
82,맛짱못난이김밥,서울특별시 송파구 올림픽로35길 10 파크리오 B상가,기타 한식,만원 미만,1,
83,우리식당,서울특별시 송파구 올림픽로35길 124,한정식 / 백반 / 정통 한식,만원 미만,1,
84,전주명가,서울특별시 송파구 올림픽로 289,한정식 / 백반 / 정통 한식,만원 미만,1,
85,알뜰스넥,서울특별시 송파구 올림픽로35길 104 장미A상가 B1 23-1호,한정식 / 백반 / 정통 한식,만원 미만,2,
86,전주콩나물국밥,서울특별시 송파구 올림픽로35길 94 장미전철상가 B1,탕 / 찌개 / 전골,만원 미만,1,
87,시골맛집청국장,서울특별시 송파구 백제고분로7길 39 고려빌딩 1F,탕 / 찌개 / 전골,만원 미만,1,
88,한스김밥,서울특별시 송파구 올림픽로35길 10 파크리오,기타 한식,만원 미만,1,
89,제일제면소,서울특별시 송파구 올림픽로 240 롯데백화점 잠실점 B1,기타 한식,만원 미만,1,
90,홍코너,서울특별시 송파구 올림픽로 145 리센츠상가 B1,기타 한식,만원 미만,1,
91,보름떡볶이,서울특별시 송파구 송파대로 570 B1,기타 한식,만원 미만,1,
92,명가왕만두,서울특별시 송파구 석촌호수로12길 11,기타 한식,만원 미만,1,
93,해담,서울특별시 송파구 잠실로 15 1F,한정식 / 백반 / 정통 한식,만원 미만,1,
94,뽕식이네김밥,서울특별시 송파구 올림픽로37길 121,기타 한식,만원 미만,3,
95,윤재갑 양심칼국수,서울특별시 송파구 올림픽로 135,국수 / 면 요리,만원 미만,1,
96,지코바,서울특별시 송파구 백제고분로19길 32 신천설비,닭 / 오리 요리,만원 미만,1,
97,맘마킹도시락,서울특별시 송파구 올림픽로35길 124 장미A상가 2동 1F,기타 한식,만원 미만,1,
98,제로비건,서울특별시 송파구 올림픽로 240 롯데마트 6F,탕 / 찌개 / 전골,만원 미만,1,
99,이삭토스트,서울특별시 송파구 올림픽로 269 롯데캐슬 B1,기타 한식,만원 미만,1,
100,소담반상,서울특별시 송파구 올림픽로 300 롯데월드타워 스카이31 푸드애비뉴 31F,한정식 / 백반 / 정통 한식,만원 미만,1,
101,봉평메밀촌,서울특별시 송파구 올림픽로37길 130 상가A동 B 107호,국수 / 면 요리,만원 미만,1,
102,가보자식당,서울특별시 송파구 올림픽로35길 124 장미아파트,한정식 / 백반 / 정통 한식,만원 미만,1,
103,열정분식소,서울특별시 송파구 올림픽로12길 35-1,기타 한식,만원 미만,1,
104,배떡앤함박,서울특별시 송파구 백제고분로19길 28,기타 한식,만원 미만,1,
105,정가네 순뎅이,서울특별시 송파구 백제고분로18길 4,기타 한식,만원 미만,1,
106,전주콩뿌리콩나물국밥,서울특별시 송파구 올림픽로12길 24,탕 / 찌개 / 전골,만원 미만,1,
107,참맛돼지국밥,서울특별시 송파구 올림픽로35가길 11 한신코아 129호,탕 / 찌개 / 전골,만원 미만,1,
108,주막례묵은지김치찌개,서울특별시 송파구 백제고분로7길 39,탕 / 찌개 / 전골,만원 미만,1,
