,가게이름,리뷰아이디,리뷰,맛평가
1,파오파오,아도나주,동네 살면서 평이 엄청 높길래 가봐서 다 먹어봤는데 음… 이 정도인가? 싶다. 그냥 맛있고 먹을만한 정도긴 한데 아무리 생각해도 이 정도는 아니다. 그냥 간식으로 가끔 주변이면 먹을만한 맛이다. 크게 기대하지 말 것,괜찮다
2,파오파오,라물장,"Q. 신천에 맛있는 거 뭐 있냐?A. 하얼빈양꼬치, 옥기린, 이치고, 알라딘의양고기, 도삭면공방, 남경막국수, 오징어세상 등등...Q. 신천 오면 꼭 먹어봐야 되는 게 뭐냐?A. 타코비랑 파오파오.제가 신천에 처음 발을 디딘 15년 전에 비하면 신천먹자골목에도 맛있는 가게들이 정말 많아졌지만, 굳이 신천 말고 다른 동네에서 먹어도 되는 음식들이 많습니다. 그러나 '이 음식은 신천이 최고다!' 하는 게 있으니... 바로 타코비의 타코야키와 파오파오의 새우만두.--------♤ 새우 만두 + 고기 만두 + 김치 만두 (10,000₩)원래는 한 팩당 4000원이지만, 현금결제 시 세 팩을 만원에 살 수 있으니 참고. 새우만두는 한 팩에 6개, 고기와 김치는 10개씩 들어 있고, 가끔씩 서비스로 한두 개 더 넣어주실 때도 있습니다. 파오파오의 새우만두는 다른 어디에서도 먹어보기 힘든 맛입니다. 정말 쫄깃하고 고소해서 '이게 정말 새우 맞나?' 싶은 생각이 드는 만두. 고기만두보다도 고소한 새우만두 드셔보셨나요.새우만두로 유명하긴 하지만, 고기만두와 김치만두도 여기만한 곳이 별로 없습니다. 특히 김치만두를 먹어보면 만두집의 클라스를 알 수 있다고 하잖아요? 김치만두는 김치의 질에 따라 맛이 확 달라지는데, 여기는 전혀 시거나 씁쓸하지 않고 고소하게 맛있습니다.  --------이제 신천에 살지 않아서 미용실 갈 때 외에는 잘 방문하지 않지만... 그래도 제가 가는 날이라면 그건 만두나 타코야키 먹으러 간다는 것.★★★★☆",맛있다
3,파오파오,마랑,"만두 맛집 파오파오가 배달 된데서 시켜 보기로고기만두, 새우만두, 김치만두를 주문했다.역시는 역시!고기만두는 갈비 양념 살짝밴 감칠맛이 좋았고새우만두는 새우향이 아닌 새우살 팍팍 씹히는 식감이 좋았고김치만두는 흡사 김치메밀전병 같은 칼칼함이 좋았다.앞으로 만두는 여기서!",맛있다
4,파오파오,왕십리탈출러,"처음 휴가를 얻어서 간만에 여유를 가지고 동네 맛집 탐방을 가게 됐습니다.제가 또 만두를 좋아하는지라 만두맛집이란 말만 듣고서 바로 방문을 하게 되었는데요.고기만두, 김치만두, 새우만두를 파는 곳이었습니다. 다른 만두가 또 있었나 싶은데 기억이 나진 않네요.세 종류의 만두를 만원에 파는 세트 메뉴가 있어서 그걸 사와서 먹었습니다. 기본적으로 만두는 냉동만두만 하더라도 맛있다 보니 망플러의 관점에서도 맛이 있는지 없는지 판별하기는 참 어렵더군요.근데, 정말 맛있습니다.특히 새우만두가 정말 맛있었어요.보통 새우가 따로 노는 느낌이 들기 마련인데, 여기 새우만두는 다른 속과 참 잘 어우러진다는 느낌이 들더라고요!앞으로 휴가 쓰고 집에 올 때마다 자주 가야겠어요.으헝 만두만세",맛있다
5,파오파오,텐동천왕,가족분들 모두가 만족했던 만두집가성비와 맛 두가지를 충족 그 이상을 느끼게 해준 만두집최고,맛있다
6,파오파오,신승수,개안음,괜찮다
7,파오파오,,평범하다3.4/5,괜찮다
8,파오파오,Taste10good,"신천, 잠실새내 #파오파오 .생활의 달인에 무려 3번이나 출현한 딤섬, 새우만두 맛집! ..신천 새마을시장에 위치해 있으며,이곳의 시그니처는 스프링롤모양의 새우만두이다!.돼지등심과 새우살이 1:1로 들어 가며, 양쪽이 트여있음에도 한입 베어 물면 새우육즙이 터지는 식감을 맛 볼 수 있다..만두피가 얇아 만두소가 다 비칠 정도의 두께이며 그덕에 만두소의 식감과 재료의 육즙이 잘 느껴진다..새우만두 외에 고기만두, 김치만두도 판매하고 있다..3인분 현금결제시 만원이라는 가격적 메리트도 충분한 곳!.메뉴정보:새우만두 1인분(6pcs) - ₩4,000고기만두, 김치만두 (9pcs) - ₩4,0003인분 주문시 - ₩10,000(현금결제)",맛있다
9,파오파오,헤더유으,"3인분 (김치만두 1인분 + 새우만두 2인분) 현금결제 10.0잠실하면 생각나는 맛집, '파오파오'. 배달도 돼서 요즘 더 많이 알려진 것 같아요. 가장 기대했던 새우만두 2인분과 김치만두 1인분을 포장주문했어요. 집에서 먹기 전에 전자레인지 30초-1분 정도 돌리면 된다고 설명해주셨어요. 가장 궁금했던 새우만두는 기대만큼 맛있었어요! 조금 더 맛있을 수는 있겠다, 라는 아쉬움이 약간 남기도 했지만 그래도 '맛있다' 줄만 한 것 같아요. 새우의 탱글함과 고소함이 좋았어요. 김치 만두도 맵거나 자극적이지 않고, 담백한 편입니다.",맛있다
10,파오파오,유누,오랜만에 먹은 파오파오. 배민에서 배달비가 무료길래 최소금액 채우려고 냉동만두 두팩이랑 새우만두 일인분을 시켜봄.새우만두는 여전히 큼직한 새우가 낭낭히 들어있어 씹는 맛이 좋다. 내가 좋아하는 탱글보다는 조금 쫄깃한 식감인데 나름 매력있음. 서비스로 김치만두와 고기만두도 받았는데 김치만두는 칼칼하고 고기만두도 무난히 부드럽고 맛있음. 개인적으로 막 인상깊은 인생만두는 아니지만 흠 잡을 곳 없는 깔끔하게 맛난 만두라고 생각한다.배달 최소 금액 채우고자 시켜본 냉동 만두는 아예 마트 시판 제품처럼 포장되어 온다. 혼자 몇 번 해먹어 본 결과 구워먹기보단 쪄먹는게 제일 맛있다는 결론!,맛있다
