,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
1,한양돈까스,서울특별시 서초구 양재천로 107-19,기타 한식,만원 미만,26,4.0
2,양재닭집,서울특별시 서초구 남부순환로356길 15 양재종합시장,닭 / 오리 요리,만원 미만,31,3.9
3,인덕원비빔국수,서울특별시 서초구 남부순환로 2656,국수 / 면 요리,만원 미만,21,3.7
4,한국순대,서울특별시 서초구 바우뫼로35길 4 원빌딩,탕 / 찌개 / 전골,만원 미만,34,3.6
5,백채 김치찌개,서울특별시 서초구 동산로 10 염곡빌딩 1F,탕 / 찌개 / 전골,만원 미만,6,3.6
6,봉평메밀막국수,서울특별시 서초구 바우뫼로4길 53 우정빌딩,국수 / 면 요리,만원 미만,8,3.5
7,양재해장국,서울특별시 서초구 강남대로10길 11,탕 / 찌개 / 전골,만원 미만,12,3.4
8,플러스에이블,서울특별시 서초구 강남대로18길 24-14 방림빌딩,퓨전 한식,만원 미만,8,
9,양재동떡볶이,서울특별시 서초구 마방로2길 12 104호,기타 한식,만원 미만,5,
10,소풍가는날,서울특별시 서초구 매헌로3길 26 1F,기타 한식,만원 미만,4,
11,아주방,서울특별시 서초구 마방로6길 7-51,국수 / 면 요리,만원 미만,1,
12,정향곰탕,서울특별시 서초구 남부순환로356길 32 1F,탕 / 찌개 / 전골,만원 미만,2,
13,조선면옥,서울특별시 서초구 원터2길 2 조선면옥,국수 / 면 요리,만원 미만,6,
14,전주콩뿌리콩나물국밥,서울특별시 서초구 강남대로8길 30,탕 / 찌개 / 전골,만원 미만,2,
15,용 국수집,서울특별시 서초구 바우뫼로 182-1 동화빌딩,국수 / 면 요리,만원 미만,6,
16,경성불백,서울특별시 서초구 바우뫼로 188,한정식 / 백반 / 정통 한식,만원 미만,4,
17,태기산더덕순대,서울특별시 서초구 논현로 151,탕 / 찌개 / 전골,만원 미만,2,
18,양재주민,서울특별시 서초구 강남대로10길 12 1F,한정식 / 백반 / 정통 한식,만원 미만,1,
19,서울김밥,서울특별시 서초구 강남대로 224 양재한신휴플러스,기타 한식,만원 미만,4,
20,전주콩뿌리콩나물국밥,서울특별시 서초구 바우뫼로 177 성문빌딩,탕 / 찌개 / 전골,만원 미만,3,
21,리숨두부,서울특별시 서초구 원터4길 7,한정식 / 백반 / 정통 한식,만원 미만,3,
22,달콩떡볶이,서울특별시 서초구 바우뫼로6길 58,기타 한식,만원 미만,1,
23,24시 찹쌀순대,서울특별시 서초구 강남대로10길 19,탕 / 찌개 / 전골,만원 미만,4,
24,햄찌와베찌,서울특별시 서초구 강남대로8길 16-17,탕 / 찌개 / 전골,만원 미만,1,
