,가게이름,리뷰아이디,리뷰,맛평가
1,한양돈까스,머큐리 ,"양재에서 돈까스로 이름 좀 날리는 <한양돈까스>. 돈까스 치즈돈까스 다 맛있지만, 치킨까스가 또 맛도리! 치킨까스/11000 한양돈까스의 튀김옷은 밀도있고 단단한 편인게 다른 집과 다른 점. 방문포장으로 세가지 돈까스와 냉모밀, 카레 맛있게 먹었는데 치킨돈까스가 특별히 취향이라 재방문했다.분위기는 포차돈까스류와 안주류로 메뉴판은 구성되었고더운 날씨 탓인지 많은 테이블에서 맥주를 마시더라. 본인은 종교적인 이유로 술을 안 마시는데, 더운 날에 돈까스에 생맥주는 큰 유혹이라, 여름이 지난 이후에나 재방문하겠다는 결심을 했다. 유혹으로부터 저멀리~치킨돈까스, 단단하고 밀도있는 튀김옷 안에 닭고기가 적당히 사로로 씹히는데 즐겁고 맛있었다. 그런데 찬이 부실했다. 일만원이 넘는 돈까스가 김밥천0과 다를 바 없는 깍두기와 단무지, 장국과 평범한 밥, 양배추가 전부였고. 소스와 연겨자까지 모두모두 평범했다. 기대를 안고 방문해서인지아쉬움이 있는 방문이었다. 하지만 근처엔 정말 청국장이나 부대찌개 아님 꽤 비싼 비스트로? 레스토랑들이기에 양재천에서 좋은 선택지가 아닐까.",맛있다
2,한양돈까스,배고팡,평일 점심엠 직장인들 성지로 웨이팅 해야 돼요주문 후 금방 나와서 회전율 빨라요유명한 곳이길래 기대하고 갔는데일본식 돈까스인것 같아요?!양배추는 소스 뿌려 먹었는데 소스가 맛있어요돈까스는 고기 자체가 엄청 부드러워요어디서도 먹어보지 못한 돈까스 맛이랄까돈까스 튀김이 굉장히 얆은데 고기는 두툼해요맛있긴한데 웨이팅할 정도는 아니예요!,괜찮다
3,한양돈까스,Saejun,양재동 주민인 나에겐 이 가게의 돈까스는 소울푸드 같은 존재다. 뭔가 힘주지 않고 무심하게 만든 평범한 비주얼이지만 한입 물어보면 바삭하고 육즙 가득한 두툼한 돈까스에 반하게 된다. 무언가 마음이 허할 때나 몸살/감기 등으로 컨디션이 좋지 않았다가 회복될 때면 꼭 이 가게에 들리곤 한다.돈까스 한접시와 생맥주 한잔 마시면 그 자체가 행복.#다시먹어봄,맛있다
4,한양돈까스,Jake,나쁘진않지만 그렇다고 막 맛있다고 할 정도는 아닌 딱 9천원 값하는 돈까스집.,괜찮다
5,한양돈까스,보리,"양재에 위치한 '한양돈까스' ***- 등심돈까스 9,000원이렇게 안물리고 술술 넘어가는 돈까스가 있다니..! 이 근방에서 유명하다던데 그 이유가 있네요 ㅎㅎ 저는 애매한 시간대에 갔더니 엄청 널널하게 식사 가능했어요!작게 썰려져있어서 하나하나 먹다보면 어느순간 순삭이에요! 튀김옷도 바삭한데 부드럽고, 고기는 정말 너무 부드럽네요. 보통 돈까스 물려서 끝까지 먹기 힘든데 튀김옷이 얇은편이라 그런지 물림없이 계속 맛있었어요. 알싸한 겨자와 함께 먹으면 맛이 배가 되네요 ㅎㅎ 엄청난 돈까스 맛집까지는 아니지만 매력있는 곳임은 분명한 곳이에요 :)",맛있다
6,한양돈까스,Saejun,"최근 건강검진을 앞우고 한동안 식단관리를 했는데, 검사가 끝나자마자 갑자기 돈까스가 당겨 겨울밤 추위를 뚫고 찾아갔다.가격도 저렴한데다가 두툼하도 바삭한 등심돈까스는 여전히 일품. 거기다 시원한 생맥주도 함께 마실 수 있어서 너무 좋다. 주인 아주머님들이 친절하셔서 갈 때마다 기분 좋게 밥한끼 먹고 나오게 되는 동네 단골집.",맛있다
7,한양돈까스,매덩이,"단골 손님들의 리뷰대로라면 예전만 못하다는 평도 있긴 한데, 처음 먹어본 나로써는 지금까지 먹어본 돈까스 중에 꽤 기억에 남을 법한 돈까스였다. 고기층이 두꺼운데 튀김은 그렇게 두껍지 않아 식감이 바삭하단 느낌보단 고기씹는 느낌이 더 났다. 돈까스소스에 겨자소스를 섞어 먹았는데 난 정말 맛있게 먹었음. 대신에 경양식 돈까스 치고 착한 가격은 아님...",맛있다
8,한양돈까스,Saejun,"친한 친구와 근사한 등심 돈까스 안주삼아 시원한 생맥주 한잔하고 싶을 때 찾는 곳. 소박하면서도 정겨운 인테리어, 가성비 최강의 돈까스 그리고 친절함의 3박자가 완벽하게 일치하는 곳이다.꽤 오랜만에 방문했는데, 그 사이 등심돈까스는 더 맛있어진 것 같다. 다소 평범해보이는 비주얼이지만, 따뜻한 돈까스 한점을 겨자를 섞은 돈까스 소스에 푹 찍어먹은 뒤 생맥주 한잔하면 천국이 따로 없다. 맥주 관리도 잘되서, 엄청 깔끔하다. 지금도 너무 좋지만 만약 만원 중반대 가격의 안주 전용 모듬 돈까스 메뉴가 생긴다면, 진짜 매주 방문할 것 같다.",맛있다
9,한양돈까스,김매트,특별한 튀김옷.생각지도 못하게 반가운 골목 아지트 느낌 맛집 발견. 겨울철 따뜩하고 그리운 느낌의 튀김옷과 함께 술 한잔 하기 좋은 느낌.,맛있다
10,한양돈까스,페코!,맛 3.5/5 가성비 3.5/5재방문의사 o조용한 골목길에 있는 음식점입니다. 등심돈까스(8500)를 주문했는데 음식이 정말 빨리 나와서 신기했습니다. 돈까스 고기가 두껍고 촉촉하고 잡내 없이 맛있었습니다. 돈까스소스와 와사비를 섞어 찍어 먹으니 정말 맛있었습니다. 튀김옷에 특별한 점은 잘 못 느꼈지만 어쨌든 맛있었으니 근처에 직장이 있다면 자주 오고싶은 곳이었습니다. 채소도 가득가득 줘서 맛있게 먹을 수 있었습니다.하지만 내부가 쾌적하지는 않습니다. 가건물로 확장된 구조이고 고깃집에 있는 것 같은 동그란 테이블에 앉아서 먹는데 분위기 좋은 특별한 곳을 찾는다면 다른 곳이 나을 것 같습니다. 하지만 부담없이 한 끼 맛있는 돈까스 먹는 목적이라면 훌륭한 곳이라고 생각합니다.,맛있다
