,가게이름,가게 주소,음식 종류,가격 범위,리뷰개수,평점
1,영원식당,서울특별시 영등포구 여의나루로 117 서울상가 2F,국수 / 면 요리,만원 미만,23,4.0
2,대오옛집,서울특별시 영등포구 여의나루로 53-1 대오빌딩 B1,기타 한식,만원 미만,9,4.0
3,대원,서울특별시 영등포구 국제금융로8길 34 오륜빌딩,한정식 / 백반 / 정통 한식,만원 미만,10,3.9
4,에덴식당,서울특별시 영등포구 의사당대로 127 B1,한정식 / 백반 / 정통 한식,만원 미만,17,3.9
5,화목순대국,서울특별시 영등포구 여의대방로 383,탕 / 찌개 / 전골,만원 미만,16,3.8
6,여의도따로국밥,서울특별시 영등포구 여의대방로69길 28 유성빌딩,탕 / 찌개 / 전골,만원 미만,15,3.8
7,오늘은즉떡,서울특별시 영등포구 여의나루로 71 동화빌딩 B1,기타 한식,만원 미만,5,3.8
8,모퉁이네,서울특별시 영등포구 국제금융로6길 33 여의도백화점 B1,기타 한식,만원 미만,6,3.8
9,신원,서울특별시 영등포구 여의대로 56,한정식 / 백반 / 정통 한식,만원 미만,12,3.8
10,돈대리 돈까스백반,서울특별시 영등포구 여의나루로 67 신송빌딩 B1,기타 한식,만원 미만,8,3.8
11,청수,서울특별시 영등포구 국제금융로 112,국수 / 면 요리,만원 미만,5,3.6
12,농민백암왕순대,서울특별시 영등포구 국회대로 780 LG에클라트,탕 / 찌개 / 전골,만원 미만,6,3.6
13,제일제면소,서울특별시 영등포구 국제금융로 10 IFC몰 L3,국수 / 면 요리,만원 미만,30,3.3
14,마마된장,서울특별시 영등포구 국제금융로 10 IFC몰,한정식 / 백반 / 정통 한식,만원 미만,10,3.3
15,김명자굴국밥전문점,서울특별시 영등포구 국회대로70길 19 극동빌딩,탕 / 찌개 / 전골,만원 미만,8,
16,대동문,서울특별시 영등포구 국제금융로6길 30 백상빌딩 2F,기타 한식,만원 미만,5,
17,구마산,서울특별시 영등포구 국제금융로 70,탕 / 찌개 / 전골,만원 미만,6,
18,뒤푸리,서울특별시 영등포구 은행로 29,해산물 요리,만원 미만,3,
19,일호면옥,서울특별시 영등포구 의사당대로 127 롯데캐슬엠파이어상가 1F,국수 / 면 요리,만원 미만,6,
20,킴스라이스,서울특별시 영등포구 의사당대로 108 아일렉스,기타 한식,만원 미만,4,
21,송옥,서울특별시 영등포구 국제금융로 10 IFC몰 CGV옆 L3,국수 / 면 요리,만원 미만,7,
22,하남두부마을,서울특별시 영등포구 의사당대로1길 25,한정식 / 백반 / 정통 한식,만원 미만,1,
23,미스터칠드런,서울특별시 영등포구 양평로20길 4-1 경도빌딩,기타 한식,만원 미만,1,
24,망향비빔국수,서울특별시 영등포구 국제금융로 112 상아빌딩,국수 / 면 요리,만원 미만,3,
25,황태본가,서울특별시 영등포구 국제금융로 86,해산물 요리,만원 미만,1,
26,강창구찹쌀진순대,서울특별시 영등포구 국제금융로8길 11 대영빌딩,탕 / 찌개 / 전골,만원 미만,5,
27,제일어버이순대,서울특별시 영등포구 여의대방로 379,탕 / 찌개 / 전골,만원 미만,3,
28,거창왕돈가스,서울특별시 영등포구 국제금융로6길 30,기타 한식,만원 미만,3,
29,서울키친,서울특별시 영등포구 여의대로 108 더현대서울,기타 한식,만원 미만,3,
30,틈새라면,서울특별시 영등포구 의사당대로 38 더샵아일랜드파크,기타 한식,만원 미만,4,
31,지리산명가,서울특별시 영등포구 여의나루로 67 신송빌딩,탕 / 찌개 / 전골,만원 미만,6,
32,여의꽃섬,서울특별시 영등포구 국제금융로 70 미원빌딩 1F,탕 / 찌개 / 전골,만원 미만,2,
33,소공동뚝배기집,서울특별시 영등포구 국회대로68길 23 정원빌딩,한정식 / 백반 / 정통 한식,만원 미만,2,
34,다다미,서울특별시 영등포구 여의나루로 67 신송빌딩,한정식 / 백반 / 정통 한식,만원 미만,3,
35,크레이지후라이,서울특별시 영등포구 국제금융로8길 31,기타 한식,만원 미만,4,
36,김삼보,서울특별시 영등포구 국회대로 780,탕 / 찌개 / 전골,만원 미만,5,
37,마포만두,서울특별시 영등포구 국제금융로2길 37,기타 한식,만원 미만,4,
38,한양원,서울특별시 영등포구 여의대방로65길 6 1F,고기 요리,만원 미만,1,
39,오락,서울특별시 영등포구 국제금융로 70 B1,기타 한식,만원 미만,3,
40,남촌,서울특별시 영등포구 여의나루로 42 여의도종합상가,한정식 / 백반 / 정통 한식,만원 미만,3,
41,장원 북어국,서울특별시 영등포구 국제금융로8길 11 대영빌딩,탕 / 찌개 / 전골,만원 미만,2,
42,써니즉석떡볶이,서울특별시 영등포구 은행로 29,기타 한식,만원 미만,2,
43,전주종가,서울특별시 영등포구 의사당대로 97,탕 / 찌개 / 전골,만원 미만,6,
44,명동칼국수,서울특별시 영등포구 은행로 29 정우빌딩,국수 / 면 요리,만원 미만,3,
45,장독대김치찌개,서울특별시 영등포구 국제금융로 78 홍우빌딩,탕 / 찌개 / 전골,만원 미만,3,
46,바르다김선생,서울특별시 영등포구 여의대방로 379 제일빌딩,기타 한식,만원 미만,2,
47,김명자굴국밥,서울특별시 영등포구 국제금융로 78,한정식 / 백반 / 정통 한식,만원 미만,2,
48,상은북어국,서울특별시 영등포구 국제금융로8길 19 중앙빌딩,한정식 / 백반 / 정통 한식,만원 미만,2,
49,풀향기손칼국수,서울특별시 영등포구 여의나루로 42,국수 / 면 요리,만원 미만,2,
50,다미,서울특별시 영등포구 국회대로68길 14 신동해빌딩,기타 한식,만원 미만,1,
51,옛날은성순대국,서울특별시 영등포구 국회대로 750 금산빌딩,탕 / 찌개 / 전골,만원 미만,2,
52,단디만,서울특별시 영등포구 국제금융로6길 33 여의도백화점,탕 / 찌개 / 전골,만원 미만,6,
53,바푸리숯불김밥,서울특별시 영등포구 여의나루로 42 여의도종합상가 119호,기타 한식,만원 미만,2,
54,여의도소바우동,서울특별시 영등포구 의사당대로 38,국수 / 면 요리,만원 미만,2,
55,동해대구탕,서울특별시 영등포구 여의나루로 67 신송빌딩,탕 / 찌개 / 전골,만원 미만,2,
56,동남집,서울특별시 영등포구 국회대로 750 금산빌딩,고기 요리,만원 미만,3,
57,돈수백,서울특별시 영등포구 국제금융로6길 30 백상빌딩,탕 / 찌개 / 전골,만원 미만,1,
58,본토박이,서울특별시 영등포구 국제금융로6길 30,탕 / 찌개 / 전골,만원 미만,2,
59,서울깍두기,서울특별시 영등포구 국제금융로6길 33 여의도백화점,탕 / 찌개 / 전골,만원 미만,2,
60,오삼볶음집,서울특별시 영등포구 국제금융로8길 19 중앙빌딩,기타 한식,만원 미만,2,
61,칼스토랑,서울특별시 영등포구 여의대로 24  B123호,국수 / 면 요리,만원 미만,2,
62,동화매점,서울특별시 영등포구 여의나루로 71 동화빌딩 B1,기타 한식,만원 미만,1,
63,다복집,서울특별시 영등포구 은행로 58 삼도빌딩,한정식 / 백반 / 정통 한식,만원 미만,1,
64,한주면옥,서울특별시 영등포구 63로 45,국수 / 면 요리,만원 미만,3,
65,완백부대찌개,서울특별시 영등포구 국제금융로2길 17 씨티플라자 2F,탕 / 찌개 / 전골,만원 미만,4,
66,만나손칼국수,서울특별시 영등포구 국제금융로6길 33,국수 / 면 요리,만원 미만,2,
67,동우황태북어국,서울특별시 영등포구 여의대로 56 한화증권빌딩,탕 / 찌개 / 전골,만원 미만,3,
68,히클리밥,서울특별시 영등포구 국제금융로 10 IFC몰 스트리트샵  S21호,기타 한식,만원 미만,4,
69,더덮,서울특별시 영등포구 은행로 29 정우빌딩 B1,퓨전 한식,만원 미만,4,
70,대여,서울특별시 영등포구 여의대방로67길 22,한정식 / 백반 / 정통 한식,만원 미만,3,
71,전주남부시장콩나물국밥,서울특별시 영등포구 여의나루로 71 동화빌딩,탕 / 찌개 / 전골,만원 미만,2,
72,백암왕순대,서울특별시 영등포구 여의나루로 117,탕 / 찌개 / 전골,만원 미만,2,
73,삼미설렁탕,서울특별시 영등포구 국제금융로6길 33 여의도백화점,탕 / 찌개 / 전골,만원 미만,2,
74,더맛존숯불닭바베큐,서울특별시 영등포구 여의대방로 383 경도빌딩,닭 / 오리 요리,만원 미만,1,
75,강창구찹쌀진순대,서울특별시 영등포구 국제금융로2길 24  BNK금융타워 B1,탕 / 찌개 / 전골,만원 미만,2,
76,왕세숫대야냉면,서울특별시 영등포구 여의나루로 57,국수 / 면 요리,만원 미만,1,
77,전주본가콩나물국밥,서울특별시 영등포구 국제금융로6길 17 부국증권,탕 / 찌개 / 전골,만원 미만,1,
78,전주콩나물국밥,서울특별시 영등포구 의사당대로 26 동성빌딩,탕 / 찌개 / 전골,만원 미만,1,
79,정우칼국수보쌈,서울특별시 영등포구 은행로 29 정우빌딩,국수 / 면 요리,만원 미만,4,
80,향토,서울특별시 영등포구 국제금융로6길 30,한정식 / 백반 / 정통 한식,만원 미만,3,
81,현선이네프리미엄,서울특별시 영등포구 국제금융로 10 IFC몰 스트리트샵  S29호,기타 한식,만원 미만,4,
82,너섬,서울특별시 영등포구 국회대로 750 금산빌딩,한정식 / 백반 / 정통 한식,만원 미만,1,
