,가게이름,리뷰아이디,리뷰,맛평가
1,영원식당,Stefano,"엄마가 해주는 닭도리탕이 생각나는 맛이에요!(굉장히 유사한 맛이 납니다.)국물이 약간 묽은 느낌이긴 한데, 마늘맛이 풍부하게 나서 좋습니다!또, 김치도 맛있어용!주인분이 조금 무뚝뚝하시지만, 맛은 확실히 좋아요 !! 추천드립니다~~",맛있다
2,영원식당,뜨주렝,"점심을 느끼하게 먹은 탓에 저녁에는 칼칼한 한식이 먹고 싶어 방문했다. 망플에 보면 뭔가 닭볶음탕집인 것 같이 되어있는데 막상 가보니 수제비가 메인이 것 같기도 하다...? 결국 나는 이 식당의 실체에 대해 알지 못했고 알지 못하지만 우리의 목적은 수제비 같은 하얀 음식이 아니라 닭볶음탕 같은 빨간 음식이어서 닭볶음탕을 시켰다. 닭볶음탕은 소 자가 없고 중 자(30,000)부터 있다. 공깃밥은 포함이 아니라서 추가해먹어야한다. 아마 닭 한 마리가 나오는 것 같고 인당 공기밥 하나 씩 시키니까.. 둘이 먹기에 좀 많은 양이긴 하다. 양념이 생각보다 달았는데 이상하게 물리지 않았다. 야채가 많이 들어가서 감칠맛이 많이 살아서 그런가? 그리고 생각보다 국물이 묽다. 나는 좀 걸쭉한 류의 국물을 많이 봐서 좀 어색했는데, 오히려 깔끔하고 더 괜찮은 것 같기도 하다. 그리고 한식 음식점의 맛 평가는 김치로 완성된다고 했나. 이 집 김치가 진짜 맛있다. 나는 겉절이를 진짜 좋아하는데 이 집의 김치가 딱 전형적인 방금 담군 김치의 맛이다. 사장님께 김치 맛있다고 말씀 드럈는데 5초동안 정적이 흐르길래 민망할 뻔했으나 ""매일 담구니까~""라는 답변이 돌아왔다. 불친절하다는 평이 많던데 사장님은 그냥 내성적인게 아니었나, 싶기도 하다. 이 주변에서 한식을 먹기에 꽤 괜찮은 곳이 아닌가 싶다!",맛있다
3,영원식당,주희,수제비 소박하니 넘 맛있었어요!국내산 김치랑 잘 어울렸음!,맛있다
4,영원식당,토레토레,닭볶음탕 맛집이라더니 정말 맛집이다. 파전도 맛있고 놀라웠덩 건 수제비도 굉장히 맛있었다. 간은 센 편인데 술이랑 먹을 때는 찰떡이다. 양념이 굉장히 칼칼하고 살짝 달고 깊은 맛. 많은 분들의 말씀대로 친절도만 올라가면 좋을 것 같은데..,맛있다
5,영원식당,유익한망고_3528,"점심엔 수제비 인당하나 무조건시켜야하고, 그걸 메뉴시킬땐 안말하고 갑자기 사람앞에 수제비 막 갖다 놓음(다른메뉴를 시켰는데도), 감자전은 시간걸린다고 못시키게함.종이컵에 물을 따랐는데, 고춧가루가 떠있음.종이컵은 새건데, 그럼 물통에 고춧가루가...?어떻게 들어가 있던건지 매우 찝찝한 곳.참고로 반찬나오기 전에 물통만 받았을때 벌어진 일...",별로
6,영원식당,쓰피겔,새빨갛지만 안매운 살이 녹아내리는 닭도리탕 정말 맛있었어요. 다만 가격이 좀 비싼거 같네요. 한 10000원이면 충분히 남을 감자전이 15000원 닭고리탕도 가장 작은게 중자 30000원,맛있다
7,영원식당,구우,여의도 터줏대감 아빠가 데려간 영원식당 여의도 한강공원 갈 때 아시죠 그 수레에 텐트 담아서 빌려가는 곳.. 그 위에 있어요!!! 깜놀 여기에 수제비 맛집이라고?! 의문이 무색하게 허름한 문을 열자마자 신발장에 신발이.. 꽉꽉... 주말인데도 더현대의 영향인지?! 사람 많더라구요... 김치를 아주 통크게 주시고 수제비도 귀여운 동그란 뚝배기?!에 나옵니다 맛은 뭐 다들 동네 하나씩 있는 수제비•칼국수 맛집의 그 맛 아시죠..? 음 그 맛 ㅎㅎ 맛있어요!! 후추가 조금 쎈 것 같고 김치도 겉절이•익은 김치•물김치라서 골라먹는 재미가 있어용~!,괜찮다
8,영원식당,로컬플레이스러버,"*직원들 불친절 빼고는 완벽한, 칼칼한 닭도리탕을 여의도에서 찾으신다면 이 곳(여의도 서울상가 2층)-장점 :개인적으로 간이 센 닭도리탕을 정말 좋아하는데, 마늘과 간장 팍팍 넣고 야채는 덜 들어가 칼칼한 느낌의 닭도리탕을 먹을 수 있었습니다. 생김치가 칼국수에 주는 김치를 주시는데, 닭도리탕이랑 먹으면 두그릇 가능할 듯합니다. 오랜만에 닭도리탕 먹고 약간 감탄했어요. -단점: 닭도리탕 ‘소’자가 없어요. ‘중’자 3만원부터 시작입니다. 두명이서 가면 세상에 볶음밥을 시켜먹을 수 없어요...3명이서 가세요. 좀 짜증났어요 ㅠ 그 점은, 하지만 풍미도 괜찮고 힙한 감성으로 레트로 닭도리탕을 여의도에서 드시려면 강추",맛있다
9,영원식당,진선이,파전과 수제비는 사랑입니다❤️수제비 먹고 정말 배불러서 못먹을 줄 알았는데 파전까지 깔끔하게 클리어 하고 왔어요!! 원래는 감자전 먹으려고 했지만 역시 인기가 많은 곳이라 그런지....감자전은 품절이드라구여ㅠㅠㅠ,맛있다
10,영원식당,헌터,점심에는 수제비만 가능하다해서 시켜먹어봄첫맛은 간이 짭잘하다 라는 느낌으로 먹었는데 먹다보니 미원맛과 조미료맛이 강하게 남아서 텁텁하고 그다지 좋진 않앗음제대로된 사골 수제비라기보단 조미료맛 나는 기성품 느낌,별로
11,영원식당,영찡,"한줄평: 이빠진 그릇에 담겨 나오는, 스트레스 풀리는 맵고 자극적인 맛의 수제비와 닭도리탕.1. 수제비: MSG인지 후추인지 너무 자극적임. 국물 첫 맛은 ‘라면스프를 넣었나?’ 였음. 자극적인만큼 중독성있음. 30년 넘게 영업하다 작년에 폐업한 광화문 피맛골 ‘아담수제비’는 천원더 싼 가격(6천원)에 조개가 바닥에 한가득 깔려있었는데, 이곳 수제비는 조개나 멸치등으로 육수를 내는게 아니고  조미료로 내는거 같다. 오래되서 듬성듬성 이가 빠진 플라스틱 그릇에 펄펄끓는 수제비가 담겨나와서 환경호르몬이 걱정되기도.. 자극적이라 중독성있는 맛이다.2. 닭도리탕: 양념이 맵고 자극적이다. 양파,감자,당근이 오래 뭉근히 삶은 후 나와서 자극적인 양념을 좀 상쇄해준다. 닭고기는 살도 많고 단단하고 맛있었다. 똑같이 간이 센 수제비와 먹기 보다는 공기밥과 먹어야할듯.3. 김치: 수제비의 아쉬움을 달래준 김치!  겉절이, 익은김치, 물김치 3종류가 나오는데  특히 익은 김치와 물김치가 맛있었다.4. 서비스와 청결도: 다른 리뷰들에도 나오듯, 청결도나 서비스는 좋은 편이 아니다. 망플 영업시간이 10시까지인 것을 보고 토요일 저녁 8시 40분에 방문했는데, 주말은 9시까지라고 하시면서 종업원분들이 빨리 먹으라는 눈치를 팍팍주셨다ㅜㅜ (망플에 영업시간 수정요청 보냈어용)",괜찮다
12,영원식당,ㅇㅅㅇ,전체적으로 할머니가 해주시는 집밥같은 느낌이에요! 자극적이지 않고 푸짐~~~한 밥상입니다 ! 닭도리탕은 담백하고 매콤한 정도는 보통입니다. 양념 간이 잘 배어있고 닭도 포실 포실 맛있어요. 수제비는 떡국 국물에 쫀득한 수제비가 잔뜩 들어있어요. 감자전은 말할 것도 없습니다. 나오면 바로 드세요 ㅠ ㅠ 비오는 날 가서 막걸리랑 먹고 싶은 맛집이에요 ❤️,맛있다
13,영원식당,주성준,종합      ★★★☆☆맛          ★★★★☆서비스  ★★★☆☆분위기  ★★★☆☆분위기가 좋은건 아니지만 자리가 많아서 붐비지 않음.감자전과 닭도리탕은 튀지 않는 맛임. 전체적으로 간은 꽤 되어있는 편인데 고기가 부드러운 편이었음.볶음밥은 메뉴에는 없지만 해주심. 다만 평소에 많이 볼 수 있는 볶음밥이 아니라 거의 흰밥에 김치 볶아 나오는 느낌이라..국물을 따로 빼놨다가 같이 먹어야 맛있음.,맛있다
14,영원식당,좋군,어우 닭도리탕 맛있다,맛있다
15,영원식당,최고의한끼,날씨 추우니까 수제비 어떠세요 상사분에게말하는 순간 이미 여의도의 모든직장인들이 영원식당에 줄서있습니다... 사골로 맛을냈다고 하지만 MSG의 기가막힌 맛!!,맛있다
16,영원식당,감상평,"여자 셋이가서 닭도리탕 중 하나, 수제비 두개 시켜서 먹었어요. 신발벗고 방바닥에 앉아서 먹는 구조인데, 앉아있는 사람들은 이미 등을 맞대고있고 그 사이로 지나다녀야 해요 ㅋㅋㅋ누가 후기에 불친절해도 맛있어서 간다는데 진짜 맛있더라구요...닭도리탕도 수제비도 너무 맛있었어요. 심지어 맥주가 하이트밖에 없는데 하이트도 맛있어서 이집는 병맥도 맛있냐고 놀랐네요 ㅋㅋㅋㅋ그리고 사람 기분상할정도로 불친절한 정도는 아니세요. 그냥 너무 바빠서 그런듯.또 갈거에요! 맛있으니까!! 긴바지입고!!",맛있다
17,영원식당,베어빈이히,"송편님 리뷰보고 방문한 ""영원식당"". 흐엉 닭도리를 먹으려고 간 건데 점심에는 수제비밖에 안된댄다..ㅠㅠㅠ 수제비 불호인데... 내돈주고 사먹지 않는 음식인데..ㅠ 어쩔수없이 먹어야겠다하고 앉았는데...그런데 웬열!!!! 사장님 수제비에 무슨 짓을 하셨나요..  넘 맛잇쨔냐...간이 짭짤하니 엄청 손이 가는 맛이다! 눈 감고 먹으니 약간 치즈맛이 나는 것 같은 건 기분탓이겠지..??같이 시킨 파전은 그냥 파전이었다 ㅎㅎ식당은 너저분한 옛날 밥집 같은 느낌이고 위생이 좋지는 않아보이지만 이모가 혼자 계속 일하시다가 밀려드는 주문에 큰 소리로 ""여러분 손님이 많아서 김치드실 분은 밥통에서 꺼내드세요! 나 혼자라~""하니까 손님들이 다같이 ""네!!""하는 게 뭔가 시골밥집 같은 느낌이 들었다. 여기만 바글바글한게 이 주변일대에서 꽤나 유명한 맛집인 것 같다.담번에 닭도리+수제비 먹으러 다시 가야지.",맛있다
18,영원식당,songpyun,우옹.... 3월에 갔던곳인데 이제 쓴당... ㅠㅠifc몰에 있는 식당중에서 마땅히 땡기는 곳이 없고뭔가 여의도 만의 맛집 가고싶어성 여기로 감!닭도리탕 시켰는데 쫄깃쫄깃 엄청 맛있당!! 다음에 또가고싶은곳!,맛있다
19,영원식당,최고의한끼,"여의도 그 서울상가에는 참 맛집이 많은듯 해요. 희정식당도 거기 지하에 있고 2층에 바로 영원식당입니다...수제비를 즐겨하지 않지만 신입사원때 부장님 쫄래쫄래 따라가서 먹은맛을 잊지못해 가끔씩 찾는곳입니다. 점심시간이 좀 지나가서 인가 웬일로 웨이팅 없이 바로 착석해 먹었어요...진한 사골국물, MSG를 넣었는지 의심이 될정도 약간은 센 간,그리고 김치까지...추위를 싹잊게 하는 여의도 맛집 수제비입니다! 감자전은 모두가 생각하시는 그 감자전 맛이네요 ㅎㅎ",맛있다
